報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年31週(07月31日～08月06日),2023年08月09日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週,22週,22週,23週,23週,24週,24週,25週,25週,26週,26週,27週,27週,28週,28週,29週,29週,30週,30週,31週,31週
滋賀県,224,6.4,6,0.17,7,0.19,4,0.11,3,0.08,6,0.17,3,0.08,4,0.11,6,0.17,3,0.08,2,0.06,4,0.11,8,0.22,5,0.14,6,0.17,10,0.28,5,0.14,4,0.11,5,0.15,14,0.39,10,0.28,17,0.47,12,0.33,4,0.11,10,0.28,4,0.11,7,0.19,10,0.28,10,0.28,9,0.25,8,0.22,18,0.5
京都府,395,5.2,7,0.09,9,0.12,14,0.18,12,0.16,17,0.22,9,0.12,8,0.11,11,0.14,12,0.16,14,0.18,11,0.14,5,0.07,9,0.12,11,0.14,11,0.14,12,0.16,15,0.2,13,0.17,12,0.16,20,0.26,17,0.22,12,0.16,16,0.21,21,0.27,14,0.18,9,0.12,16,0.21,17,0.22,15,0.19,14,0.18,12,0.16
大阪府,1372,7.11,31,0.16,40,0.21,46,0.24,29,0.15,30,0.15,37,0.19,36,0.19,32,0.16,36,0.19,25,0.13,38,0.19,39,0.2,37,0.19,43,0.22,43,0.22,59,0.31,73,0.37,35,0.18,68,0.36,51,0.27,51,0.27,52,0.27,59,0.31,54,0.28,53,0.28,48,0.25,45,0.23,56,0.29,35,0.18,35,0.18,56,0.29
兵庫県,875,6.84,19,0.15,29,0.22,20,0.16,31,0.24,21,0.16,23,0.18,25,0.19,11,0.09,17,0.13,15,0.12,26,0.2,24,0.19,13,0.1,21,0.16,31,0.24,35,0.27,30,0.23,30,0.24,42,0.33,38,0.29,35,0.27,29,0.22,30,0.23,28,0.22,38,0.29,41,0.32,39,0.3,47,0.36,33,0.26,26,0.2,28,0.22
奈良県,277,8.15,4,0.12,14,0.41,10,0.29,7,0.21,8,0.24,7,0.21,5,0.15,5,0.15,5,0.15,8,0.24,8,0.24,8,0.24,8,0.24,8,0.24,10,0.29,8,0.24,11,0.32,8,0.24,10,0.29,16,0.47,9,0.26,11,0.32,14,0.41,9,0.26,13,0.38,9,0.26,12,0.35,8,0.24,9,0.26,8,0.24,7,0.21
和歌山県,208,6.93,4,0.13,5,0.17,2,0.07,5,0.17,5,0.17,6,0.2,4,0.13,4,0.13,6,0.2,3,0.1,9,0.3,3,0.1,12,0.4,7,0.23,10,0.33,5,0.17,7,0.23,10,0.33,9,0.3,19,0.63,5,0.17,10,0.33,4,0.13,10,0.33,6,0.2,10,0.33,8,0.27,7,0.23,2,0.07,5,0.17,6,0.2
鳥取県,156,8.21,2,0.11,6,0.32,4,0.21,5,0.26,3,0.16,9,0.47,7,0.37,7,0.37,3,0.16,5,0.26,5,0.26,3,0.16,3,0.16,5,0.26,6,0.32,9,0.47,3,0.16,0,0,6,0.32,6,0.32,6,0.32,6,0.32,4,0.21,8,0.42,11,0.58,7,0.37,3,0.16,6,0.32,2,0.11,2,0.11,4,0.21
島根県,283,12.3,11,0.48,5,0.22,7,0.3,10,0.43,12,0.52,7,0.3,9,0.39,7,0.3,7,0.3,12,0.52,7,0.3,6,0.26,8,0.35,5,0.22,7,0.3,7,0.3,17,0.74,10,0.43,9,0.39,8,0.35,9,0.39,8,0.35,12,0.52,12,0.52,8,0.35,19,0.83,10,0.43,10,0.43,7,0.3,6,0.26,11,0.48
岡山県,389,7.2,6,0.11,17,0.31,13,0.24,10,0.19,14,0.26,14,0.26,6,0.11,5,0.09,8,0.15,11,0.2,5,0.09,10,0.19,12,0.22,12,0.22,7,0.13,9,0.17,12,0.22,20,0.37,17,0.31,11,0.2,17,0.31,16,0.3,15,0.28,15,0.28,15,0.28,14,0.26,12,0.22,13,0.24,16,0.3,21,0.39,16,0.3
広島県,483,6.8,13,0.18,8,0.11,15,0.21,9,0.13,19,0.26,17,0.24,21,0.29,11,0.15,8,0.11,12,0.17,18,0.25,16,0.22,13,0.18,11,0.15,10,0.14,20,0.28,24,0.33,11,0.15,15,0.21,20,0.28,15,0.21,21,0.3,19,0.27,20,0.28,21,0.3,15,0.21,16,0.23,15,0.21,16,0.23,19,0.27,15,0.22
山口県,459,10.67,13,0.29,14,0.31,16,0.36,12,0.27,12,0.27,10,0.22,16,0.36,11,0.24,15,0.33,17,0.38,12,0.27,12,0.27,11,0.24,23,0.51,27,0.63,15,0.35,22,0.51,10,0.23,21,0.49,17,0.4,17,0.4,16,0.37,16,0.37,19,0.44,12,0.28,9,0.21,17,0.4,12,0.28,13,0.3,13,0.3,9,0.21
徳島県,219,9.52,11,0.48,4,0.17,9,0.39,6,0.26,5,0.22,5,0.22,7,0.3,4,0.17,5,0.22,9,0.39,8,0.35,5,0.22,6,0.26,4,0.17,7,0.3,11,0.48,10,0.43,7,0.3,11,0.48,8,0.35,7,0.3,7,0.3,7,0.3,6,0.26,9,0.39,8,0.35,7,0.3,9,0.39,5,0.22,9,0.39,3,0.13
香川県,312,11.14,3,0.11,8,0.29,8,0.29,12,0.43,4,0.14,6,0.21,9,0.32,14,0.5,5,0.18,12,0.43,7,0.25,5,0.18,8,0.29,10,0.36,15,0.54,14,0.5,14,0.5,10,0.36,19,0.68,15,0.54,14,0.5,9,0.32,7,0.25,10,0.36,14,0.5,17,0.61,4,0.14,8,0.29,13,0.46,8,0.29,10,0.36
愛媛県,501,13.92,12,0.32,12,0.32,17,0.46,15,0.41,13,0.35,17,0.46,19,0.51,11,0.3,9,0.24,20,0.54,21,0.57,14,0.38,19,0.53,10,0.27,16,0.43,18,0.49,22,0.59,22,0.59,20,0.54,20,0.54,15,0.41,25,0.68,11,0.3,13,0.35,10,0.27,13,0.35,18,0.49,23,0.62,20,0.54,15,0.41,11,0.3
高知県,218,8.38,10,0.37,3,0.11,8,0.3,10,0.37,7,0.26,5,0.19,5,0.19,5,0.19,4,0.15,3,0.11,7,0.26,6,0.22,8,0.3,3,0.11,3,0.11,8,0.3,6,0.22,7,0.26,9,0.35,14,0.54,12,0.46,4,0.15,9,0.35,8,0.31,8,0.31,9,0.35,5,0.19,11,0.42,2,0.08,7,0.27,12,0.46
福岡県,1474,12.28,32,0.27,40,0.33,42,0.35,39,0.33,35,0.29,47,0.39,46,0.38,45,0.38,42,0.35,38,0.32,43,0.36,43,0.36,44,0.37,41,0.34,54,0.45,63,0.53,56,0.47,40,0.33,69,0.58,54,0.45,61,0.51,64,0.53,50,0.42,62,0.52,72,0.6,47,0.39,41,0.34,42,0.35,38,0.32,50,0.42,34,0.28
佐賀県,373,16.22,11,0.48,12,0.52,12,0.52,5,0.22,6,0.26,8,0.35,10,0.43,18,0.78,12,0.52,8,0.35,20,0.87,7,0.3,10,0.43,11,0.48,14,0.61,6,0.26,14,0.61,5,0.22,11,0.48,10,0.43,16,0.7,12,0.52,17,0.74,17,0.74,23,1,17,0.74,20,0.87,10,0.43,8,0.35,10,0.43,13,0.57
長崎県,395,8.98,9,0.2,11,0.25,13,0.3,5,0.11,9,0.2,10,0.23,13,0.3,10,0.23,10,0.23,9,0.2,14,0.32,8,0.18,9,0.2,15,0.34,16,0.36,20,0.45,15,0.34,15,0.34,16,0.36,9,0.2,18,0.41,22,0.5,21,0.48,14,0.32,9,0.2,15,0.34,9,0.2,19,0.43,12,0.27,11,0.25,9,0.2
熊本県,728,14.86,18,0.36,22,0.44,21,0.42,26,0.52,23,0.46,14,0.28,22,0.44,17,0.34,19,0.38,23,0.46,26,0.52,13,0.27,16,0.33,24,0.5,24,0.51,20,0.42,28,0.57,21,0.42,26,0.52,42,0.84,29,0.58,31,0.63,32,0.64,31,0.62,19,0.38,24,0.48,31,0.63,21,0.42,30,0.6,21,0.42,14,0.28
大分県,503,13.97,9,0.25,8,0.22,12,0.33,15,0.42,15,0.42,23,0.64,12,0.33,10,0.28,12,0.33,13,0.36,15,0.42,18,0.5,16,0.44,12,0.33,14,0.39,24,0.67,13,0.36,13,0.36,19,0.53,18,0.5,23,0.64,18,0.5,17,0.47,22,0.61,22,0.61,17,0.47,12,0.33,23,0.64,21,0.58,21,0.58,16,0.44
宮崎県,555,15.86,10,0.28,16,0.44,12,0.34,18,0.5,17,0.47,11,0.31,12,0.33,7,0.19,13,0.36,16,0.44,16,0.44,14,0.39,21,0.58,17,0.47,15,0.42,21,0.58,19,0.54,17,0.47,23,0.64,10,0.28,27,0.75,24,0.67,25,0.69,29,0.81,26,0.72,26,0.72,13,0.36,22,0.61,13,0.36,15,0.42,30,0.83
鹿児島県,513,9.68,10,0.19,18,0.33,15,0.28,12,0.22,17,0.31,19,0.35,16,0.3,13,0.24,14,0.26,18,0.33,16,0.3,16,0.3,14,0.27,12,0.23,17,0.32,17,0.32,15,0.28,15,0.28,16,0.3,23,0.43,21,0.4,29,0.55,22,0.42,24,0.45,18,0.34,9,0.17,11,0.21,16,0.3,16,0.3,15,0.28,19,0.36
沖縄県,215,6.94,7,0.21,7,0.21,4,0.12,4,0.12,4,0.12,7,0.22,4,0.13,7,0.22,7,0.22,6,0.19,2,0.06,7,0.22,10,0.3,7,0.21,6,0.19,9,0.28,11,0.34,8,0.26,14,0.45,8,0.26,14,0.45,8,0.26,8,0.26,8,0.26,5,0.16,6,0.19,7,0.23,5,0.16,3,0.1,4,0.13,8,0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週,22週,22週,23週,23週,24週,24週,25週,25週,26週,26週,27週,27週,28週,28週,29週,29週,30週,30週,31週,31週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,164032,52.21,83,0.03,138,0.04,190,0.06,170,0.05,156,0.05,126,0.04,158,0.05,153,0.05,118,0.04,154,0.05,173,0.06,187,0.06,312,0.1,322,0.1,580,0.18,871,0.28,1028,0.33,888,0.28,1038,0.33,2276,0.73,4163,1.33,5872,1.87,9451,3.02,14217,4.53,18197,5.79,20343,6.47,23036,7.33,21579,6.88,14818,4.71,13654,4.35,9581,3.06
北海道,8865,64.24,1,0.01,3,0.02,6,0.04,2,0.01,2,0.01,5,0.04,3,0.02,5,0.04,1,0.01,3,0.02,3,0.02,5,0.04,3,0.02,2,0.01,3,0.02,5,0.04,4,0.03,5,0.04,3,0.02,14,0.1,15,0.11,26,0.19,103,0.75,281,2.05,447,3.26,823,6.01,1468,10.72,1679,12.35,1318,9.62,1467,10.55,1160,8.29
青森県,2229,55.73,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,1,0.02,0,0,1,0.02,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,4,0.11,14,0.37,68,1.79,155,4.08,170,4.47,357,9.39,398,10.47,355,9.34,405,10.66,297,7.82
岩手県,3672,94.15,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,8,0.2,21,0.53,22,0.55,61,1.53,126,3.15,195,4.88,377,9.43,588,14.7,740,18.5,593,15.21,576,14.77,362,9.28
宮城県,6379,113.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.03,0,0,1,0.02,3,0.05,0,0,1,0.02,3,0.06,7,0.13,5,0.09,66,1.22,183,3.33,439,7.98,770,14,872,15.85,1276,23.2,1134,20.62,709,12.89,563,10.24,345,6.27
秋田県,1651,50.03,5,0.15,2,0.06,12,0.36,8,0.24,1,0.03,1,0.03,3,0.09,1,0.03,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,2,0.06,1,0.03,5,0.15,7,0.21,22,0.65,57,1.68,134,3.94,274,8.06,324,9.53,271,7.97,314,9.24,204,6
山形県,2612,93.29,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,4,0.14,20,0.71,60,2.14,120,4.29,212,7.57,313,11.18,382,13.64,389,13.89,612,21.86,498,17.79
福島県,2087,42.59,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,2,0.04,0,0,0,0,2,0.04,0,0,4,0.08,8,0.16,12,0.24,35,0.71,57,1.16,121,2.47,338,6.9,398,8.12,353,7.2,435,8.88,320,6.53
茨城県,2421,32.28,1,0.01,1,0.01,0,0,0,0,0,0,1,0.01,2,0.03,0,0,1,0.01,0,0,0,0,2,0.03,0,0,3,0.04,6,0.08,5,0.07,8,0.1,6,0.08,8,0.11,15,0.2,31,0.41,46,0.61,116,1.55,189,2.52,275,3.67,301,4.01,330,4.4,385,5.13,292,3.89,251,3.35,146,1.95
栃木県,2413,50.27,0,0,0,0,0,0,2,0.04,1,0.02,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,3,0.06,12,0.25,11,0.23,28,0.58,51,1.06,87,1.81,174,3.63,273,5.69,337,7.02,419,8.73,384,8,248,5.17,239,4.98,142,2.96
群馬県,3373,63.64,0,0,1,0.02,0,0,0,0,1,0.02,2,0.04,1,0.02,2,0.04,2,0.04,0,0,0,0,0,0,0,0,2,0.04,1,0.02,1,0.02,1,0.02,0,0,0,0,10,0.19,30,0.56,42,0.78,120,2.22,208,3.85,453,8.39,543,10.06,629,11.65,585,10.83,329,6.09,252,4.67,158,2.93
埼玉県,9146,56.81,0,0,1,0.01,1,0.01,2,0.01,1,0.01,1,0.01,0,0,1,0.01,0,0,2,0.01,5,0.03,1,0.01,1,0.01,5,0.03,3,0.02,8,0.05,13,0.08,8,0.05,11,0.07,66,0.4,108,0.66,183,1.12,342,2.09,749,4.57,1150,7.01,1460,8.9,1553,9.47,1368,8.6,932,5.68,705,4.3,466,2.84
千葉県,7339,56.89,0,0,1,0.01,0,0,0,0,2,0.02,1,0.01,2,0.02,2,0.02,2,0.02,0,0,1,0.01,3,0.02,1,0.01,1,0.01,9,0.07,5,0.04,7,0.05,12,0.1,26,0.2,61,0.48,157,1.22,287,2.22,490,3.83,735,5.7,904,7.06,969,7.63,1126,8.8,1092,8.74,599,4.72,534,4.2,310,2.42
東京都,14273,55.11,3,0.01,1,0,8,0.03,2,0.01,3,0.01,4,0.02,6,0.02,0,0,1,0,2,0.01,3,0.01,2,0.01,5,0.02,10,0.04,16,0.06,48,0.19,34,0.13,43,0.17,64,0.25,159,0.61,336,1.28,640,2.44,1007,3.86,1584,6.09,2015,7.75,2136,8.22,2088,8,1716,6.57,971,3.71,840,3.22,526,2.05
神奈川県,10539,46.22,4,0.02,2,0.01,9,0.04,2,0.01,3,0.01,3,0.01,2,0.01,3,0.01,0,0,2,0.01,6,0.03,0,0,2,0.01,7,0.03,8,0.04,11,0.05,20,0.09,32,0.14,27,0.12,95,0.41,232,1.01,317,1.38,679,3.03,1190,5.15,1436,6.16,1523,6.43,1615,6.9,1441,6.13,859,3.69,624,2.71,385,1.7
新潟県,3227,59.76,1,0.02,0,0,0,0,0,0,2,0.04,0,0,2,0.04,0,0,0,0,1,0.02,0,0,0,0,1,0.02,2,0.04,0,0,1,0.02,0,0,1,0.02,4,0.07,7,0.13,12,0.22,32,0.59,39,0.72,122,2.26,322,5.96,400,7.41,636,11.78,553,10.24,377,6.98,361,6.69,351,6.38
富山県,1484,51.17,1,0.03,1,0.03,1,0.03,1,0.03,0,0,1,0.03,1,0.03,2,0.07,2,0.07,0,0,0,0,2,0.07,1,0.03,1,0.03,1,0.03,5,0.17,2,0.07,5,0.17,9,0.31,23,0.79,76,2.62,136,4.69,138,4.76,151,5.21,199,6.86,194,6.69,135,4.66,123,4.24,90,3.1,93,3.21,90,3.1
石川県,1483,51.14,1,0.03,1,0.03,0,0,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,12,0.41,15,0.52,12,0.41,18,0.62,32,1.1,69,2.38,115,3.97,114,3.93,112,3.86,104,3.59,136,4.69,108,3.72,174,6,131,4.52,117,4.03,121,4.17,87,3
福井県,951,41.35,1,0.04,1,0.04,1,0.04,0,0,2,0.09,0,0,0,0,1,0.04,0,0,4,0.17,2,0.09,2,0.09,3,0.13,5,0.22,19,0.83,18,0.78,31,1.35,19,0.76,23,0.92,41,1.64,32,1.28,55,2.2,65,2.6,59,2.36,76,3.04,64,2.56,91,3.64,117,4.68,76,3.04,80,3.2,63,2.52
山梨県,947,39.46,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0,3,0.13,0,0,1,0.04,11,0.46,33,1.38,85,3.54,172,7.17,191,7.96,166,6.92,124,5.17,101,4.21,57,2.38
長野県,3539,66.77,3,0.06,2,0.04,4,0.07,6,0.11,1,0.02,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,3,0.06,2,0.04,3,0.06,15,0.28,20,0.37,37,0.69,51,0.94,97,1.8,202,3.74,424,7.85,515,9.72,639,12.06,573,10.61,530,9.81,409,7.57
岐阜県,1776,34.15,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0,2,0.04,0,0,1,0.02,2,0.04,1,0.02,0,0,2,0.04,6,0.11,14,0.26,28,0.53,68,1.28,115,2.17,182,3.43,258,4.87,290,5.47,260,4.91,219,4.13,214,4.04,112,2.11
静岡県,5667,64.4,0,0,0,0,0,0,1,0.01,0,0,2,0.02,1,0.01,0,0,0,0,0,0,0,0,1,0.01,2,0.02,2,0.02,0,0,3,0.03,2,0.02,13,0.15,16,0.18,111,1.25,182,2.04,276,3.1,478,5.37,788,8.85,901,10.12,773,8.78,760,8.54,589,6.62,362,4.07,246,2.76,158,1.78
愛知県,8052,44.24,0,0,2,0.01,0,0,0,0,0,0,0,0,0,0,1,0.01,2,0.01,3,0.02,0,0,2,0.01,7,0.04,1,0.01,1,0.01,8,0.04,16,0.09,13,0.07,28,0.15,54,0.3,147,0.81,242,1.33,499,2.74,822,4.52,1025,5.63,1185,6.51,1211,6.65,1100,6.04,700,3.85,595,3.27,388,2.13
三重県,3422,77.77,0,0,0,0,0,0,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,1,0.02,1,0.02,2,0.04,0,0,0,0,5,0.11,33,0.73,47,1.04,109,2.42,206,4.58,332,7.38,442,9.82,557,12.38,561,12.47,446,9.91,307,6.82,186,4.13,184,4.09
滋賀県,1857,53.06,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,1,0.03,0,0,6,0.17,1,0.03,2,0.06,4,0.11,5,0.14,1,0.03,8,0.22,15,0.42,56,1.56,81,2.25,159,4.42,248,6.89,278,7.72,295,8.19,261,7.25,171,4.75,113,3.14,86,2.39,63,1.75
京都府,2529,33.28,0,0,5,0.07,8,0.11,9,0.12,8,0.11,5,0.07,3,0.04,2,0.03,1,0.01,1,0.01,0,0,1,0.01,1,0.01,4,0.05,3,0.04,3,0.04,12,0.16,2,0.03,13,0.17,49,0.64,101,1.31,128,1.68,223,2.9,324,4.21,390,5.06,339,4.46,322,4.18,243,3.16,137,1.78,120,1.56,72,0.94
大阪府,9737,50.45,11,0.06,14,0.07,8,0.04,9,0.05,3,0.02,1,0.01,8,0.04,4,0.02,3,0.02,4,0.02,9,0.05,10,0.05,7,0.04,4,0.02,20,0.1,22,0.11,33,0.17,36,0.19,53,0.28,106,0.56,278,1.46,566,2.95,922,4.83,1262,6.61,1476,7.69,1382,7.12,1174,6.05,942,4.86,612,3.15,444,2.28,314,1.61
兵庫県,5584,43.63,1,0.01,6,0.05,5,0.04,4,0.03,6,0.05,5,0.04,3,0.02,6,0.05,2,0.02,5,0.04,3,0.02,2,0.02,6,0.05,11,0.09,14,0.11,34,0.26,55,0.43,67,0.53,88,0.68,136,1.05,279,2.16,349,2.71,412,3.19,568,4.4,608,4.71,661,5.12,694,5.38,572,4.43,380,2.95,344,2.67,258,2
奈良県,1477,43.44,1,0.03,1,0.03,1,0.03,1,0.03,2,0.06,0,0,0,0,2,0.06,0,0,1,0.03,1,0.03,2,0.06,1,0.03,1,0.03,1,0.03,1,0.03,6,0.18,7,0.21,10,0.29,58,1.71,75,2.21,90,2.65,138,4.06,190,5.59,183,5.38,220,6.47,197,5.79,141,4.15,60,1.76,48,1.41,38,1.12
和歌山県,1881,62.7,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,5,0.17,43,1.43,75,2.5,102,3.4,213,7.1,315,10.5,284,9.47,245,8.17,204,6.8,170,5.67,91,3.03,71,2.37,60,2
鳥取県,781,41.11,1,0.05,0,0,0,0,0,0,0,0,0,0,2,0.11,2,0.11,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.11,1,0.05,6,0.32,11,0.58,16,0.84,34,1.79,62,3.26,96,5.05,117,6.16,129,6.79,96,5.05,77,4.05,77,4.05,51,2.68
島根県,454,19.74,0,0,0,0,1,0.04,2,0.09,0,0,0,0,1,0.04,1,0.04,0,0,1,0.04,0,0,1,0.04,3,0.13,1,0.04,0,0,0,0,3,0.13,2,0.09,3,0.13,3,0.13,10,0.43,7,0.3,9,0.39,18,0.78,34,1.48,51,2.22,59,2.57,87,3.78,50,2.17,65,2.83,42,1.83
岡山県,1718,31.81,1,0.02,2,0.04,2,0.04,0,0,2,0.04,3,0.06,1,0.02,2,0.04,2,0.04,1,0.02,0,0,4,0.07,4,0.07,4,0.07,2,0.04,17,0.31,10,0.19,5,0.09,17,0.31,25,0.46,73,1.35,76,1.41,101,1.87,135,2.5,229,4.24,214,3.96,204,3.78,176,3.26,179,3.31,126,2.33,101,1.87
広島県,1927,27.14,4,0.06,4,0.06,0,0,1,0.01,1,0.01,1,0.01,2,0.03,8,0.11,4,0.06,2,0.03,2,0.03,6,0.08,9,0.13,6,0.08,14,0.19,18,0.25,44,0.61,25,0.35,28,0.39,38,0.54,61,0.86,72,1.01,85,1.2,109,1.54,139,1.96,177,2.53,256,3.66,274,3.91,215,3.07,205,2.93,117,1.7
山口県,1752,40.74,4,0.09,4,0.09,3,0.07,1,0.02,2,0.04,4,0.09,3,0.07,5,0.11,7,0.16,5,0.11,5,0.11,9,0.2,9,0.2,6,0.13,9,0.21,15,0.35,19,0.44,25,0.58,44,1.02,54,1.26,70,1.63,91,2.12,149,3.47,137,3.19,153,3.56,186,4.33,174,4.05,179,4.16,114,2.65,143,3.33,123,2.86
徳島県,958,41.65,0,0,0,0,2,0.09,2,0.09,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.09,1,0.04,11,0.48,20,0.87,54,2.35,68,2.96,110,4.78,148,6.43,142,6.17,111,4.83,82,3.57,78,3.39,54,2.35,46,2,26,1.13
香川県,1349,48.18,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,2,0.07,2,0.07,0,0,1,0.04,0,0,0,0,3,0.11,13,0.46,14,0.5,36,1.29,16,0.57,13,0.46,23,0.82,47,1.68,66,2.36,97,3.46,158,5.64,197,7.04,167,5.96,178,6.36,141,5.04,64,2.29,57,2.04,52,1.86
愛媛県,2076,57.67,3,0.08,1,0.03,0,0,0,0,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0,1,0.03,1,0.03,1,0.03,3,0.08,3,0.08,1,0.03,0,0,5,0.14,27,0.73,81,2.19,138,3.73,227,6.14,296,8,287,7.76,245,6.62,237,6.41,255,6.89,123,3.32,93,2.51,45,1.22
高知県,750,28.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.11,2,0.07,5,0.19,17,0.63,15,0.56,24,0.89,51,1.89,58,2.15,45,1.67,23,0.88,40,1.54,42,1.62,37,1.42,50,1.92,33,1.27,22,0.85,42,1.62,58,2.23,63,2.42,47,1.81,39,1.5,34,1.31
福岡県,5102,42.52,11,0.09,31,0.26,38,0.32,43,0.36,34,0.28,21,0.18,43,0.36,33,0.28,24,0.2,14,0.12,32,0.27,44,0.37,70,0.58,40,0.33,84,0.7,96,0.8,113,0.94,106,0.88,85,0.71,143,1.19,203,1.69,281,2.34,296,2.47,280,2.33,296,2.47,365,3.04,474,3.95,479,3.99,455,3.79,525,4.38,343,2.86
佐賀県,1527,66.39,1,0.04,12,0.52,10,0.43,7,0.3,6,0.26,9,0.39,10,0.43,13,0.57,8,0.35,9,0.39,19,0.83,16,0.7,25,1.09,18,0.78,28,1.22,50,2.17,80,3.48,48,2.09,82,3.57,127,5.52,103,4.48,107,4.65,115,5,85,3.7,108,4.7,104,4.52,94,4.09,80,3.48,67,2.91,44,1.91,42,1.83
長崎県,2213,50.3,1,0.02,2,0.05,4,0.09,5,0.11,5,0.11,7,0.16,7,0.16,3,0.07,0,0,7,0.16,6,0.14,8,0.18,37,0.84,46,1.05,88,2,146,3.32,146,3.32,94,2.14,65,1.48,112,2.55,204,4.64,153,3.48,168,3.82,135,3.07,120,2.73,111,2.52,127,2.89,145,3.3,103,2.34,83,1.89,75,1.7
熊本県,2680,54.69,7,0.14,17,0.34,25,0.5,25,0.5,36,0.72,23,0.46,29,0.58,18,0.36,29,0.58,52,1.04,47,0.94,35,0.71,61,1.24,70,1.46,129,2.74,132,2.75,111,2.27,70,1.4,48,0.96,89,1.78,100,2,74,1.51,104,2.08,121,2.42,104,2.08,146,2.92,169,3.45,236,4.72,172,3.44,215,4.3,186,3.72
大分県,1999,55.53,1,0.03,2,0.06,9,0.25,12,0.33,4,0.11,13,0.36,1,0.03,7,0.19,4,0.11,7,0.19,1,0.03,4,0.11,6,0.17,4,0.11,3,0.08,9,0.25,6,0.17,13,0.36,30,0.83,61,1.69,112,3.11,122,3.39,218,6.06,214,5.94,235,6.53,234,6.5,204,5.67,164,4.56,110,3.06,115,3.19,74,2.06
