報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,
2025年06週(02月03日～02月09日),2025年02月12日作成,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
鳥取県,17,0.89,3,0.16,5,0.26,3,0.16,1,0.05,2,0.11,3,0.16
島根県,18,0.78,0,0,4,0.17,3,0.13,5,0.22,2,0.09,4,0.17
岡山県,34,0.63,4,0.07,8,0.15,8,0.15,5,0.09,2,0.04,7,0.13
広島県,53,0.76,7,0.13,17,0.23,2,0.03,10,0.14,12,0.16,5,0.07
山口県,23,0.53,2,0.05,5,0.12,3,0.07,2,0.05,3,0.07,8,0.19
徳島県,15,0.65,1,0.04,1,0.04,0,0,6,0.26,5,0.22,2,0.09
香川県,23,0.82,2,0.07,8,0.29,4,0.14,6,0.21,1,0.04,2,0.07
愛媛県,16,0.48,3,0.13,4,0.11,1,0.03,3,0.08,2,0.06,3,0.08
高知県,22,0.88,2,0.08,5,0.2,2,0.08,10,0.4,0,0,3,0.12
福岡県,272,2.29,43,0.36,55,0.46,36,0.3,41,0.34,39,0.33,58,0.49
佐賀県,34,1.55,1,0.05,4,0.17,7,0.3,5,0.22,5,0.22,12,0.52
長崎県,77,1.75,12,0.27,18,0.41,6,0.14,16,0.36,8,0.18,17,0.39
熊本県,72,1.47,14,0.29,18,0.37,6,0.12,9,0.18,4,0.08,21,0.42
大分県,51,1.42,1,0.03,8,0.22,4,0.11,17,0.47,8,0.22,13,0.36
宮崎県,41,1.17,6,0.18,6,0.17,10,0.28,6,0.17,10,0.28,3,0.08
鹿児島県,86,1.69,14,0.27,15,0.29,11,0.22,11,0.22,11,0.22,24,0.47
沖縄県,97,3.03,11,0.34,26,0.81,12,0.38,20,0.63,11,0.34,17,0.53
,,,,,,,,,,,,,,
手足口病,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2030,0.67,233,0.09,517,0.17,356,0.11,372,0.12,316,0.1,236,0.08
北海道,200,1.54,25,0.24,46,0.34,35,0.26,26,0.19,41,0.3,27,0.2
青森県,46,1.28,1,0.03,9,0.24,3,0.08,9,0.24,11,0.3,13,0.35
岩手県,65,1.67,11,0.28,16,0.41,8,0.21,10,0.26,12,0.31,8,0.21
宮城県,57,1.04,2,0.04,18,0.33,8,0.15,3,0.05,10,0.18,16,0.29
秋田県,41,1.37,5,0.33,9,0.26,7,0.21,11,0.32,8,0.24,1,0.03
山形県,99,3.96,7,0.39,17,0.63,21,0.78,18,0.67,22,0.81,14,0.54
福島県,32,0.67,6,0.12,11,0.22,6,0.12,3,0.06,3,0.06,3,0.06
茨城県,29,0.4,13,0.21,8,0.11,2,0.03,5,0.07,0,0,1,0.01
栃木県,46,1.02,10,0.3,8,0.17,6,0.13,12,0.25,8,0.17,2,0.04
群馬県,37,0.74,2,0.06,8,0.15,5,0.09,5,0.09,12,0.23,5,0.09
埼玉県,119,0.79,11,0.12,44,0.27,16,0.1,21,0.13,19,0.12,8,0.05
千葉県,59,0.48,8,0.08,17,0.13,11,0.09,9,0.07,4,0.03,10,0.08
東京都,111,0.44,11,0.05,35,0.13,19,0.07,21,0.08,14,0.05,11,0.04
神奈川県,109,0.51,11,0.07,26,0.11,24,0.11,26,0.11,10,0.04,12,0.05
新潟県,51,0.93,4,0.07,19,0.35,12,0.22,8,0.15,6,0.11,2,0.04
富山県,4,0.14,0,0,2,0.07,2,0.07,0,0,0,0,0,0
石川県,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0
福井県,21,0.84,0,0,6,0.24,3,0.12,4,0.16,1,0.04,7,0.28
山梨県,15,0.63,2,0.08,6,0.25,2,0.08,5,0.21,0,0,0,0
長野県,73,1.43,8,0.2,22,0.41,16,0.3,15,0.28,9,0.17,3,0.06
岐阜県,8,0.15,0,0,1,0.02,4,0.08,2,0.04,0,0,1,0.02
静岡県,9,0.1,0,0,3,0.03,1,0.01,1,0.01,2,0.02,2,0.02
愛知県,25,0.14,0,0,9,0.05,3,0.02,6,0.03,4,0.02,3,0.02
三重県,6,0.14,1,0.03,2,0.04,0,0,0,0,2,0.04,1,0.02
滋賀県,7,0.21,1,0.04,3,0.08,1,0.03,2,0.06,0,0,0,0
京都府,26,0.36,0,0,5,0.07,2,0.03,5,0.07,6,0.08,8,0.11
大阪府,100,0.52,6,0.03,26,0.13,15,0.08,20,0.1,20,0.1,13,0.07
兵庫県,56,0.45,3,0.03,12,0.09,14,0.11,16,0.13,6,0.05,5,0.04
奈良県,13,0.43,0,0,5,0.15,2,0.06,1,0.03,2,0.06,3,0.09
和歌山県,16,0.57,2,0.07,5,0.17,4,0.14,2,0.07,2,0.07,1,0.03
鳥取県,10,0.53,1,0.05,1,0.05,3,0.16,2,0.11,3,0.16,0,0
島根県,13,0.57,0,0,2,0.09,1,0.04,3,0.13,6,0.26,1,0.04
岡山県,21,0.39,4,0.07,5,0.09,1,0.02,4,0.07,2,0.04,5,0.09
広島県,35,0.5,4,0.08,3,0.04,15,0.2,4,0.05,4,0.05,5,0.07
山口県,14,0.33,4,0.09,4,0.09,2,0.05,2,0.05,2,0.05,0,0
徳島県,41,1.78,0,0,8,0.35,10,0.43,14,0.61,7,0.3,2,0.09
香川県,14,0.5,5,0.18,3,0.11,0,0,1,0.04,5,0.18,0,0
愛媛県,18,0.55,0,0,9,0.25,2,0.06,2,0.06,3,0.08,2,0.06
高知県,30,1.2,2,0.08,8,0.32,9,0.36,6,0.24,3,0.12,2,0.08
福岡県,64,0.54,6,0.05,12,0.1,16,0.13,11,0.09,14,0.12,5,0.04
佐賀県,24,1.09,1,0.05,3,0.13,2,0.09,8,0.35,2,0.09,8,0.35
長崎県,42,0.95,6,0.14,10,0.23,10,0.23,7,0.16,4,0.09,5,0.11
熊本県,49,1,9,0.18,16,0.33,6,0.12,10,0.2,5,0.1,3,0.06
大分県,38,1.06,11,0.31,6,0.17,3,0.08,9,0.25,2,0.06,7,0.19
宮崎県,34,0.97,1,0.03,4,0.11,8,0.22,9,0.25,8,0.22,4,0.11
鹿児島県,78,1.53,26,0.51,23,0.45,10,0.2,8,0.16,8,0.16,3,0.06
沖縄県,24,0.75,3,0.09,2,0.06,5,0.16,6,0.19,4,0.13,4,0.13
,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,14360,4.71,429,0.16,2934,0.94,2981,0.95,3074,0.98,2838,0.91,2104,0.67
北海道,394,3.03,6,0.06,65,0.48,80,0.59,86,0.63,90,0.66,67,0.5
青森県,597,16.58,12,0.38,131,3.54,110,2.97,127,3.43,143,3.86,74,2
岩手県,205,5.26,10,0.26,41,1.05,39,1,51,1.31,38,0.97,26,0.67
宮城県,493,8.96,19,0.35,104,1.89,98,1.78,101,1.84,92,1.67,79,1.44
秋田県,23,0.77,0,0,1,0.03,4,0.12,5,0.15,5,0.15,8,0.24
山形県,129,5.16,7,0.39,16,0.59,25,0.93,28,1.04,37,1.37,16,0.62
福島県,602,12.54,11,0.22,111,2.27,119,2.43,128,2.61,136,2.83,97,2.02
茨城県,289,4.01,6,0.1,61,0.81,56,0.75,50,0.67,62,0.84,54,0.72
栃木県,508,11.29,14,0.42,98,2.04,98,2.04,131,2.73,98,2.04,69,1.44
群馬県,197,3.94,8,0.23,36,0.68,35,0.66,46,0.87,41,0.77,31,0.58
埼玉県,2209,14.63,71,0.79,464,2.83,502,3.06,466,2.84,403,2.46,303,1.86
千葉県,1612,13,44,0.42,346,2.7,333,2.6,338,2.64,338,2.64,213,1.66
東京都,2770,10.95,77,0.38,640,2.43,610,2.32,599,2.28,470,1.79,374,1.42
神奈川県,1741,8.1,52,0.35,364,1.58,356,1.57,365,1.59,350,1.54,254,1.11
新潟県,227,4.13,4,0.07,46,0.84,43,0.78,50,0.91,47,0.85,37,0.67
富山県,76,2.71,1,0.04,3,0.1,17,0.59,19,0.66,15,0.52,21,0.72
石川県,53,1.83,2,0.07,14,0.48,9,0.31,9,0.31,8,0.28,11,0.38
福井県,22,0.88,1,0.04,0,0,5,0.2,7,0.28,3,0.12,6,0.24
山梨県,63,2.63,5,0.21,7,0.29,12,0.5,12,0.5,17,0.71,10,0.42
長野県,278,5.45,15,0.38,49,0.91,63,1.17,63,1.17,51,0.94,37,0.7
岐阜県,25,0.47,1,0.02,4,0.08,7,0.13,8,0.15,4,0.08,1,0.02
静岡県,194,2.18,5,0.06,34,0.38,45,0.51,39,0.44,32,0.36,39,0.44
愛知県,116,0.64,2,0.01,20,0.11,20,0.11,29,0.16,24,0.13,21,0.12
三重県,35,0.81,2,0.06,7,0.16,4,0.09,5,0.11,13,0.29,4,0.09
滋賀県,51,1.5,0,0,11,0.31,13,0.36,8,0.22,14,0.39,5,0.14
京都府,227,3.11,6,0.09,39,0.52,55,0.73,37,0.5,48,0.64,42,0.56
大阪府,177,0.92,2,0.01,26,0.13,33,0.17,42,0.22,45,0.23,29,0.15
兵庫県,169,1.36,3,0.03,32,0.25,34,0.27,35,0.27,45,0.35,20,0.16
奈良県,53,1.77,0,0,7,0.21,12,0.35,10,0.29,9,0.26,15,0.44
和歌山県,12,0.43,2,0.07,1,0.03,1,0.03,4,0.14,1,0.03,3,0.1
鳥取県,48,2.53,4,0.21,10,0.53,15,0.79,9,0.47,8,0.42,2,0.11
島根県,19,0.83,0,0,2,0.09,4,0.17,3,0.13,7,0.3,3,0.13
岡山県,16,0.3,2,0.04,4,0.07,4,0.07,3,0.06,2,0.04,1,0.02
広島県,40,0.57,1,0.02,9,0.12,3,0.04,11,0.15,9,0.12,7,0.09
山口県,48,1.12,4,0.09,11,0.26,9,0.21,8,0.19,8,0.19,8,0.19
徳島県,18,0.78,1,0.04,6,0.26,3,0.13,5,0.22,0,0,3,0.13
香川県,12,0.43,2,0.07,3,0.11,4,0.14,2,0.07,0,0,1,0.04
愛媛県,26,0.79,0,0,2,0.06,4,0.11,6,0.17,8,0.22,6,0.17
高知県,140,5.6,5,0.2,23,0.92,18,0.72,38,1.52,27,1.08,29,1.16
福岡県,116,0.97,8,0.07,24,0.2,18,0.15,24,0.2,25,0.21,17,0.14
佐賀県,11,0.5,0,0,3,0.13,0,0,3,0.13,3,0.13,2,0.09
長崎県,79,1.8,4,0.09,12,0.27,21,0.48,14,0.32,15,0.34,13,0.3
熊本県,44,0.9,3,0.06,8,0.16,7,0.14,10,0.2,9,0.18,7,0.14
大分県,18,0.5,0,0,7,0.19,1,0.03,4,0.11,5,0.14,1,0.03
宮崎県,93,2.66,5,0.15,17,0.47,15,0.42,16,0.44,21,0.58,19,0.53
鹿児島県,22,0.43,1,0.02,4,0.08,5,0.1,4,0.08,0,0,8,0.16
沖縄県,63,1.97,1,0.03,11,0.34,12,0.38,16,0.5,12,0.38,11,0.34
,,,,,,,,,,,,,,
突発性発しん,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3217,1.05,139,0.05,635,0.2,579,0.19,623,0.2,619,0.2,622,0.2
北海道,108,0.83,2,0.02,19,0.14,24,0.18,23,0.17,20,0.15,20,0.15
青森県,51,1.42,1,0.03,6,0.16,12,0.32,12,0.32,12,0.32,8,0.22
岩手県,49,1.26,2,0.05,6,0.15,7,0.18,8,0.21,13,0.33,13,0.33
宮城県,55,1,5,0.09,12,0.22,12,0.22,10,0.18,8,0.15,8,0.15
秋田県,19,0.63,0,0,3,0.09,2,0.06,2,0.06,5,0.15,7,0.21
山形県,39,1.56,3,0.17,9,0.33,8,0.3,9,0.33,7,0.26,3,0.12
福島県,66,1.38,3,0.06,16,0.33,6,0.12,14,0.29,14,0.29,13,0.27
茨城県,45,0.63,4,0.07,8,0.11,8,0.11,10,0.13,6,0.08,9,0.12
栃木県,71,1.58,6,0.18,13,0.27,14,0.29,11,0.23,17,0.35,10,0.21
群馬県,59,1.18,3,0.09,9,0.17,9,0.17,14,0.26,14,0.26,10,0.19
埼玉県,168,1.11,6,0.07,25,0.15,32,0.2,41,0.25,37,0.23,27,0.17
千葉県,111,0.9,4,0.04,27,0.21,19,0.15,17,0.13,15,0.12,29,0.23
東京都,281,1.11,9,0.04,58,0.22,53,0.2,60,0.23,50,0.19,51,0.19
神奈川県,190,0.88,4,0.03,32,0.14,38,0.17,38,0.17,43,0.19,35,0.15
新潟県,55,1,3,0.05,11,0.2,12,0.22,11,0.2,9,0.16,9,0.16
富山県,36,1.29,2,0.07,8,0.28,6,0.21,12,0.41,5,0.17,3,0.1
石川県,29,1,1,0.03,4,0.14,5,0.17,8,0.28,8,0.28,3,0.1
福井県,23,0.92,1,0.04,4,0.16,4,0.16,4,0.16,6,0.24,4,0.16
山梨県,11,0.46,0,0,1,0.04,2,0.08,3,0.13,2,0.08,3,0.13
長野県,47,0.92,2,0.05,9,0.17,9,0.17,6,0.11,12,0.22,9,0.17
岐阜県,57,1.08,4,0.08,17,0.32,7,0.13,9,0.17,11,0.21,9,0.17
静岡県,78,0.88,3,0.03,16,0.18,18,0.2,15,0.17,9,0.1,17,0.19
愛知県,87,0.48,3,0.02,16,0.09,20,0.11,17,0.09,15,0.08,16,0.09
三重県,54,1.26,2,0.06,15,0.33,12,0.27,11,0.24,5,0.11,9,0.2
滋賀県,16,0.47,0,0,7,0.19,1,0.03,2,0.06,3,0.08,3,0.08
京都府,52,0.71,0,0,11,0.15,13,0.17,10,0.14,7,0.09,11,0.15
大阪府,188,0.97,6,0.03,36,0.19,31,0.16,36,0.19,36,0.19,43,0.22
兵庫県,110,0.89,5,0.05,23,0.18,15,0.12,21,0.16,19,0.15,27,0.21
奈良県,33,1.1,0,0,8,0.24,5,0.15,5,0.15,6,0.18,9,0.26
和歌山県,30,1.07,1,0.04,8,0.28,3,0.1,6,0.21,5,0.17,7,0.24
鳥取県,15,0.79,0,0,3,0.16,2,0.11,4,0.21,2,0.11,4,0.21
島根県,39,1.7,2,0.09,6,0.26,6,0.26,8,0.35,11,0.48,6,0.26
岡山県,61,1.13,7,0.13,14,0.26,12,0.22,9,0.17,7,0.13,12,0.22
広島県,57,0.81,1,0.02,14,0.19,12,0.16,9,0.12,13,0.18,8,0.11
山口県,70,1.63,4,0.09,16,0.37,13,0.3,13,0.3,12,0.28,12,0.28
徳島県,23,1,2,0.09,5,0.22,2,0.09,5,0.22,6,0.26,3,0.13
香川県,33,1.18,3,0.11,7,0.25,4,0.14,9,0.32,6,0.21,4,0.14
愛媛県,53,1.61,2,0.09,12,0.33,11,0.31,9,0.25,10,0.28,9,0.25
高知県,21,0.84,1,0.04,6,0.24,4,0.16,3,0.12,3,0.12,4,0.16
福岡県,183,1.54,8,0.07,32,0.27,35,0.29,29,0.24,46,0.39,33,0.28
佐賀県,42,1.91,5,0.24,10,0.43,3,0.13,6,0.26,9,0.39,9,0.39
長崎県,51,1.16,3,0.07,6,0.14,10,0.23,10,0.23,7,0.16,15,0.34
熊本県,105,2.14,4,0.08,19,0.39,13,0.27,14,0.29,25,0.5,30,0.6
大分県,80,2.22,4,0.11,13,0.36,20,0.56,19,0.53,15,0.42,9,0.25
宮崎県,68,1.94,4,0.12,15,0.42,13,0.36,12,0.33,9,0.25,15,0.42
鹿児島県,64,1.25,1,0.02,11,0.22,8,0.16,16,0.31,13,0.25,15,0.29
沖縄県,34,1.06,3,0.09,9,0.28,4,0.13,3,0.09,6,0.19,9,0.28
,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,163,0.05,10,0,30,0.01,29,0.01,28,0.01,34,0.01,32,0.01
北海道,14,0.11,0,0,6,0.04,3,0.02,1,0.01,2,0.01,2,0.01
青森県,3,0.08,0,0,1,0.03,0,0,0,0,1,0.03,1,0.03
岩手県,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
宮城県,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0
秋田県,3,0.1,0,0,0,0,0,0,1,0.03,2,0.06,0,0
山形県,2,0.08,0,0,1,0.04,0,0,0,0,0,0,1,0.04
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,6,0.08,2,0.03,0,0,0,0,1,0.01,1,0.01,2,0.03
栃木県,3,0.07,0,0,0,0,0,0,2,0.04,0,0,1,0.02
群馬県,3,0.06,0,0,0,0,0,0,1,0.02,1,0.02,1,0.02
埼玉県,12,0.08,1,0.01,0,0,3,0.02,3,0.02,2,0.01,3,0.02
千葉県,4,0.03,0,0,1,0.01,2,0.02,0,0,1,0.01,0,0
東京都,11,0.04,0,0,3,0.01,3,0.01,2,0.01,2,0.01,1,0
神奈川県,10,0.05,0,0,3,0.01,0,0,1,0,3,0.01,3,0.01
新潟県,3,0.05,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0
富山県,7,0.25,1,0.04,0,0,1,0.03,2,0.07,2,0.07,1,0.03
石川県,5,0.17,0,0,1,0.03,0,0,1,0.03,2,0.07,1,0.03
福井県,4,0.16,1,0.04,1,0.04,0,0,1,0.04,1,0.04,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,5,0.1,0,0,0,0,2,0.04,0,0,0,0,3,0.06
岐阜県,1,0.02,0,0,0,0,1,0.02,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,3,0.02,0,0,2,0.01,1,0.01,0,0,0,0,0,0
三重県,2,0.05,0,0,2,0.04,0,0,0,0,0,0,0,0
滋賀県,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0
京都府,2,0.03,0,0,0,0,1,0.01,1,0.01,0,0,0,0
大阪府,7,0.04,0,0,1,0.01,4,0.02,0,0,1,0.01,1,0.01
兵庫県,4,0.03,0,0,0,0,0,0,3,0.02,0,0,1,0.01
奈良県,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,5,0.09,1,0.02,1,0.02,1,0.02,1,0.02,1,0.02,0,0
広島県,2,0.03,0,0,0,0,2,0.03,0,0,0,0,0,0
山口県,3,0.07,0,0,0,0,1,0.02,1,0.02,0,0,1,0.02
徳島県,2,0.09,0,0,0,0,0,0,1,0.04,1,0.04,0,0
香川県,4,0.14,0,0,2,0.07,0,0,1,0.04,0,0,1,0.04
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0
福岡県,7,0.06,1,0.01,0,0,2,0.02,1,0.01,1,0.01,2,0.02
佐賀県,3,0.14,0,0,0,0,2,0.09,1,0.04,0,0,0,0
長崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,7,0.14,0,0,2,0.04,0,0,1,0.02,3,0.06,1,0.02
大分県,5,0.14,0,0,0,0,0,0,0,0,3,0.08,2,0.06
宮崎県,2,0.06,0,0,0,0,0,0,0,0,0,0,2,0.06
鹿児島県,2,0.04,1,0.02,0,0,0,0,0,0,1,0.02,0,0
沖縄県,2,0.06,1,0.03,0,0,0,0,0,0,1,0.03,0,0
,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,494,0.16,38,0.01,84,0.03,96,0.03,90,0.03,96,0.03,90,0.03
北海道,20,0.15,3,0.03,3,0.02,4,0.03,4,0.03,3,0.02,3,0.02
青森県,6,0.17,0,0,0,0,1,0.03,2,0.05,1,0.03,2,0.05
岩手県,8,0.21,2,0.05,1,0.03,0,0,1,0.03,2,0.05,2,0.05
宮城県,15,0.27,1,0.02,1,0.02,8,0.15,2,0.04,2,0.04,1,0.02
秋田県,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0
山形県,2,0.08,0,0,0,0,1,0.04,0,0,0,0,1,0.04
福島県,7,0.15,0,0,0,0,4,0.08,0,0,0,0,3,0.06
茨城県,5,0.07,3,0.05,2,0.03,0,0,0,0,0,0,0,0
栃木県,6,0.13,1,0.03,0,0,1,0.02,3,0.06,1,0.02,0,0
群馬県,12,0.24,0,0,1,0.02,5,0.09,1,0.02,2,0.04,3,0.06
埼玉県,40,0.26,2,0.02,9,0.05,10,0.06,6,0.04,8,0.05,5,0.03
千葉県,27,0.22,1,0.01,6,0.05,3,0.02,4,0.03,9,0.07,4,0.03
東京都,48,0.19,2,0.01,10,0.04,7,0.03,11,0.04,7,0.03,11,0.04
神奈川県,54,0.25,0,0,8,0.03,6,0.03,7,0.03,16,0.07,17,0.07
新潟県,11,0.2,2,0.04,4,0.07,1,0.02,0,0,2,0.04,2,0.04
富山県,6,0.21,2,0.07,2,0.07,2,0.07,0,0,0,0,0,0
石川県,4,0.14,0,0,0,0,1,0.03,0,0,2,0.07,1,0.03
福井県,5,0.2,0,0,0,0,2,0.08,0,0,2,0.08,1,0.04
山梨県,6,0.25,0,0,2,0.08,1,0.04,3,0.13,0,0,0,0
長野県,2,0.04,0,0,0,0,1,0.02,0,0,0,0,1,0.02
岐阜県,6,0.11,1,0.02,1,0.02,1,0.02,2,0.04,0,0,1,0.02
静岡県,13,0.15,0,0,4,0.04,1,0.01,3,0.03,3,0.03,2,0.02
愛知県,22,0.12,0,0,3,0.02,4,0.02,8,0.04,5,0.03,2,0.01
三重県,4,0.09,0,0,1,0.02,0,0,1,0.02,1,0.02,1,0.02
滋賀県,9,0.26,2,0.08,1,0.03,2,0.06,3,0.08,0,0,1,0.03
京都府,7,0.1,0,0,1,0.01,2,0.03,1,0.01,1,0.01,2,0.03
大阪府,28,0.15,5,0.03,5,0.03,7,0.04,3,0.02,8,0.04,0,0
兵庫県,19,0.15,0,0,6,0.05,4,0.03,4,0.03,1,0.01,4,0.03
奈良県,3,0.1,1,0.1,0,0,1,0.03,1,0.03,0,0,0,0
和歌山県,2,0.07,1,0.04,0,0,0,0,1,0.03,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04
岡山県,17,0.31,1,0.02,5,0.09,2,0.04,1,0.02,5,0.09,3,0.06
広島県,8,0.11,0,0,0,0,3,0.04,2,0.03,1,0.01,2,0.03
山口県,2,0.05,0,0,0,0,0,0,0,0,1,0.02,1,0.02
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,3,0.11,0,0,0,0,0,0,1,0.04,0,0,2,0.07
愛媛県,5,0.15,0,0,1,0.03,0,0,1,0.03,1,0.03,2,0.06
高知県,3,0.12,0,0,2,0.08,0,0,1,0.04,0,0,0,0
福岡県,16,0.13,4,0.03,0,0,0,0,5,0.04,4,0.03,3,0.03
佐賀県,2,0.09,0,0,0,0,1,0.04,1,0.04,0,0,0,0
長崎県,8,0.18,2,0.05,1,0.02,2,0.05,1,0.02,0,0,2,0.05
熊本県,5,0.1,0,0,0,0,2,0.04,2,0.04,1,0.02,0,0
大分県,10,0.28,2,0.06,2,0.06,2,0.06,2,0.06,1,0.03,1,0.03
宮崎県,6,0.17,0,0,1,0.03,2,0.06,0,0,2,0.06,1,0.03
鹿児島県,2,0.04,0,0,1,0.02,1,0.02,0,0,0,0,0,0
沖縄県,8,0.25,0,0,0,0,0,0,2,0.06,4,0.13,2,0.06
,,,,,,,,,,,,,,
急性出血性結膜炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,183,0.27,9,0.02,47,0.07,34,0.05,28,0.04,32,0.05,33,0.05
北海道,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,4,0.67,1,0.33,0,0,3,0.43,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,1,0.06,0,0,0,0,1,0.06,0,0,0,0,0,0
栃木県,2,0.18,0,0,2,0.17,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,57,1.5,2,0.11,17,0.4,13,0.31,9,0.21,7,0.17,9,0.21
千葉県,5,0.15,0,0,4,0.12,0,0,0,0,1,0.03,0,0
東京都,3,0.08,0,0,2,0.05,0,0,0,0,1,0.03,0,0
神奈川県,2,0.04,0,0,1,0.02,0,0,1,0.02,0,0,0,0
新潟県,11,1.1,2,0.2,2,0.2,2,0.2,3,0.3,2,0.2,0,0
富山県,4,0.67,0,0,2,0.29,2,0.29,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,1,0.09,0,0,1,0.09,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,9,0.26,0,0,1,0.03,2,0.06,3,0.09,2,0.06,1,0.03
三重県,1,0.1,0,0,1,0.08,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,1,0.06,0,0,0,0,0,0,1,0.06,0,0,0,0
大阪府,15,0.29,0,0,6,0.12,3,0.06,0,0,1,0.02,5,0.1
兵庫県,13,0.39,0,0,2,0.06,0,0,5,0.14,4,0.11,2,0.06
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,5,1.67,0,0,2,0.5,3,0.75,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,2,0.17,1,0.08,0,0,0,0,0,0,0,0,1,0.08
広島県,3,0.18,0,0,1,0.05,0,0,1,0.05,0,0,1,0.05
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,5,1.67,0,0,1,0.25,1,0.25,0,0,2,0.5,1,0.25
香川県,3,0.6,0,0,0,0,0,0,0,0,2,0.4,1,0.2
愛媛県,1,0.14,1,0.17,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,4,0.15,0,0,0,0,1,0.04,1,0.04,1,0.04,1,0.04
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,18,2.25,1,0.13,1,0.13,3,0.38,3,0.38,8,1,2,0.25
熊本県,7,0.78,0,0,0,0,0,0,1,0.11,0,0,6,0.67
大分県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
