報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,
2025年03週(01月13日～01月19日),2025年01月22日作成,,,,,,,
インフルエンザ,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
福井県,2,0.08,1,0.04,1,0.04,0,0
山梨県,0,0,0,0,0,0,0,0
長野県,2,0.04,0,0,0,0,2,0.04
岐阜県,1,0.02,0,0,0,0,1,0.02
静岡県,0,0,0,0,0,0,0,0
愛知県,3,0.02,0,0,2,0.01,1,0.01
三重県,2,0.05,0,0,2,0.04,0,0
滋賀県,1,0.03,0,0,1,0.03,0,0
京都府,1,0.01,0,0,0,0,1,0.01
大阪府,5,0.03,0,0,1,0.01,4,0.02
兵庫県,0,0,0,0,0,0,0,0
奈良県,1,0.04,0,0,1,0.03,0,0
和歌山県,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0
岡山県,3,0.06,1,0.02,1,0.02,1,0.02
広島県,2,0.03,0,0,0,0,2,0.03
山口県,1,0.02,0,0,0,0,1,0.02
徳島県,0,0,0,0,0,0,0,0
香川県,2,0.07,0,0,2,0.07,0,0
愛媛県,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0
福岡県,3,0.03,1,0.01,0,0,2,0.02
佐賀県,2,0.09,0,0,0,0,2,0.09
長崎県,0,0,0,0,0,0,0,0
熊本県,2,0.04,0,0,2,0.04,0,0
大分県,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0
鹿児島県,1,0.02,1,0.02,0,0,0,0
沖縄県,1,0.03,1,0.03,0,0,0,0
,,,,,,,,
流行性耳下腺炎,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,218,0.07,38,0.01,84,0.03,96,0.03
北海道,10,0.08,3,0.03,3,0.02,4,0.03
青森県,1,0.03,0,0,0,0,1,0.03
岩手県,3,0.08,2,0.05,1,0.03,0,0
宮城県,10,0.18,1,0.02,1,0.02,8,0.15
秋田県,1,0.04,0,0,0,0,1,0.03
山形県,1,0.04,0,0,0,0,1,0.04
福島県,4,0.08,0,0,0,0,4,0.08
茨城県,5,0.07,3,0.05,2,0.03,0,0
栃木県,2,0.05,1,0.03,0,0,1,0.02
群馬県,6,0.13,0,0,1,0.02,5,0.09
埼玉県,21,0.15,2,0.02,9,0.05,10,0.06
千葉県,10,0.08,1,0.01,6,0.05,3,0.02
東京都,19,0.08,2,0.01,10,0.04,7,0.03
神奈川県,14,0.07,0,0,8,0.03,6,0.03
新潟県,7,0.13,2,0.04,4,0.07,1,0.02
富山県,6,0.21,2,0.07,2,0.07,2,0.07
石川県,1,0.03,0,0,0,0,1,0.03
福井県,2,0.08,0,0,0,0,2,0.08
山梨県,3,0.13,0,0,2,0.08,1,0.04
長野県,1,0.02,0,0,0,0,1,0.02
岐阜県,3,0.06,1,0.02,1,0.02,1,0.02
静岡県,5,0.06,0,0,4,0.04,1,0.01
愛知県,7,0.04,0,0,3,0.02,4,0.02
三重県,1,0.02,0,0,1,0.02,0,0
滋賀県,5,0.16,2,0.08,1,0.03,2,0.06
京都府,3,0.04,0,0,1,0.01,2,0.03
大阪府,17,0.09,5,0.03,5,0.03,7,0.04
兵庫県,10,0.08,0,0,6,0.05,4,0.03
奈良県,2,0.08,1,0.1,0,0,1,0.03
和歌山県,1,0.04,1,0.04,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0
岡山県,8,0.15,1,0.02,5,0.09,2,0.04
広島県,3,0.04,0,0,0,0,3,0.04
山口県,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0
愛媛県,1,0.03,0,0,1,0.03,0,0
高知県,2,0.08,0,0,2,0.08,0,0
福岡県,4,0.03,4,0.03,0,0,0,0
佐賀県,1,0.05,0,0,0,0,1,0.04
長崎県,5,0.11,2,0.05,1,0.02,2,0.05
熊本県,2,0.04,0,0,0,0,2,0.04
大分県,6,0.17,2,0.06,2,0.06,2,0.06
宮崎県,3,0.09,0,0,1,0.03,2,0.06
鹿児島県,2,0.04,0,0,1,0.02,1,0.02
沖縄県,0,0,0,0,0,0,0,0
,,,,,,,,
急性出血性結膜炎,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,90,0.14,9,0.02,47,0.07,34,0.05
北海道,1,0.04,1,0.04,0,0,0,0
青森県,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0
秋田県,4,0.8,1,0.33,0,0,3,0.43
山形県,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0
茨城県,1,0.07,0,0,0,0,1,0.06
栃木県,2,0.18,0,0,2,0.17,0,0
群馬県,0,0,0,0,0,0,0,0
埼玉県,32,0.94,2,0.11,17,0.4,13,0.31
千葉県,4,0.13,0,0,4,0.12,0,0
東京都,2,0.06,0,0,2,0.05,0,0
神奈川県,1,0.02,0,0,1,0.02,0,0
新潟県,6,0.6,2,0.2,2,0.2,2,0.2
富山県,4,0.67,0,0,2,0.29,2,0.29
石川県,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0
岐阜県,1,0.09,0,0,1,0.09,0,0
静岡県,0,0,0,0,0,0,0,0
愛知県,3,0.09,0,0,1,0.03,2,0.06
三重県,1,0.1,0,0,1,0.08,0,0
滋賀県,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0
大阪府,9,0.17,0,0,6,0.12,3,0.06
兵庫県,2,0.06,0,0,2,0.06,0,0
奈良県,0,0,0,0,0,0,0,0
和歌山県,5,1.67,0,0,2,0.5,3,0.75
鳥取県,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0
岡山県,1,0.08,1,0.08,0,0,0,0
広島県,1,0.06,0,0,1,0.05,0,0
山口県,0,0,0,0,0,0,0,0
徳島県,2,0.67,0,0,1,0.25,1,0.25
香川県,0,0,0,0,0,0,0,0
愛媛県,1,0.14,1,0.17,0,0,0,0
高知県,0,0,0,0,0,0,0,0
福岡県,1,0.04,0,0,0,0,1,0.04
佐賀県,0,0,0,0,0,0,0,0
長崎県,5,0.63,1,0.13,1,0.13,3,0.38
熊本県,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0
沖縄県,1,0.11,0,0,1,0.11,0,0
,,,,,,,,
流行性角結膜炎,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,1322,2.03,125,0.22,774,1.12,423,0.61
北海道,26,0.96,3,0.13,13,0.45,10,0.34
青森県,4,0.44,0,0,2,0.2,2,0.2
岩手県,21,1.5,0,0,12,0.86,9,0.64
宮城県,22,1.83,0,0,18,1.5,4,0.33
秋田県,7,1.4,3,1,4,0.57,0,0
山形県,3,0.43,0,0,1,0.13,2,0.25
福島県,53,4.08,13,1,30,2.31,10,0.77
茨城県,113,7.53,12,1,66,3.88,35,2.06
栃木県,33,3,1,0.11,23,1.92,9,0.75
群馬県,21,1.91,1,0.17,14,1,6,0.43
埼玉県,62,1.82,5,0.28,37,0.88,20,0.48
千葉県,83,2.59,4,0.14,44,1.29,35,1
東京都,69,1.92,12,0.4,37,0.95,20,0.51
神奈川県,125,2.91,5,0.15,79,1.61,41,0.85
新潟県,13,1.3,1,0.1,9,0.9,3,0.3
富山県,6,1,0,0,3,0.43,3,0.43
石川県,40,5.71,6,0.86,25,3.57,9,1.29
福井県,4,1.33,0,0,4,1.33,0,0
山梨県,50,5.56,0,0,31,3.44,19,2.11
長野県,75,9.38,12,2,38,3.8,25,2.5
岐阜県,3,0.27,0,0,2,0.18,1,0.09
静岡県,20,0.95,4,0.18,10,0.48,6,0.27
愛知県,15,0.43,0,0,13,0.37,2,0.06
三重県,1,0.1,0,0,1,0.08,0,0
滋賀県,0,0,0,0,0,0,0,0
京都府,14,0.93,0,0,4,0.25,10,0.63
大阪府,38,0.73,0,0,26,0.5,12,0.23
兵庫県,65,2.03,6,0.21,41,1.17,18,0.51
奈良県,7,1,0,0,5,0.5,2,0.2
和歌山県,10,3.33,0,0,6,1.5,4,1
鳥取県,4,0.8,0,0,2,0.4,2,0.4
島根県,0,0,0,0,0,0,0,0
岡山県,15,1.25,1,0.08,11,0.92,3,0.25
広島県,61,3.81,2,0.2,43,2.26,16,0.84
山口県,23,2.56,0,0,20,2.22,3,0.33
徳島県,0,0,0,0,0,0,0,0
香川県,8,1.6,0,0,3,0.6,5,1
愛媛県,46,6.57,4,0.67,26,3.25,16,2
高知県,1,0.33,0,0,1,0.33,0,0
福岡県,23,0.88,4,0.15,11,0.42,8,0.31
佐賀県,1,0.33,0,0,0,0,1,0.25
長崎県,44,5.5,8,1,15,1.88,21,2.63
熊本県,29,3.22,4,0.44,14,1.56,11,1.22
大分県,17,3.4,10,2,4,0.8,3,0.6
宮崎県,4,0.8,1,0.25,2,0.33,1,0.17
鹿児島県,10,1.43,3,0.43,4,0.57,3,0.43
沖縄県,33,3.67,0,0,20,2.22,13,1.44
,,,,,,,,
細菌性髄膜炎,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,30,0.06,8,0.02,10,0.02,12,0.03
北海道,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0
岩手県,1,0.05,0,0,1,0.05,0,0
宮城県,0,0,0,0,0,0,0,0
秋田県,1,0.13,0,0,0,0,1,0.13
山形県,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0
栃木県,2,0.29,0,0,1,0.14,1,0.14
群馬県,0,0,0,0,0,0,0,0
埼玉県,2,0.17,0,0,1,0.08,1,0.08
千葉県,1,0.11,0,0,1,0.11,0,0
東京都,1,0.04,0,0,0,0,1,0.04
神奈川県,0,0,0,0,0,0,0,0
新潟県,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0
山梨県,2,0.2,2,0.2,0,0,0,0
長野県,1,0.08,0,0,0,0,1,0.08
岐阜県,1,0.2,0,0,0,0,1,0.2
静岡県,0,0,0,0,0,0,0,0
愛知県,1,0.07,0,0,0,0,1,0.07
三重県,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0
大阪府,2,0.11,1,0.06,1,0.06,0,0
兵庫県,1,0.07,1,0.07,0,0,0,0
奈良県,2,0.33,0,0,1,0.17,1,0.17
和歌山県,1,0.09,0,0,1,0.09,0,0
鳥取県,0,0,0,0,0,0,0,0
島根県,1,0.13,0,0,0,0,1,0.13
岡山県,2,0.4,1,0.2,0,0,1,0.2
広島県,1,0.05,0,0,1,0.05,0,0
山口県,0,0,0,0,0,0,0,0
徳島県,2,0.29,0,0,1,0.14,1,0.14
香川県,1,0.2,0,0,1,0.2,0,0
愛媛県,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0
福岡県,1,0.07,1,0.07,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0
長崎県,1,0.08,1,0.08,0,0,0,0
熊本県,0,0,0,0,0,0,0,0
大分県,1,0.09,0,0,0,0,1,0.09
宮崎県,1,0.14,1,0.14,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0
,,,,,,,,
無菌性髄膜炎,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,33,0.07,7,0.01,16,0.03,10,0.02
北海道,0,0,0,0,0,0,0,0
青森県,1,0.17,0,0,1,0.17,0,0
岩手県,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0
茨城県,1,0.08,0,0,0,0,1,0.08
栃木県,0,0,0,0,0,0,0,0
群馬県,2,0.22,1,0.11,1,0.11,0,0
埼玉県,3,0.25,1,0.08,1,0.08,1,0.08
千葉県,0,0,0,0,0,0,0,0
東京都,5,0.2,1,0.04,3,0.12,1,0.04
神奈川県,2,0.17,0,0,1,0.08,1,0.08
新潟県,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0
岐阜県,4,0.8,2,0.4,2,0.4,0,0
静岡県,0,0,0,0,0,0,0,0
愛知県,1,0.07,0,0,1,0.07,0,0
三重県,0,0,0,0,0,0,0,0
滋賀県,1,0.14,1,0.14,0,0,0,0
京都府,0,0,0,0,0,0,0,0
大阪府,2,0.11,0,0,1,0.06,1,0.06
兵庫県,3,0.21,1,0.07,0,0,2,0.14
奈良県,2,0.33,0,0,1,0.17,1,0.17
和歌山県,0,0,0,0,0,0,0,0
鳥取県,1,0.2,0,0,1,0.2,0,0
島根県,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0
広島県,1,0.05,0,0,1,0.05,0,0
山口県,1,0.11,0,0,1,0.11,0,0
徳島県,0,0,0,0,0,0,0,0
香川県,1,0.2,0,0,0,0,1,0.2
愛媛県,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0
長崎県,0,0,0,0,0,0,0,0
熊本県,1,0.07,0,0,0,0,1,0.07
大分県,1,0.09,0,0,1,0.09,0,0
宮崎県,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0
,,,,,,,,
マイコプラズマ肺炎,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,1309,2.73,367,0.76,532,1.11,410,0.85
北海道,72,3.27,11,0.5,38,1.73,23,1.05
青森県,31,5.17,5,0.83,16,2.67,10,1.67
岩手県,58,3.05,26,1.37,16,0.84,16,0.84
宮城県,17,1.7,5,0.5,8,0.8,4,0.4
秋田県,18,2.25,4,0.5,10,1.25,4,0.5
山形県,32,3.2,10,1,12,1.2,10,1
福島県,20,2.86,6,0.86,8,1.14,6,0.86
茨城県,43,3.31,13,1,18,1.38,12,0.92
栃木県,10,1.43,2,0.29,4,0.57,4,0.57
群馬県,22,2.44,5,0.56,9,1,8,0.89
埼玉県,54,4.5,24,2,19,1.58,11,0.92
千葉県,15,1.67,5,0.56,6,0.67,4,0.44
東京都,58,2.32,17,0.68,26,1.04,15,0.6
神奈川県,13,1.08,2,0.17,10,0.83,1,0.08
新潟県,51,3.92,16,1.23,18,1.38,17,1.31
富山県,10,2,0,0,5,1,5,1
石川県,18,3.6,7,1.4,5,1,6,1.2
福井県,19,3.17,4,0.67,7,1.17,8,1.33
山梨県,13,1.3,5,0.5,4,0.4,4,0.4
長野県,22,1.83,3,0.25,15,1.25,4,0.33
岐阜県,28,5.6,10,2,9,1.8,9,1.8
静岡県,25,2.5,4,0.4,15,1.5,6,0.6
愛知県,47,3.13,10,0.67,21,1.4,16,1.07
三重県,20,2.22,2,0.22,6,0.67,12,1.33
滋賀県,6,0.86,0,0,3,0.43,3,0.43
京都府,28,4,6,0.86,10,1.43,12,1.71
大阪府,29,1.61,7,0.39,12,0.67,10,0.56
兵庫県,105,7.5,13,0.93,43,3.07,49,3.5
奈良県,14,2.33,6,1,5,0.83,3,0.5
和歌山県,22,2,7,0.64,11,1,4,0.36
鳥取県,17,3.4,7,1.4,3,0.6,7,1.4
島根県,17,2.13,4,0.5,6,0.75,7,0.88
岡山県,22,4.4,17,3.4,3,0.6,2,0.4
広島県,104,5.2,50,2.5,29,1.45,25,1.25
山口県,15,1.67,5,0.56,7,0.78,3,0.33
徳島県,4,0.57,0,0,3,0.43,1,0.14
香川県,13,2.6,8,1.6,5,1,0,0
愛媛県,15,2.5,2,0.33,3,0.5,10,1.67
高知県,26,3.25,3,0.38,15,1.88,8,1
福岡県,55,3.67,10,0.67,27,1.8,18,1.2
佐賀県,15,2.5,5,0.83,4,0.67,6,1
長崎県,25,2.08,6,0.5,9,0.75,10,0.83
熊本県,20,1.33,5,0.33,9,0.6,6,0.4
大分県,8,0.73,1,0.09,2,0.18,5,0.45
宮崎県,9,1.29,2,0.29,7,1,0,0
鹿児島県,19,1.58,4,0.33,9,0.75,6,0.5
沖縄県,5,0.71,3,0.43,2,0.29,0,0
,,,,,,,,
クラミジア肺炎,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,5,0.01,0,0,2,0,3,0.01
北海道,1,0.05,0,0,0,0,1,0.05
青森県,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0
埼玉県,0,0,0,0,0,0,0,0
千葉県,0,0,0,0,0,0,0,0
東京都,0,0,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0,0,0
新潟県,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0
福井県,1,0.17,0,0,1,0.17,0,0
山梨県,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0
京都府,1,0.14,0,0,0,0,1,0.14
大阪府,2,0.11,0,0,1,0.06,1,0.06
兵庫県,0,0,0,0,0,0,0,0
奈良県,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0
広島県,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0
長崎県,0,0,0,0,0,0,0,0
熊本県,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0
,,,,,,,,
感染性胃腸炎（ロタウイルス）,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,27,0.06,12,0.03,4,0.01,11,0.02
北海道,2,0.09,0,0,0,0,2,0.09
青森県,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0
群馬県,1,0.11,1,0.11,0,0,0,0
埼玉県,2,0.17,1,0.08,0,0,1,0.08
千葉県,1,0.11,0,0,0,0,1,0.11
東京都,1,0.04,1,0.04,0,0,0,0
神奈川県,1,0.08,0,0,0,0,1,0.08
新潟県,0,0,0,0,0,0,0,0
富山県,1,0.2,0,0,0,0,1,0.2
石川県,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0
三重県,1,0.11,1,0.11,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0
大阪府,4,0.22,2,0.11,1,0.06,1,0.06
兵庫県,4,0.29,0,0,3,0.21,1,0.07
奈良県,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0
広島県,1,0.05,0,0,0,0,1,0.05
山口県,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0
愛媛県,2,0.33,1,0.17,0,0,1,0.17
高知県,1,0.13,1,0.13,0,0,0,0
福岡県,1,0.07,0,0,0,0,1,0.07
佐賀県,0,0,0,0,0,0,0,0
長崎県,4,0.33,4,0.33,0,0,0,0
熊本県,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0
,,,,,,,,
COVID-19,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,85077,18.14,22369,5.33,34953,7.08,27755,5.62
北海道,5986,28.5,2178,11.65,2338,10.53,1470,6.62
青森県,1311,24.28,443,9.43,499,8.6,369,6.36
岩手県,2125,34.27,747,12.05,795,12.82,583,9.4
宮城県,2274,24.99,401,4.41,1091,11.99,782,8.59
秋田県,863,21.05,106,5.05,441,8.48,316,6.08
山形県,681,18.92,119,4.58,313,7.45,249,5.93
福島県,2801,34.16,1091,13.3,941,11.48,769,9.38
茨城県,3615,31.99,1222,12.22,1370,11.42,1023,8.53
栃木県,1826,27.25,387,7.59,819,10.78,620,8.16
群馬県,1667,22.23,378,6.87,794,9.34,495,5.82
埼玉県,4589,20.95,901,6.67,2049,7.85,1639,6.28
千葉県,3608,18.69,726,4.22,1591,7.84,1291,6.33
東京都,3199,8.31,428,1.34,1561,3.73,1210,2.89
神奈川県,3654,11.35,424,1.77,1806,4.98,1424,3.91
新潟県,1705,19.83,375,4.31,799,9.29,531,6.17
富山県,812,17.28,131,2.91,404,8.42,277,5.77
石川県,848,17.67,175,3.65,334,6.96,339,7.06
福井県,499,12.79,128,3.28,200,5.13,171,4.38
山梨県,835,20.37,142,3.46,438,10.68,255,6.22
長野県,2411,30.14,703,10.82,950,10.8,758,8.61
岐阜県,2662,30.6,1210,13.91,825,9.48,627,7.21
静岡県,3095,22.27,765,5.5,1250,8.99,1080,7.77
愛知県,5214,26.74,1868,9.58,1786,9.16,1560,8
三重県,1239,18.77,287,5.31,538,7.47,414,5.75
滋賀県,1049,19.79,347,8.46,406,6.77,296,4.93
京都府,1503,12.42,407,3.48,620,5,476,3.84
大阪府,2876,9.55,728,2.41,1154,3.82,994,3.3
兵庫県,2423,12.89,499,2.94,1058,5.34,866,4.37
奈良県,685,15.93,76,3.8,359,6.53,250,4.55
和歌山県,647,13.77,154,3.42,254,5.29,239,4.98
鳥取県,608,20.97,237,8.17,173,5.97,198,6.83
島根県,517,13.61,188,4.95,170,4.47,159,4.18
岡山県,1562,18.6,464,5.52,631,7.51,467,5.56
広島県,1878,17.55,547,6.15,687,5.87,644,5.5
山口県,939,14.01,154,2.3,433,6.46,352,5.25
徳島県,1016,27.46,242,6.54,426,11.51,348,9.41
香川県,1025,21.81,323,6.87,358,7.62,344,7.32
愛媛県,1023,18.94,162,3.68,462,7.7,399,6.65
高知県,1264,28.73,402,9.14,458,10.41,404,9.18
福岡県,2031,10.31,549,2.79,748,3.8,734,3.73
佐賀県,611,16.08,162,4.5,251,6.44,198,5.08
長崎県,1455,20.79,351,5.01,589,8.41,515,7.36
熊本県,1163,14.72,229,2.9,493,6.24,441,5.58
大分県,934,16.1,264,4.55,344,5.93,326,5.62
宮崎県,927,16.55,178,3.42,409,7.05,340,5.86
鹿児島県,1085,12.19,245,2.75,449,5.04,391,4.39
沖縄県,337,6.02,126,2.25,89,1.59,122,2.18
