報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,
2024年07週(02月12日～02月18日),2024年02月21日作成,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3011,0.96,452,0.15,450,0.14,480,0.15,406,0.13,434,0.14,425,0.14,364,0.12
北海道,157,1.14,17,0.13,30,0.22,20,0.14,29,0.21,21,0.15,17,0.12,23,0.17
青森県,26,0.7,5,0.14,8,0.22,6,0.16,2,0.05,2,0.05,2,0.05,1,0.03
岩手県,46,1.21,7,0.18,10,0.26,9,0.23,4,0.1,1,0.03,5,0.13,10,0.26
宮城県,55,1,10,0.18,12,0.22,4,0.07,4,0.07,8,0.15,5,0.09,12,0.22
秋田県,32,1,11,0.35,7,0.21,5,0.15,4,0.12,1,0.03,4,0.12,0,0
山形県,33,1.18,5,0.18,4,0.14,1,0.04,5,0.18,3,0.11,8,0.29,7,0.25
福島県,60,1.22,5,0.1,14,0.29,4,0.08,9,0.18,7,0.14,13,0.27,8,0.16
茨城県,38,0.51,8,0.11,6,0.08,5,0.07,3,0.04,5,0.07,6,0.08,5,0.07
栃木県,18,0.38,0,0,1,0.02,3,0.06,1,0.02,2,0.04,8,0.17,3,0.06
群馬県,38,0.72,3,0.06,9,0.17,3,0.06,6,0.11,5,0.09,7,0.13,5,0.09
埼玉県,221,1.36,29,0.18,41,0.25,43,0.26,25,0.15,36,0.22,23,0.14,24,0.15
千葉県,110,0.88,15,0.12,15,0.12,24,0.19,13,0.1,17,0.13,12,0.1,14,0.11
東京都,276,1.06,31,0.12,50,0.19,43,0.16,42,0.16,25,0.1,53,0.2,32,0.12
神奈川県,306,1.35,69,0.31,40,0.17,42,0.19,34,0.15,42,0.19,44,0.19,35,0.15
新潟県,44,0.8,10,0.18,9,0.16,4,0.07,8,0.15,5,0.09,7,0.13,1,0.02
富山県,44,1.52,3,0.1,12,0.41,14,0.48,4,0.14,4,0.14,6,0.21,1,0.03
石川県,76,2.81,7,0.26,11,0.41,3,0.11,16,0.57,13,0.46,15,0.54,11,0.38
福井県,26,1.04,1,0.04,2,0.08,5,0.2,4,0.16,8,0.32,3,0.12,3,0.12
山梨県,25,1.04,0,0,1,0.04,0,0,0,0,15,0.63,3,0.13,6,0.25
長野県,32,0.59,2,0.04,2,0.04,7,0.13,8,0.15,6,0.11,6,0.11,1,0.02
岐阜県,15,0.28,0,0,4,0.08,2,0.04,2,0.04,2,0.04,4,0.08,1,0.02
静岡県,75,0.84,11,0.12,7,0.08,17,0.19,10,0.11,4,0.04,19,0.21,7,0.08
愛知県,87,0.48,19,0.1,9,0.05,13,0.07,16,0.09,13,0.07,10,0.05,7,0.04
三重県,29,0.64,5,0.11,0,0,5,0.11,5,0.11,5,0.11,8,0.18,1,0.02
滋賀県,32,0.91,4,0.11,6,0.17,6,0.17,4,0.11,0,0,5,0.14,7,0.19
京都府,70,0.93,7,0.09,11,0.14,17,0.23,9,0.12,11,0.15,9,0.12,6,0.08
大阪府,191,0.97,30,0.15,30,0.15,31,0.16,27,0.14,27,0.14,28,0.14,18,0.09
兵庫県,120,0.94,24,0.19,7,0.05,19,0.15,26,0.2,15,0.12,19,0.15,10,0.08
奈良県,31,0.94,2,0.06,2,0.06,7,0.21,1,0.03,10,0.29,4,0.12,5,0.15
和歌山県,11,0.37,2,0.07,2,0.07,2,0.07,4,0.13,0,0,0,0,1,0.03
鳥取県,8,0.42,0,0,2,0.11,0,0,1,0.05,1,0.05,2,0.11,2,0.11
島根県,16,0.7,5,0.22,3,0.13,2,0.09,3,0.13,1,0.04,1,0.04,1,0.04
岡山県,29,0.54,6,0.11,4,0.07,5,0.09,3,0.06,3,0.06,6,0.11,2,0.04
広島県,63,0.91,14,0.2,8,0.11,16,0.23,4,0.06,8,0.12,5,0.07,8,0.12
山口県,27,0.63,6,0.14,5,0.12,5,0.12,1,0.02,5,0.12,1,0.02,4,0.09
徳島県,6,0.26,0,0,0,0,1,0.04,0,0,2,0.09,1,0.04,2,0.09
香川県,19,0.68,6,0.21,2,0.07,3,0.11,1,0.04,3,0.11,2,0.07,2,0.07
愛媛県,36,1,5,0.14,2,0.05,8,0.22,3,0.08,7,0.19,5,0.14,6,0.16
高知県,15,0.58,2,0.08,4,0.15,2,0.08,1,0.04,1,0.04,1,0.04,4,0.15
福岡県,199,1.66,33,0.28,24,0.2,24,0.2,36,0.3,34,0.28,25,0.21,23,0.19
佐賀県,19,0.83,5,0.22,4,0.17,6,0.26,1,0.04,2,0.09,0,0,1,0.04
長崎県,47,1.07,3,0.07,6,0.14,4,0.09,7,0.16,6,0.14,7,0.16,14,0.32
熊本県,77,1.54,4,0.08,11,0.22,23,0.46,5,0.1,26,0.52,3,0.06,5,0.1
大分県,19,0.53,5,0.14,2,0.06,2,0.06,3,0.08,5,0.14,2,0.06,0,0
宮崎県,17,0.47,3,0.08,1,0.03,2,0.06,4,0.11,2,0.06,1,0.03,4,0.11
鹿児島県,36,0.71,5,0.1,2,0.04,4,0.08,1,0.02,6,0.12,3,0.06,15,0.29
沖縄県,54,1.74,8,0.26,8,0.26,9,0.29,7,0.23,9,0.29,7,0.23,6,0.19
,,,,,,,,,,,,,,,,
手足口病,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3832,1.23,442,0.14,411,0.13,547,0.17,626,0.2,684,0.22,590,0.19,532,0.17
北海道,25,0.18,5,0.04,6,0.04,2,0.01,5,0.04,1,0.01,2,0.01,4,0.03
青森県,26,0.7,3,0.08,6,0.16,7,0.19,4,0.11,2,0.05,3,0.08,1,0.03
岩手県,61,1.61,6,0.15,7,0.18,14,0.36,9,0.23,13,0.33,5,0.13,7,0.18
宮城県,21,0.38,4,0.07,5,0.09,3,0.05,1,0.02,4,0.07,3,0.05,1,0.02
秋田県,47,1.47,2,0.06,6,0.18,3,0.09,14,0.42,8,0.24,7,0.21,7,0.21
山形県,92,3.29,2,0.07,9,0.32,8,0.29,12,0.43,14,0.5,31,1.11,16,0.57
福島県,14,0.29,2,0.04,1,0.02,2,0.04,0,0,2,0.04,4,0.08,3,0.06
茨城県,16,0.21,8,0.11,4,0.05,0,0,2,0.03,0,0,2,0.03,0,0
栃木県,49,1.02,7,0.15,9,0.19,10,0.21,7,0.15,7,0.15,5,0.1,4,0.08
群馬県,119,2.25,14,0.26,14,0.26,30,0.57,17,0.32,18,0.34,11,0.21,15,0.28
埼玉県,81,0.5,5,0.03,12,0.07,15,0.09,13,0.08,16,0.1,14,0.09,6,0.04
千葉県,30,0.24,11,0.09,6,0.05,3,0.02,4,0.03,2,0.02,3,0.02,1,0.01
東京都,144,0.55,32,0.13,25,0.1,16,0.06,21,0.08,16,0.06,21,0.08,13,0.05
神奈川県,89,0.39,8,0.04,6,0.03,12,0.05,8,0.03,18,0.08,18,0.08,19,0.08
新潟県,43,0.78,7,0.13,7,0.13,4,0.07,7,0.13,13,0.24,4,0.07,1,0.02
富山県,31,1.07,3,0.1,3,0.1,5,0.17,6,0.21,6,0.21,4,0.14,4,0.14
石川県,43,1.59,3,0.11,5,0.19,2,0.07,9,0.32,13,0.46,3,0.11,8,0.28
福井県,52,2.08,7,0.28,5,0.2,3,0.12,5,0.2,9,0.36,9,0.36,14,0.56
山梨県,33,1.38,10,0.42,4,0.17,3,0.13,7,0.29,5,0.21,4,0.17,0,0
長野県,28,0.52,12,0.22,2,0.04,2,0.04,7,0.13,1,0.02,2,0.04,2,0.04
岐阜県,23,0.43,4,0.08,4,0.08,3,0.06,2,0.04,1,0.02,3,0.06,6,0.11
静岡県,46,0.52,3,0.03,4,0.04,4,0.04,10,0.11,8,0.09,13,0.15,4,0.04
愛知県,37,0.2,3,0.02,7,0.04,9,0.05,2,0.01,7,0.04,4,0.02,5,0.03
三重県,34,0.76,1,0.02,3,0.07,6,0.13,6,0.13,4,0.09,8,0.18,6,0.13
滋賀県,47,1.34,3,0.08,12,0.33,5,0.14,6,0.17,12,0.33,2,0.06,7,0.19
京都府,113,1.51,12,0.16,8,0.11,13,0.17,26,0.35,23,0.31,18,0.24,13,0.17
大阪府,600,3.05,67,0.34,49,0.25,82,0.42,102,0.52,110,0.56,83,0.42,107,0.54
兵庫県,169,1.32,19,0.15,20,0.16,23,0.18,29,0.23,23,0.18,25,0.2,30,0.23
奈良県,67,2.03,17,0.5,9,0.26,12,0.35,3,0.09,11,0.32,6,0.18,9,0.27
和歌山県,65,2.17,6,0.2,12,0.4,11,0.37,11,0.37,10,0.33,6,0.2,9,0.3
鳥取県,19,1,0,0,1,0.05,4,0.21,4,0.21,5,0.26,2,0.11,3,0.16
島根県,24,1.04,0,0,0,0,4,0.17,5,0.22,7,0.3,4,0.17,4,0.17
岡山県,75,1.39,11,0.2,8,0.15,9,0.17,8,0.15,5,0.09,21,0.39,13,0.24
広島県,115,1.67,3,0.04,11,0.16,15,0.21,18,0.26,31,0.45,17,0.25,20,0.29
山口県,14,0.33,2,0.05,2,0.05,3,0.07,1,0.02,4,0.09,2,0.05,0,0
徳島県,51,2.22,8,0.35,2,0.09,1,0.04,11,0.48,14,0.61,7,0.3,8,0.35
香川県,111,3.96,4,0.14,4,0.14,5,0.18,30,1.07,23,0.82,27,0.96,18,0.64
愛媛県,92,2.56,14,0.39,14,0.38,20,0.54,14,0.38,10,0.27,11,0.3,9,0.24
高知県,25,0.96,4,0.15,5,0.19,6,0.23,0,0,5,0.19,2,0.08,3,0.12
福岡県,256,2.13,27,0.23,28,0.23,37,0.31,46,0.38,45,0.38,36,0.3,37,0.31
佐賀県,32,1.39,1,0.04,3,0.13,6,0.26,5,0.22,11,0.48,4,0.17,2,0.09
長崎県,88,2,14,0.32,5,0.11,9,0.2,13,0.3,19,0.43,18,0.41,10,0.23
熊本県,139,2.78,13,0.26,12,0.24,20,0.4,24,0.48,23,0.46,29,0.58,18,0.36
大分県,79,2.19,8,0.22,3,0.08,4,0.11,12,0.33,21,0.58,14,0.39,17,0.47
宮崎県,161,4.47,14,0.39,13,0.36,28,0.78,28,0.78,33,0.92,25,0.69,20,0.56
鹿児島県,279,5.47,31,0.61,26,0.51,58,1.14,44,0.86,48,0.94,45,0.88,27,0.53
沖縄県,27,0.87,2,0.06,4,0.13,6,0.19,8,0.26,3,0.1,3,0.1,1,0.03
,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,381,0.12,29,0.01,59,0.02,54,0.02,63,0.02,61,0.02,61,0.02,54,0.02
北海道,2,0.01,1,0.01,1,0.01,0,0,0,0,0,0,0,0,0,0
青森県,3,0.08,0,0,1,0.03,0,0,1,0.03,0,0,1,0.03,0,0
岩手県,2,0.05,0,0,0,0,0,0,0,0,0,0,2,0.05,0,0
宮城県,5,0.09,1,0.02,0,0,0,0,4,0.07,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,9,0.32,1,0.04,3,0.11,0,0,1,0.04,2,0.07,1,0.04,1,0.04
福島県,8,0.16,0,0,1,0.02,4,0.08,1,0.02,1,0.02,1,0.02,0,0
茨城県,6,0.08,1,0.01,1,0.01,1,0.01,1,0.01,2,0.03,0,0,0,0
栃木県,2,0.04,0,0,0,0,2,0.04,0,0,0,0,0,0,0,0
群馬県,5,0.09,0,0,1,0.02,2,0.04,0,0,1,0.02,0,0,1,0.02
埼玉県,20,0.12,1,0.01,3,0.02,4,0.02,5,0.03,3,0.02,1,0.01,3,0.02
千葉県,7,0.06,0,0,1,0.01,2,0.02,2,0.02,0,0,1,0.01,1,0.01
東京都,134,0.52,7,0.03,26,0.1,18,0.07,21,0.08,20,0.08,21,0.08,21,0.08
神奈川県,53,0.23,2,0.01,5,0.02,11,0.05,6,0.03,7,0.03,15,0.07,7,0.03
新潟県,6,0.11,0,0,1,0.02,0,0,3,0.05,0,0,0,0,2,0.04
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,2,0.07,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0
福井県,4,0.16,2,0.08,1,0.04,1,0.04,0,0,0,0,0,0,0,0
山梨県,1,0.04,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0
長野県,1,0.02,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0
岐阜県,1,0.02,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,6,0.07,0,0,0,0,1,0.01,0,0,4,0.04,0,0,1,0.01
愛知県,5,0.03,3,0.02,0,0,0,0,0,0,0,0,1,0.01,1,0.01
三重県,4,0.09,0,0,0,0,1,0.02,1,0.02,1,0.02,0,0,1,0.02
滋賀県,2,0.06,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0
京都府,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01
大阪府,17,0.09,1,0.01,6,0.03,0,0,1,0.01,2,0.01,4,0.02,3,0.02
兵庫県,12,0.09,0,0,2,0.02,1,0.01,4,0.03,1,0.01,2,0.02,2,0.02
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,11,0.2,3,0.06,1,0.02,2,0.04,2,0.04,2,0.04,0,0,1,0.02
広島県,5,0.07,1,0.01,1,0.01,0,0,0,0,2,0.03,1,0.01,0,0
山口県,1,0.02,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0
徳島県,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04
香川県,5,0.18,0,0,0,0,0,0,0,0,3,0.11,0,0,2,0.07
愛媛県,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03
高知県,4,0.15,1,0.04,0,0,0,0,1,0.04,1,0.04,0,0,1,0.04
福岡県,4,0.03,1,0.01,1,0.01,1,0.01,1,0.01,0,0,0,0,0,0
佐賀県,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0
長崎県,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02
熊本県,10,0.2,0,0,1,0.02,0,0,3,0.06,2,0.04,4,0.08,0,0
大分県,4,0.11,0,0,0,0,0,0,3,0.08,0,0,1,0.03,0,0
宮崎県,6,0.17,0,0,0,0,0,0,0,0,4,0.11,0,0,2,0.06
鹿児島県,4,0.08,0,0,1,0.02,1,0.02,0,0,1,0.02,1,0.02,0,0
沖縄県,4,0.13,0,0,1,0.03,1,0.03,1,0.03,0,0,1,0.03,0,0
,,,,,,,,,,,,,,,,
突発性発しん,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,4094,1.31,358,0.12,643,0.21,655,0.21,638,0.2,631,0.2,578,0.18,591,0.19
北海道,93,0.67,9,0.07,14,0.1,15,0.11,17,0.12,12,0.09,13,0.09,13,0.09
青森県,61,1.65,5,0.14,4,0.11,6,0.16,8,0.22,9,0.24,14,0.38,15,0.41
岩手県,88,2.32,8,0.21,15,0.38,9,0.23,13,0.33,11,0.28,19,0.5,13,0.34
宮城県,99,1.8,9,0.16,19,0.35,8,0.15,11,0.2,21,0.38,14,0.25,17,0.31
秋田県,29,0.91,1,0.03,8,0.24,6,0.18,5,0.15,5,0.15,2,0.06,2,0.06
山形県,64,2.29,6,0.21,7,0.25,14,0.5,11,0.39,11,0.39,6,0.21,9,0.32
福島県,90,1.84,7,0.14,14,0.29,12,0.24,17,0.35,14,0.29,18,0.37,8,0.16
茨城県,35,0.47,4,0.05,7,0.09,8,0.11,3,0.04,4,0.05,6,0.08,3,0.04
栃木県,68,1.42,6,0.13,13,0.27,9,0.19,13,0.27,11,0.23,8,0.17,8,0.17
群馬県,83,1.57,6,0.11,9,0.17,9,0.17,16,0.3,18,0.34,12,0.23,13,0.25
埼玉県,208,1.28,21,0.13,28,0.17,43,0.26,34,0.21,29,0.18,30,0.18,23,0.14
千葉県,152,1.22,15,0.12,22,0.17,15,0.12,32,0.26,31,0.24,21,0.17,16,0.13
東京都,370,1.42,25,0.1,63,0.24,62,0.24,55,0.21,65,0.25,43,0.16,57,0.22
神奈川県,243,1.07,14,0.06,41,0.18,44,0.19,36,0.16,42,0.19,38,0.17,28,0.12
新潟県,78,1.42,7,0.13,14,0.25,11,0.2,9,0.16,11,0.2,15,0.27,11,0.2
富山県,31,1.07,1,0.03,7,0.24,3,0.1,6,0.21,5,0.17,6,0.21,3,0.1
石川県,33,1.22,4,0.15,5,0.19,9,0.33,2,0.07,3,0.11,4,0.14,6,0.21
福井県,31,1.24,5,0.2,8,0.32,1,0.04,7,0.28,1,0.04,5,0.2,4,0.16
山梨県,33,1.38,2,0.08,5,0.21,8,0.33,6,0.25,3,0.13,4,0.17,5,0.21
長野県,45,0.83,7,0.13,7,0.13,8,0.15,5,0.09,8,0.15,2,0.04,8,0.15
岐阜県,80,1.51,4,0.08,10,0.19,20,0.38,12,0.23,9,0.17,12,0.23,13,0.25
静岡県,106,1.19,6,0.07,20,0.22,12,0.13,19,0.21,15,0.17,17,0.19,17,0.19
愛知県,154,0.85,14,0.08,21,0.12,28,0.15,19,0.1,23,0.13,20,0.11,29,0.16
三重県,59,1.31,5,0.11,8,0.18,9,0.2,8,0.18,12,0.27,9,0.2,8,0.18
滋賀県,33,0.94,2,0.06,6,0.17,8,0.23,3,0.09,6,0.17,3,0.08,5,0.14
京都府,58,0.77,1,0.01,8,0.11,10,0.13,8,0.11,10,0.13,12,0.16,9,0.12
大阪府,215,1.09,19,0.1,36,0.18,32,0.16,31,0.16,30,0.15,28,0.14,39,0.2
兵庫県,131,1.02,13,0.1,27,0.21,31,0.24,19,0.15,13,0.1,13,0.1,15,0.12
奈良県,45,1.36,7,0.21,5,0.15,9,0.26,5,0.15,3,0.09,7,0.21,9,0.27
和歌山県,30,1,6,0.2,5,0.17,4,0.13,9,0.3,2,0.07,2,0.07,2,0.07
鳥取県,24,1.26,1,0.05,2,0.11,4,0.21,2,0.11,4,0.21,3,0.16,8,0.42
島根県,37,1.61,3,0.13,10,0.43,6,0.26,8,0.35,1,0.04,4,0.17,5,0.22
岡山県,68,1.26,4,0.07,16,0.3,11,0.2,8,0.15,8,0.15,8,0.15,13,0.24
広島県,76,1.1,8,0.11,10,0.14,15,0.21,16,0.23,13,0.19,10,0.15,4,0.06
山口県,77,1.79,7,0.16,11,0.26,12,0.28,8,0.19,12,0.28,12,0.28,15,0.35
徳島県,34,1.48,3,0.13,4,0.17,4,0.17,7,0.3,6,0.26,4,0.17,6,0.26
香川県,33,1.18,2,0.07,4,0.14,6,0.21,5,0.18,8,0.29,5,0.18,3,0.11
愛媛県,81,2.25,6,0.17,12,0.32,12,0.32,10,0.27,16,0.43,12,0.32,13,0.35
高知県,30,1.15,1,0.04,4,0.15,4,0.15,6,0.23,5,0.19,7,0.27,3,0.12
福岡県,247,2.06,26,0.22,41,0.34,36,0.3,37,0.31,39,0.33,34,0.28,34,0.28
佐賀県,49,2.13,3,0.13,9,0.39,11,0.48,7,0.3,6,0.26,7,0.3,6,0.26
長崎県,62,1.41,7,0.16,6,0.14,5,0.11,13,0.3,13,0.3,8,0.18,10,0.23
熊本県,147,2.94,12,0.24,26,0.52,21,0.42,25,0.5,25,0.5,19,0.38,19,0.38
大分県,98,2.72,11,0.31,16,0.44,14,0.39,17,0.47,13,0.36,15,0.42,12,0.33
宮崎県,75,2.08,13,0.36,6,0.17,11,0.31,12,0.33,10,0.28,10,0.28,13,0.36
鹿児島県,87,1.71,7,0.14,7,0.14,19,0.37,12,0.24,12,0.24,15,0.29,15,0.29
沖縄県,24,0.77,5,0.16,3,0.1,1,0.03,6,0.19,3,0.1,2,0.06,4,0.13
,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,526,0.17,66,0.02,75,0.02,93,0.03,92,0.03,84,0.03,63,0.02,53,0.02
北海道,6,0.04,1,0.01,1,0.01,1,0.01,3,0.02,0,0,0,0,0,0
青森県,3,0.08,0,0,1,0.03,1,0.03,1,0.03,0,0,0,0,0,0
岩手県,10,0.26,0,0,3,0.08,6,0.15,1,0.03,0,0,0,0,0,0
宮城県,3,0.05,0,0,1,0.02,0,0,1,0.02,1,0.02,0,0,0,0
秋田県,4,0.13,0,0,1,0.03,1,0.03,0,0,0,0,0,0,2,0.06
山形県,6,0.21,0,0,1,0.04,0,0,1,0.04,0,0,0,0,4,0.14
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,18,0.24,3,0.04,3,0.04,5,0.07,3,0.04,2,0.03,2,0.03,0,0
栃木県,2,0.04,1,0.02,0,0,0,0,1,0.02,0,0,0,0,0,0
群馬県,7,0.13,0,0,0,0,4,0.08,1,0.02,1,0.02,1,0.02,0,0
埼玉県,14,0.09,2,0.01,4,0.02,2,0.01,1,0.01,3,0.02,2,0.01,0,0
千葉県,6,0.05,1,0.01,0,0,1,0.01,1,0.01,0,0,3,0.02,0,0
東京都,17,0.07,2,0.01,4,0.02,3,0.01,1,0,2,0.01,1,0,4,0.02
神奈川県,33,0.15,2,0.01,5,0.02,4,0.02,4,0.02,10,0.04,7,0.03,1,0
新潟県,5,0.09,1,0.02,1,0.02,1,0.02,1,0.02,1,0.02,0,0,0,0
富山県,25,0.86,5,0.17,5,0.17,5,0.17,4,0.14,2,0.07,2,0.07,2,0.07
石川県,3,0.11,1,0.04,0,0,1,0.04,0,0,0,0,1,0.04,0,0
福井県,3,0.12,1,0.04,0,0,0,0,2,0.08,0,0,0,0,0,0
山梨県,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0
長野県,6,0.11,1,0.02,0,0,4,0.07,0,0,0,0,1,0.02,0,0
岐阜県,7,0.13,0,0,1,0.02,2,0.04,0,0,1,0.02,0,0,3,0.06
静岡県,6,0.07,2,0.02,1,0.01,1,0.01,0,0,0,0,1,0.01,1,0.01
愛知県,7,0.04,1,0.01,0,0,2,0.01,2,0.01,1,0.01,1,0.01,0,0
三重県,7,0.16,1,0.02,0,0,0,0,1,0.02,4,0.09,0,0,1,0.02
滋賀県,7,0.2,0,0,1,0.03,0,0,1,0.03,3,0.08,1,0.03,1,0.03
京都府,11,0.15,0,0,0,0,3,0.04,4,0.05,1,0.01,3,0.04,0,0
大阪府,77,0.39,15,0.08,3,0.02,9,0.05,15,0.08,10,0.05,11,0.06,14,0.07
兵庫県,31,0.24,5,0.04,2,0.02,6,0.05,4,0.03,10,0.08,1,0.01,3,0.02
奈良県,9,0.27,0,0,6,0.18,1,0.03,1,0.03,0,0,1,0.03,0,0
和歌山県,4,0.13,0,0,2,0.07,0,0,2,0.07,0,0,0,0,0,0
鳥取県,1,0.05,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0
島根県,1,0.04,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0
岡山県,4,0.07,1,0.02,0,0,0,0,0,0,1,0.02,0,0,2,0.04
広島県,7,0.1,0,0,1,0.01,2,0.03,2,0.03,1,0.01,1,0.01,0,0
山口県,3,0.07,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0,0,0
徳島県,3,0.13,2,0.09,1,0.04,0,0,0,0,0,0,0,0,0,0
香川県,12,0.43,0,0,2,0.07,3,0.11,2,0.07,3,0.11,1,0.04,1,0.04
愛媛県,38,1.06,2,0.06,6,0.16,6,0.16,6,0.16,11,0.3,4,0.11,3,0.08
高知県,14,0.54,0,0,1,0.04,4,0.15,3,0.12,4,0.15,0,0,2,0.08
福岡県,17,0.14,1,0.01,3,0.03,3,0.03,4,0.03,4,0.03,2,0.02,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,6,0.14,0,0,1,0.02,0,0,2,0.05,0,0,3,0.07,0,0
熊本県,26,0.52,3,0.06,3,0.06,7,0.14,7,0.14,1,0.02,1,0.02,4,0.08
大分県,14,0.39,3,0.08,0,0,0,0,3,0.08,3,0.08,3,0.08,2,0.06
宮崎県,4,0.11,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0,1,0.03
鹿児島県,32,0.63,5,0.1,8,0.16,3,0.06,5,0.1,3,0.06,6,0.12,2,0.04
沖縄県,6,0.19,2,0.06,0,0,1,0.03,1,0.03,0,0,2,0.06,0,0
,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,575,0.18,43,0.01,83,0.03,100,0.03,96,0.03,91,0.03,72,0.02,90,0.03
北海道,18,0.13,0,0,2,0.01,2,0.01,3,0.02,4,0.03,3,0.02,4,0.03
青森県,4,0.11,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,1,0.03
岩手県,15,0.39,0,0,2,0.05,6,0.15,0,0,2,0.05,2,0.05,3,0.08
宮城県,12,0.22,1,0.02,2,0.04,1,0.02,0,0,2,0.04,3,0.05,3,0.05
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,4,0.14,0,0,0,0,0,0,2,0.07,0,0,1,0.04,1,0.04
福島県,4,0.08,0,0,1,0.02,1,0.02,1,0.02,0,0,0,0,1,0.02
茨城県,11,0.15,1,0.01,0,0,2,0.03,1,0.01,0,0,2,0.03,5,0.07
栃木県,8,0.17,2,0.04,0,0,0,0,0,0,2,0.04,2,0.04,2,0.04
群馬県,14,0.26,0,0,3,0.06,3,0.06,5,0.09,2,0.04,0,0,1,0.02
埼玉県,56,0.34,7,0.04,7,0.04,10,0.06,12,0.07,8,0.05,6,0.04,6,0.04
千葉県,27,0.22,5,0.04,4,0.03,2,0.02,7,0.06,4,0.03,2,0.02,3,0.02
東京都,77,0.3,0,0,16,0.06,15,0.06,10,0.04,13,0.05,13,0.05,10,0.04
神奈川県,44,0.19,0,0,5,0.02,9,0.04,11,0.05,9,0.04,2,0.01,8,0.03
新潟県,7,0.13,1,0.02,1,0.02,2,0.04,1,0.02,0,0,0,0,2,0.04
富山県,4,0.14,1,0.03,1,0.03,0,0,0,0,0,0,0,0,2,0.07
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,1,0.04,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0
山梨県,3,0.13,0,0,0,0,0,0,0,0,0,0,0,0,3,0.13
長野県,4,0.07,0,0,1,0.02,0,0,0,0,0,0,1,0.02,2,0.04
岐阜県,5,0.09,1,0.02,1,0.02,3,0.06,0,0,0,0,0,0,0,0
静岡県,26,0.29,2,0.02,2,0.02,1,0.01,3,0.03,6,0.07,8,0.09,4,0.04
