報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,
2025年02週(01月06日～01月12日),2025年01月15日作成,,,,,
神奈川県,83,2.08,5,0.15,78,1.63
新潟県,10,1,1,0.1,9,0.9
富山県,3,0.5,0,0,3,0.43
石川県,31,4.43,6,0.86,25,3.57
福井県,4,1.33,0,0,4,1.33
山梨県,31,3.44,0,0,31,3.44
長野県,50,6.25,12,2,38,3.8
岐阜県,2,0.18,0,0,2,0.18
静岡県,14,0.67,4,0.18,10,0.48
愛知県,13,0.37,0,0,13,0.37
三重県,1,0.11,0,0,1,0.08
滋賀県,0,0,0,0,0,0
京都府,4,0.27,0,0,4,0.27
大阪府,26,0.5,0,0,26,0.5
兵庫県,47,1.52,6,0.21,41,1.17
奈良県,5,0.83,0,0,5,0.5
和歌山県,6,2,0,0,6,1.5
鳥取県,2,0.4,0,0,2,0.4
島根県,0,0,0,0,0,0
岡山県,12,1,1,0.08,11,0.92
広島県,45,3.21,2,0.2,43,2.26
山口県,20,2.22,0,0,20,2.22
徳島県,0,0,0,0,0,0
香川県,3,0.6,0,0,3,0.6
愛媛県,30,4.29,4,0.67,26,3.25
高知県,1,0.33,0,0,1,0.33
福岡県,15,0.58,4,0.15,11,0.42
佐賀県,0,0,0,0,0,0
長崎県,22,2.75,7,0.88,15,1.88
熊本県,18,2,4,0.44,14,1.56
大分県,14,2.8,10,2,4,0.8
宮崎県,3,0.6,1,0.25,2,0.33
鹿児島県,7,1,3,0.43,4,0.57
沖縄県,20,2.22,0,0,20,2.22
,,,,,,
細菌性髄膜炎,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,19,0.04,8,0.02,11,0.02
北海道,0,0,0,0,0,0
青森県,0,0,0,0,0,0
岩手県,1,0.05,0,0,1,0.05
宮城県,0,0,0,0,0,0
秋田県,0,0,0,0,0,0
山形県,0,0,0,0,0,0
福島県,0,0,0,0,0,0
茨城県,0,0,0,0,0,0
栃木県,1,0.14,0,0,1,0.14
群馬県,0,0,0,0,0,0
埼玉県,1,0.08,0,0,1,0.08
千葉県,1,0.11,0,0,1,0.11
東京都,1,0.04,0,0,1,0.04
神奈川県,0,0,0,0,0,0
新潟県,0,0,0,0,0,0
富山県,0,0,0,0,0,0
石川県,0,0,0,0,0,0
福井県,0,0,0,0,0,0
山梨県,2,0.2,2,0.2,0,0
長野県,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0
静岡県,0,0,0,0,0,0
愛知県,0,0,0,0,0,0
三重県,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0
京都府,0,0,0,0,0,0
大阪府,2,0.11,1,0.06,1,0.06
兵庫県,1,0.07,1,0.07,0,0
奈良県,1,0.17,0,0,1,0.17
和歌山県,1,0.09,0,0,1,0.09
鳥取県,0,0,0,0,0,0
島根県,0,0,0,0,0,0
岡山県,1,0.2,1,0.2,0,0
広島県,1,0.05,0,0,1,0.05
山口県,0,0,0,0,0,0
徳島県,1,0.14,0,0,1,0.14
香川県,1,0.2,0,0,1,0.2
愛媛県,0,0,0,0,0,0
高知県,0,0,0,0,0,0
福岡県,1,0.07,1,0.07,0,0
佐賀県,0,0,0,0,0,0
長崎県,1,0.08,1,0.08,0,0
熊本県,0,0,0,0,0,0
大分県,0,0,0,0,0,0
宮崎県,1,0.14,1,0.14,0,0
鹿児島県,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0
,,,,,,
無菌性髄膜炎,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,23,0.05,7,0.01,16,0.03
北海道,0,0,0,0,0,0
青森県,1,0.17,0,0,1,0.17
岩手県,0,0,0,0,0,0
宮城県,0,0,0,0,0,0
秋田県,0,0,0,0,0,0
山形県,0,0,0,0,0,0
福島県,0,0,0,0,0,0
茨城県,0,0,0,0,0,0
栃木県,0,0,0,0,0,0
群馬県,2,0.22,1,0.11,1,0.11
埼玉県,2,0.17,1,0.08,1,0.08
千葉県,0,0,0,0,0,0
東京都,4,0.16,1,0.04,3,0.12
神奈川県,1,0.08,0,0,1,0.08
新潟県,0,0,0,0,0,0
富山県,0,0,0,0,0,0
石川県,0,0,0,0,0,0
福井県,0,0,0,0,0,0
山梨県,0,0,0,0,0,0
長野県,0,0,0,0,0,0
岐阜県,4,0.8,2,0.4,2,0.4
静岡県,0,0,0,0,0,0
愛知県,1,0.07,0,0,1,0.07
三重県,0,0,0,0,0,0
滋賀県,1,0.14,1,0.14,0,0
京都府,0,0,0,0,0,0
大阪府,1,0.06,0,0,1,0.06
兵庫県,1,0.07,1,0.07,0,0
奈良県,1,0.17,0,0,1,0.17
和歌山県,0,0,0,0,0,0
鳥取県,1,0.2,0,0,1,0.2
島根県,0,0,0,0,0,0
岡山県,0,0,0,0,0,0
広島県,1,0.05,0,0,1,0.05
山口県,1,0.11,0,0,1,0.11
徳島県,0,0,0,0,0,0
香川県,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0
高知県,0,0,0,0,0,0
福岡県,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0
長崎県,0,0,0,0,0,0
熊本県,0,0,0,0,0,0
大分県,1,0.09,0,0,1,0.09
宮崎県,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0
,,,,,,
マイコプラズマ肺炎,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,898,1.87,367,0.76,531,1.11
北海道,49,2.33,11,0.5,38,1.81
青森県,21,3.5,5,0.83,16,2.67
岩手県,42,2.21,26,1.37,16,0.84
宮城県,13,1.3,5,0.5,8,0.8
秋田県,14,1.75,4,0.5,10,1.25
山形県,22,2.2,10,1,12,1.2
福島県,14,2,6,0.86,8,1.14
茨城県,31,2.38,13,1,18,1.38
栃木県,6,0.86,2,0.29,4,0.57
群馬県,14,1.56,5,0.56,9,1
埼玉県,43,3.58,24,2,19,1.58
千葉県,11,1.22,5,0.56,6,0.67
東京都,42,1.68,17,0.68,25,1
神奈川県,12,1,2,0.17,10,0.83
新潟県,34,2.62,16,1.23,18,1.38
富山県,5,1,0,0,5,1
石川県,12,2.4,7,1.4,5,1
福井県,11,1.83,4,0.67,7,1.17
山梨県,9,0.9,5,0.5,4,0.4
長野県,18,1.5,3,0.25,15,1.25
岐阜県,19,3.8,10,2,9,1.8
静岡県,19,1.9,4,0.4,15,1.5
愛知県,31,2.07,10,0.67,21,1.4
三重県,8,0.89,2,0.22,6,0.67
滋賀県,3,0.43,0,0,3,0.43
京都府,16,2.29,6,0.86,10,1.43
大阪府,19,1.06,7,0.39,12,0.67
兵庫県,56,4,13,0.93,43,3.07
奈良県,11,1.83,6,1,5,0.83
和歌山県,18,1.64,7,0.64,11,1
鳥取県,10,2,7,1.4,3,0.6
島根県,10,1.25,4,0.5,6,0.75
岡山県,20,4,17,3.4,3,0.6
広島県,79,3.95,50,2.5,29,1.45
山口県,12,1.33,5,0.56,7,0.78
徳島県,3,0.43,0,0,3,0.43
香川県,13,2.6,8,1.6,5,1
愛媛県,5,0.83,2,0.33,3,0.5
高知県,18,2.25,3,0.38,15,1.88
福岡県,37,2.47,10,0.67,27,1.8
佐賀県,9,1.5,5,0.83,4,0.67
長崎県,15,1.25,6,0.5,9,0.75
熊本県,14,0.93,5,0.33,9,0.6
大分県,3,0.27,1,0.09,2,0.18
宮崎県,9,1.29,2,0.29,7,1
鹿児島県,13,1.08,4,0.33,9,0.75
沖縄県,5,0.71,3,0.43,2,0.29
,,,,,,
クラミジア肺炎,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,2,0,0,0,2,0
北海道,0,0,0,0,0,0
青森県,0,0,0,0,0,0
岩手県,0,0,0,0,0,0
宮城県,0,0,0,0,0,0
秋田県,0,0,0,0,0,0
山形県,0,0,0,0,0,0
福島県,0,0,0,0,0,0
茨城県,0,0,0,0,0,0
栃木県,0,0,0,0,0,0
群馬県,0,0,0,0,0,0
埼玉県,0,0,0,0,0,0
千葉県,0,0,0,0,0,0
東京都,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0
新潟県,0,0,0,0,0,0
富山県,0,0,0,0,0,0
石川県,0,0,0,0,0,0
福井県,1,0.17,0,0,1,0.17
山梨県,0,0,0,0,0,0
長野県,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0
静岡県,0,0,0,0,0,0
愛知県,0,0,0,0,0,0
三重県,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0
京都府,0,0,0,0,0,0
大阪府,1,0.06,0,0,1,0.06
兵庫県,0,0,0,0,0,0
奈良県,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0
島根県,0,0,0,0,0,0
岡山県,0,0,0,0,0,0
広島県,0,0,0,0,0,0
山口県,0,0,0,0,0,0
徳島県,0,0,0,0,0,0
香川県,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0
高知県,0,0,0,0,0,0
福岡県,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0
長崎県,0,0,0,0,0,0
熊本県,0,0,0,0,0,0
大分県,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0
,,,,,,
感染性胃腸炎（ロタウイルス）,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,16,0.03,12,0.03,4,0.01
北海道,0,0,0,0,0,0
青森県,0,0,0,0,0,0
岩手県,0,0,0,0,0,0
宮城県,0,0,0,0,0,0
秋田県,0,0,0,0,0,0
山形県,0,0,0,0,0,0
福島県,0,0,0,0,0,0
茨城県,0,0,0,0,0,0
栃木県,0,0,0,0,0,0
群馬県,1,0.11,1,0.11,0,0
埼玉県,1,0.08,1,0.08,0,0
千葉県,0,0,0,0,0,0
東京都,1,0.04,1,0.04,0,0
神奈川県,0,0,0,0,0,0
新潟県,0,0,0,0,0,0
富山県,0,0,0,0,0,0
石川県,0,0,0,0,0,0
福井県,0,0,0,0,0,0
山梨県,0,0,0,0,0,0
長野県,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0
静岡県,0,0,0,0,0,0
愛知県,0,0,0,0,0,0
三重県,1,0.11,1,0.11,0,0
滋賀県,0,0,0,0,0,0
京都府,0,0,0,0,0,0
大阪府,3,0.17,2,0.11,1,0.06
兵庫県,3,0.21,0,0,3,0.21
奈良県,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0
島根県,0,0,0,0,0,0
岡山県,0,0,0,0,0,0
広島県,0,0,0,0,0,0
山口県,0,0,0,0,0,0
徳島県,0,0,0,0,0,0
香川県,0,0,0,0,0,0
愛媛県,1,0.17,1,0.17,0,0
高知県,1,0.13,1,0.13,0,0
福岡県,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0
長崎県,4,0.33,4,0.33,0,0
熊本県,0,0,0,0,0,0
大分県,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0
,,,,,,
COVID-19,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,57226,12.54,22369,5.32,34857,7.08
北海道,4515,22.13,2178,11.65,2337,10.57
青森県,942,18.12,443,9.43,499,8.6
岩手県,1542,24.87,747,12.05,795,12.82
宮城県,1492,16.4,401,4.41,1091,11.99
秋田県,547,15.19,106,5.05,441,8.48
山形県,432,12.71,119,4.58,313,7.45
福島県,2032,24.78,1091,13.3,941,11.48
茨城県,2579,23.45,1222,12.22,1357,11.31
栃木県,1206,19.14,387,7.59,819,10.78
群馬県,1172,16.74,378,6.87,794,9.34
埼玉県,2950,14.9,901,6.67,2049,7.85
千葉県,2310,12.42,726,4.22,1584,7.88
東京都,1989,5.38,428,1.33,1561,3.73
神奈川県,2203,7.39,424,1.77,1779,4.97
新潟県,1174,13.65,375,4.31,799,9.29
富山県,535,11.63,131,2.91,404,8.42
石川県,509,10.6,175,3.65,334,6.96
福井県,328,8.41,128,3.28,200,5.13
山梨県,580,14.15,142,3.46,438,10.68
長野県,1653,21.75,703,10.82,950,10.8
岐阜県,2035,23.39,1210,13.91,825,9.48
静岡県,2015,14.5,765,5.5,1250,8.99
愛知県,3654,18.74,1868,9.58,1786,9.16
三重県,825,13.1,287,5.31,538,7.47
滋賀県,753,15.06,347,8.46,406,6.77
京都府,1027,8.56,407,3.48,620,5
大阪府,1865,6.18,728,2.41,1137,3.76
兵庫県,1552,8.48,499,2.94,1053,5.35
奈良県,435,11.76,76,3.8,359,6.53
和歌山県,408,8.87,154,3.42,254,5.29
鳥取県,410,14.14,237,8.17,173,5.97
島根県,358,9.42,188,4.95,170,4.47
岡山県,1095,13.04,464,5.52,631,7.51
広島県,1234,11.98,547,6.15,687,5.87
山口県,587,8.76,154,2.3,433,6.46
徳島県,668,18.05,242,6.54,426,11.51
香川県,681,14.49,323,6.87,358,7.62
愛媛県,610,11.96,162,3.68,448,7.59
高知県,860,19.55,402,9.14,458,10.41
福岡県,1285,6.52,549,2.79,736,3.74
佐賀県,413,11.16,162,4.5,251,6.44
長崎県,940,13.43,351,5.01,589,8.41
熊本県,722,9.14,229,2.9,493,6.24
大分県,608,10.48,264,4.55,344,5.93
宮崎県,587,10.67,178,3.42,409,7.05
鹿児島県,694,7.8,245,2.75,449,5.04
沖縄県,215,3.84,126,2.25,89,1.59
