報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,
2024年06週(02月05日～02月11日),2024年02月14日作成,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
岡山県,27,0.5,6,0.11,4,0.07,5,0.09,3,0.06,3,0.06,6,0.11
広島県,60,0.87,14,0.2,8,0.11,16,0.23,4,0.06,8,0.12,10,0.15
山口県,23,0.53,6,0.14,5,0.12,5,0.12,1,0.02,5,0.12,1,0.02
徳島県,4,0.17,0,0,0,0,1,0.04,0,0,2,0.09,1,0.04
香川県,17,0.61,6,0.21,2,0.07,3,0.11,1,0.04,3,0.11,2,0.07
愛媛県,30,0.83,5,0.14,2,0.05,8,0.22,3,0.08,7,0.19,5,0.14
高知県,11,0.42,2,0.08,4,0.15,2,0.08,1,0.04,1,0.04,1,0.04
福岡県,175,1.46,33,0.28,24,0.2,24,0.2,36,0.3,34,0.28,24,0.2
佐賀県,18,0.78,5,0.22,4,0.17,6,0.26,1,0.04,2,0.09,0,0
長崎県,33,0.75,3,0.07,6,0.14,4,0.09,7,0.16,6,0.14,7,0.16
熊本県,72,1.44,4,0.08,11,0.22,23,0.46,5,0.1,26,0.52,3,0.06
大分県,19,0.53,5,0.14,2,0.06,2,0.06,3,0.08,5,0.14,2,0.06
宮崎県,13,0.36,3,0.08,1,0.03,2,0.06,4,0.11,2,0.06,1,0.03
鹿児島県,21,0.41,5,0.1,2,0.04,4,0.08,1,0.02,6,0.12,3,0.06
沖縄県,48,1.55,8,0.26,8,0.26,9,0.29,7,0.23,9,0.29,7,0.23
,,,,,,,,,,,,,,
手足口病,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3299,1.06,442,0.14,411,0.13,547,0.17,626,0.2,684,0.22,589,0.19
北海道,21,0.15,5,0.04,6,0.04,2,0.01,5,0.04,1,0.01,2,0.01
青森県,25,0.68,3,0.08,6,0.16,7,0.19,4,0.11,2,0.05,3,0.08
岩手県,54,1.42,6,0.15,7,0.18,14,0.36,9,0.23,13,0.33,5,0.13
宮城県,20,0.36,4,0.07,5,0.09,3,0.05,1,0.02,4,0.07,3,0.05
秋田県,40,1.25,2,0.06,6,0.18,3,0.09,14,0.42,8,0.24,7,0.22
山形県,76,2.71,2,0.07,9,0.32,8,0.29,12,0.43,14,0.5,31,1.11
福島県,11,0.22,2,0.04,1,0.02,2,0.04,0,0,2,0.04,4,0.08
茨城県,16,0.21,8,0.11,4,0.05,0,0,2,0.03,0,0,2,0.03
栃木県,45,0.94,7,0.15,9,0.19,10,0.21,7,0.15,7,0.15,5,0.1
群馬県,103,1.98,14,0.26,14,0.26,30,0.57,17,0.32,18,0.34,10,0.19
埼玉県,75,0.46,5,0.03,12,0.07,15,0.09,13,0.08,16,0.1,14,0.09
千葉県,29,0.23,11,0.09,6,0.05,3,0.02,4,0.03,2,0.02,3,0.02
東京都,131,0.5,32,0.13,25,0.1,16,0.06,21,0.08,16,0.06,21,0.08
神奈川県,70,0.31,8,0.04,6,0.03,12,0.05,8,0.03,18,0.08,18,0.08
新潟県,42,0.76,7,0.13,7,0.13,4,0.07,7,0.13,13,0.24,4,0.07
富山県,27,0.93,3,0.1,3,0.1,5,0.17,6,0.21,6,0.21,4,0.14
石川県,35,1.3,3,0.11,5,0.19,2,0.07,9,0.32,13,0.46,3,0.11
福井県,38,1.52,7,0.28,5,0.2,3,0.12,5,0.2,9,0.36,9,0.36
山梨県,33,1.38,10,0.42,4,0.17,3,0.13,7,0.29,5,0.21,4,0.17
長野県,26,0.48,12,0.22,2,0.04,2,0.04,7,0.13,1,0.02,2,0.04
岐阜県,17,0.32,4,0.08,4,0.08,3,0.06,2,0.04,1,0.02,3,0.06
静岡県,42,0.47,3,0.03,4,0.04,4,0.04,10,0.11,8,0.09,13,0.15
愛知県,32,0.18,3,0.02,7,0.04,9,0.05,2,0.01,7,0.04,4,0.02
三重県,28,0.62,1,0.02,3,0.07,6,0.13,6,0.13,4,0.09,8,0.18
滋賀県,40,1.14,3,0.08,12,0.33,5,0.14,6,0.17,12,0.33,2,0.06
京都府,100,1.33,12,0.16,8,0.11,13,0.17,26,0.35,23,0.31,18,0.24
大阪府,493,2.5,67,0.34,49,0.25,82,0.42,102,0.52,110,0.56,83,0.42
兵庫県,139,1.09,19,0.15,20,0.16,23,0.18,29,0.23,23,0.18,25,0.2
奈良県,58,1.71,17,0.5,9,0.26,12,0.35,3,0.09,11,0.32,6,0.18
和歌山県,56,1.87,6,0.2,12,0.4,11,0.37,11,0.37,10,0.33,6,0.2
鳥取県,16,0.84,0,0,1,0.05,4,0.21,4,0.21,5,0.26,2,0.11
島根県,20,0.87,0,0,0,0,4,0.17,5,0.22,7,0.3,4,0.17
岡山県,62,1.15,11,0.2,8,0.15,9,0.17,8,0.15,5,0.09,21,0.39
広島県,95,1.38,3,0.04,11,0.16,15,0.21,18,0.26,31,0.45,17,0.25
山口県,14,0.33,2,0.05,2,0.05,3,0.07,1,0.02,4,0.09,2,0.05
徳島県,43,1.87,8,0.35,2,0.09,1,0.04,11,0.48,14,0.61,7,0.3
香川県,93,3.32,4,0.14,4,0.14,5,0.18,30,1.07,23,0.82,27,0.96
愛媛県,83,2.31,14,0.39,14,0.38,20,0.54,14,0.38,10,0.27,11,0.3
高知県,22,0.85,4,0.15,5,0.19,6,0.23,0,0,5,0.19,2,0.08
福岡県,219,1.83,27,0.23,28,0.23,37,0.31,46,0.38,45,0.38,36,0.3
佐賀県,30,1.3,1,0.04,3,0.13,6,0.26,5,0.22,11,0.48,4,0.17
長崎県,78,1.77,14,0.32,5,0.11,9,0.2,13,0.3,19,0.43,18,0.41
熊本県,121,2.42,13,0.26,12,0.24,20,0.4,24,0.48,23,0.46,29,0.58
大分県,62,1.72,8,0.22,3,0.08,4,0.11,12,0.33,21,0.58,14,0.39
宮崎県,141,3.92,14,0.39,13,0.36,28,0.78,28,0.78,33,0.92,25,0.69
鹿児島県,252,4.94,31,0.61,26,0.51,58,1.14,44,0.86,48,0.94,45,0.88
沖縄県,26,0.84,2,0.06,4,0.13,6,0.19,8,0.26,3,0.1,3,0.1
,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,327,0.1,29,0.01,59,0.02,54,0.02,63,0.02,61,0.02,61,0.02
北海道,2,0.01,1,0.01,1,0.01,0,0,0,0,0,0,0,0
青森県,3,0.08,0,0,1,0.03,0,0,1,0.03,0,0,1,0.03
岩手県,2,0.05,0,0,0,0,0,0,0,0,0,0,2,0.05
宮城県,5,0.09,1,0.02,0,0,0,0,4,0.07,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,8,0.29,1,0.04,3,0.11,0,0,1,0.04,2,0.07,1,0.04
福島県,8,0.16,0,0,1,0.02,4,0.08,1,0.02,1,0.02,1,0.02
茨城県,6,0.08,1,0.01,1,0.01,1,0.01,1,0.01,2,0.03,0,0
栃木県,2,0.04,0,0,0,0,2,0.04,0,0,0,0,0,0
群馬県,4,0.08,0,0,1,0.02,2,0.04,0,0,1,0.02,0,0
埼玉県,17,0.1,1,0.01,3,0.02,4,0.02,5,0.03,3,0.02,1,0.01
千葉県,6,0.05,0,0,1,0.01,2,0.02,2,0.02,0,0,1,0.01
東京都,113,0.43,7,0.03,26,0.1,18,0.07,21,0.08,20,0.08,21,0.08
神奈川県,46,0.2,2,0.01,5,0.02,11,0.05,6,0.03,7,0.03,15,0.07
新潟県,4,0.07,0,0,1,0.02,0,0,3,0.05,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,2,0.07,1,0.04,0,0,0,0,0,0,0,0,1,0.04
福井県,4,0.16,2,0.08,1,0.04,1,0.04,0,0,0,0,0,0
山梨県,1,0.04,0,0,0,0,0,0,1,0.04,0,0,0,0
長野県,1,0.02,0,0,0,0,0,0,0,0,1,0.02,0,0
岐阜県,1,0.02,1,0.02,0,0,0,0,0,0,0,0,0,0
静岡県,5,0.06,0,0,0,0,1,0.01,0,0,4,0.04,0,0
愛知県,4,0.02,3,0.02,0,0,0,0,0,0,0,0,1,0.01
三重県,3,0.07,0,0,0,0,1,0.02,1,0.02,1,0.02,0,0
滋賀県,2,0.06,0,0,0,0,1,0.03,0,0,0,0,1,0.03
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,14,0.07,1,0.01,6,0.03,0,0,1,0.01,2,0.01,4,0.02
兵庫県,10,0.08,0,0,2,0.02,1,0.01,4,0.03,1,0.01,2,0.02
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0
岡山県,10,0.19,3,0.06,1,0.02,2,0.04,2,0.04,2,0.04,0,0
広島県,5,0.07,1,0.01,1,0.01,0,0,0,0,2,0.03,1,0.01
山口県,1,0.02,0,0,0,0,0,0,0,0,1,0.02,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,3,0.11,0,0,0,0,0,0,0,0,3,0.11,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,3,0.12,1,0.04,0,0,0,0,1,0.04,1,0.04,0,0
福岡県,4,0.03,1,0.01,1,0.01,1,0.01,1,0.01,0,0,0,0
佐賀県,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04
長崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,10,0.2,0,0,1,0.02,0,0,3,0.06,2,0.04,4,0.08
大分県,4,0.11,0,0,0,0,0,0,3,0.08,0,0,1,0.03
宮崎県,4,0.11,0,0,0,0,0,0,0,0,4,0.11,0,0
鹿児島県,4,0.08,0,0,1,0.02,1,0.02,0,0,1,0.02,1,0.02
沖縄県,4,0.13,0,0,1,0.03,1,0.03,1,0.03,0,0,1,0.03
,,,,,,,,,,,,,,
突発性発しん,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3502,1.12,358,0.12,643,0.21,655,0.21,638,0.2,631,0.2,577,0.18
北海道,80,0.58,9,0.07,14,0.1,15,0.11,17,0.12,12,0.09,13,0.09
青森県,46,1.24,5,0.14,4,0.11,6,0.16,8,0.22,9,0.24,14,0.38
岩手県,75,1.97,8,0.21,15,0.38,9,0.23,13,0.33,11,0.28,19,0.5
宮城県,82,1.49,9,0.16,19,0.35,8,0.15,11,0.2,21,0.38,14,0.25
秋田県,27,0.84,1,0.03,8,0.24,6,0.18,5,0.15,5,0.15,2,0.06
山形県,55,1.96,6,0.21,7,0.25,14,0.5,11,0.39,11,0.39,6,0.21
福島県,82,1.67,7,0.14,14,0.29,12,0.24,17,0.35,14,0.29,18,0.37
茨城県,32,0.43,4,0.05,7,0.09,8,0.11,3,0.04,4,0.05,6,0.08
栃木県,60,1.25,6,0.13,13,0.27,9,0.19,13,0.27,11,0.23,8,0.17
群馬県,69,1.33,6,0.11,9,0.17,9,0.17,16,0.3,18,0.34,11,0.21
埼玉県,185,1.14,21,0.13,28,0.17,43,0.26,34,0.21,29,0.18,30,0.19
千葉県,136,1.09,15,0.12,22,0.17,15,0.12,32,0.26,31,0.24,21,0.17
東京都,313,1.2,25,0.1,63,0.24,62,0.24,55,0.21,65,0.25,43,0.16
神奈川県,215,0.95,14,0.06,41,0.18,44,0.19,36,0.16,42,0.19,38,0.17
新潟県,67,1.22,7,0.13,14,0.25,11,0.2,9,0.16,11,0.2,15,0.27
富山県,28,0.97,1,0.03,7,0.24,3,0.1,6,0.21,5,0.17,6,0.21
石川県,27,1,4,0.15,5,0.19,9,0.33,2,0.07,3,0.11,4,0.14
福井県,27,1.08,5,0.2,8,0.32,1,0.04,7,0.28,1,0.04,5,0.2
山梨県,28,1.17,2,0.08,5,0.21,8,0.33,6,0.25,3,0.13,4,0.17
長野県,37,0.69,7,0.13,7,0.13,8,0.15,5,0.09,8,0.15,2,0.04
岐阜県,67,1.26,4,0.08,10,0.19,20,0.38,12,0.23,9,0.17,12,0.23
静岡県,89,1,6,0.07,20,0.22,12,0.13,19,0.21,15,0.17,17,0.19
愛知県,125,0.69,14,0.08,21,0.12,28,0.15,19,0.1,23,0.13,20,0.11
三重県,51,1.13,5,0.11,8,0.18,9,0.2,8,0.18,12,0.27,9,0.2
滋賀県,28,0.8,2,0.06,6,0.17,8,0.23,3,0.09,6,0.17,3,0.08
京都府,49,0.65,1,0.01,8,0.11,10,0.13,8,0.11,10,0.13,12,0.16
大阪府,176,0.89,19,0.1,36,0.18,32,0.16,31,0.16,30,0.15,28,0.14
兵庫県,116,0.91,13,0.1,27,0.21,31,0.24,19,0.15,13,0.1,13,0.1
奈良県,36,1.06,7,0.21,5,0.15,9,0.26,5,0.15,3,0.09,7,0.21
和歌山県,28,0.93,6,0.2,5,0.17,4,0.13,9,0.3,2,0.07,2,0.07
鳥取県,16,0.84,1,0.05,2,0.11,4,0.21,2,0.11,4,0.21,3,0.16
島根県,32,1.39,3,0.13,10,0.43,6,0.26,8,0.35,1,0.04,4,0.17
岡山県,55,1.02,4,0.07,16,0.3,11,0.2,8,0.15,8,0.15,8,0.15
広島県,72,1.04,8,0.11,10,0.14,15,0.21,16,0.23,13,0.19,10,0.15
山口県,62,1.44,7,0.16,11,0.26,12,0.28,8,0.19,12,0.28,12,0.28
徳島県,28,1.22,3,0.13,4,0.17,4,0.17,7,0.3,6,0.26,4,0.17
香川県,30,1.07,2,0.07,4,0.14,6,0.21,5,0.18,8,0.29,5,0.18
愛媛県,68,1.89,6,0.17,12,0.32,12,0.32,10,0.27,16,0.43,12,0.32
高知県,27,1.04,1,0.04,4,0.15,4,0.15,6,0.23,5,0.19,7,0.27
福岡県,213,1.78,26,0.22,41,0.34,36,0.3,37,0.31,39,0.33,34,0.28
佐賀県,43,1.87,3,0.13,9,0.39,11,0.48,7,0.3,6,0.26,7,0.3
長崎県,52,1.18,7,0.16,6,0.14,5,0.11,13,0.3,13,0.3,8,0.18
熊本県,128,2.56,12,0.24,26,0.52,21,0.42,25,0.5,25,0.5,19,0.38
大分県,86,2.39,11,0.31,16,0.44,14,0.39,17,0.47,13,0.36,15,0.42
宮崎県,62,1.72,13,0.36,6,0.17,11,0.31,12,0.33,10,0.28,10,0.28
鹿児島県,72,1.41,7,0.14,7,0.14,19,0.37,12,0.24,12,0.24,15,0.29
沖縄県,20,0.65,5,0.16,3,0.1,1,0.03,6,0.19,3,0.1,2,0.06
,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,471,0.15,66,0.02,75,0.02,93,0.03,92,0.03,84,0.03,61,0.02
北海道,6,0.04,1,0.01,1,0.01,1,0.01,3,0.02,0,0,0,0
青森県,3,0.08,0,0,1,0.03,1,0.03,1,0.03,0,0,0,0
岩手県,10,0.26,0,0,3,0.08,6,0.15,1,0.03,0,0,0,0
宮城県,3,0.05,0,0,1,0.02,0,0,1,0.02,1,0.02,0,0
秋田県,2,0.06,0,0,1,0.03,1,0.03,0,0,0,0,0,0
山形県,2,0.07,0,0,1,0.04,0,0,1,0.04,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,18,0.24,3,0.04,3,0.04,5,0.07,3,0.04,2,0.03,2,0.03
栃木県,2,0.04,1,0.02,0,0,0,0,1,0.02,0,0,0,0
群馬県,7,0.13,0,0,0,0,4,0.08,1,0.02,1,0.02,1,0.02
埼玉県,14,0.09,2,0.01,4,0.02,2,0.01,1,0.01,3,0.02,2,0.01
千葉県,6,0.05,1,0.01,0,0,1,0.01,1,0.01,0,0,3,0.02
東京都,13,0.05,2,0.01,4,0.02,3,0.01,1,0,2,0.01,1,0
神奈川県,32,0.14,2,0.01,5,0.02,4,0.02,4,0.02,10,0.04,7,0.03
新潟県,5,0.09,1,0.02,1,0.02,1,0.02,1,0.02,1,0.02,0,0
富山県,23,0.79,5,0.17,5,0.17,5,0.17,4,0.14,2,0.07,2,0.07
石川県,3,0.11,1,0.04,0,0,1,0.04,0,0,0,0,1,0.04
福井県,3,0.12,1,0.04,0,0,0,0,2,0.08,0,0,0,0
山梨県,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0
長野県,6,0.11,1,0.02,0,0,4,0.07,0,0,0,0,1,0.02
岐阜県,4,0.08,0,0,1,0.02,2,0.04,0,0,1,0.02,0,0
静岡県,5,0.06,2,0.02,1,0.01,1,0.01,0,0,0,0,1,0.01
愛知県,7,0.04,1,0.01,0,0,2,0.01,2,0.01,1,0.01,1,0.01
三重県,6,0.13,1,0.02,0,0,0,0,1,0.02,4,0.09,0,0
滋賀県,6,0.17,0,0,1,0.03,0,0,1,0.03,3,0.08,1,0.03
京都府,11,0.15,0,0,0,0,3,0.04,4,0.05,1,0.01,3,0.04
大阪府,61,0.31,15,0.08,3,0.02,9,0.05,15,0.08,10,0.05,9,0.05
兵庫県,28,0.22,5,0.04,2,0.02,6,0.05,4,0.03,10,0.08,1,0.01
奈良県,9,0.26,0,0,6,0.18,1,0.03,1,0.03,0,0,1,0.03
和歌山県,4,0.13,0,0,2,0.07,0,0,2,0.07,0,0,0,0
鳥取県,1,0.05,0,0,0,0,0,0,0,0,0,0,1,0.05
島根県,1,0.04,0,0,1,0.04,0,0,0,0,0,0,0,0
岡山県,2,0.04,1,0.02,0,0,0,0,0,0,1,0.02,0,0
広島県,7,0.1,0,0,1,0.01,2,0.03,2,0.03,1,0.01,1,0.01
山口県,3,0.07,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0
徳島県,3,0.13,2,0.09,1,0.04,0,0,0,0,0,0,0,0
香川県,11,0.39,0,0,2,0.07,3,0.11,2,0.07,3,0.11,1,0.04
愛媛県,35,0.97,2,0.06,6,0.16,6,0.16,6,0.16,11,0.3,4,0.11
高知県,12,0.46,0,0,1,0.04,4,0.15,3,0.12,4,0.15,0,0
福岡県,17,0.14,1,0.01,3,0.03,3,0.03,4,0.03,4,0.03,2,0.02
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,6,0.14,0,0,1,0.02,0,0,2,0.05,0,0,3,0.07
熊本県,22,0.44,3,0.06,3,0.06,7,0.14,7,0.14,1,0.02,1,0.02
大分県,12,0.33,3,0.08,0,0,0,0,3,0.08,3,0.08,3,0.08
宮崎県,3,0.08,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0
鹿児島県,30,0.59,5,0.1,8,0.16,3,0.06,5,0.1,3,0.06,6,0.12
沖縄県,6,0.19,2,0.06,0,0,1,0.03,1,0.03,0,0,2,0.06
,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,485,0.16,43,0.01,83,0.03,100,0.03,96,0.03,91,0.03,72,0.02
北海道,14,0.1,0,0,2,0.01,2,0.01,3,0.02,4,0.03,3,0.02
青森県,3,0.08,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0
岩手県,12,0.32,0,0,2,0.05,6,0.15,0,0,2,0.05,2,0.05
宮城県,9,0.16,1,0.02,2,0.04,1,0.02,0,0,2,0.04,3,0.05
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,3,0.11,0,0,0,0,0,0,2,0.07,0,0,1,0.04
福島県,3,0.06,0,0,1,0.02,1,0.02,1,0.02,0,0,0,0
茨城県,6,0.08,1,0.01,0,0,2,0.03,1,0.01,0,0,2,0.03
栃木県,6,0.13,2,0.04,0,0,0,0,0,0,2,0.04,2,0.04
群馬県,13,0.25,0,0,3,0.06,3,0.06,5,0.09,2,0.04,0,0
埼玉県,50,0.31,7,0.04,7,0.04,10,0.06,12,0.07,8,0.05,6,0.04
千葉県,24,0.19,5,0.04,4,0.03,2,0.02,7,0.06,4,0.03,2,0.02
東京都,67,0.26,0,0,16,0.06,15,0.06,10,0.04,13,0.05,13,0.05
神奈川県,36,0.16,0,0,5,0.02,9,0.04,11,0.05,9,0.04,2,0.01
新潟県,5,0.09,1,0.02,1,0.02,2,0.04,1,0.02,0,0,0,0
富山県,2,0.07,1,0.03,1,0.03,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,1,0.04,0,0,0,0,1,0.04,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,2,0.04,0,0,1,0.02,0,0,0,0,0,0,1,0.02
岐阜県,5,0.09,1,0.02,1,0.02,3,0.06,0,0,0,0,0,0
静岡県,22,0.25,2,0.02,2,0.02,1,0.01,3,0.03,6,0.07,8,0.09
愛知県,23,0.13,3,0.02,2,0.01,4,0.02,7,0.04,2,0.01,5,0.03
三重県,2,0.04,0,0,0,0,1,0.02,0,0,0,0,1,0.02
滋賀県,3,0.09,1,0.03,0,0,1,0.03,0,0,1,0.03,0,0
京都府,10,0.13,1,0.01,3,0.04,2,0.03,1,0.01,3,0.04,0,0
大阪府,26,0.13,4,0.02,3,0.02,5,0.03,6,0.03,5,0.03,3,0.02
兵庫県,20,0.16,1,0.01,5,0.04,5,0.04,2,0.02,5,0.04,2,0.02
奈良県,3,0.09,0,0,0,0,0,0,1,0.03,2,0.06,0,0
和歌山県,5,0.17,0,0,1,0.03,0,0,1,0.03,2,0.07,1,0.03
鳥取県,1,0.05,0,0,0,0,0,0,1,0.05,0,0,0,0
島根県,2,0.09,0,0,1,0.04,0,0,1,0.04,0,0,0,0
岡山県,8,0.15,2,0.04,1,0.02,3,0.06,1,0.02,0,0,1,0.02
広島県,6,0.09,1,0.01,1,0.01,0,0,2,0.03,1,0.01,1,0.01
山口県,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0
徳島県,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0
香川県,6,0.21,0,0,0,0,2,0.07,1,0.04,2,0.07,1,0.04
愛媛県,8,0.22,0,0,1,0.03,2,0.05,2,0.05,2,0.05,1,0.03
高知県,1,0.04,0,0,0,0,0,0,1,0.04,0,0,0,0
福岡県,14,0.12,4,0.03,4,0.03,1,0.01,0,0,4,0.03,1,0.01
佐賀県,5,0.22,0,0,0,0,1,0.04,1,0.04,2,0.09,1,0.04
長崎県,2,0.05,0,0,0,0,0,0,1,0.02,1,0.02,0,0
熊本県,13,0.26,1,0.02,1,0.02,2,0.04,2,0.04,2,0.04,5,0.1
大分県,5,0.14,0,0,3,0.08,2,0.06,0,0,0,0,0,0
宮崎県,7,0.19,0,0,2,0.06,1,0.03,2,0.06,0,0,2,0.06
鹿児島県,15,0.29,3,0.06,0,0,7,0.14,4,0.08,0,0,1,0.02
沖縄県,15,0.48,1,0.03,6,0.19,3,0.1,1,0.03,3,0.1,1,0.03
,,,,,,,,,,,,,,
急性出血性結膜炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,44,0.06,10,0.01,11,0.02,5,0.01,6,0.01,5,0.01,7,0.01
北海道,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,1,0.14,1,0.14,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,1,0.08,0,0,0,0,1,0.08,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,1,0.08,1,0.08,0,0,0,0,0,0,0,0,0,0
群馬県,1,0.07,1,0.07,0,0,0,0,0,0,0,0,0,0
埼玉県,4,0.1,0,0,1,0.02,0,0,1,0.02,1,0.02,1,0.02
千葉県,2,0.06,1,0.03,0,0,0,0,1,0.03,0,0,0,0
東京都,2,0.05,0,0,1,0.03,0,0,1,0.03,0,0,0,0
神奈川県,2,0.04,1,0.02,0,0,1,0.02,0,0,0,0,0,0
新潟県,6,0.6,0,0,1,0.1,1,0.1,1,0.1,1,0.1,2,0.2
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,3,0.3,0,0,1,0.1,0,0,0,0,0,0,2,0.2
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,1,0.06,0,0,1,0.06,0,0,0,0,0,0,0,0
大阪府,5,0.1,2,0.04,0,0,1,0.02,1,0.02,1,0.02,0,0
兵庫県,3,0.09,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0
奈良県,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,1,0.08,1,0.08,0,0,0,0,0,0,0,0,0,0
広島県,1,0.05,1,0.05,0,0,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,7,0.88,1,0.13,3,0.38,1,0.13,0,0,1,0.13,1,0.13
熊本県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,1,0.14,0,0,1,0.14,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2686,3.88,495,0.72,619,0.89,446,0.64,409,0.59,368,0.53,349,0.5
北海道,45,1.55,7,0.24,16,0.55,8,0.28,6,0.21,6,0.21,2,0.07
