報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年16週(04月17日～04月23日),2023年04月26日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週
沖縄県,958,29.94,36,1.09,56,1.7,52,1.58,61,1.85,45,1.36,54,1.69,48,1.5,50,1.56,53,1.66,73,2.28,75,2.34,50,1.56,57,1.73,77,2.33,93,2.91,78,2.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水痘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3813,1.21,274,0.09,267,0.08,234,0.07,230,0.07,205,0.06,185,0.06,251,0.08,199,0.06,203,0.06,186,0.06,238,0.08,224,0.07,239,0.08,302,0.1,283,0.09,293,0.09
北海道,246,1.78,23,0.17,20,0.14,22,0.16,13,0.09,9,0.06,12,0.09,25,0.18,6,0.04,22,0.16,16,0.12,12,0.09,22,0.16,12,0.09,15,0.11,9,0.06,8,0.06
青森県,34,0.83,2,0.05,0,0,0,0,0,0,7,0.17,0,0,2,0.05,4,0.1,4,0.1,7,0.17,1,0.02,0,0,3,0.07,2,0.05,2,0.05,0,0
岩手県,22,0.56,1,0.03,3,0.08,0,0,2,0.05,1,0.03,0,0,1,0.03,1,0.03,1,0.03,2,0.05,2,0.05,3,0.08,2,0.05,2,0.05,1,0.03,0,0
宮城県,56,0.98,3,0.05,7,0.12,9,0.16,3,0.05,2,0.03,2,0.03,1,0.02,8,0.14,2,0.03,5,0.09,1,0.02,3,0.05,2,0.03,3,0.05,3,0.05,2,0.04
秋田県,36,1.09,2,0.06,3,0.09,1,0.03,1,0.03,1,0.03,1,0.03,2,0.06,4,0.12,2,0.06,6,0.18,3,0.09,0,0,5,0.15,1,0.03,3,0.09,1,0.03
山形県,34,1.21,6,0.21,2,0.07,0,0,1,0.03,3,0.1,0,0,3,0.1,0,0,4,0.14,0,0,4,0.14,3,0.1,2,0.07,2,0.07,2,0.07,2,0.07
福島県,29,0.58,4,0.08,2,0.04,1,0.02,1,0.02,1,0.02,2,0.04,3,0.06,0,0,2,0.04,1,0.02,2,0.04,2,0.04,1,0.02,2,0.04,2,0.04,3,0.06
茨城県,67,0.89,3,0.04,4,0.05,4,0.05,4,0.05,3,0.04,0,0,1,0.01,5,0.07,4,0.05,6,0.08,6,0.08,2,0.03,1,0.01,6,0.08,6,0.08,12,0.16
栃木県,59,1.23,3,0.06,4,0.08,4,0.08,2,0.04,2,0.04,4,0.08,3,0.06,3,0.06,4,0.08,1,0.02,4,0.08,1,0.02,4,0.08,6,0.13,8,0.17,6,0.13
群馬県,86,1.62,3,0.06,4,0.08,2,0.04,11,0.21,5,0.09,10,0.19,7,0.13,9,0.17,13,0.25,1,0.02,7,0.13,1,0.02,0,0,6,0.11,6,0.11,1,0.02
埼玉県,281,1.76,17,0.11,13,0.08,5,0.03,16,0.1,13,0.08,20,0.12,21,0.13,12,0.07,18,0.11,14,0.09,18,0.11,21,0.13,19,0.12,36,0.22,12,0.07,26,0.16
千葉県,174,1.34,20,0.16,10,0.08,12,0.09,8,0.06,8,0.06,11,0.08,10,0.08,11,0.08,4,0.03,9,0.07,10,0.08,12,0.09,16,0.12,12,0.09,17,0.13,4,0.03
東京都,348,1.34,24,0.09,18,0.07,22,0.08,23,0.09,22,0.08,12,0.05,24,0.09,11,0.04,12,0.05,13,0.05,37,0.14,20,0.08,29,0.11,31,0.12,27,0.1,23,0.09
神奈川県,202,0.89,16,0.07,16,0.07,11,0.05,11,0.05,6,0.03,10,0.04,11,0.05,17,0.07,7,0.03,8,0.04,4,0.02,9,0.04,7,0.03,33,0.15,24,0.11,12,0.05
新潟県,66,1.2,4,0.07,2,0.04,1,0.02,4,0.07,7,0.13,2,0.04,6,0.11,2,0.04,6,0.11,1,0.02,10,0.18,2,0.04,5,0.09,3,0.06,5,0.09,6,0.11
富山県,41,1.41,1,0.03,1,0.03,0,0,6,0.21,2,0.07,4,0.14,4,0.14,5,0.17,2,0.07,2,0.07,3,0.1,2,0.07,2,0.07,2,0.07,4,0.14,1,0.03
石川県,40,1.38,4,0.14,2,0.07,2,0.07,1,0.03,3,0.1,1,0.03,5,0.17,3,0.1,4,0.14,2,0.07,3,0.1,3,0.1,4,0.14,0,0,1,0.03,2,0.07
福井県,61,2.65,2,0.09,9,0.39,10,0.43,5,0.22,4,0.17,3,0.13,0,0,3,0.13,2,0.09,4,0.17,6,0.26,3,0.13,2,0.09,2,0.09,4,0.17,2,0.09
山梨県,12,0.5,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,1,0.04,0,0,1,0.04,1,0.04,2,0.08,2,0.08,0,0,4,0.17
長野県,50,0.94,2,0.04,9,0.17,2,0.04,5,0.09,4,0.07,1,0.02,2,0.04,1,0.02,5,0.09,1,0.02,4,0.08,3,0.06,1,0.02,3,0.06,5,0.09,2,0.04
岐阜県,20,0.38,0,0,1,0.02,0,0,1,0.02,0,0,1,0.02,1,0.02,1,0.02,0,0,0,0,2,0.04,3,0.06,3,0.06,4,0.08,2,0.04,1,0.02
静岡県,97,1.09,13,0.15,5,0.06,7,0.08,5,0.06,9,0.1,3,0.03,5,0.06,6,0.07,5,0.06,3,0.03,6,0.07,5,0.06,7,0.08,2,0.02,8,0.09,8,0.09
愛知県,164,0.9,12,0.07,9,0.05,11,0.06,5,0.03,6,0.03,13,0.07,20,0.11,10,0.05,9,0.05,7,0.04,4,0.02,12,0.07,12,0.07,6,0.03,12,0.07,16,0.09
三重県,77,1.75,6,0.13,1,0.02,7,0.16,5,0.11,4,0.09,1,0.02,3,0.07,3,0.07,3,0.07,2,0.04,4,0.09,2,0.04,10,0.22,6,0.13,12,0.27,8,0.18
滋賀県,57,1.63,3,0.08,3,0.08,5,0.14,2,0.06,4,0.11,3,0.08,8,0.22,3,0.08,4,0.11,2,0.06,3,0.08,4,0.11,0,0,3,0.09,3,0.08,7,0.19
京都府,147,1.96,15,0.2,18,0.24,11,0.14,8,0.11,6,0.08,3,0.04,6,0.08,2,0.03,8,0.11,5,0.07,4,0.05,11,0.15,3,0.04,10,0.13,8,0.11,29,0.39
大阪府,227,1.17,22,0.11,22,0.11,18,0.09,16,0.08,16,0.08,10,0.05,9,0.05,6,0.03,11,0.06,6,0.03,12,0.06,9,0.05,14,0.07,13,0.07,19,0.1,24,0.13
兵庫県,155,1.2,11,0.08,7,0.05,6,0.05,18,0.14,6,0.05,10,0.08,9,0.07,8,0.06,7,0.05,4,0.03,9,0.07,8,0.06,4,0.03,20,0.16,10,0.08,18,0.14
奈良県,29,0.85,1,0.03,3,0.09,2,0.06,1,0.03,3,0.09,2,0.06,2,0.06,1,0.03,1,0.03,1,0.03,3,0.09,2,0.06,3,0.09,1,0.03,2,0.06,1,0.03
和歌山県,27,0.9,0,0,1,0.03,2,0.07,4,0.13,3,0.1,0,0,5,0.17,2,0.07,1,0.03,1,0.03,0,0,3,0.1,1,0.03,3,0.1,0,0,1,0.03
鳥取県,13,0.68,1,0.05,1,0.05,0,0,0,0,1,0.05,1,0.05,1,0.05,3,0.16,0,0,0,0,2,0.11,2,0.11,0,0,0,0,0,0,1,0.05
島根県,43,1.87,1,0.04,3,0.13,4,0.17,4,0.17,1,0.04,2,0.09,2,0.09,2,0.09,1,0.04,4,0.17,7,0.3,1,0.04,3,0.13,4,0.17,4,0.17,0,0
岡山県,50,0.93,6,0.11,5,0.09,6,0.11,3,0.06,3,0.06,1,0.02,3,0.06,2,0.04,1,0.02,4,0.07,2,0.04,1,0.02,4,0.07,2,0.04,2,0.04,5,0.09
広島県,63,0.89,4,0.06,4,0.06,4,0.06,2,0.03,6,0.08,4,0.06,2,0.03,3,0.04,2,0.03,2,0.03,5,0.07,5,0.07,7,0.1,10,0.14,1,0.01,2,0.03
山口県,42,0.95,1,0.02,2,0.04,1,0.02,1,0.02,7,0.16,0,0,3,0.07,2,0.04,0,0,3,0.07,4,0.09,2,0.04,2,0.04,4,0.09,3,0.07,7,0.16
徳島県,20,0.87,1,0.04,6,0.26,1,0.04,1,0.04,0,0,3,0.13,0,0,2,0.09,1,0.04,2,0.09,1,0.04,0,0,0,0,2,0.09,0,0,0,0
香川県,25,0.89,0,0,1,0.04,1,0.04,1,0.04,0,0,0,0,6,0.21,1,0.04,1,0.04,2,0.07,0,0,2,0.07,1,0.04,2,0.07,3,0.11,4,0.14
愛媛県,25,0.69,1,0.03,2,0.05,0,0,4,0.11,1,0.03,1,0.03,1,0.03,2,0.05,1,0.03,4,0.11,0,0,4,0.11,1,0.03,0,0,1,0.03,2,0.05
高知県,24,0.89,1,0.04,2,0.07,2,0.07,1,0.04,1,0.04,1,0.04,2,0.07,0,0,1,0.04,0,0,3,0.11,2,0.07,1,0.04,0,0,5,0.19,2,0.07
福岡県,193,1.61,8,0.07,15,0.13,12,0.1,15,0.13,8,0.07,12,0.1,13,0.11,17,0.14,9,0.08,17,0.14,10,0.08,9,0.08,7,0.06,13,0.11,11,0.09,17,0.14
佐賀県,15,0.65,0,0,1,0.04,1,0.04,1,0.04,0,0,0,0,1,0.04,1,0.04,0,0,3,0.13,0,0,1,0.04,1,0.04,2,0.09,2,0.09,1,0.04
長崎県,73,1.66,11,0.25,6,0.14,4,0.09,2,0.05,3,0.07,3,0.07,7,0.16,2,0.05,4,0.09,0,0,4,0.09,3,0.07,5,0.11,5,0.11,12,0.27,2,0.05
熊本県,54,1.1,3,0.06,6,0.12,3,0.06,3,0.06,2,0.04,7,0.14,4,0.08,2,0.04,1,0.02,4,0.08,4,0.08,4,0.08,2,0.04,2,0.04,1,0.02,6,0.13
大分県,62,1.72,2,0.06,2,0.06,3,0.08,0,0,4,0.11,3,0.08,2,0.06,1,0.03,5,0.14,2,0.06,4,0.11,12,0.33,8,0.22,6,0.17,4,0.11,4,0.11
宮崎県,66,1.89,3,0.08,3,0.08,3,0.09,3,0.08,1,0.03,4,0.11,1,0.03,5,0.14,3,0.08,4,0.11,2,0.06,2,0.06,14,0.39,7,0.19,5,0.14,6,0.17
鹿児島県,50,0.94,3,0.06,5,0.09,8,0.15,1,0.02,6,0.11,0,0,1,0.02,6,0.11,1,0.02,2,0.04,3,0.06,0,0,2,0.04,4,0.08,5,0.09,3,0.06
沖縄県,51,1.59,5,0.15,4,0.12,4,0.12,6,0.18,1,0.03,1,0.03,3,0.09,1,0.03,4,0.13,3,0.09,2,0.06,2,0.06,5,0.15,2,0.06,7,0.22,1,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,4758,1.51,322,0.1,286,0.09,331,0.1,322,0.1,293,0.09,266,0.08,242,0.08,207,0.07,206,0.07,216,0.07,224,0.07,234,0.07,277,0.09,296,0.09,417,0.13,619,0.2
北海道,41,0.3,7,0.05,1,0.01,4,0.03,1,0.01,4,0.03,7,0.05,0,0,2,0.01,3,0.02,5,0.04,1,0.01,1,0.01,0,0,0,0,0,0,5,0.04
青森県,10,0.24,1,0.02,0,0,0,0,1,0.02,0,0,1,0.02,2,0.05,0,0,2,0.05,1,0.02,1,0.02,0,0,0,0,0,0,1,0.03,0,0
岩手県,17,0.44,2,0.05,2,0.05,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,2,0.05,2,0.05,1,0.03,3,0.08,2,0.05,2,0.05,0,0
宮城県,11,0.19,2,0.03,0,0,0,0,2,0.03,1,0.02,0,0,1,0.02,0,0,0,0,3,0.05,1,0.02,0,0,0,0,1,0.02,0,0,0,0
秋田県,7,0.21,0,0,0,0,0,0,1,0.03,1,0.03,1,0.03,3,0.09,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,14,0.5,0,0,0,0,0,0,1,0.03,2,0.07,2,0.07,2,0.07,1,0.03,3,0.1,0,0,0,0,1,0.03,1,0.03,1,0.04,0,0,0,0
福島県,13,0.26,0,0,0,0,2,0.04,0,0,1,0.02,2,0.04,1,0.02,0,0,0,0,0,0,0,0,0,0,2,0.04,0,0,1,0.02,4,0.08
茨城県,52,0.69,1,0.01,0,0,0,0,0,0,1,0.01,0,0,1,0.01,0,0,7,0.09,3,0.04,3,0.04,5,0.07,5,0.07,4,0.05,5,0.07,17,0.23
栃木県,25,0.52,0,0,0,0,3,0.06,9,0.19,6,0.13,2,0.04,2,0.04,0,0,0,0,0,0,1,0.02,0,0,0,0,1,0.02,0,0,1,0.02
群馬県,17,0.32,2,0.04,3,0.06,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,2,0.04,1,0.02,1,0.02,0,0,1,0.02,1,0.02,1,0.02,2,0.04
埼玉県,135,0.84,4,0.03,6,0.04,3,0.02,8,0.05,9,0.06,13,0.08,14,0.09,6,0.04,3,0.02,5,0.03,4,0.03,7,0.04,3,0.02,11,0.07,15,0.09,24,0.15
千葉県,63,0.48,4,0.03,4,0.03,2,0.02,1,0.01,0,0,0,0,2,0.02,1,0.01,1,0.01,2,0.02,2,0.02,0,0,5,0.04,1,0.01,12,0.09,26,0.2
東京都,221,0.85,13,0.05,9,0.03,8,0.03,6,0.02,12,0.05,17,0.07,16,0.06,10,0.04,3,0.01,5,0.02,11,0.04,6,0.02,7,0.03,11,0.04,35,0.13,52,0.2
神奈川県,116,0.51,9,0.04,10,0.04,9,0.04,9,0.04,8,0.04,7,0.03,4,0.02,1,0,3,0.01,10,0.04,8,0.04,9,0.04,8,0.04,4,0.02,8,0.04,9,0.04
新潟県,34,0.62,1,0.02,2,0.04,1,0.02,6,0.11,9,0.16,5,0.09,4,0.07,2,0.04,0,0,0,0,1,0.02,1,0.02,0,0,0,0,2,0.04,0,0
富山県,12,0.41,2,0.07,2,0.07,0,0,1,0.03,0,0,2,0.07,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,3,0.1
石川県,88,3.03,12,0.41,8,0.28,4,0.14,9,0.31,4,0.14,3,0.1,5,0.17,6,0.21,2,0.07,1,0.03,8,0.28,4,0.14,5,0.17,7,0.24,3,0.1,7,0.24
福井県,153,6.65,4,0.17,14,0.61,9,0.39,11,0.48,19,0.83,7,0.3,12,0.52,10,0.43,10,0.43,10,0.43,4,0.17,1,0.04,5,0.22,10,0.43,8,0.35,19,0.83
山梨県,8,0.33,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,3,0.13,0,0,0,0,1,0.04,3,0.13,0,0
長野県,16,0.3,1,0.02,3,0.06,4,0.07,2,0.04,0,0,1,0.02,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,3,0.06,1,0.02
岐阜県,34,0.65,2,0.04,0,0,0,0,1,0.02,2,0.04,0,0,1,0.02,3,0.06,1,0.02,2,0.04,2,0.04,4,0.08,4,0.08,2,0.04,5,0.09,5,0.09
静岡県,57,0.64,4,0.04,0,0,2,0.02,2,0.02,0,0,2,0.02,1,0.01,1,0.01,1,0.01,2,0.02,2,0.02,3,0.03,8,0.09,7,0.08,11,0.13,11,0.13
愛知県,86,0.47,12,0.07,6,0.03,5,0.03,2,0.01,3,0.02,1,0.01,3,0.02,3,0.02,3,0.02,1,0.01,3,0.02,4,0.02,8,0.04,7,0.04,15,0.08,10,0.05
三重県,16,0.36,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,1,0.02,2,0.04,3,0.07,1,0.02,1,0.02,1,0.02,2,0.04,0,0,2,0.04,0,0
滋賀県,22,0.63,1,0.03,2,0.06,4,0.11,3,0.08,5,0.14,0,0,0,0,1,0.03,1,0.03,0,0,2,0.06,0,0,0,0,2,0.06,0,0,1,0.03
京都府,98,1.31,11,0.14,14,0.18,22,0.29,3,0.04,6,0.08,7,0.09,7,0.09,3,0.04,2,0.03,1,0.01,5,0.07,5,0.07,1,0.01,3,0.04,2,0.03,6,0.08
大阪府,240,1.24,30,0.15,10,0.05,26,0.13,19,0.1,13,0.07,18,0.09,13,0.07,8,0.04,7,0.04,4,0.02,12,0.06,15,0.08,7,0.04,6,0.03,21,0.11,31,0.16
兵庫県,290,2.25,30,0.23,23,0.18,27,0.21,32,0.25,31,0.24,18,0.14,23,0.18,16,0.12,9,0.07,9,0.07,6,0.05,11,0.09,5,0.04,12,0.09,15,0.12,23,0.18
奈良県,83,2.44,10,0.29,12,0.35,13,0.38,4,0.12,2,0.06,12,0.35,3,0.09,1,0.03,3,0.09,3,0.09,2,0.06,1,0.03,0,0,2,0.06,5,0.15,10,0.29
和歌山県,31,1.03,9,0.3,4,0.13,4,0.13,3,0.1,2,0.07,2,0.07,2,0.07,0,0,0,0,0,0,1,0.03,0,0,2,0.07,2,0.07,0,0,0,0
鳥取県,16,0.84,1,0.05,1,0.05,5,0.26,0,0,0,0,0,0,0,0,1,0.05,1,0.05,0,0,0,0,0,0,0,0,1,0.05,4,0.21,2,0.11
島根県,71,3.09,4,0.17,8,0.35,8,0.35,15,0.65,10,0.43,5,0.22,2,0.09,3,0.13,1,0.04,8,0.35,0,0,4,0.17,0,0,0,0,1,0.04,2,0.09
岡山県,116,2.15,8,0.15,3,0.06,7,0.13,6,0.11,3,0.06,5,0.09,4,0.07,7,0.13,7,0.13,4,0.07,7,0.13,2,0.04,6,0.11,12,0.22,7,0.13,28,0.52
広島県,33,0.46,7,0.1,3,0.04,3,0.04,2,0.03,3,0.04,1,0.01,0,0,1,0.01,1,0.01,5,0.07,0,0,0,0,0,0,3,0.04,1,0.01,3,0.04
山口県,29,0.66,4,0.09,0,0,3,0.07,5,0.11,2,0.04,4,0.09,3,0.07,2,0.04,0,0,0,0,0,0,1,0.02,1,0.02,1,0.02,3,0.07,0,0
徳島県,38,1.65,5,0.22,6,0.26,3,0.13,11,0.48,9,0.39,3,0.13,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,6,0.21,3,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,1,0.04,0,0,1,0.04
愛媛県,34,0.94,10,0.27,8,0.22,4,0.11,1,0.03,1,0.03,0,0,0,0,1,0.03,0,0,0,0,1,0.03,1,0.03,1,0.03,2,0.05,3,0.08,1,0.03
高知県,96,3.56,8,0.3,6,0.22,8,0.3,5,0.19,6,0.22,5,0.19,7,0.26,6,0.22,2,0.07,7,0.26,6,0.22,5,0.19,9,0.33,7,0.26,4,0.15,5,0.19
福岡県,380,3.17,37,0.31,33,0.28,33,0.28,37,0.31,38,0.32,18,0.15,18,0.15,19,0.16,17,0.14,27,0.23,8,0.07,8,0.07,17,0.14,11,0.09,20,0.17,39,0.33
佐賀県,86,3.74,5,0.22,12,0.52,19,0.83,6,0.26,4,0.17,1,0.04,3,0.13,2,0.09,13,0.57,2,0.09,2,0.09,5,0.22,5,0.22,1,0.04,2,0.09,4,0.17
長崎県,158,3.59,6,0.14,14,0.32,12,0.27,15,0.34,17,0.39,17,0.39,4,0.09,2,0.05,0,0,7,0.16,5,0.11,0,0,9,0.2,16,0.36,11,0.25,23,0.52
熊本県,99,2.02,15,0.3,12,0.24,15,0.3,10,0.2,9,0.18,6,0.12,4,0.08,5,0.1,1,0.02,2,0.04,1,0.02,2,0.04,2,0.04,2,0.04,3,0.06,10,0.21
大分県,23,0.64,6,0.17,0,0,2,0.06,1,0.03,1,0.03,0,0,0,0,1,0.03,1,0.03,0,0,2,0.06,2,0.06,2,0.06,1,0.03,1,0.03,3,0.08
宮崎県,57,1.63,0,0,7,0.19,8,0.23,7,0.19,2,0.06,2,0.06,1,0.03,0,0,0,0,0,0,3,0.08,0,0,4,0.11,1,0.03,12,0.33,10,0.28
鹿児島県,205,3.87,16,0.3,14,0.26,19,0.35,30,0.56,12,0.22,15,0.28,9,0.17,4,0.07,6,0.11,2,0.04,4,0.07,4,0.07,8,0.15,6,0.11,11,0.21,45,0.85
沖縄県,1301,40.66,12,0.36,23,0.7,28,0.85,33,1,34,1.03,54,1.69,61,1.91,75,2.34,86,2.69,81,2.53,97,3.03,119,3.72,130,3.94,133,4.03,159,4.97,176,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,452,0.14,21,0.01,21,0.01,16,0.01,26,0.01,21,0.01,22,0.01,46,0.01,30,0.01,21,0.01,37,0.01,28,0.01,27,0.01,24,0.01,31,0.01,43,0.01,38,0.01
北海道,7,0.05,0,0,0,0,1,0.01,0,0,0,0,0,0,1,0.01,0,0,0,0,1,0.01,0,0,0,0,0,0,2,0.01,0,0,2,0.01
青森県,6,0.15,1,0.02,0,0,0,0,0,0,0,0,0,0,2,0.05,0,0,0,0,3,0.07,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,12,0.21,2,0.03,2,0.03,1,0.02,0,0,0,0,1,0.02,0,0,1,0.02,0,0,1,0.02,2,0.03,0,0,0,0,0,0,1,0.02,1,0.02
秋田県,8,0.24,0,0,0,0,2,0.06,0,0,0,0,1,0.03,1,0.03,2,0.06,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0
山形県,3,0.11,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.07,0,0,0,0,0,0
福島県,13,0.26,1,0.02,2,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,1,0.02,0,0,2,0.04,1,0.02,2,0.04,3,0.06
茨城県,7,0.09,0,0,0,0,0,0,0,0,0,0,1,0.01,1,0.01,0,0,0,0,1,0.01,1,0.01,2,0.03,0,0,1,0.01,0,0,0,0
栃木県,2,0.04,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02
群馬県,15,0.28,0,0,2,0.04,0,0,0,0,2,0.04,1,0.02,0,0,4,0.08,0,0,0,0,2,0.04,1,0.02,0,0,1,0.02,0,0,2,0.04
埼玉県,33,0.21,2,0.01,1,0.01,3,0.02,2,0.01,0,0,1,0.01,5,0.03,1,0.01,1,0.01,5,0.03,0,0,1,0.01,4,0.03,4,0.02,2,0.01,1,0.01
千葉県,18,0.14,0,0,1,0.01,0,0,1,0.01,0,0,1,0.01,1,0.01,3,0.02,0,0,1,0.01,2,0.02,2,0.02,0,0,0,0,3,0.02,3,0.02
東京都,58,0.22,0,0,4,0.02,1,0,1,0,2,0.01,1,0,5,0.02,2,0.01,4,0.02,4,0.02,2,0.01,3,0.01,2,0.01,4,0.02,19,0.07,4,0.02
神奈川県,36,0.16,1,0,0,0,1,0,5,0.02,3,0.01,1,0,3,0.01,1,0,3,0.01,4,0.02,2,0.01,5,0.02,2,0.01,3,0.01,1,0,1,0
新潟県,7,0.13,0,0,0,0,0,0,2,0.04,0,0,0,0,1,0.02,0,0,1,0.02,0,0,0,0,2,0.04,1,0.02,0,0,0,0,0,0
富山県,3,0.1,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0
石川県,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,3,0.13,0,0,0,0,1,0.04,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0
山梨県,1,0.04,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,4,0.08,1,0.02,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0,1,0.02,0,0,0,0
岐阜県,2,0.04,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,17,0.19,1,0.01,1,0.01,1,0.01,2,0.02,0,0,1,0.01,0,0,0,0,1,0.01,1,0.01,0,0,1,0.01,3,0.03,1,0.01,2,0.02,2,0.02
愛知県,18,0.1,2,0.01,0,0,1,0.01,0,0,1,0.01,1,0.01,3,0.02,0,0,2,0.01,4,0.02,1,0.01,1,0.01,0,0,1,0.01,0,0,1,0.01
三重県,4,0.09,1,0.02,0,0,0,0,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,4,0.11,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0
京都府,13,0.17,0,0,0,0,0,0,1,0.01,1,0.01,5,0.07,1,0.01,1,0.01,1,0.01,1,0.01,2,0.03,0,0,0,0,0,0,0,0,0,0
大阪府,30,0.15,2,0.01,0,0,1,0.01,1,0.01,2,0.01,1,0.01,2,0.01,2,0.01,2,0.01,4,0.02,2,0.01,0,0,3,0.02,4,0.02,0,0,4,0.02
兵庫県,21,0.16,1,0.01,1,0.01,2,0.02,2,0.02,0,0,0,0,4,0.03,1,0.01,0,0,0,0,1,0.01,2,0.02,1,0.01,0,0,4,0.03,2,0.02
奈良県,4,0.12,0,0,0,0,0,0,0,0,2,0.06,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,4,0.21,1,0.05,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,1,0.05
島根県,3,0.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,1,0.04,0,0
岡山県,9,0.17,0,0,0,0,0,0,2,0.04,0,0,0,0,1,0.02,0,0,1,0.02,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0,2,0.04
