報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年17週(04月24日～04月30日),2023年05月08日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週
栃木県,2,0.04,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0
群馬県,18,0.34,0,0,2,0.04,0,0,0,0,2,0.04,1,0.02,0,0,4,0.08,0,0,0,0,2,0.04,1,0.02,0,0,1,0.02,0,0,2,0.04,3,0.06
埼玉県,36,0.23,2,0.01,1,0.01,3,0.02,2,0.01,0,0,1,0.01,5,0.03,1,0.01,1,0.01,5,0.03,0,0,1,0.01,4,0.03,4,0.02,2,0.01,1,0.01,3,0.02
千葉県,19,0.15,0,0,1,0.01,0,0,1,0.01,0,0,1,0.01,1,0.01,3,0.02,0,0,1,0.01,2,0.02,2,0.02,0,0,0,0,3,0.02,3,0.02,1,0.01
東京都,64,0.25,0,0,4,0.02,1,0,1,0,2,0.01,1,0,5,0.02,2,0.01,4,0.02,4,0.02,2,0.01,3,0.01,2,0.01,4,0.02,19,0.07,4,0.02,6,0.02
神奈川県,40,0.18,1,0,0,0,1,0,5,0.02,3,0.01,1,0,3,0.01,1,0,3,0.01,4,0.02,2,0.01,5,0.02,2,0.01,3,0.01,1,0,1,0,4,0.02
新潟県,7,0.13,0,0,0,0,0,0,2,0.04,0,0,0,0,1,0.02,0,0,1,0.02,0,0,0,0,2,0.04,1,0.02,0,0,0,0,0,0,0,0
富山県,3,0.1,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0
石川県,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,3,0.13,0,0,0,0,1,0.04,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,1,0.04,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,5,0.09,1,0.02,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0,1,0.02,0,0,0,0,1,0.02
岐阜県,2,0.04,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,17,0.19,1,0.01,1,0.01,1,0.01,2,0.02,0,0,1,0.01,0,0,0,0,1,0.01,1,0.01,0,0,1,0.01,3,0.03,1,0.01,2,0.02,2,0.02,0,0
愛知県,18,0.1,2,0.01,0,0,1,0.01,0,0,1,0.01,1,0.01,3,0.02,0,0,2,0.01,4,0.02,1,0.01,1,0.01,0,0,1,0.01,0,0,1,0.01,0,0
三重県,4,0.09,1,0.02,0,0,0,0,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,4,0.11,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0
京都府,13,0.17,0,0,0,0,0,0,1,0.01,1,0.01,5,0.07,1,0.01,1,0.01,1,0.01,1,0.01,2,0.03,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,32,0.17,2,0.01,0,0,1,0.01,1,0.01,2,0.01,1,0.01,2,0.01,2,0.01,2,0.01,4,0.02,2,0.01,0,0,3,0.02,4,0.02,0,0,4,0.02,2,0.01
兵庫県,22,0.17,1,0.01,1,0.01,2,0.02,2,0.02,0,0,0,0,4,0.03,1,0.01,0,0,0,0,1,0.01,2,0.02,1,0.01,0,0,4,0.03,2,0.02,1,0.01
奈良県,4,0.12,0,0,0,0,0,0,0,0,2,0.06,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03
鳥取県,4,0.21,1,0.05,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,1,0.05,0,0
島根県,3,0.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,1,0.04,0,0,0,0
岡山県,9,0.17,0,0,0,0,0,0,2,0.04,0,0,0,0,1,0.02,0,0,1,0.02,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0,2,0.04,0,0
広島県,8,0.11,0,0,0,0,0,0,1,0.01,0,0,0,0,1,0.01,0,0,0,0,1,0.01,1,0.01,0,0,0,0,1,0.01,0,0,0,0,3,0.04
山口県,7,0.16,1,0.02,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,1,0.02,0,0,2,0.04,0,0,0,0,0,0,0,0,1,0.02,1,0.02
徳島県,3,0.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0
香川県,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0
愛媛県,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0
高知県,8,0.3,0,0,0,0,0,0,2,0.07,2,0.07,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,2,0.07,0,0,0,0,1,0.04
福岡県,15,0.13,0,0,1,0.01,0,0,0,0,1,0.01,0,0,1,0.01,4,0.03,1,0.01,1,0.01,0,0,0,0,0,0,2,0.02,3,0.03,0,0,1,0.01
佐賀県,3,0.13,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,1,0.04,0,0,0,0
長崎県,9,0.2,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,2,0.05,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,3,0.07,0,0
熊本県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大分県,9,0.25,1,0.03,0,0,0,0,1,0.03,0,0,0,0,2,0.06,4,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0
宮崎県,6,0.17,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,3,0.08,0,0,0,0
鹿児島県,17,0.32,1,0.02,2,0.04,0,0,2,0.04,0,0,1,0.02,1,0.02,1,0.02,0,0,2,0.04,1,0.02,1,0.02,0,0,0,0,0,0,2,0.04,3,0.06
沖縄県,7,0.22,0,0,0,0,0,0,0,0,0,0,2,0.06,1,0.03,0,0,0,0,0,0,2,0.06,0,0,0,0,0,0,1,0.03,1,0.03,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発しん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,12450,3.96,564,0.18,732,0.23,751,0.24,695,0.22,697,0.22,678,0.22,686,0.22,613,0.19,652,0.21,646,0.21,723,0.23,634,0.2,758,0.24,757,0.24,807,0.26,1015,0.32,1042,0.33
北海道,273,1.98,11,0.08,13,0.09,26,0.19,11,0.08,18,0.13,16,0.12,19,0.14,7,0.05,14,0.1,13,0.09,11,0.08,9,0.06,28,0.2,20,0.14,11,0.08,20,0.14,26,0.19
青森県,146,3.56,4,0.1,7,0.17,9,0.21,10,0.24,12,0.29,9,0.21,11,0.26,10,0.24,12,0.29,6,0.14,4,0.1,11,0.26,10,0.24,6,0.15,6,0.15,13,0.33,6,0.15
岩手県,211,5.41,11,0.28,11,0.28,8,0.2,13,0.33,14,0.35,6,0.15,10,0.25,17,0.43,8,0.2,11,0.28,11,0.28,8,0.2,18,0.45,13,0.33,18,0.46,16,0.41,18,0.46
宮城県,267,4.68,11,0.19,15,0.26,15,0.26,21,0.36,12,0.21,14,0.24,13,0.22,13,0.22,22,0.38,12,0.21,15,0.26,17,0.29,18,0.31,18,0.32,15,0.27,14,0.25,22,0.4
秋田県,88,2.67,6,0.18,4,0.12,5,0.15,12,0.36,2,0.06,7,0.21,4,0.12,4,0.12,2,0.06,4,0.12,3,0.09,4,0.12,8,0.24,8,0.24,2,0.06,5,0.15,8,0.24
山形県,164,5.86,7,0.24,11,0.38,7,0.24,10,0.34,12,0.41,8,0.28,15,0.52,11,0.38,13,0.45,16,0.55,10,0.34,5,0.17,13,0.45,4,0.14,7,0.25,7,0.25,8,0.29
福島県,320,6.4,10,0.2,17,0.34,22,0.44,17,0.34,15,0.3,20,0.4,19,0.38,14,0.28,17,0.34,19,0.38,21,0.42,14,0.28,21,0.42,20,0.4,20,0.4,32,0.64,22,0.44
茨城県,159,2.12,7,0.09,8,0.11,16,0.21,10,0.13,7,0.09,13,0.17,5,0.07,4,0.05,8,0.11,12,0.16,10,0.13,8,0.11,12,0.16,6,0.08,4,0.05,15,0.2,14,0.18
栃木県,222,4.63,17,0.35,15,0.31,16,0.33,7,0.15,10,0.21,8,0.17,12,0.25,15,0.31,12,0.25,14,0.29,8,0.17,10,0.21,18,0.38,11,0.23,12,0.25,18,0.38,19,0.4
群馬県,281,5.3,7,0.13,16,0.3,16,0.3,19,0.36,18,0.34,16,0.3,18,0.34,15,0.28,22,0.42,8,0.15,13,0.25,24,0.45,14,0.26,17,0.31,19,0.35,15,0.28,24,0.44
埼玉県,711,4.44,26,0.17,41,0.26,37,0.23,41,0.25,32,0.2,35,0.22,38,0.24,22,0.14,45,0.28,32,0.2,40,0.25,26,0.16,33,0.21,53,0.33,53,0.33,80,0.49,77,0.48
千葉県,394,3.03,15,0.12,25,0.19,23,0.18,22,0.17,24,0.18,16,0.12,11,0.08,14,0.11,17,0.13,23,0.18,22,0.17,23,0.18,21,0.16,31,0.24,21,0.16,45,0.35,41,0.32
東京都,1064,4.11,39,0.15,68,0.26,60,0.23,62,0.24,62,0.24,56,0.22,53,0.2,42,0.16,48,0.19,47,0.18,61,0.24,59,0.23,66,0.25,69,0.27,73,0.28,100,0.39,99,0.38
神奈川県,819,3.62,38,0.17,42,0.18,52,0.23,45,0.2,40,0.18,36,0.16,48,0.21,31,0.14,47,0.2,46,0.21,49,0.22,36,0.16,48,0.21,48,0.21,58,0.26,75,0.33,80,0.36
新潟県,215,3.91,6,0.11,10,0.18,16,0.29,17,0.3,15,0.27,13,0.23,10,0.18,21,0.38,6,0.11,12,0.21,10,0.18,11,0.2,14,0.26,15,0.28,13,0.24,15,0.28,11,0.2
富山県,90,3.1,7,0.24,8,0.28,4,0.14,2,0.07,5,0.17,4,0.14,4,0.14,6,0.21,3,0.1,7,0.24,3,0.1,5,0.17,6,0.21,12,0.41,5,0.17,5,0.17,4,0.14
石川県,118,4.07,6,0.21,4,0.14,10,0.34,10,0.34,6,0.21,6,0.21,8,0.28,4,0.14,5,0.17,12,0.41,7,0.24,4,0.14,7,0.24,10,0.34,7,0.24,6,0.21,6,0.21
福井県,90,3.91,7,0.3,7,0.3,5,0.22,7,0.3,4,0.17,5,0.22,3,0.13,4,0.17,3,0.13,1,0.04,3,0.13,2,0.09,7,0.3,7,0.3,9,0.39,10,0.43,6,0.26
山梨県,94,3.92,6,0.25,7,0.29,8,0.33,4,0.17,8,0.33,4,0.17,4,0.17,8,0.33,6,0.25,4,0.17,3,0.13,3,0.13,4,0.17,6,0.25,6,0.25,7,0.29,6,0.25
長野県,148,2.79,14,0.26,11,0.2,10,0.19,8,0.15,10,0.19,8,0.15,8,0.15,10,0.19,7,0.13,5,0.09,7,0.13,7,0.13,5,0.09,6,0.11,7,0.13,14,0.26,11,0.21
岐阜県,144,2.77,5,0.09,8,0.15,14,0.26,4,0.08,10,0.19,6,0.11,7,0.13,8,0.15,11,0.21,4,0.08,10,0.19,11,0.21,9,0.18,10,0.19,8,0.15,9,0.17,10,0.19
静岡県,308,3.46,13,0.15,18,0.2,12,0.13,17,0.19,21,0.24,21,0.24,21,0.24,12,0.13,19,0.21,16,0.18,21,0.24,20,0.22,14,0.15,13,0.15,14,0.16,25,0.28,31,0.35
愛知県,496,2.73,20,0.11,40,0.22,28,0.15,19,0.1,24,0.13,26,0.14,23,0.13,37,0.2,22,0.12,18,0.1,33,0.18,22,0.12,43,0.23,26,0.14,35,0.19,42,0.23,38,0.21
三重県,172,3.91,13,0.29,11,0.24,8,0.18,7,0.16,14,0.31,11,0.24,6,0.13,13,0.29,11,0.24,5,0.11,10,0.22,5,0.11,9,0.2,10,0.22,11,0.24,12,0.27,16,0.36
滋賀県,86,2.46,6,0.17,7,0.19,4,0.11,3,0.08,6,0.17,3,0.08,4,0.11,6,0.17,3,0.08,2,0.06,4,0.11,8,0.22,5,0.14,6,0.17,10,0.28,5,0.14,4,0.11
京都府,186,2.48,7,0.09,9,0.12,14,0.18,12,0.16,17,0.22,9,0.12,8,0.11,11,0.14,12,0.16,14,0.18,11,0.14,5,0.07,9,0.12,11,0.14,11,0.14,12,0.16,14,0.19
大阪府,674,3.49,31,0.16,40,0.21,46,0.24,29,0.15,30,0.15,37,0.19,36,0.19,32,0.16,36,0.19,25,0.13,38,0.19,39,0.2,37,0.19,43,0.22,43,0.22,59,0.31,73,0.38
兵庫県,391,3.03,19,0.15,29,0.22,20,0.16,31,0.24,21,0.16,23,0.18,25,0.19,11,0.09,17,0.13,15,0.12,26,0.2,24,0.19,13,0.1,21,0.16,31,0.24,35,0.27,30,0.23
奈良県,134,3.94,4,0.12,14,0.41,10,0.29,7,0.21,8,0.24,7,0.21,5,0.15,5,0.15,5,0.15,8,0.24,8,0.24,8,0.24,8,0.24,8,0.24,10,0.29,8,0.24,11,0.32
和歌山県,97,3.23,4,0.13,5,0.17,2,0.07,5,0.17,5,0.17,6,0.2,4,0.13,4,0.13,6,0.2,3,0.1,9,0.3,3,0.1,12,0.4,7,0.23,10,0.33,5,0.17,7,0.23
鳥取県,85,4.47,2,0.11,6,0.32,4,0.21,5,0.26,3,0.16,9,0.47,7,0.37,7,0.37,3,0.16,5,0.26,5,0.26,3,0.16,3,0.16,5,0.26,6,0.32,9,0.47,3,0.16
島根県,144,6.26,11,0.48,5,0.22,7,0.3,10,0.43,12,0.52,7,0.3,9,0.39,7,0.3,7,0.3,12,0.52,7,0.3,6,0.26,8,0.35,5,0.22,7,0.3,7,0.3,17,0.74
岡山県,171,3.17,6,0.11,17,0.31,13,0.24,10,0.19,14,0.26,14,0.26,6,0.11,5,0.09,8,0.15,11,0.2,5,0.09,10,0.19,12,0.22,12,0.22,7,0.13,9,0.17,12,0.22
広島県,245,3.45,13,0.18,8,0.11,15,0.21,9,0.13,19,0.26,17,0.24,21,0.29,11,0.15,8,0.11,12,0.17,18,0.25,16,0.22,13,0.18,11,0.15,10,0.14,20,0.28,24,0.33
山口県,258,5.86,13,0.29,14,0.31,16,0.36,12,0.27,12,0.27,10,0.22,16,0.36,11,0.24,15,0.33,17,0.38,12,0.27,12,0.27,11,0.24,23,0.51,27,0.63,15,0.35,22,0.51
徳島県,116,5.04,11,0.48,4,0.17,9,0.39,6,0.26,5,0.22,5,0.22,7,0.3,4,0.17,5,0.22,9,0.39,8,0.35,5,0.22,6,0.26,4,0.17,7,0.3,11,0.48,10,0.43
香川県,154,5.5,3,0.11,8,0.29,8,0.29,12,0.43,4,0.14,6,0.21,9,0.32,14,0.5,5,0.18,12,0.43,7,0.25,5,0.18,8,0.29,10,0.36,15,0.54,14,0.5,14,0.5
愛媛県,265,7.36,12,0.32,12,0.32,17,0.46,15,0.41,13,0.35,17,0.46,19,0.51,11,0.3,9,0.24,20,0.54,21,0.57,14,0.38,19,0.53,10,0.27,16,0.43,18,0.49,22,0.59
高知県,101,3.74,10,0.37,3,0.11,8,0.3,10,0.37,7,0.26,5,0.19,5,0.19,5,0.19,4,0.15,3,0.11,7,0.26,6,0.22,8,0.3,3,0.11,3,0.11,8,0.3,6,0.22
福岡県,749,6.24,32,0.27,40,0.33,42,0.35,39,0.33,35,0.29,47,0.39,46,0.38,45,0.38,42,0.35,38,0.32,43,0.36,43,0.36,44,0.37,41,0.34,54,0.45,63,0.53,55,0.46
佐賀県,184,8,11,0.48,12,0.52,12,0.52,5,0.22,6,0.26,8,0.35,10,0.43,18,0.78,12,0.52,8,0.35,20,0.87,7,0.3,10,0.43,11,0.48,14,0.61,6,0.26,14,0.61
長崎県,196,4.45,9,0.2,11,0.25,13,0.3,5,0.11,9,0.2,10,0.23,13,0.3,10,0.23,10,0.23,9,0.2,14,0.32,8,0.18,9,0.2,15,0.34,16,0.36,20,0.45,15,0.34
熊本県,356,7.27,18,0.36,22,0.44,21,0.42,26,0.52,23,0.46,14,0.28,22,0.44,17,0.34,19,0.38,23,0.46,26,0.52,13,0.27,16,0.33,24,0.5,24,0.51,20,0.42,28,0.57
大分県,241,6.69,9,0.25,8,0.22,12,0.33,15,0.42,15,0.42,23,0.64,12,0.33,10,0.28,12,0.33,13,0.36,15,0.42,18,0.5,16,0.44,12,0.33,14,0.39,24,0.67,13,0.36
宮崎県,255,7.29,10,0.28,16,0.44,12,0.34,18,0.5,17,0.47,11,0.31,12,0.33,7,0.19,13,0.36,16,0.44,16,0.44,14,0.39,21,0.58,17,0.47,15,0.42,21,0.58,19,0.54
鹿児島県,259,4.89,10,0.19,18,0.33,15,0.28,12,0.22,17,0.31,19,0.35,16,0.3,13,0.24,14,0.26,18,0.33,16,0.3,16,0.3,14,0.27,12,0.23,17,0.32,17,0.32,15,0.28
沖縄県,109,3.41,7,0.21,7,0.21,4,0.12,4,0.12,4,0.12,7,0.22,4,0.13,7,0.22,7,0.22,6,0.19,2,0.06,7,0.22,10,0.3,7,0.21,6,0.19,9,0.28,11,0.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,4911,1.56,83,0.03,138,0.04,190,0.06,170,0.05,156,0.05,126,0.04,158,0.05,153,0.05,118,0.04,154,0.05,173,0.06,187,0.06,312,0.1,322,0.1,580,0.19,871,0.28,1020,0.33
北海道,56,0.41,1,0.01,3,0.02,6,0.04,2,0.01,2,0.01,5,0.04,3,0.02,5,0.04,1,0.01,3,0.02,3,0.02,5,0.04,3,0.02,2,0.01,3,0.02,5,0.04,4,0.03
青森県,5,0.12,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,1,0.02,0,0,1,0.02,0,0,0,0,0,0,1,0.03,0,0
岩手県,3,0.08,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0
宮城県,6,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.03,0,0,1,0.02,3,0.05,0,0
秋田県,35,1.06,5,0.15,2,0.06,12,0.36,8,0.24,1,0.03,1,0.03,3,0.09,1,0.03,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0
山形県,1,0.04,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,4,0.08,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,2,0.04,0,0
茨城県,30,0.4,1,0.01,1,0.01,0,0,0,0,0,0,1,0.01,2,0.03,0,0,1,0.01,0,0,0,0,2,0.03,0,0,3,0.04,6,0.08,5,0.07,8,0.1
栃木県,5,0.1,0,0,0,0,0,0,2,0.04,1,0.02,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0
群馬県,14,0.26,0,0,1,0.02,0,0,0,0,1,0.02,2,0.04,1,0.02,2,0.04,2,0.04,0,0,0,0,0,0,0,0,2,0.04,1,0.02,1,0.02,1,0.02
埼玉県,45,0.28,0,0,1,0.01,1,0.01,2,0.01,1,0.01,1,0.01,0,0,1,0.01,0,0,2,0.01,5,0.03,1,0.01,1,0.01,5,0.03,3,0.02,8,0.05,13,0.08
千葉県,37,0.28,0,0,1,0.01,0,0,0,0,2,0.02,1,0.01,2,0.02,2,0.02,2,0.02,0,0,1,0.01,3,0.02,1,0.01,1,0.01,9,0.07,5,0.04,7,0.05
東京都,148,0.57,3,0.01,1,0,8,0.03,2,0.01,3,0.01,4,0.02,6,0.02,0,0,1,0,2,0.01,3,0.01,2,0.01,5,0.02,10,0.04,16,0.06,48,0.19,34,0.13
神奈川県,84,0.37,4,0.02,2,0.01,9,0.04,2,0.01,3,0.01,3,0.01,2,0.01,3,0.01,0,0,2,0.01,6,0.03,0,0,2,0.01,7,0.03,8,0.04,11,0.05,20,0.09
新潟県,10,0.18,1,0.02,0,0,0,0,0,0,2,0.04,0,0,2,0.04,0,0,0,0,1,0.02,0,0,0,0,1,0.02,2,0.04,0,0,1,0.02,0,0
富山県,22,0.76,1,0.03,1,0.03,1,0.03,1,0.03,0,0,1,0.03,1,0.03,2,0.07,2,0.07,0,0,0,0,2,0.07,1,0.03,1,0.03,1,0.03,5,0.17,2,0.07
石川県,45,1.55,1,0.03,1,0.03,0,0,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,12,0.41,15,0.52,12,0.41
福井県,90,3.91,1,0.04,1,0.04,1,0.04,0,0,2,0.09,0,0,0,0,1,0.04,0,0,4,0.17,2,0.09,2,0.09,3,0.13,5,0.22,19,0.83,18,0.78,31,1.35
山梨県,2,0.08,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04
長野県,22,0.42,3,0.06,2,0.04,4,0.07,6,0.11,1,0.02,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,3,0.06
岐阜県,8,0.15,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0,2,0.04,0,0,1,0.02,2,0.04,1,0.02
静岡県,14,0.16,0,0,0,0,0,0,1,0.01,0,0,2,0.02,1,0.01,0,0,0,0,0,0,0,0,1,0.01,2,0.02,2,0.02,0,0,3,0.03,2,0.02
愛知県,43,0.24,0,0,2,0.01,0,0,0,0,0,0,0,0,0,0,1,0.01,2,0.01,3,0.02,0,0,2,0.01,7,0.04,1,0.01,1,0.01,8,0.04,16,0.09
三重県,7,0.16,0,0,0,0,0,0,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,1,0.02,1,0.02,2,0.04,0,0
滋賀県,22,0.63,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,1,0.03,0,0,6,0.17,1,0.03,2,0.06,4,0.11,5,0.14
京都府,66,0.88,0,0,5,0.07,8,0.11,9,0.12,8,0.11,5,0.07,3,0.04,2,0.03,1,0.01,1,0.01,0,0,1,0.01,1,0.01,4,0.05,3,0.04,3,0.04,12,0.16
大阪府,165,0.85,11,0.06,14,0.07,8,0.04,9,0.05,3,0.02,1,0.01,8,0.04,4,0.02,3,0.02,4,0.02,9,0.05,10,0.05,7,0.04,4,0.02,20,0.1,22,0.12,28,0.15
兵庫県,168,1.3,1,0.01,6,0.05,5,0.04,4,0.03,6,0.05,5,0.04,3,0.02,6,0.05,2,0.02,5,0.04,3,0.02,2,0.02,6,0.05,11,0.09,14,0.11,34,0.26,55,0.43
奈良県,22,0.65,1,0.03,1,0.03,1,0.03,1,0.03,2,0.06,0,0,0,0,2,0.06,0,0,1,0.03,1,0.03,2,0.06,1,0.03,1,0.03,1,0.03,1,0.03,6,0.18
和歌山県,3,0.1,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03
鳥取県,6,0.32,1,0.05,0,0,0,0,0,0,0,0,0,0,2,0.11,2,0.11,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,14,0.61,0,0,0,0,1,0.04,2,0.09,0,0,0,0,1,0.04,1,0.04,0,0,1,0.04,0,0,1,0.04,3,0.13,1,0.04,0,0,0,0,3,0.13
岡山県,57,1.06,1,0.02,2,0.04,2,0.04,0,0,2,0.04,3,0.06,1,0.02,2,0.04,2,0.04,1,0.02,0,0,4,0.07,4,0.07,4,0.07,2,0.04,17,0.31,10,0.19
広島県,126,1.77,4,0.06,4,0.06,0,0,1,0.01,1,0.01,1,0.01,2,0.03,8,0.11,4,0.06,2,0.03,2,0.03,6,0.08,9,0.13,6,0.08,14,0.19,18,0.25,44,0.61
山口県,110,2.5,4,0.09,4,0.09,3,0.07,1,0.02,2,0.04,4,0.09,3,0.07,5,0.11,7,0.16,5,0.11,5,0.11,9,0.2,9,0.2,6,0.13,9,0.21,15,0.35,19,0.44
徳島県,7,0.3,0,0,0,0,2,0.09,2,0.09,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.09
香川県,73,2.61,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,2,0.07,2,0.07,0,0,1,0.04,0,0,0,0,3,0.11,13,0.46,14,0.5,36,1.29
愛媛県,17,0.47,3,0.08,1,0.03,0,0,0,0,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0,1,0.03,1,0.03,1,0.03,3,0.08,3,0.08,1,0.03
高知県,175,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.11,2,0.07,5,0.19,17,0.63,15,0.56,24,0.89,51,1.89,58,2.15
福岡県,768,6.4,11,0.09,31,0.26,38,0.32,43,0.36,34,0.28,21,0.18,43,0.36,33,0.28,24,0.2,14,0.12,32,0.27,44,0.37,70,0.58,40,0.33,84,0.7,96,0.8,110,0.92
