報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年13週(03月25日～03月31日),2024年04月03日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週
茨城県,31,0.41,3,0.04,3,0.04,5,0.07,3,0.04,2,0.03,2,0.03,0,0,1,0.01,4,0.05,4,0.05,1,0.01,1,0.01,2,0.03
栃木県,7,0.15,1,0.02,0,0,0,0,1,0.02,0,0,0,0,0,0,2,0.04,1,0.02,1,0.02,0,0,0,0,1,0.02
群馬県,23,0.43,0,0,0,0,4,0.08,1,0.02,1,0.02,1,0.02,0,0,2,0.04,5,0.09,2,0.04,2,0.04,2,0.04,3,0.06
埼玉県,23,0.14,2,0.01,4,0.02,2,0.01,1,0.01,3,0.02,2,0.01,0,0,1,0.01,4,0.02,1,0.01,0,0,2,0.01,1,0.01
千葉県,12,0.1,1,0.01,0,0,1,0.01,1,0.01,0,0,3,0.02,0,0,2,0.02,1,0.01,1,0.01,0,0,0,0,2,0.02
東京都,35,0.13,2,0.01,4,0.02,3,0.01,1,0,2,0.01,1,0,4,0.02,1,0,4,0.02,3,0.01,3,0.01,2,0.01,5,0.02
神奈川県,48,0.21,2,0.01,5,0.02,4,0.02,4,0.02,10,0.04,7,0.03,1,0,2,0.01,3,0.01,5,0.02,2,0.01,3,0.01,0,0
新潟県,11,0.2,1,0.02,1,0.02,1,0.02,1,0.02,1,0.02,0,0,0,0,1,0.02,1,0.02,1,0.02,0,0,1,0.02,2,0.04
富山県,36,1.24,5,0.17,5,0.17,5,0.17,4,0.14,2,0.07,2,0.07,2,0.07,4,0.14,4,0.14,0,0,0,0,3,0.1,0,0
石川県,6,0.21,1,0.04,0,0,1,0.04,0,0,0,0,1,0.04,0,0,0,0,1,0.03,1,0.03,1,0.03,0,0,0,0
福井県,8,0.32,1,0.04,0,0,0,0,2,0.08,0,0,0,0,0,0,0,0,1,0.04,1,0.04,3,0.12,0,0,0,0
山梨県,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,11,0.2,1,0.02,0,0,4,0.07,0,0,0,0,1,0.02,0,0,0,0,3,0.06,0,0,1,0.02,1,0.02,0,0
岐阜県,13,0.25,0,0,1,0.02,2,0.04,0,0,1,0.02,0,0,3,0.06,2,0.04,0,0,1,0.02,0,0,2,0.04,1,0.02
静岡県,9,0.1,2,0.02,1,0.01,1,0.01,0,0,0,0,1,0.01,1,0.01,0,0,0,0,1,0.01,1,0.01,1,0.01,0,0
愛知県,15,0.08,1,0.01,0,0,2,0.01,2,0.01,1,0.01,1,0.01,0,0,1,0.01,3,0.02,2,0.01,1,0.01,0,0,1,0.01
三重県,18,0.4,1,0.02,0,0,0,0,1,0.02,4,0.09,0,0,1,0.02,2,0.04,0,0,0,0,2,0.04,2,0.04,5,0.11
滋賀県,13,0.37,0,0,1,0.03,0,0,1,0.03,3,0.08,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0,3,0.08,2,0.06
京都府,26,0.35,0,0,0,0,3,0.04,4,0.05,1,0.01,3,0.04,0,0,3,0.04,3,0.04,2,0.03,1,0.01,3,0.04,3,0.04
大阪府,127,0.64,15,0.08,3,0.02,9,0.05,15,0.08,10,0.05,11,0.06,14,0.07,17,0.09,10,0.05,4,0.02,8,0.04,5,0.03,6,0.03
兵庫県,62,0.48,5,0.04,2,0.02,6,0.05,4,0.03,10,0.08,1,0.01,3,0.02,3,0.02,9,0.07,5,0.04,6,0.05,4,0.03,4,0.03
奈良県,11,0.33,0,0,6,0.18,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0
和歌山県,10,0.33,0,0,2,0.07,0,0,2,0.07,0,0,0,0,0,0,1,0.03,3,0.1,0,0,0,0,2,0.07,0,0
鳥取県,3,0.16,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,1,0.05,1,0.05,0,0,0,0
島根県,13,0.57,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,4,0.17,4,0.17,3,0.13,0,0
岡山県,7,0.13,1,0.02,0,0,0,0,0,0,1,0.02,0,0,2,0.04,0,0,1,0.02,2,0.04,0,0,0,0,0,0
広島県,14,0.2,0,0,1,0.01,2,0.03,2,0.03,1,0.01,1,0.01,0,0,2,0.03,1,0.01,1,0.01,1,0.01,1,0.01,1,0.01
山口県,7,0.16,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0,0,0,0,0,0,0,2,0.05,0,0,0,0,2,0.05
徳島県,17,0.74,2,0.09,1,0.04,0,0,0,0,0,0,0,0,0,0,3,0.13,1,0.04,4,0.17,5,0.22,1,0.04,0,0
香川県,22,0.79,0,0,2,0.07,3,0.11,2,0.07,3,0.11,1,0.04,1,0.04,3,0.11,1,0.04,1,0.04,1,0.04,3,0.11,1,0.04
愛媛県,73,2.03,2,0.06,6,0.16,6,0.16,6,0.16,11,0.3,4,0.11,3,0.08,5,0.14,7,0.19,5,0.14,5,0.14,2,0.05,11,0.3
高知県,35,1.4,0,0,1,0.04,4,0.15,3,0.12,4,0.15,0,0,2,0.08,5,0.19,2,0.08,2,0.08,2,0.08,6,0.23,4,0.16
福岡県,26,0.22,1,0.01,3,0.03,3,0.03,4,0.03,4,0.03,3,0.03,0,0,1,0.01,0,0,2,0.02,1,0.01,1,0.01,3,0.03
佐賀県,5,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.09,1,0.04,1,0.04,0,0,0,0,1,0.04
長崎県,11,0.26,0,0,1,0.02,0,0,2,0.05,0,0,3,0.07,0,0,1,0.02,0,0,3,0.07,1,0.02,0,0,0,0
熊本県,30,0.6,3,0.06,3,0.06,7,0.14,7,0.14,1,0.02,1,0.02,4,0.08,0,0,0,0,0,0,2,0.04,0,0,2,0.04
大分県,34,0.94,3,0.08,0,0,0,0,3,0.08,3,0.08,3,0.08,2,0.06,5,0.14,6,0.17,2,0.06,1,0.03,1,0.03,5,0.14
宮崎県,13,0.36,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,3,0.08,2,0.06,1,0.03,3,0.08
鹿児島県,59,1.16,5,0.1,8,0.16,3,0.06,5,0.1,3,0.06,6,0.12,2,0.04,9,0.18,6,0.12,5,0.1,1,0.02,4,0.08,2,0.04
沖縄県,17,0.55,2,0.06,0,0,1,0.03,1,0.03,0,0,2,0.06,0,0,2,0.06,0,0,2,0.06,0,0,4,0.13,3,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1066,0.34,43,0.01,83,0.03,100,0.03,96,0.03,91,0.03,72,0.02,90,0.03,88,0.03,85,0.03,79,0.03,79,0.03,79,0.03,81,0.03
北海道,35,0.25,0,0,2,0.01,2,0.01,3,0.02,4,0.03,3,0.02,4,0.03,1,0.01,3,0.02,3,0.02,4,0.03,5,0.04,1,0.01
青森県,8,0.22,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,1,0.03,1,0.03,1,0.03,1,0.03,1,0.03,0,0,0,0
岩手県,23,0.61,0,0,2,0.05,6,0.15,0,0,2,0.05,2,0.05,3,0.08,1,0.03,1,0.03,1,0.03,0,0,2,0.05,3,0.08
宮城県,20,0.36,1,0.02,2,0.04,1,0.02,0,0,2,0.04,3,0.05,3,0.05,1,0.02,0,0,1,0.02,2,0.04,3,0.05,1,0.02
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,6,0.21,0,0,0,0,0,0,2,0.07,0,0,1,0.04,1,0.04,0,0,1,0.04,0,0,1,0.04,0,0,0,0
福島県,7,0.14,0,0,1,0.02,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,1,0.02,1,0.02,1,0.02,0,0,0,0
茨城県,21,0.28,1,0.01,0,0,2,0.03,1,0.01,0,0,2,0.03,5,0.07,2,0.03,2,0.03,3,0.04,1,0.01,0,0,2,0.03
栃木県,14,0.29,2,0.04,0,0,0,0,0,0,2,0.04,2,0.04,2,0.04,2,0.04,0,0,4,0.08,0,0,0,0,0,0
群馬県,26,0.49,0,0,3,0.06,3,0.06,5,0.09,2,0.04,0,0,1,0.02,2,0.04,1,0.02,1,0.02,4,0.08,2,0.04,2,0.04
埼玉県,94,0.58,7,0.04,7,0.04,10,0.06,12,0.07,8,0.05,6,0.04,6,0.04,10,0.06,3,0.02,4,0.02,6,0.04,9,0.05,6,0.04
千葉県,47,0.38,5,0.04,4,0.03,2,0.02,7,0.06,4,0.03,2,0.02,3,0.02,7,0.06,3,0.02,1,0.01,4,0.03,3,0.02,2,0.02
東京都,143,0.55,0,0,16,0.06,15,0.06,10,0.04,13,0.05,13,0.05,10,0.04,8,0.03,14,0.05,12,0.05,13,0.05,10,0.04,9,0.03
神奈川県,81,0.35,0,0,5,0.02,9,0.04,11,0.05,9,0.04,2,0.01,8,0.03,4,0.02,9,0.04,7,0.03,4,0.02,3,0.01,10,0.04
新潟県,21,0.38,1,0.02,1,0.02,2,0.04,1,0.02,0,0,0,0,2,0.04,4,0.07,2,0.04,1,0.02,3,0.05,2,0.04,2,0.04
富山県,5,0.17,1,0.03,1,0.03,0,0,0,0,0,0,0,0,2,0.07,1,0.03,0,0,0,0,0,0,0,0,0,0
石川県,5,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.07,2,0.07,0,0,1,0.03
福井県,3,0.12,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0
山梨県,4,0.17,0,0,0,0,0,0,0,0,0,0,0,0,3,0.13,1,0.04,0,0,0,0,0,0,0,0,0,0
長野県,15,0.28,0,0,1,0.02,0,0,0,0,0,0,1,0.02,2,0.04,0,0,0,0,3,0.06,3,0.06,2,0.04,3,0.06
岐阜県,14,0.26,1,0.02,1,0.02,3,0.06,0,0,0,0,0,0,0,0,1,0.02,1,0.02,0,0,1,0.02,5,0.09,1,0.02
静岡県,55,0.62,2,0.02,2,0.02,1,0.01,3,0.03,6,0.07,8,0.09,4,0.04,7,0.08,4,0.04,5,0.06,5,0.06,3,0.03,5,0.06
愛知県,54,0.3,3,0.02,2,0.01,4,0.02,7,0.04,2,0.01,5,0.03,1,0.01,2,0.01,5,0.03,8,0.04,7,0.04,2,0.01,6,0.03
三重県,7,0.16,0,0,0,0,1,0.02,0,0,0,0,1,0.02,0,0,3,0.07,1,0.02,0,0,0,0,1,0.02,0,0
滋賀県,6,0.17,1,0.03,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,2,0.06
京都府,21,0.28,1,0.01,3,0.04,2,0.03,1,0.01,3,0.04,0,0,4,0.05,1,0.01,3,0.04,1,0.01,0,0,1,0.01,1,0.01
大阪府,60,0.3,4,0.02,3,0.02,5,0.03,6,0.03,5,0.03,3,0.02,6,0.03,3,0.02,10,0.05,4,0.02,4,0.02,5,0.03,2,0.01
兵庫県,46,0.36,1,0.01,5,0.04,5,0.04,2,0.02,5,0.04,2,0.02,5,0.04,4,0.03,7,0.05,3,0.02,1,0.01,3,0.02,3,0.02
奈良県,5,0.15,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0
和歌山県,10,0.33,0,0,1,0.03,0,0,1,0.03,2,0.07,1,0.03,0,0,1,0.03,2,0.07,0,0,1,0.03,1,0.03,0,0
鳥取県,6,0.32,0,0,0,0,0,0,1,0.05,0,0,0,0,1,0.05,1,0.05,2,0.11,0,0,0,0,1,0.05,0,0
島根県,6,0.26,0,0,1,0.04,0,0,1,0.04,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,0,0,2,0.09
岡山県,15,0.28,2,0.04,1,0.02,3,0.06,1,0.02,0,0,1,0.02,1,0.02,2,0.04,1,0.02,2,0.04,1,0.02,0,0,0,0
広島県,11,0.16,1,0.01,1,0.01,0,0,2,0.03,1,0.01,1,0.01,0,0,1,0.01,1,0.01,1,0.01,1,0.01,0,0,1,0.01
山口県,2,0.05,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0
徳島県,4,0.17,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04,2,0.09,0,0
香川県,7,0.25,0,0,0,0,2,0.07,1,0.04,2,0.07,1,0.04,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0
愛媛県,13,0.36,0,0,1,0.03,2,0.05,2,0.05,2,0.05,1,0.03,1,0.03,2,0.05,0,0,0,0,0,0,0,0,2,0.05
高知県,4,0.16,0,0,0,0,0,0,1,0.04,0,0,0,0,1,0.04,0,0,0,0,1,0.04,0,0,1,0.04,0,0
福岡県,32,0.27,4,0.03,4,0.03,1,0.01,0,0,4,0.03,1,0.01,4,0.03,2,0.02,2,0.02,0,0,2,0.02,4,0.03,4,0.03
佐賀県,9,0.39,0,0,0,0,1,0.04,1,0.04,2,0.09,1,0.04,0,0,0,0,1,0.04,1,0.04,1,0.04,1,0.04,0,0
長崎県,5,0.12,0,0,0,0,0,0,1,0.02,1,0.02,0,0,0,0,3,0.07,0,0,0,0,0,0,0,0,0,0
熊本県,19,0.38,1,0.02,1,0.02,2,0.04,2,0.04,2,0.04,5,0.1,0,0,1,0.02,0,0,2,0.04,0,0,0,0,3,0.06
大分県,17,0.47,0,0,3,0.08,2,0.06,0,0,0,0,0,0,2,0.06,1,0.03,1,0.03,3,0.08,1,0.03,1,0.03,3,0.08
宮崎県,13,0.36,0,0,2,0.06,1,0.03,2,0.06,0,0,2,0.06,0,0,2,0.06,0,0,1,0.03,0,0,2,0.06,1,0.03
鹿児島県,23,0.45,3,0.06,0,0,7,0.14,4,0.08,0,0,1,0.02,2,0.04,0,0,1,0.02,0,0,1,0.02,1,0.02,3,0.06
沖縄県,24,0.77,1,0.03,6,0.19,3,0.1,1,0.03,3,0.1,1,0.03,1,0.03,4,0.13,1,0.03,0,0,1,0.03,2,0.06,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,96,0.14,10,0.01,11,0.02,5,0.01,6,0.01,5,0.01,7,0.01,5,0.01,4,0.01,9,0.01,12,0.02,6,0.01,8,0.01,8,0.01
北海道,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,2,0.29,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,2,0.15,0,0,0,0,1,0.08,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0
栃木県,2,0.17,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0
群馬県,2,0.14,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0
埼玉県,16,0.39,0,0,1,0.02,0,0,1,0.02,1,0.02,1,0.02,2,0.05,1,0.02,0,0,1,0.02,2,0.05,3,0.07,3,0.07
千葉県,4,0.12,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0
東京都,4,0.1,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,2,0.05,0,0,0,0,0,0,0,0
神奈川県,7,0.14,1,0.02,0,0,1,0.02,0,0,0,0,0,0,0,0,1,0.02,0,0,1,0.02,0,0,2,0.04,1,0.02
新潟県,10,1,0,0,1,0.1,1,0.1,1,0.1,1,0.1,2,0.2,0,0,0,0,0,0,1,0.1,0,0,1,0.1,2,0.2
富山県,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,4,0.4,0,0,1,0.1,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13
京都府,1,0.06,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,7,0.14,2,0.04,0,0,1,0.02,1,0.02,1,0.02,0,0,0,0,0,0,0,0,1,0.02,0,0,1,0.02,0,0
兵庫県,9,0.26,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,0,0,0,0,1,0.03,4,0.11,1,0.03,0,0,0,0
奈良県,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25
鳥取県,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,2,0.17,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0
広島県,2,0.11,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,11,1.38,1,0.13,3,0.38,1,0.13,0,0,1,0.13,1,0.13,1,0.13,0,0,1,0.13,1,0.13,1,0.13,0,0,0,0
熊本県,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0,0,0,0,0
大分県,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,1,0.14,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,4829,6.96,495,0.72,619,0.89,446,0.64,409,0.59,368,0.53,351,0.51,326,0.47,295,0.42,313,0.45,297,0.43,264,0.38,290,0.42,356,0.51
北海道,80,2.76,7,0.24,16,0.55,8,0.28,6,0.21,6,0.21,2,0.07,7,0.24,6,0.21,2,0.07,2,0.07,10,0.34,5,0.17,3,0.1
青森県,55,5.5,5,0.5,9,0.9,3,0.3,6,0.6,3,0.3,5,0.5,2,0.2,3,0.3,4,0.4,5,0.5,4,0.4,3,0.3,3,0.3
岩手県,62,4.43,5,0.36,7,0.5,7,0.5,6,0.43,6,0.43,5,0.36,3,0.21,2,0.14,4,0.29,4,0.29,6,0.43,4,0.29,3,0.21
宮城県,30,2.5,3,0.25,2,0.17,0,0,0,0,2,0.17,2,0.17,3,0.25,2,0.17,6,0.5,4,0.33,2,0.17,1,0.08,3,0.25
秋田県,21,3,5,0.71,2,0.29,2,0.29,1,0.14,0,0,1,0.14,2,0.29,3,0.43,1,0.14,1,0.14,1,0.14,2,0.29,0,0
山形県,21,2.63,1,0.13,3,0.38,2,0.25,4,0.5,2,0.25,0,0,0,0,2,0.25,1,0.13,2,0.25,1,0.13,2,0.25,1,0.13
福島県,105,8.08,9,0.69,9,0.69,6,0.46,12,0.92,9,0.69,12,0.92,10,0.77,10,0.77,10,0.77,4,0.31,5,0.38,4,0.31,5,0.38
茨城県,218,13.63,26,1.53,20,1.18,20,1.18,15,0.88,13,0.76,15,0.88,14,0.82,11,0.65,17,1,20,1.18,14,0.82,9,0.56,24,1.5
栃木県,90,7.5,10,0.83,16,1.33,12,1,11,0.92,2,0.17,6,0.5,3,0.25,7,0.58,4,0.33,4,0.33,1,0.08,5,0.42,9,0.75
群馬県,73,5.21,9,0.64,7,0.5,3,0.21,8,0.57,7,0.5,6,0.43,4,0.29,6,0.43,4,0.29,5,0.36,5,0.36,7,0.5,2,0.14
埼玉県,227,5.54,25,0.61,26,0.63,26,0.63,19,0.46,13,0.31,13,0.31,16,0.38,11,0.26,16,0.39,14,0.33,9,0.21,16,0.38,23,0.55
千葉県,214,6.29,21,0.62,30,0.91,25,0.76,25,0.74,11,0.31,14,0.4,17,0.49,10,0.29,13,0.37,6,0.17,10,0.29,14,0.4,18,0.53
東京都,186,4.77,13,0.33,24,0.62,18,0.46,15,0.38,11,0.28,16,0.41,19,0.49,7,0.18,20,0.51,10,0.26,12,0.31,10,0.26,11,0.28
神奈川県,638,12.76,56,1.19,69,1.38,55,1.1,48,0.94,54,1.04,49,0.98,36,0.75,39,0.76,29,0.58,50,0.98,38,0.76,56,1.12,59,1.18
新潟県,36,3.6,1,0.1,3,0.3,4,0.4,1,0.1,6,0.6,0,0,2,0.2,5,0.5,4,0.4,3,0.3,3,0.3,2,0.2,2,0.2
富山県,24,3.43,4,0.57,1,0.14,2,0.29,4,0.57,1,0.14,2,0.29,2,0.29,2,0.29,2,0.29,1,0.14,0,0,0,0,3,0.43
石川県,204,34,36,6,21,3,10,1.43,17,2.43,21,3,18,2.57,20,2.86,9,1.29,13,1.86,10,1.43,8,1.14,2,0.29,19,2.71
福井県,15,5,0,0,0,0,4,1.33,5,1.67,1,0.33,1,0.33,1,0.33,2,0.67,0,0,0,0,0,0,0,0,1,0.33
山梨県,59,6.56,2,0.22,10,1.11,6,0.67,4,0.44,3,0.33,1,0.11,4,0.44,6,0.67,3,0.33,3,0.33,2,0.22,6,0.67,9,1
長野県,308,30.8,33,3.3,34,3.4,28,2.8,29,2.9,27,2.7,28,2.8,35,3.5,18,1.8,11,1.1,17,1.7,12,1.2,12,1.2,24,2.4
岐阜県,23,2.09,2,0.18,5,0.45,3,0.27,1,0.09,4,0.36,1,0.09,1,0.09,0,0,2,0.18,0,0,2,0.18,0,0,2,0.18
静岡県,91,4.14,8,0.36,21,0.95,13,0.59,10,0.45,2,0.09,9,0.41,2,0.09,4,0.18,6,0.27,4,0.18,2,0.09,3,0.14,7,0.32
愛知県,149,4.26,19,0.54,25,0.71,15,0.43,17,0.49,9,0.26,9,0.26,4,0.11,5,0.14,6,0.17,9,0.26,11,0.31,5,0.14,15,0.43
三重県,15,1.25,1,0.08,2,0.17,3,0.25,1,0.08,2,0.17,1,0.08,0,0,1,0.08,1,0.08,1,0.08,2,0.17,0,0,0,0
滋賀県,15,1.88,4,0.5,2,0.25,1,0.13,0,0,0,0,1,0.13,0,0,2,0.25,1,0.13,0,0,0,0,2,0.25,2,0.25
京都府,49,2.72,6,0.33,7,0.39,5,0.28,5,0.28,4,0.22,1,0.06,2,0.11,4,0.22,8,0.44,1,0.06,3,0.17,2,0.11,1,0.06
大阪府,206,4.04,12,0.23,24,0.46,20,0.38,7,0.13,14,0.27,15,0.29,12,0.23,16,0.31,23,0.44,13,0.25,10,0.19,18,0.35,22,0.43
兵庫県,201,5.74,16,0.46,31,0.89,20,0.57,15,0.43,13,0.37,15,0.43,15,0.43,9,0.26,14,0.4,16,0.46,15,0.43,9,0.26,13,0.37
奈良県,76,7.6,4,0.4,13,1.3,4,0.4,4,0.4,7,0.7,1,0.1,5,0.5,6,0.6,6,0.6,9,0.9,2,0.2,8,0.8,7,0.7
和歌山県,7,1.75,0,0,2,0.5,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0,0
鳥取県,14,2.8,0,0,1,0.2,1,0.2,5,1,1,0.2,3,0.6,0,0,0,0,0,0,1,0.2,1,0.2,1,0.2,0,0
島根県,13,4.33,3,1,3,1,1,0.33,1,0.33,0,0,0,0,0,0,2,0.67,1,0.33,0,0,0,0,0,0,2,0.67
