報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,
2025年04週(01月20日～01月26日),2025年01月29日作成,,,,,,,,,
インフルエンザ,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
岡山県,13,0.24,2,0.04,4,0.07,4,0.07,3,0.06
広島県,24,0.35,1,0.02,9,0.12,3,0.04,11,0.15
山口県,32,0.74,4,0.09,11,0.26,9,0.21,8,0.19
徳島県,15,0.65,1,0.04,6,0.26,3,0.13,5,0.22
香川県,11,0.39,2,0.07,3,0.11,4,0.14,2,0.07
愛媛県,12,0.38,0,0,2,0.06,4,0.11,6,0.17
高知県,84,3.36,5,0.2,23,0.92,18,0.72,38,1.52
福岡県,74,0.62,8,0.07,24,0.2,18,0.15,24,0.2
佐賀県,6,0.27,0,0,3,0.13,0,0,3,0.13
長崎県,51,1.16,4,0.09,12,0.27,21,0.48,14,0.32
熊本県,28,0.57,3,0.06,8,0.16,7,0.14,10,0.2
大分県,12,0.33,0,0,7,0.19,1,0.03,4,0.11
宮崎県,53,1.51,5,0.15,17,0.47,15,0.42,16,0.44
鹿児島県,14,0.27,1,0.02,4,0.08,5,0.1,4,0.08
沖縄県,40,1.25,1,0.03,11,0.34,12,0.38,16,0.5
,,,,,,,,,,
突発性発しん,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1976,0.66,139,0.05,635,0.2,579,0.19,623,0.2
北海道,68,0.53,2,0.02,19,0.14,24,0.18,23,0.17
青森県,31,0.89,1,0.03,6,0.16,12,0.32,12,0.32
岩手県,23,0.59,2,0.05,6,0.15,7,0.18,8,0.21
宮城県,39,0.71,5,0.09,12,0.22,12,0.22,10,0.18
秋田県,7,0.24,0,0,3,0.09,2,0.06,2,0.06
山形県,29,1.21,3,0.17,9,0.33,8,0.3,9,0.33
福島県,39,0.8,3,0.06,16,0.33,6,0.12,14,0.29
茨城県,30,0.42,4,0.07,8,0.11,8,0.11,10,0.13
栃木県,44,1,6,0.18,13,0.27,14,0.29,11,0.23
群馬県,35,0.73,3,0.09,9,0.17,9,0.17,14,0.26
埼玉県,104,0.72,6,0.07,25,0.15,32,0.2,41,0.25
千葉県,67,0.55,4,0.04,27,0.21,19,0.15,17,0.13
東京都,180,0.73,9,0.04,58,0.22,53,0.2,60,0.23
神奈川県,112,0.54,4,0.03,32,0.14,38,0.17,38,0.17
新潟県,37,0.67,3,0.05,11,0.2,12,0.22,11,0.2
富山県,28,1,2,0.07,8,0.28,6,0.21,12,0.41
石川県,18,0.62,1,0.03,4,0.14,5,0.17,8,0.28
福井県,13,0.52,1,0.04,4,0.16,4,0.16,4,0.16
山梨県,6,0.25,0,0,1,0.04,2,0.08,3,0.13
長野県,26,0.52,2,0.05,9,0.17,9,0.17,6,0.11
岐阜県,37,0.7,4,0.08,17,0.32,7,0.13,9,0.17
静岡県,52,0.58,3,0.03,16,0.18,18,0.2,15,0.17
愛知県,56,0.31,3,0.02,16,0.09,20,0.11,17,0.09
三重県,40,0.95,2,0.06,15,0.33,12,0.27,11,0.24
滋賀県,10,0.3,0,0,7,0.19,1,0.03,2,0.06
京都府,34,0.47,0,0,11,0.15,13,0.17,10,0.14
大阪府,109,0.56,6,0.03,36,0.19,31,0.16,36,0.19
兵庫県,64,0.52,5,0.05,23,0.18,15,0.12,21,0.16
奈良県,18,0.64,0,0,8,0.24,5,0.15,5,0.15
和歌山県,18,0.64,1,0.04,8,0.28,3,0.1,6,0.21
鳥取県,9,0.47,0,0,3,0.16,2,0.11,4,0.21
島根県,22,0.96,2,0.09,6,0.26,6,0.26,8,0.35
岡山県,42,0.78,7,0.13,14,0.26,12,0.22,9,0.17
広島県,36,0.53,1,0.02,14,0.19,12,0.16,9,0.12
山口県,46,1.07,4,0.09,16,0.37,13,0.3,13,0.3
徳島県,14,0.61,2,0.09,5,0.22,2,0.09,5,0.22
香川県,23,0.82,3,0.11,7,0.25,4,0.14,9,0.32
愛媛県,34,1.06,2,0.09,12,0.33,11,0.31,9,0.25
高知県,14,0.56,1,0.04,6,0.24,4,0.16,3,0.12
福岡県,104,0.87,8,0.07,32,0.27,35,0.29,29,0.24
佐賀県,24,1.09,5,0.24,10,0.43,3,0.13,6,0.26
長崎県,29,0.66,3,0.07,6,0.14,10,0.23,10,0.23
熊本県,50,1.02,4,0.08,19,0.39,13,0.27,14,0.29
大分県,56,1.56,4,0.11,13,0.36,20,0.56,19,0.53
宮崎県,44,1.26,4,0.12,15,0.42,13,0.36,12,0.33
鹿児島県,36,0.71,1,0.02,11,0.22,8,0.16,16,0.31
沖縄県,19,0.59,3,0.09,9,0.28,4,0.13,3,0.09
,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,97,0.03,10,0,30,0.01,29,0.01,28,0.01
北海道,10,0.08,0,0,6,0.04,3,0.02,1,0.01
青森県,1,0.03,0,0,1,0.03,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0
宮城県,1,0.02,0,0,0,0,0,0,1,0.02
秋田県,1,0.03,0,0,0,0,0,0,1,0.03
山形県,1,0.04,0,0,1,0.04,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0
茨城県,3,0.04,2,0.03,0,0,0,0,1,0.01
栃木県,2,0.05,0,0,0,0,0,0,2,0.04
群馬県,1,0.02,0,0,0,0,0,0,1,0.02
埼玉県,7,0.05,1,0.01,0,0,3,0.02,3,0.02
千葉県,3,0.02,0,0,1,0.01,2,0.02,0,0
東京都,8,0.03,0,0,3,0.01,3,0.01,2,0.01
神奈川県,4,0.02,0,0,3,0.01,0,0,1,0
新潟県,2,0.04,1,0.02,1,0.02,0,0,0,0
富山県,4,0.14,1,0.04,0,0,1,0.03,2,0.07
石川県,2,0.07,0,0,1,0.03,0,0,1,0.03
福井県,3,0.12,1,0.04,1,0.04,0,0,1,0.04
山梨県,0,0,0,0,0,0,0,0,0,0
長野県,2,0.04,0,0,0,0,2,0.04,0,0
岐阜県,1,0.02,0,0,0,0,1,0.02,0,0
静岡県,0,0,0,0,0,0,0,0,0,0
愛知県,3,0.02,0,0,2,0.01,1,0.01,0,0
三重県,2,0.05,0,0,2,0.04,0,0,0,0
滋賀県,1,0.03,0,0,1,0.03,0,0,0,0
京都府,2,0.03,0,0,0,0,1,0.01,1,0.01
大阪府,5,0.03,0,0,1,0.01,4,0.02,0,0
兵庫県,3,0.02,0,0,0,0,0,0,3,0.02
奈良県,1,0.04,0,0,1,0.03,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0
岡山県,4,0.07,1,0.02,1,0.02,1,0.02,1,0.02
広島県,2,0.03,0,0,0,0,2,0.03,0,0
山口県,2,0.05,0,0,0,0,1,0.02,1,0.02
徳島県,1,0.04,0,0,0,0,0,0,1,0.04
香川県,3,0.11,0,0,2,0.07,0,0,1,0.04
愛媛県,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0
福岡県,4,0.03,1,0.01,0,0,2,0.02,1,0.01
佐賀県,3,0.14,0,0,0,0,2,0.09,1,0.04
長崎県,0,0,0,0,0,0,0,0,0,0
熊本県,3,0.06,0,0,2,0.04,0,0,1,0.02
大分県,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0
鹿児島県,1,0.02,1,0.02,0,0,0,0,0,0
沖縄県,1,0.03,1,0.03,0,0,0,0,0,0
,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,308,0.1,38,0.01,84,0.03,96,0.03,90,0.03
北海道,14,0.11,3,0.03,3,0.02,4,0.03,4,0.03
青森県,3,0.09,0,0,0,0,1,0.03,2,0.05
岩手県,4,0.1,2,0.05,1,0.03,0,0,1,0.03
宮城県,12,0.22,1,0.02,1,0.02,8,0.15,2,0.04
秋田県,1,0.03,0,0,0,0,1,0.03,0,0
山形県,1,0.04,0,0,0,0,1,0.04,0,0
福島県,4,0.08,0,0,0,0,4,0.08,0,0
茨城県,5,0.07,3,0.05,2,0.03,0,0,0,0
栃木県,5,0.11,1,0.03,0,0,1,0.02,3,0.06
群馬県,7,0.15,0,0,1,0.02,5,0.09,1,0.02
埼玉県,27,0.19,2,0.02,9,0.05,10,0.06,6,0.04
千葉県,14,0.11,1,0.01,6,0.05,3,0.02,4,0.03
東京都,30,0.12,2,0.01,10,0.04,7,0.03,11,0.04
神奈川県,21,0.1,0,0,8,0.03,6,0.03,7,0.03
新潟県,7,0.13,2,0.04,4,0.07,1,0.02,0,0
富山県,6,0.21,2,0.07,2,0.07,2,0.07,0,0
石川県,1,0.03,0,0,0,0,1,0.03,0,0
福井県,2,0.08,0,0,0,0,2,0.08,0,0
山梨県,6,0.25,0,0,2,0.08,1,0.04,3,0.13
長野県,1,0.02,0,0,0,0,1,0.02,0,0
岐阜県,5,0.09,1,0.02,1,0.02,1,0.02,2,0.04
静岡県,8,0.09,0,0,4,0.04,1,0.01,3,0.03
愛知県,15,0.08,0,0,3,0.02,4,0.02,8,0.04
三重県,2,0.05,0,0,1,0.02,0,0,1,0.02
滋賀県,8,0.24,2,0.08,1,0.03,2,0.06,3,0.08
京都府,4,0.05,0,0,1,0.01,2,0.03,1,0.01
大阪府,20,0.1,5,0.03,5,0.03,7,0.04,3,0.02
兵庫県,14,0.11,0,0,6,0.05,4,0.03,4,0.03
奈良県,3,0.11,1,0.1,0,0,1,0.03,1,0.03
和歌山県,2,0.07,1,0.04,0,0,0,0,1,0.03
鳥取県,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0
岡山県,9,0.17,1,0.02,5,0.09,2,0.04,1,0.02
広島県,5,0.07,0,0,0,0,3,0.04,2,0.03
山口県,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0
香川県,1,0.04,0,0,0,0,0,0,1,0.04
愛媛県,2,0.06,0,0,1,0.03,0,0,1,0.03
高知県,3,0.12,0,0,2,0.08,0,0,1,0.04
福岡県,9,0.08,4,0.03,0,0,0,0,5,0.04
佐賀県,2,0.09,0,0,0,0,1,0.04,1,0.04
長崎県,6,0.14,2,0.05,1,0.02,2,0.05,1,0.02
熊本県,4,0.08,0,0,0,0,2,0.04,2,0.04
大分県,8,0.22,2,0.06,2,0.06,2,0.06,2,0.06
宮崎県,3,0.09,0,0,1,0.03,2,0.06,0,0
鹿児島県,2,0.04,0,0,1,0.02,1,0.02,0,0
沖縄県,2,0.06,0,0,0,0,0,0,2,0.06
,,,,,,,,,,
急性出血性結膜炎,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,118,0.18,9,0.02,47,0.07,34,0.05,28,0.04
北海道,1,0.04,1,0.04,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0
秋田県,4,0.67,1,0.33,0,0,3,0.43,0,0
山形県,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0
茨城県,1,0.07,0,0,0,0,1,0.06,0,0
栃木県,2,0.18,0,0,2,0.17,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0
埼玉県,41,1.14,2,0.11,17,0.4,13,0.31,9,0.21
千葉県,4,0.12,0,0,4,0.12,0,0,0,0
東京都,2,0.06,0,0,2,0.05,0,0,0,0
神奈川県,2,0.05,0,0,1,0.02,0,0,1,0.02
新潟県,9,0.9,2,0.2,2,0.2,2,0.2,3,0.3
富山県,4,0.67,0,0,2,0.29,2,0.29,0,0
石川県,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0
岐阜県,1,0.09,0,0,1,0.09,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0
愛知県,6,0.17,0,0,1,0.03,2,0.06,3,0.09
三重県,1,0.1,0,0,1,0.08,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0
京都府,1,0.06,0,0,0,0,0,0,1,0.06
大阪府,9,0.17,0,0,6,0.12,3,0.06,0,0
兵庫県,7,0.21,0,0,2,0.06,0,0,5,0.14
奈良県,0,0,0,0,0,0,0,0,0,0
和歌山県,5,1.67,0,0,2,0.5,3,0.75,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0
岡山県,1,0.08,1,0.08,0,0,0,0,0,0
広島県,2,0.13,0,0,1,0.05,0,0,1,0.05
山口県,0,0,0,0,0,0,0,0,0,0
徳島県,2,0.67,0,0,1,0.25,1,0.25,0,0
香川県,0,0,0,0,0,0,0,0,0,0
愛媛県,1,0.14,1,0.17,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0
福岡県,2,0.08,0,0,0,0,1,0.04,1,0.04
佐賀県,0,0,0,0,0,0,0,0,0,0
長崎県,8,1,1,0.13,1,0.13,3,0.38,3,0.38
熊本県,1,0.11,0,0,0,0,0,0,1,0.11
大分県,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0
沖縄県,1,0.11,0,0,1,0.11,0,0,0,0
,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1734,2.62,125,0.22,774,1.12,423,0.61,412,0.59
北海道,35,1.3,3,0.13,13,0.45,10,0.34,9,0.31
青森県,5,0.56,0,0,2,0.2,2,0.2,1,0.1
岩手県,24,1.71,0,0,12,0.86,9,0.64,3,0.21
宮城県,27,2.25,0,0,18,1.5,4,0.33,5,0.42
秋田県,8,1.33,3,1,4,0.57,0,0,1,0.14
山形県,11,1.57,0,0,1,0.13,2,0.25,8,1
福島県,72,5.54,13,1,30,2.31,10,0.77,19,1.46
茨城県,150,10,12,1,66,3.88,35,2.06,37,2.18
栃木県,39,3.55,1,0.11,23,1.92,9,0.75,6,0.5
群馬県,27,2.25,1,0.17,14,1,6,0.43,6,0.43
埼玉県,76,2.11,5,0.28,37,0.88,20,0.48,14,0.33
千葉県,107,3.24,4,0.14,44,1.29,35,1,24,0.69
東京都,90,2.5,12,0.4,37,0.95,20,0.51,21,0.54
神奈川県,173,3.93,5,0.15,79,1.61,41,0.85,48,1
新潟県,21,2.1,1,0.1,9,0.9,3,0.3,8,0.8
富山県,7,1.17,0,0,3,0.43,3,0.43,1,0.14
石川県,48,6.86,6,0.86,25,3.57,9,1.29,8,1.14
福井県,4,1.33,0,0,4,1.33,0,0,0,0
山梨県,67,7.44,0,0,31,3.44,19,2.11,17,1.89
長野県,93,10.33,12,2,38,3.8,25,2.5,18,1.8
岐阜県,3,0.27,0,0,2,0.18,1,0.09,0,0
静岡県,23,1.1,4,0.18,10,0.48,6,0.27,3,0.14
愛知県,23,0.66,0,0,13,0.37,2,0.06,8,0.23
三重県,1,0.1,0,0,1,0.08,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0
京都府,20,1.25,0,0,4,0.25,10,0.59,6,0.35
大阪府,51,0.98,0,0,26,0.5,12,0.23,13,0.25
兵庫県,87,2.64,6,0.21,41,1.17,18,0.51,22,0.63
奈良県,13,1.63,0,0,5,0.5,2,0.2,6,0.6
和歌山県,11,3.67,0,0,6,1.5,4,1,1,0.25
鳥取県,4,0.8,0,0,2,0.4,2,0.4,0,0
島根県,0,0,0,0,0,0,0,0,0,0
岡山県,16,1.33,1,0.08,11,0.92,3,0.25,1,0.08
広島県,74,4.63,2,0.2,43,2.26,16,0.84,13,0.68
山口県,27,3,0,0,20,2.22,3,0.33,4,0.44
徳島県,1,0.33,0,0,0,0,0,0,1,0.33
香川県,8,1.6,0,0,3,0.6,5,1,0,0
愛媛県,65,9.29,4,0.67,26,3.25,16,2,19,2.38
高知県,2,0.67,0,0,1,0.33,0,0,1,0.33
福岡県,32,1.23,4,0.15,11,0.42,8,0.31,9,0.35
佐賀県,1,0.33,0,0,0,0,1,0.25,0,0
長崎県,56,7,8,1,15,1.88,21,2.63,12,1.5
熊本県,37,4.11,4,0.44,14,1.56,11,1.22,8,0.89
大分県,19,3.8,10,2,4,0.8,3,0.6,2,0.4
宮崎県,12,2.4,1,0.25,2,0.33,1,0.17,8,1.33
鹿児島県,18,2.57,3,0.43,4,0.57,3,0.43,8,1.14
沖縄県,46,5.11,0,0,20,2.22,13,1.44,13,1.44
,,,,,,,,,,
細菌性髄膜炎,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,38,0.08,8,0.02,10,0.02,12,0.03,8,0.02
北海道,0,0,0,0,0,0,0,0,0,0
青森県,1,0.17,0,0,0,0,0,0,1,0.17
岩手県,1,0.05,0,0,1,0.05,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0
秋田県,1,0.13,0,0,0,0,1,0.13,0,0
山形県,1,0.1,0,0,0,0,0,0,1,0.1
福島県,0,0,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0
栃木県,2,0.29,0,0,1,0.14,1,0.14,0,0
群馬県,0,0,0,0,0,0,0,0,0,0
埼玉県,2,0.17,0,0,1,0.08,1,0.08,0,0
千葉県,2,0.22,0,0,1,0.11,0,0,1,0.11
東京都,2,0.08,0,0,0,0,1,0.04,1,0.04
神奈川県,1,0.08,0,0,0,0,0,0,1,0.08
新潟県,0,0,0,0,0,0,0,0,0,0
富山県,1,0.2,0,0,0,0,0,0,1,0.2
石川県,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0
山梨県,2,0.2,2,0.2,0,0,0,0,0,0
長野県,1,0.08,0,0,0,0,1,0.08,0,0
岐阜県,1,0.2,0,0,0,0,1,0.2,0,0
静岡県,0,0,0,0,0,0,0,0,0,0
愛知県,1,0.07,0,0,0,0,1,0.07,0,0
三重県,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0
大阪府,2,0.11,1,0.06,1,0.06,0,0,0,0
兵庫県,1,0.07,1,0.07,0,0,0,0,0,0
奈良県,2,0.33,0,0,1,0.17,1,0.17,0,0
和歌山県,1,0.09,0,0,1,0.09,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0
島根県,1,0.13,0,0,0,0,1,0.13,0,0
岡山県,2,0.4,1,0.2,0,0,1,0.2,0,0
広島県,1,0.05,0,0,1,0.05,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0
徳島県,2,0.29,0,0,1,0.14,1,0.14,0,0
香川県,1,0.2,0,0,1,0.2,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0
福岡県,1,0.07,1,0.07,0,0,0,0,0,0
佐賀県,1,0.17,0,0,0,0,0,0,1,0.17
長崎県,1,0.08,1,0.08,0,0,0,0,0,0
熊本県,0,0,0,0,0,0,0,0,0,0
大分県,1,0.09,0,0,0,0,1,0.09,0,0
宮崎県,1,0.14,1,0.14,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0
沖縄県,1,0.14,0,0,0,0,0,0,1,0.14
,,,,,,,,,,
無菌性髄膜炎,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,48,0.1,7,0.01,16,0.03,10,0.02,15,0.03
北海道,1,0.05,0,0,0,0,0,0,1,0.05
青森県,4,0.67,0,0,1,0.17,0,0,3,0.5
岩手県,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0
茨城県,2,0.15,0,0,0,0,1,0.08,1,0.08
栃木県,0,0,0,0,0,0,0,0,0,0
群馬県,2,0.22,1,0.11,1,0.11,0,0,0,0
埼玉県,4,0.33,1,0.08,1,0.08,1,0.08,1,0.08
千葉県,0,0,0,0,0,0,0,0,0,0
東京都,5,0.2,1,0.04,3,0.12,1,0.04,0,0
神奈川県,5,0.42,0,0,1,0.08,1,0.08,3,0.25
新潟県,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0
福井県,1,0.17,0,0,0,0,0,0,1,0.17
山梨県,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0
岐阜県,5,1,2,0.4,2,0.4,0,0,1,0.2
静岡県,0,0,0,0,0,0,0,0,0,0
愛知県,2,0.13,0,0,1,0.07,0,0,1,0.07
三重県,0,0,0,0,0,0,0,0,0,0
滋賀県,1,0.14,1,0.14,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0
大阪府,4,0.22,0,0,1,0.06,1,0.06,2,0.11
兵庫県,3,0.21,1,0.07,0,0,2,0.14,0,0
奈良県,2,0.33,0,0,1,0.17,1,0.17,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0
鳥取県,1,0.2,0,0,1,0.2,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0
広島県,1,0.05,0,0,1,0.05,0,0,0,0
山口県,1,0.11,0,0,1,0.11,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0
香川県,1,0.2,0,0,0,0,1,0.2,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0
長崎県,1,0.08,0,0,0,0,0,0,1,0.08
熊本県,1,0.07,0,0,0,0,1,0.07,0,0
大分県,1,0.09,0,0,1,0.09,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
マイコプラズマ肺炎,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1611,3.36,367,0.76,532,1.11,410,0.85,302,0.63
北海道,91,4.14,11,0.5,38,1.73,23,1.05,19,0.86
青森県,40,6.67,5,0.83,16,2.67,10,1.67,9,1.5
岩手県,70,3.68,26,1.37,16,0.84,16,0.84,12,0.63
宮城県,24,2.4,5,0.5,8,0.8,4,0.4,7,0.7
秋田県,24,3,4,0.5,10,1.25,4,0.5,6,0.75
山形県,40,4,10,1,12,1.2,10,1,8,0.8
福島県,23,3.29,6,0.86,8,1.14,6,0.86,3,0.43
茨城県,45,3.46,13,1,18,1.38,12,0.92,2,0.15
栃木県,12,1.71,2,0.29,4,0.57,4,0.57,2,0.29
群馬県,27,3,5,0.56,9,1,8,0.89,5,0.56
埼玉県,64,5.33,24,2,19,1.58,11,0.92,10,0.83
千葉県,16,1.78,5,0.56,6,0.67,4,0.44,1,0.11
東京都,72,2.88,17,0.68,26,1.04,15,0.6,14,0.56
神奈川県,16,1.33,2,0.17,10,0.83,1,0.08,3,0.25
新潟県,63,4.85,16,1.23,18,1.38,17,1.31,12,0.92
富山県,13,2.6,0,0,5,1,5,1,3,0.6
石川県,20,4,7,1.4,5,1,6,1.2,2,0.4
福井県,31,5.17,4,0.67,7,1.17,8,1.33,12,2
山梨県,18,1.8,5,0.5,4,0.4,4,0.4,5,0.5
長野県,28,2.33,3,0.25,15,1.25,4,0.33,6,0.5
岐阜県,34,6.8,10,2,9,1.8,9,1.8,6,1.2
静岡県,27,2.7,4,0.4,15,1.5,6,0.6,2,0.2
愛知県,55,3.67,10,0.67,21,1.4,16,1.07,8,0.53
三重県,27,3,2,0.22,6,0.67,12,1.33,7,0.78
滋賀県,7,1,0,0,3,0.43,3,0.43,1,0.14
京都府,30,4.29,6,0.86,10,1.43,12,1.71,2,0.29
大阪府,37,2.06,7,0.39,12,0.67,10,0.56,8,0.44
兵庫県,138,9.86,13,0.93,43,3.07,49,3.5,33,2.36
奈良県,16,2.67,6,1,5,0.83,3,0.5,2,0.33
和歌山県,29,2.64,7,0.64,11,1,4,0.36,7,0.64
鳥取県,20,4,7,1.4,3,0.6,7,1.4,3,0.6
島根県,22,2.75,4,0.5,6,0.75,7,0.88,5,0.63
岡山県,23,4.6,17,3.4,3,0.6,2,0.4,1,0.2
広島県,120,6,50,2.5,29,1.45,25,1.25,16,0.8
山口県,19,2.11,5,0.56,7,0.78,3,0.33,4,0.44
徳島県,7,1,0,0,3,0.43,1,0.14,3,0.43
香川県,13,2.6,8,1.6,5,1,0,0,0,0
愛媛県,20,3.33,2,0.33,3,0.5,10,1.67,5,0.83
高知県,32,4,3,0.38,15,1.88,8,1,6,0.75
福岡県,67,4.47,10,0.67,27,1.8,18,1.2,12,0.8
佐賀県,19,3.17,5,0.83,4,0.67,6,1,4,0.67
長崎県,31,2.58,6,0.5,9,0.75,10,0.83,6,0.5
熊本県,23,1.53,5,0.33,9,0.6,6,0.4,3,0.2
大分県,10,0.91,1,0.09,2,0.18,5,0.45,2,0.18
宮崎県,15,2.14,2,0.29,7,1,0,0,6,0.86
鹿児島県,26,2.17,4,0.33,9,0.75,6,0.5,7,0.58
沖縄県,7,1,3,0.43,2,0.29,0,0,2,0.29
,,,,,,,,,,
クラミジア肺炎,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,8,0.02,0,0,2,0,3,0.01,3,0.01
北海道,1,0.05,0,0,0,0,1,0.05,0,0
青森県,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0
埼玉県,2,0.17,0,0,0,0,0,0,2,0.17
千葉県,0,0,0,0,0,0,0,0,0,0
東京都,0,0,0,0,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0,0,0,0,0
新潟県,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0
福井県,2,0.33,0,0,1,0.17,0,0,1,0.17
山梨県,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0
京都府,1,0.14,0,0,0,0,1,0.14,0,0
大阪府,2,0.11,0,0,1,0.06,1,0.06,0,0
兵庫県,0,0,0,0,0,0,0,0,0,0
