報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,
2024年08週(02月19日～02月25日),2024年02月28日作成,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
三重県,2356,52.36,118,2.62,240,5.33,333,7.4,323,7.18,378,8.4,345,7.67,334,7.42,285,6.33
滋賀県,1242,35.49,58,1.61,156,4.33,162,4.63,169,4.83,183,5.08,166,4.61,149,4.14,199,5.53
京都府,2735,36.47,112,1.51,241,3.17,389,5.19,426,5.68,411,5.48,440,5.87,374,4.92,342,4.5
大阪府,9744,49.46,488,2.48,917,4.65,1432,7.27,1542,7.83,1638,8.31,1446,7.3,1163,5.87,1118,5.65
兵庫県,7414,57.92,342,2.67,728,5.69,1066,8.33,1211,9.46,1081,8.45,1174,9.17,843,6.59,969,7.57
奈良県,1803,54.64,73,2.15,189,5.56,305,8.97,281,8.26,285,8.38,287,8.44,202,6.12,181,5.48
和歌山県,1256,41.87,58,1.93,118,3.93,120,4,147,4.9,206,6.87,196,6.53,199,6.63,212,7.07
鳥取県,934,49.16,33,1.74,92,4.84,131,6.89,108,5.68,141,7.42,136,7.16,151,7.95,142,7.47
島根県,1601,69.61,72,3.13,176,7.65,288,12.52,278,12.09,271,11.78,214,9.3,142,6.17,160,6.96
岡山県,2685,49.72,177,3.28,242,4.48,285,5.28,327,6.06,421,7.8,406,7.52,431,7.98,396,7.33
広島県,4692,68,237,3.39,441,6.3,682,9.74,704,10.06,740,10.72,720,10.59,569,8.25,599,8.56
山口県,1972,45.86,142,3.3,265,6.16,345,8.02,271,6.3,275,6.4,273,6.35,193,4.49,208,4.84
徳島県,966,42,86,3.74,85,3.7,178,7.74,141,6.13,128,5.57,137,5.96,113,4.91,98,4.26
香川県,2403,85.82,154,5.5,275,9.82,376,13.43,385,13.75,379,13.54,375,13.39,239,8.54,220,7.86
愛媛県,2779,77.19,178,4.94,270,7.3,433,11.7,409,11.05,373,10.08,419,11.32,357,9.65,340,9.19
高知県,796,30.62,18,0.69,77,2.96,111,4.27,109,4.19,137,5.27,169,6.5,88,3.38,87,3.35
福岡県,5325,44.38,484,4.03,681,5.68,875,7.29,751,6.26,728,6.07,626,5.22,620,5.17,560,4.67
佐賀県,784,34.09,68,2.96,89,3.87,132,5.74,135,5.87,92,4,90,3.91,85,3.7,93,4.04
長崎県,1419,33,125,2.84,161,3.66,298,6.77,218,4.95,192,4.36,173,3.93,116,2.64,136,3.16
熊本県,3209,64.18,197,3.94,371,7.42,575,11.5,517,10.34,469,9.38,421,8.42,345,6.9,314,6.28
大分県,3021,83.92,212,5.89,290,8.06,455,12.64,373,10.36,474,13.17,531,14.75,364,10.11,322,8.94
宮崎県,3090,85.83,205,5.69,379,10.53,507,14.08,448,12.44,464,12.89,411,11.42,314,8.72,362,10.06
鹿児島県,3900,76.47,255,5,480,9.41,623,12.22,547,10.73,623,12.22,495,9.71,494,9.69,383,7.51
沖縄県,534,17.23,62,2,66,2.13,53,1.71,67,2.16,79,2.55,63,2.03,75,2.42,69,2.23
,,,,,,,,,,,,,,,,,,
水痘,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3409,1.09,452,0.15,450,0.14,480,0.15,402,0.13,434,0.14,427,0.14,365,0.12,399,0.13
北海道,174,1.26,17,0.13,30,0.22,20,0.14,29,0.21,21,0.15,17,0.12,23,0.17,17,0.12
青森県,32,0.86,5,0.14,8,0.22,6,0.16,2,0.05,2,0.05,2,0.05,1,0.03,6,0.16
岩手県,51,1.34,7,0.18,10,0.26,9,0.23,4,0.1,1,0.03,5,0.13,10,0.26,5,0.13
宮城県,60,1.09,10,0.18,12,0.22,4,0.07,4,0.07,8,0.15,5,0.09,12,0.22,5,0.09
秋田県,33,1.18,11,0.35,7,0.21,5,0.15,0,0,1,0.03,4,0.12,0,0,5,0.15
山形県,39,1.39,5,0.18,4,0.14,1,0.04,5,0.18,3,0.11,8,0.29,7,0.25,6,0.21
福島県,67,1.37,5,0.1,14,0.29,4,0.08,9,0.18,7,0.14,13,0.27,8,0.16,7,0.14
茨城県,44,0.59,8,0.11,6,0.08,5,0.07,3,0.04,5,0.07,6,0.08,5,0.07,6,0.08
栃木県,21,0.44,0,0,1,0.02,3,0.06,1,0.02,2,0.04,8,0.17,3,0.06,3,0.06
群馬県,46,0.87,3,0.06,9,0.17,3,0.06,6,0.11,5,0.09,7,0.13,5,0.09,8,0.15
埼玉県,262,1.61,29,0.18,41,0.25,43,0.26,25,0.15,36,0.22,23,0.14,24,0.15,41,0.25
千葉県,126,1.01,15,0.12,15,0.12,24,0.19,13,0.1,17,0.13,12,0.1,14,0.11,16,0.13
東京都,341,1.31,31,0.12,50,0.19,43,0.16,42,0.16,25,0.1,53,0.2,32,0.12,65,0.25
神奈川県,333,1.46,69,0.31,40,0.17,42,0.19,34,0.15,42,0.19,44,0.19,35,0.15,27,0.12
新潟県,64,1.16,10,0.18,9,0.16,4,0.07,8,0.15,5,0.09,7,0.13,1,0.02,20,0.36
富山県,45,1.55,3,0.1,12,0.41,14,0.48,4,0.14,4,0.14,6,0.21,1,0.03,1,0.03
石川県,82,3.04,7,0.26,11,0.41,3,0.11,16,0.57,13,0.46,15,0.54,11,0.38,6,0.21
福井県,28,1.12,1,0.04,2,0.08,5,0.2,4,0.16,8,0.32,3,0.12,3,0.12,2,0.08
山梨県,26,1.08,0,0,1,0.04,0,0,0,0,15,0.63,3,0.13,6,0.25,1,0.04
長野県,34,0.63,2,0.04,2,0.04,7,0.13,8,0.15,6,0.11,6,0.11,1,0.02,2,0.04
岐阜県,17,0.32,0,0,4,0.08,2,0.04,2,0.04,2,0.04,4,0.08,1,0.02,2,0.04
静岡県,86,0.97,11,0.12,7,0.08,17,0.19,10,0.11,4,0.04,19,0.21,7,0.08,11,0.12
愛知県,100,0.55,19,0.1,9,0.05,13,0.07,16,0.09,13,0.07,10,0.05,7,0.04,13,0.07
三重県,34,0.76,5,0.11,0,0,5,0.11,5,0.11,5,0.11,8,0.18,1,0.02,5,0.11
滋賀県,35,1,4,0.11,6,0.17,6,0.17,4,0.11,0,0,5,0.14,7,0.19,3,0.08
京都府,74,0.99,7,0.09,11,0.14,17,0.23,9,0.12,11,0.15,9,0.12,6,0.08,4,0.05
大阪府,207,1.05,30,0.15,30,0.15,31,0.16,27,0.14,27,0.14,28,0.14,18,0.09,16,0.08
兵庫県,138,1.08,24,0.19,7,0.05,19,0.15,26,0.2,15,0.12,19,0.15,10,0.08,18,0.14
奈良県,37,1.12,2,0.06,2,0.06,7,0.21,1,0.03,10,0.29,4,0.12,5,0.15,6,0.18
和歌山県,13,0.43,2,0.07,2,0.07,2,0.07,4,0.13,0,0,0,0,1,0.03,2,0.07
鳥取県,9,0.47,0,0,2,0.11,0,0,1,0.05,1,0.05,2,0.11,2,0.11,1,0.05
島根県,17,0.74,5,0.22,3,0.13,2,0.09,3,0.13,1,0.04,1,0.04,1,0.04,1,0.04
岡山県,32,0.59,6,0.11,4,0.07,5,0.09,3,0.06,3,0.06,6,0.11,2,0.04,3,0.06
広島県,67,0.97,14,0.2,8,0.11,16,0.23,4,0.06,8,0.12,5,0.07,8,0.12,4,0.06
山口県,31,0.72,6,0.14,5,0.12,5,0.12,1,0.02,5,0.12,1,0.02,4,0.09,4,0.09
徳島県,7,0.3,0,0,0,0,1,0.04,0,0,2,0.09,1,0.04,2,0.09,1,0.04
香川県,21,0.75,6,0.21,2,0.07,3,0.11,1,0.04,3,0.11,2,0.07,2,0.07,2,0.07
愛媛県,42,1.17,5,0.14,2,0.05,8,0.22,3,0.08,7,0.19,5,0.14,6,0.16,6,0.16
高知県,16,0.62,2,0.08,4,0.15,2,0.08,1,0.04,1,0.04,1,0.04,4,0.15,1,0.04
福岡県,217,1.81,33,0.28,24,0.2,24,0.2,36,0.3,34,0.28,27,0.23,24,0.2,15,0.13
佐賀県,22,0.96,5,0.22,4,0.17,6,0.26,1,0.04,2,0.09,0,0,1,0.04,3,0.13
長崎県,49,1.14,3,0.07,6,0.14,4,0.09,7,0.16,6,0.14,7,0.16,14,0.32,2,0.05
熊本県,88,1.76,4,0.08,11,0.22,23,0.46,5,0.1,26,0.52,3,0.06,5,0.1,11,0.22
大分県,21,0.58,5,0.14,2,0.06,2,0.06,3,0.08,5,0.14,2,0.06,0,0,2,0.06
宮崎県,20,0.56,3,0.08,1,0.03,2,0.06,4,0.11,2,0.06,1,0.03,4,0.11,3,0.08
鹿児島県,41,0.8,5,0.1,2,0.04,4,0.08,1,0.02,6,0.12,3,0.06,15,0.29,5,0.1
沖縄県,60,1.94,8,0.26,8,0.26,9,0.29,7,0.23,9,0.29,7,0.23,6,0.19,6,0.19
,,,,,,,,,,,,,,,,,,
手足口病,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,4409,1.41,442,0.14,411,0.13,547,0.17,612,0.2,684,0.22,590,0.19,532,0.17,591,0.19
北海道,28,0.2,5,0.04,6,0.04,2,0.01,5,0.04,1,0.01,2,0.01,4,0.03,3,0.02
青森県,27,0.73,3,0.08,6,0.16,7,0.19,4,0.11,2,0.05,3,0.08,1,0.03,1,0.03
岩手県,62,1.63,6,0.15,7,0.18,14,0.36,9,0.23,13,0.33,5,0.13,7,0.18,1,0.03
宮城県,23,0.42,4,0.07,5,0.09,3,0.05,1,0.02,4,0.07,3,0.05,1,0.02,2,0.04
秋田県,37,1.32,2,0.06,6,0.18,3,0.09,0,0,8,0.24,7,0.21,7,0.21,4,0.12
山形県,104,3.71,2,0.07,9,0.32,8,0.29,12,0.43,14,0.5,31,1.11,16,0.57,12,0.43
福島県,16,0.33,2,0.04,1,0.02,2,0.04,0,0,2,0.04,4,0.08,3,0.06,2,0.04
茨城県,17,0.23,8,0.11,4,0.05,0,0,2,0.03,0,0,2,0.03,0,0,1,0.01
栃木県,52,1.08,7,0.15,9,0.19,10,0.21,7,0.15,7,0.15,5,0.1,4,0.08,3,0.06
群馬県,129,2.43,14,0.26,14,0.26,30,0.57,17,0.32,18,0.34,11,0.21,15,0.28,10,0.19
埼玉県,94,0.58,5,0.03,12,0.07,15,0.09,13,0.08,16,0.1,14,0.09,6,0.04,13,0.08
千葉県,30,0.24,11,0.09,6,0.05,3,0.02,4,0.03,2,0.02,3,0.02,1,0.01,0,0
東京都,154,0.59,32,0.13,25,0.1,16,0.06,21,0.08,16,0.06,21,0.08,13,0.05,10,0.04
神奈川県,93,0.41,8,0.04,6,0.03,12,0.05,8,0.03,18,0.08,18,0.08,19,0.08,4,0.02
新潟県,44,0.8,7,0.13,7,0.13,4,0.07,7,0.13,13,0.24,4,0.07,1,0.02,1,0.02
富山県,31,1.07,3,0.1,3,0.1,5,0.17,6,0.21,6,0.21,4,0.14,4,0.14,0,0
石川県,49,1.81,3,0.11,5,0.19,2,0.07,9,0.32,13,0.46,3,0.11,8,0.28,6,0.21
福井県,93,3.72,7,0.28,5,0.2,3,0.12,5,0.2,9,0.36,9,0.36,14,0.56,41,1.64
山梨県,33,1.38,10,0.42,4,0.17,3,0.13,7,0.29,5,0.21,4,0.17,0,0,0,0
長野県,28,0.52,12,0.22,2,0.04,2,0.04,7,0.13,1,0.02,2,0.04,2,0.04,0,0
岐阜県,26,0.49,4,0.08,4,0.08,3,0.06,2,0.04,1,0.02,3,0.06,6,0.11,3,0.06
静岡県,49,0.55,3,0.03,4,0.04,4,0.04,10,0.11,8,0.09,13,0.15,4,0.04,3,0.03
愛知県,42,0.23,3,0.02,7,0.04,9,0.05,2,0.01,7,0.04,4,0.02,5,0.03,5,0.03
三重県,41,0.91,1,0.02,3,0.07,6,0.13,6,0.13,4,0.09,8,0.18,6,0.13,7,0.16
滋賀県,54,1.54,3,0.08,12,0.33,5,0.14,6,0.17,12,0.33,2,0.06,7,0.19,7,0.19
京都府,131,1.75,12,0.16,8,0.11,13,0.17,26,0.35,23,0.31,18,0.24,13,0.17,18,0.24
大阪府,711,3.61,67,0.34,49,0.25,82,0.42,102,0.52,110,0.56,83,0.42,107,0.54,111,0.56
兵庫県,197,1.54,19,0.15,20,0.16,23,0.18,29,0.23,23,0.18,25,0.2,30,0.23,28,0.22
奈良県,91,2.76,17,0.5,9,0.26,12,0.35,3,0.09,11,0.32,6,0.18,9,0.27,24,0.73
和歌山県,77,2.57,6,0.2,12,0.4,11,0.37,11,0.37,10,0.33,6,0.2,9,0.3,12,0.4
鳥取県,22,1.16,0,0,1,0.05,4,0.21,4,0.21,5,0.26,2,0.11,3,0.16,3,0.16
島根県,31,1.35,0,0,0,0,4,0.17,5,0.22,7,0.3,4,0.17,4,0.17,7,0.3
岡山県,103,1.91,11,0.2,8,0.15,9,0.17,8,0.15,5,0.09,21,0.39,13,0.24,28,0.52
広島県,137,1.99,3,0.04,11,0.16,15,0.21,18,0.26,31,0.45,17,0.25,20,0.29,22,0.31
山口県,15,0.35,2,0.05,2,0.05,3,0.07,1,0.02,4,0.09,2,0.05,0,0,1,0.02
徳島県,65,2.83,8,0.35,2,0.09,1,0.04,11,0.48,14,0.61,7,0.3,8,0.35,14,0.61
香川県,143,5.11,4,0.14,4,0.14,5,0.18,30,1.07,23,0.82,27,0.96,18,0.64,32,1.14
愛媛県,112,3.11,14,0.39,14,0.38,20,0.54,14,0.38,10,0.27,11,0.3,9,0.24,20,0.54
高知県,29,1.12,4,0.15,5,0.19,6,0.23,0,0,5,0.19,2,0.08,3,0.12,4,0.15
福岡県,283,2.36,27,0.23,28,0.23,37,0.31,46,0.38,45,0.38,36,0.3,37,0.31,27,0.23
佐賀県,36,1.57,1,0.04,3,0.13,6,0.26,5,0.22,11,0.48,4,0.17,2,0.09,4,0.17
長崎県,94,2.19,14,0.32,5,0.11,9,0.2,13,0.3,19,0.43,18,0.41,10,0.23,6,0.14
熊本県,147,2.94,13,0.26,12,0.24,20,0.4,24,0.48,23,0.46,29,0.58,18,0.36,8,0.16
大分県,101,2.81,8,0.22,3,0.08,4,0.11,12,0.33,21,0.58,14,0.39,17,0.47,22,0.61
宮崎県,181,5.03,14,0.39,13,0.36,28,0.78,28,0.78,33,0.92,25,0.69,20,0.56,20,0.56
鹿児島県,319,6.25,31,0.61,26,0.51,58,1.14,44,0.86,48,0.94,45,0.88,27,0.53,40,0.78
沖縄県,28,0.9,2,0.06,4,0.13,6,0.19,8,0.26,3,0.1,3,0.1,1,0.03,1,0.03
,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,436,0.14,29,0.01,59,0.02,54,0.02,63,0.02,61,0.02,61,0.02,54,0.02,55,0.02
北海道,2,0.01,1,0.01,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0
青森県,4,0.11,0,0,1,0.03,0,0,1,0.03,0,0,1,0.03,0,0,1,0.03
岩手県,3,0.08,0,0,0,0,0,0,0,0,0,0,2,0.05,0,0,1,0.03
宮城県,5,0.09,1,0.02,0,0,0,0,4,0.07,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,10,0.36,1,0.04,3,0.11,0,0,1,0.04,2,0.07,1,0.04,1,0.04,1,0.04
福島県,8,0.16,0,0,1,0.02,4,0.08,1,0.02,1,0.02,1,0.02,0,0,0,0
茨城県,6,0.08,1,0.01,1,0.01,1,0.01,1,0.01,2,0.03,0,0,0,0,0,0
栃木県,3,0.06,0,0,0,0,2,0.04,0,0,0,0,0,0,0,0,1,0.02
群馬県,6,0.11,0,0,1,0.02,2,0.04,0,0,1,0.02,0,0,1,0.02,1,0.02
埼玉県,21,0.13,1,0.01,3,0.02,4,0.02,5,0.03,3,0.02,1,0.01,3,0.02,1,0.01
千葉県,9,0.07,0,0,1,0.01,2,0.02,2,0.02,0,0,1,0.01,1,0.01,2,0.02
東京都,148,0.57,7,0.03,26,0.1,18,0.07,21,0.08,20,0.08,21,0.08,21,0.08,14,0.05
神奈川県,65,0.29,2,0.01,5,0.02,11,0.05,6,0.03,7,0.03,15,0.06,7,0.03,12,0.05
新潟県,7,0.13,0,0,1,0.02,0,0,3,0.05,0,0,0,0,2,0.04,1,0.02
富山県,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03
石川県,2,0.07,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0
福井県,4,0.16,2,0.08,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0
山梨県,1,0.04,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0
長野県,2,0.04,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,1,0.02
岐阜県,1,0.02,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,8,0.09,0,0,0,0,1,0.01,0,0,4,0.04,0,0,1,0.01,2,0.02
愛知県,7,0.04,3,0.02,0,0,0,0,0,0,0,0,1,0.01,1,0.01,2,0.01
三重県,4,0.09,0,0,0,0,1,0.02,1,0.02,1,0.02,0,0,1,0.02,0,0
滋賀県,4,0.11,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,2,0.06
京都府,2,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,1,0.01
大阪府,19,0.1,1,0.01,6,0.03,0,0,1,0.01,2,0.01,4,0.02,3,0.02,2,0.01
兵庫県,13,0.1,0,0,2,0.02,1,0.01,4,0.03,1,0.01,2,0.02,2,0.02,1,0.01
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,2,0.09,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04
岡山県,11,0.2,3,0.06,1,0.02,2,0.04,2,0.04,2,0.04,0,0,1,0.02,0,0
広島県,5,0.07,1,0.01,1,0.01,0,0,0,0,2,0.03,1,0.01,0,0,0,0
山口県,1,0.02,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0
徳島県,2,0.09,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04
香川県,5,0.18,0,0,0,0,0,0,0,0,3,0.11,0,0,2,0.07,0,0
愛媛県,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0
高知県,4,0.15,1,0.04,0,0,0,0,1,0.04,1,0.04,0,0,1,0.04,0,0
福岡県,8,0.07,1,0.01,1,0.01,1,0.01,1,0.01,0,0,0,0,0,0,4,0.03
佐賀県,2,0.09,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,1,0.04
長崎県,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0
熊本県,10,0.2,0,0,1,0.02,0,0,3,0.06,2,0.04,4,0.08,0,0,0,0
大分県,4,0.11,0,0,0,0,0,0,3,0.08,0,0,1,0.03,0,0,0,0
宮崎県,6,0.17,0,0,0,0,0,0,0,0,4,0.11,0,0,2,0.06,0,0
鹿児島県,5,0.1,0,0,1,0.02,1,0.02,0,0,1,0.02,1,0.02,0,0,1,0.02
沖縄県,4,0.13,0,0,1,0.03,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0
,,,,,,,,,,,,,,,,,,
突発性発しん,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,4681,1.5,358,0.12,643,0.21,655,0.21,633,0.2,631,0.2,578,0.18,592,0.19,591,0.19
北海道,117,0.85,9,0.07,14,0.1,15,0.11,17,0.12,12,0.09,13,0.09,13,0.09,24,0.17
青森県,72,1.95,5,0.14,4,0.11,6,0.16,8,0.22,9,0.24,14,0.38,15,0.41,11,0.3
岩手県,98,2.58,8,0.21,15,0.38,9,0.23,13,0.33,11,0.28,19,0.5,13,0.34,10,0.26
宮城県,109,1.98,9,0.16,19,0.35,8,0.15,11,0.2,21,0.38,14,0.25,17,0.31,10,0.18
秋田県,27,0.96,1,0.03,8,0.24,6,0.18,0,0,5,0.15,2,0.06,2,0.06,3,0.09
山形県,69,2.46,6,0.21,7,0.25,14,0.5,11,0.39,11,0.39,6,0.21,9,0.32,5,0.18
福島県,112,2.29,7,0.14,14,0.29,12,0.24,17,0.35,14,0.29,18,0.37,8,0.16,22,0.45
茨城県,44,0.59,4,0.05,7,0.09,8,0.11,3,0.04,4,0.05,6,0.08,3,0.04,9,0.12
栃木県,75,1.56,6,0.13,13,0.27,9,0.19,13,0.27,11,0.23,8,0.17,8,0.17,7,0.15
群馬県,96,1.81,6,0.11,9,0.17,9,0.17,16,0.3,18,0.34,12,0.23,13,0.25,13,0.25
埼玉県,238,1.46,21,0.13,28,0.17,43,0.26,34,0.21,29,0.18,30,0.18,23,0.14,30,0.18
千葉県,183,1.46,15,0.12,22,0.17,15,0.12,32,0.26,31,0.24,21,0.17,16,0.13,31,0.25
東京都,411,1.58,25,0.1,63,0.24,62,0.24,55,0.21,65,0.25,43,0.16,57,0.22,41,0.16
神奈川県,285,1.25,14,0.06,41,0.18,44,0.19,36,0.16,42,0.19,38,0.16,28,0.12,42,0.18
新潟県,92,1.67,7,0.13,14,0.25,11,0.2,9,0.16,11,0.2,15,0.27,11,0.2,14,0.25
富山県,38,1.31,1,0.03,7,0.24,3,0.1,6,0.21,5,0.17,6,0.21,3,0.1,7,0.24
石川県,34,1.26,4,0.15,5,0.19,9,0.33,2,0.07,3,0.11,4,0.14,6,0.21,1,0.03
福井県,37,1.48,5,0.2,8,0.32,1,0.04,7,0.28,1,0.04,5,0.2,4,0.16,6,0.24
山梨県,36,1.5,2,0.08,5,0.21,8,0.33,6,0.25,3,0.13,4,0.17,5,0.21,3,0.13
長野県,52,0.96,7,0.13,7,0.13,8,0.15,5,0.09,8,0.15,2,0.04,8,0.15,7,0.13
岐阜県,90,1.7,4,0.08,10,0.19,20,0.38,12,0.23,9,0.17,12,0.23,13,0.25,10,0.19
静岡県,118,1.33,6,0.07,20,0.22,12,0.13,19,0.21,15,0.17,17,0.19,17,0.19,12,0.13
愛知県,180,0.99,14,0.08,21,0.12,28,0.15,19,0.1,23,0.13,20,0.11,29,0.16,26,0.14
三重県,63,1.4,5,0.11,8,0.18,9,0.2,8,0.18,12,0.27,9,0.2,8,0.18,4,0.09
滋賀県,38,1.09,2,0.06,6,0.17,8,0.23,3,0.09,6,0.17,3,0.08,5,0.14,5,0.14
京都府,70,0.93,1,0.01,8,0.11,10,0.13,8,0.11,10,0.13,12,0.16,9,0.12,12,0.16
大阪府,247,1.25,19,0.1,36,0.18,32,0.16,31,0.16,30,0.15,28,0.14,39,0.2,32,0.16
兵庫県,157,1.23,13,0.1,27,0.21,31,0.24,19,0.15,13,0.1,13,0.1,15,0.12,26,0.2
奈良県,54,1.64,7,0.21,5,0.15,9,0.26,5,0.15,3,0.09,7,0.21,9,0.27,9,0.27
和歌山県,35,1.17,6,0.2,5,0.17,4,0.13,9,0.3,2,0.07,2,0.07,2,0.07,5,0.17
鳥取県,27,1.42,1,0.05,2,0.11,4,0.21,2,0.11,4,0.21,3,0.16,8,0.42,3,0.16
島根県,40,1.74,3,0.13,10,0.43,6,0.26,8,0.35,1,0.04,4,0.17,5,0.22,3,0.13
岡山県,74,1.37,4,0.07,16,0.3,11,0.2,8,0.15,8,0.15,8,0.15,13,0.24,6,0.11
広島県,87,1.26,8,0.11,10,0.14,15,0.21,16,0.23,13,0.19,10,0.15,4,0.06,11,0.16
山口県,85,1.98,7,0.16,11,0.26,12,0.28,8,0.19,12,0.28,12,0.28,15,0.35,8,0.19
徳島県,41,1.78,3,0.13,4,0.17,4,0.17,7,0.3,6,0.26,4,0.17,6,0.26,7,0.3
香川県,37,1.32,2,0.07,4,0.14,6,0.21,5,0.18,8,0.29,5,0.18,3,0.11,4,0.14
愛媛県,90,2.5,6,0.17,12,0.32,12,0.32,10,0.27,16,0.43,12,0.32,13,0.35,9,0.24
高知県,35,1.35,1,0.04,4,0.15,4,0.15,6,0.23,5,0.19,7,0.27,3,0.12,5,0.19
福岡県,279,2.33,26,0.22,41,0.34,36,0.3,37,0.31,39,0.33,34,0.28,35,0.29,31,0.26
佐賀県,58,2.52,3,0.13,9,0.39,11,0.48,7,0.3,6,0.26,7,0.3,6,0.26,9,0.39
長崎県,74,1.72,7,0.16,6,0.14,5,0.11,13,0.3,13,0.3,8,0.18,10,0.23,12,0.28
熊本県,159,3.18,12,0.24,26,0.52,21,0.42,25,0.5,25,0.5,19,0.38,19,0.38,12,0.24
大分県,110,3.06,11,0.31,16,0.44,14,0.39,17,0.47,13,0.36,15,0.42,12,0.33,12,0.33
宮崎県,85,2.36,13,0.36,6,0.17,11,0.31,12,0.33,10,0.28,10,0.28,13,0.36,10,0.28
鹿児島県,96,1.88,7,0.14,7,0.14,19,0.37,12,0.24,12,0.24,15,0.29,15,0.29,9,0.18
沖縄県,27,0.87,5,0.16,3,0.1,1,0.03,6,0.19,3,0.1,2,0.06,4,0.13,3,0.1
,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,620,0.2,66,0.02,75,0.02,93,0.03,92,0.03,84,0.03,64,0.02,53,0.02,93,0.03
北海道,10,0.07,1,0.01,1,0.01,1,0.01,3,0.02,0,0,0,0,0,0,4,0.03
青森県,4,0.11,0,0,1,0.03,1,0.03,1,0.03,0,0,0,0,0,0,1,0.03
岩手県,10,0.26,0,0,3,0.08,6,0.15,1,0.03,0,0,0,0,0,0,0,0
宮城県,4,0.07,0,0,1,0.02,0,0,1,0.02,1,0.02,0,0,0,0,1,0.02
秋田県,4,0.14,0,0,1,0.03,1,0.03,0,0,0,0,0,0,2,0.06,0,0
山形県,10,0.36,0,0,1,0.04,0,0,1,0.04,0,0,0,0,4,0.14,4,0.14
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,19,0.25,3,0.04,3,0.04,5,0.07,3,0.04,2,0.03,2,0.03,0,0,1,0.01
栃木県,4,0.08,1,0.02,0,0,0,0,1,0.02,0,0,0,0,0,0,2,0.04
群馬県,9,0.17,0,0,0,0,4,0.08,1,0.02,1,0.02,1,0.02,0,0,2,0.04
埼玉県,15,0.09,2,0.01,4,0.02,2,0.01,1,0.01,3,0.02,2,0.01,0,0,1,0.01
千葉県,8,0.06,1,0.01,0,0,1,0.01,1,0.01,0,0,3,0.02,0,0,2,0.02
東京都,18,0.07,2,0.01,4,0.02,3,0.01,1,0,2,0.01,1,0,4,0.02,1,0
神奈川県,35,0.15,2,0.01,5,0.02,4,0.02,4,0.02,10,0.04,7,0.03,1,0,2,0.01
