報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,
2024年03週(01月15日～01月21日),2024年01月24日作成,,,,,,,
インフルエンザ,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
京都府,3,0.04,0,0,0,0,3,0.04
大阪府,27,0.14,15,0.08,3,0.02,9,0.05
兵庫県,13,0.1,5,0.04,2,0.02,6,0.05
奈良県,7,0.21,0,0,6,0.18,1,0.03
和歌山県,2,0.07,0,0,2,0.07,0,0
鳥取県,0,0,0,0,0,0,0,0
島根県,1,0.04,0,0,1,0.04,0,0
岡山県,1,0.02,1,0.02,0,0,0,0
広島県,3,0.04,0,0,1,0.01,2,0.03
山口県,2,0.05,0,0,1,0.02,1,0.02
徳島県,3,0.13,2,0.09,1,0.04,0,0
香川県,5,0.18,0,0,2,0.07,3,0.11
愛媛県,14,0.39,2,0.06,6,0.16,6,0.16
高知県,5,0.19,0,0,1,0.04,4,0.15
福岡県,7,0.06,1,0.01,3,0.03,3,0.03
佐賀県,0,0,0,0,0,0,0,0
長崎県,1,0.02,0,0,1,0.02,0,0
熊本県,13,0.26,3,0.06,3,0.06,7,0.14
大分県,3,0.08,3,0.08,0,0,0,0
宮崎県,2,0.06,1,0.03,1,0.03,0,0
鹿児島県,16,0.31,5,0.1,8,0.16,3,0.06
沖縄県,3,0.1,2,0.06,0,0,1,0.03
,,,,,,,,
流行性耳下腺炎,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,226,0.07,43,0.01,83,0.03,100,0.03
北海道,4,0.03,0,0,2,0.01,2,0.01
青森県,1,0.03,0,0,1,0.03,0,0
岩手県,8,0.21,0,0,2,0.05,6,0.15
宮城県,4,0.07,1,0.02,2,0.04,1,0.02
秋田県,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0
福島県,2,0.04,0,0,1,0.02,1,0.02
茨城県,3,0.04,1,0.01,0,0,2,0.03
栃木県,2,0.04,2,0.04,0,0,0,0
群馬県,6,0.11,0,0,3,0.06,3,0.06
埼玉県,24,0.15,7,0.04,7,0.04,10,0.06
千葉県,11,0.09,5,0.04,4,0.03,2,0.02
東京都,31,0.12,0,0,16,0.06,15,0.06
神奈川県,14,0.06,0,0,5,0.02,9,0.04
新潟県,4,0.07,1,0.02,1,0.02,2,0.04
富山県,2,0.07,1,0.03,1,0.03,0,0
石川県,0,0,0,0,0,0,0,0
福井県,1,0.04,0,0,0,0,1,0.04
山梨県,0,0,0,0,0,0,0,0
長野県,1,0.02,0,0,1,0.02,0,0
岐阜県,5,0.09,1,0.02,1,0.02,3,0.06
静岡県,5,0.06,2,0.02,2,0.02,1,0.01
愛知県,9,0.05,3,0.02,2,0.01,4,0.02
三重県,1,0.02,0,0,0,0,1,0.02
滋賀県,2,0.06,1,0.03,0,0,1,0.03
京都府,6,0.08,1,0.01,3,0.04,2,0.03
大阪府,12,0.06,4,0.02,3,0.02,5,0.03
兵庫県,11,0.09,1,0.01,5,0.04,5,0.04
奈良県,0,0,0,0,0,0,0,0
和歌山県,1,0.03,0,0,1,0.03,0,0
鳥取県,0,0,0,0,0,0,0,0
島根県,1,0.04,0,0,1,0.04,0,0
岡山県,6,0.11,2,0.04,1,0.02,3,0.06
広島県,2,0.03,1,0.01,1,0.01,0,0
山口県,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0
香川県,2,0.07,0,0,0,0,2,0.07
愛媛県,3,0.08,0,0,1,0.03,2,0.05
高知県,0,0,0,0,0,0,0,0
福岡県,9,0.08,4,0.03,4,0.03,1,0.01
佐賀県,1,0.04,0,0,0,0,1,0.04
長崎県,0,0,0,0,0,0,0,0
熊本県,4,0.08,1,0.02,1,0.02,2,0.04
大分県,5,0.14,0,0,3,0.08,2,0.06
宮崎県,3,0.08,0,0,2,0.06,1,0.03
鹿児島県,10,0.2,3,0.06,0,0,7,0.14
沖縄県,10,0.32,1,0.03,6,0.19,3,0.1
,,,,,,,,
急性出血性結膜炎,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,26,0.04,10,0.01,11,0.02,5,0.01
北海道,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0
秋田県,1,0.14,1,0.14,0,0,0,0
山形県,0,0,0,0,0,0,0,0
福島県,1,0.08,0,0,0,0,1,0.08
茨城県,0,0,0,0,0,0,0,0
栃木県,1,0.08,1,0.08,0,0,0,0
群馬県,1,0.07,1,0.07,0,0,0,0
埼玉県,1,0.02,0,0,1,0.02,0,0
千葉県,1,0.03,1,0.03,0,0,0,0
東京都,1,0.03,0,0,1,0.03,0,0
神奈川県,2,0.04,1,0.02,0,0,1,0.02
新潟県,2,0.2,0,0,1,0.1,1,0.1
富山県,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0
長野県,1,0.1,0,0,1,0.1,0,0
岐阜県,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0
京都府,1,0.06,0,0,1,0.06,0,0
大阪府,3,0.06,2,0.04,0,0,1,0.02
兵庫県,1,0.03,0,0,1,0.03,0,0
奈良県,1,0.1,0,0,1,0.1,0,0
和歌山県,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0
岡山県,1,0.08,1,0.08,0,0,0,0
広島県,1,0.05,1,0.05,0,0,0,0
山口県,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0
長崎県,5,0.63,1,0.13,3,0.38,1,0.13
熊本県,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0
鹿児島県,1,0.14,0,0,1,0.14,0,0
沖縄県,0,0,0,0,0,0,0,0
,,,,,,,,
流行性角結膜炎,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,1560,2.26,495,0.72,619,0.89,446,0.64
北海道,31,1.07,7,0.24,16,0.55,8,0.28
青森県,17,1.7,5,0.5,9,0.9,3,0.3
岩手県,19,1.36,5,0.36,7,0.5,7,0.5
宮城県,5,0.42,3,0.25,2,0.17,0,0
秋田県,9,1.29,5,0.71,2,0.29,2,0.29
山形県,6,0.75,1,0.13,3,0.38,2,0.25
福島県,24,1.85,9,0.69,9,0.69,6,0.46
茨城県,66,3.88,26,1.53,20,1.18,20,1.18
栃木県,38,3.17,10,0.83,16,1.33,12,1
群馬県,19,1.36,9,0.64,7,0.5,3,0.21
埼玉県,77,1.88,25,0.61,26,0.63,26,0.63
千葉県,76,2.3,21,0.62,30,0.91,25,0.76
東京都,55,1.41,13,0.33,24,0.62,18,0.46
神奈川県,180,3.75,56,1.19,69,1.38,55,1.12
新潟県,8,0.8,1,0.1,3,0.3,4,0.4
富山県,7,1,4,0.57,1,0.14,2,0.29
石川県,67,11.17,36,6,21,3,10,1.43
福井県,4,1.33,0,0,0,0,4,1.33
山梨県,18,2,2,0.22,10,1.11,6,0.67
長野県,95,9.5,33,3.3,34,3.4,28,2.8
岐阜県,10,0.91,2,0.18,5,0.45,3,0.27
静岡県,42,1.91,8,0.36,21,0.95,13,0.59
愛知県,59,1.69,19,0.54,25,0.71,15,0.43
三重県,6,0.5,1,0.08,2,0.17,3,0.25
滋賀県,7,0.88,4,0.5,2,0.25,1,0.13
京都府,18,1,6,0.33,7,0.39,5,0.28
大阪府,56,1.08,12,0.23,24,0.46,20,0.38
兵庫県,67,1.91,16,0.46,31,0.89,20,0.57
奈良県,21,2.1,4,0.4,13,1.3,4,0.4
和歌山県,3,0.75,0,0,2,0.5,1,0.25
鳥取県,2,0.4,0,0,1,0.2,1,0.2
島根県,7,2.33,3,1,3,1,1,0.33
岡山県,24,2,7,0.58,9,0.75,8,0.67
広島県,66,3.47,17,0.89,28,1.47,21,1.11
山口県,16,1.78,4,0.44,10,1.11,2,0.22
徳島県,4,1,1,0.25,2,0.5,1,0.25
香川県,4,0.8,1,0.2,3,0.6,0,0
愛媛県,58,7.25,24,3,21,2.63,13,1.63
高知県,4,1.33,1,0.33,3,1,0,0
福岡県,48,1.85,14,0.54,17,0.65,17,0.65
佐賀県,5,1.25,2,0.5,3,0.75,0,0
長崎県,34,4.25,11,1.38,16,2,7,0.88
熊本県,58,6.44,26,2.89,16,1.78,16,1.78
大分県,6,1.2,1,0.2,2,0.4,3,0.6
宮崎県,40,6.67,18,3,13,2.17,9,1.5
鹿児島県,36,5.14,15,2.14,10,1.43,11,1.57
沖縄県,38,4.75,7,0.88,21,2.63,10,1.25
,,,,,,,,
細菌性髄膜炎,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,20,0.04,7,0.01,4,0.01,9,0.02
北海道,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0
岩手県,1,0.05,0,0,0,0,1,0.05
宮城県,1,0.1,0,0,1,0.1,0,0
秋田県,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0
栃木県,2,0.29,1,0.14,1,0.14,0,0
群馬県,1,0.11,0,0,1,0.11,0,0
埼玉県,0,0,0,0,0,0,0,0
千葉県,1,0.11,1,0.11,0,0,0,0
東京都,3,0.12,0,0,0,0,3,0.12
神奈川県,0,0,0,0,0,0,0,0
新潟県,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0
静岡県,2,0.2,2,0.2,0,0,0,0
愛知県,1,0.07,1,0.07,0,0,0,0
三重県,1,0.11,1,0.11,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0
大阪府,0,0,0,0,0,0,0,0
兵庫県,1,0.07,1,0.07,0,0,0,0
奈良県,1,0.17,0,0,0,0,1,0.17
和歌山県,0,0,0,0,0,0,0,0
鳥取県,2,0.4,0,0,0,0,2,0.4
島根県,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0
広島県,1,0.05,0,0,0,0,1,0.05
山口県,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0
佐賀県,1,0.17,0,0,0,0,1,0.17
長崎県,0,0,0,0,0,0,0,0
熊本県,1,0.07,0,0,1,0.07,0,0
大分県,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0
,,,,,,,,
無菌性髄膜炎,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,29,0.06,7,0.01,10,0.02,12,0.03
北海道,1,0.04,0,0,1,0.04,0,0
青森県,0,0,0,0,0,0,0,0
岩手県,2,0.11,0,0,0,0,2,0.11
宮城県,1,0.1,0,0,0,0,1,0.1
秋田県,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0
茨城県,2,0.15,1,0.08,0,0,1,0.08
栃木県,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0
埼玉県,0,0,0,0,0,0,0,0
千葉県,1,0.11,0,0,0,0,1,0.11
東京都,0,0,0,0,0,0,0,0
神奈川県,3,0.25,0,0,2,0.17,1,0.08
新潟県,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0
福井県,1,0.17,0,0,1,0.17,0,0
山梨県,1,0.1,1,0.1,0,0,0,0
長野県,1,0.08,0,0,1,0.08,0,0
岐阜県,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0
愛知県,1,0.07,0,0,1,0.07,0,0
三重県,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0
京都府,1,0.17,0,0,0,0,1,0.14
大阪府,1,0.06,0,0,1,0.06,0,0
兵庫県,2,0.14,1,0.07,0,0,1,0.07
奈良県,0,0,0,0,0,0,0,0
和歌山県,2,0.18,1,0.09,0,0,1,0.09
鳥取県,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0
広島県,1,0.05,0,0,1,0.05,0,0
山口県,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0
福岡県,2,0.13,1,0.07,0,0,1,0.07
佐賀県,3,0.5,1,0.17,1,0.17,1,0.17
長崎県,2,0.17,1,0.08,1,0.08,0,0
熊本県,1,0.07,0,0,0,0,1,0.07
大分県,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0
,,,,,,,,
マイコプラズマ肺炎,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,95,0.2,24,0.05,35,0.07,36,0.08
北海道,0,0,0,0,0,0,0,0
青森県,3,0.5,0,0,3,0.5,0,0
岩手県,6,0.32,3,0.16,2,0.11,1,0.05
宮城県,0,0,0,0,0,0,0,0
秋田県,1,0.13,0,0,1,0.13,0,0
山形県,0,0,0,0,0,0,0,0
福島県,1,0.14,0,0,0,0,1,0.14
茨城県,6,0.46,3,0.23,2,0.15,1,0.08
栃木県,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0
埼玉県,2,0.17,2,0.17,0,0,0,0
千葉県,1,0.11,0,0,1,0.11,0,0
東京都,4,0.16,2,0.08,1,0.04,1,0.04
神奈川県,4,0.33,0,0,3,0.25,1,0.08
新潟県,1,0.08,0,0,1,0.08,0,0
富山県,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0
福井県,9,1.5,2,0.33,3,0.5,4,0.67
山梨県,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0
岐阜県,2,0.4,0,0,0,0,2,0.4
静岡県,1,0.1,0,0,0,0,1,0.1
愛知県,6,0.4,0,0,2,0.13,4,0.27
三重県,1,0.11,0,0,1,0.11,0,0
滋賀県,0,0,0,0,0,0,0,0
京都府,1,0.17,0,0,0,0,1,0.14
大阪府,4,0.24,0,0,3,0.18,1,0.06
兵庫県,8,0.57,1,0.07,2,0.14,5,0.36
奈良県,1,0.17,0,0,1,0.17,0,0
和歌山県,2,0.18,2,0.18,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0
広島県,4,0.19,1,0.05,0,0,3,0.14
山口県,4,0.44,2,0.22,2,0.22,0,0
徳島県,0,0,0,0,0,0,0,0
香川県,1,0.2,0,0,0,0,1,0.2
愛媛県,1,0.17,0,0,1,0.17,0,0
高知県,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0
佐賀県,4,0.67,1,0.17,1,0.17,2,0.33
長崎県,2,0.17,1,0.08,1,0.08,0,0
熊本県,3,0.2,0,0,0,0,3,0.2
大分県,4,0.36,1,0.09,1,0.09,2,0.18
宮崎県,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0
沖縄県,8,1.14,3,0.43,3,0.43,2,0.29
,,,,,,,,
クラミジア肺炎,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,2,0,0,0,1,0,1,0
北海道,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0
埼玉県,0,0,0,0,0,0,0,0
千葉県,0,0,0,0,0,0,0,0
東京都,0,0,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0,0,0
新潟県,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0
大阪府,0,0,0,0,0,0,0,0
兵庫県,0,0,0,0,0,0,0,0
奈良県,0,0,0,0,0,0,0,0
和歌山県,2,0.18,0,0,1,0.09,1,0.09
鳥取県,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0
広島県,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0
長崎県,0,0,0,0,0,0,0,0
熊本県,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0
,,,,,,,,
感染性胃腸炎（ロタウイルス）,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,9,0.02,3,0.01,1,0,5,0.01
北海道,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0
岩手県,1,0.05,1,0.05,0,0,0,0
宮城県,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0
山形県,2,0.2,2,0.2,0,0,0,0
福島県,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0
埼玉県,0,0,0,0,0,0,0,0
千葉県,0,0,0,0,0,0,0,0
東京都,0,0,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0,0,0
新潟県,1,0.08,0,0,0,0,1,0.08
富山県,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0
長野県,1,0.08,0,0,0,0,1,0.08
岐阜県,1,0.2,0,0,0,0,1,0.2
静岡県,0,0,0,0,0,0,0,0
愛知県,1,0.07,0,0,0,0,1,0.07
三重県,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0
大阪府,1,0.06,0,0,0,0,1,0.06
兵庫県,0,0,0,0,0,0,0,0
奈良県,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0
広島県,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0
高知県,1,0.13,0,0,1,0.13,0,0
福岡県,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0
長崎県,0,0,0,0,0,0,0,0
熊本県,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0
,,,,,,,,
COVID-19,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,138657,28.19,34203,6.98,44186,8.96,60268,12.23
北海道,7111,31.89,2317,10.58,2369,10.53,2425,10.78
青森県,1051,17.81,353,5.98,322,5.46,376,6.37
岩手県,1779,29.16,481,7.89,631,10.34,667,10.93
宮城県,2380,26.15,494,5.43,720,7.91,1166,12.81
秋田県,1066,21.32,350,7.14,319,6.25,397,7.78
山形県,951,22.12,193,4.49,292,6.79,466,10.84
福島県,3475,42.38,926,11.29,992,12.1,1557,18.99
茨城県,5362,44.68,1472,12.27,1691,14.09,2199,18.33
栃木県,2535,33.36,480,6.32,790,10.39,1265,16.64
群馬県,2531,29.78,525,6.18,741,8.72,1265,14.88
埼玉県,7846,30.41,1661,6.51,2416,9.26,3769,14.5
千葉県,7071,35,1516,7.5,2317,11.41,3238,16.03
東京都,7153,17.4,1366,3.37,2339,5.65,3448,8.33
神奈川県,6860,18.95,1187,3.3,2190,6.05,3483,9.57
新潟県,1922,22.35,483,5.62,572,6.65,867,10.08
富山県,1263,26.31,315,6.56,379,7.9,569,11.85
石川県,1477,33.57,371,8.43,461,10.48,645,14.33
福井県,595,15.26,127,3.26,168,4.31,300,7.69
山梨県,1464,35.71,331,8.07,527,12.85,606,14.78
長野県,3738,42.48,1110,12.61,1236,14.05,1392,15.82
岐阜県,3973,45.67,1325,15.23,1243,14.29,1405,16.15
静岡県,4787,34.44,1082,7.78,1577,11.35,2128,15.31
愛知県,8560,43.9,2418,12.4,2763,14.17,3379,17.33
三重県,2339,32.49,490,6.81,714,9.92,1135,15.76
滋賀県,1406,23.83,413,7,456,7.6,537,9.1
京都府,2916,23.71,742,6.08,991,7.93,1183,9.7
大阪府,5784,18.9,1457,4.76,1891,6.18,2436,7.96
兵庫県,4088,20.65,964,4.87,1303,6.58,1821,9.2
奈良県,1330,24.18,295,5.36,452,8.22,583,10.6
和歌山県,1296,26.45,295,6.02,397,8.1,604,12.33
鳥取県,855,29.48,260,8.97,239,8.24,356,12.28
島根県,798,21,218,5.74,233,6.13,347,9.13
岡山県,2306,27.45,623,7.42,728,8.67,955,11.37
広島県,2892,25.82,682,6.04,919,8.21,1291,11.42
山口県,1878,28.03,379,5.66,577,8.61,922,13.76
徳島県,1346,36.38,346,9.35,437,11.81,563,15.22
香川県,1422,30.26,381,8.11,400,8.51,641,13.64
愛媛県,1850,30.83,374,6.34,624,10.23,852,13.97
高知県,1425,32.39,328,7.45,483,10.98,614,13.95
福岡県,5205,26.29,1515,7.65,1630,8.23,2060,10.4
佐賀県,1534,39.33,330,8.46,539,13.82,665,17.05
長崎県,2199,31.41,528,7.54,763,10.9,908,12.97
熊本県,3182,39.78,867,10.84,1029,12.86,1286,16.08
大分県,2331,40.19,639,11.02,697,12.02,995,17.16
宮崎県,2010,34.66,432,7.45,646,11.14,932,16.07
鹿児島県,2285,25.67,504,5.66,632,7.1,1149,12.91
沖縄県,1030,19.07,258,4.78,351,6.5,421,7.8
