報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年15週(04月08日～04月14日),2024年04月17日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
大阪府,1360,6.9,129,0.65,175,0.89,118,0.6,100,0.51,76,0.39,102,0.52,84,0.42,72,0.36,84,0.42,82,0.41,72,0.36,71,0.36,53,0.27,66,0.34,76,0.39
兵庫県,1516,11.84,133,1.04,154,1.2,123,0.96,136,1.06,112,0.88,117,0.91,91,0.71,72,0.56,122,0.95,107,0.84,84,0.66,73,0.57,64,0.5,73,0.57,55,0.43
奈良県,415,12.58,36,1.06,44,1.29,44,1.29,41,1.21,38,1.12,35,1.03,22,0.67,19,0.58,28,0.85,20,0.61,15,0.45,17,0.5,18,0.53,23,0.68,15,0.44
和歌山県,291,9.7,55,1.83,40,1.33,43,1.43,28,0.93,20,0.67,21,0.7,28,0.93,11,0.37,15,0.5,12,0.4,4,0.13,3,0.1,4,0.13,1,0.03,6,0.2
鳥取県,274,14.42,6,0.32,10,0.53,12,0.63,15,0.79,13,0.68,27,1.42,24,1.26,19,1,23,1.21,19,1,29,1.53,20,1.05,22,1.16,13,0.68,22,1.16
島根県,303,13.17,27,1.17,24,1.04,28,1.22,29,1.26,26,1.13,20,0.87,8,0.35,13,0.57,15,0.65,33,1.43,19,0.83,19,0.83,11,0.48,12,0.52,19,0.83
岡山県,675,12.5,58,1.07,69,1.28,56,1.04,45,0.83,36,0.67,55,1.02,49,0.91,44,0.81,44,0.81,47,0.87,37,0.69,37,0.69,28,0.52,36,0.67,34,0.63
広島県,1426,20.67,143,2.04,140,2,136,1.94,144,2.06,128,1.86,102,1.5,80,1.16,101,1.44,105,1.5,78,1.11,84,1.2,37,0.53,63,0.9,40,0.59,45,0.67
山口県,643,14.95,51,1.19,62,1.44,46,1.07,42,0.98,52,1.21,30,0.7,33,0.77,40,0.93,54,1.26,60,1.4,53,1.23,41,0.95,40,0.93,22,0.51,17,0.4
徳島県,223,9.7,37,1.61,17,0.74,29,1.26,20,0.87,15,0.65,18,0.78,9,0.39,13,0.57,13,0.57,8,0.35,10,0.43,6,0.26,14,0.61,8,0.35,6,0.26
香川県,339,12.11,42,1.5,27,0.96,26,0.93,32,1.14,34,1.21,25,0.89,20,0.71,21,0.75,19,0.68,22,0.79,22,0.79,14,0.5,10,0.36,17,0.61,8,0.29
愛媛県,471,13.08,72,2,50,1.35,56,1.51,45,1.22,29,0.78,26,0.7,28,0.76,37,1,21,0.57,17,0.46,19,0.51,34,0.92,9,0.24,18,0.49,10,0.27
高知県,239,9.56,40,1.54,33,1.27,30,1.15,20,0.77,9,0.35,14,0.54,11,0.42,13,0.5,30,1.15,13,0.5,11,0.42,8,0.31,4,0.16,2,0.08,1,0.04
福岡県,1560,13,217,1.81,208,1.73,167,1.39,138,1.15,127,1.06,101,0.84,75,0.63,63,0.53,79,0.66,95,0.79,60,0.5,62,0.52,72,0.6,43,0.36,53,0.44
佐賀県,454,19.74,43,1.87,46,2,42,1.83,46,2,49,2.13,43,1.87,28,1.22,40,1.74,23,1,18,0.78,27,1.17,13,0.57,15,0.65,9,0.39,12,0.52
長崎県,968,22.51,111,2.52,114,2.59,81,1.84,76,1.73,80,1.82,87,1.98,44,1,42,0.98,52,1.21,40,0.93,56,1.3,40,0.93,39,0.91,56,1.3,50,1.14
熊本県,887,17.74,110,2.2,79,1.58,79,1.58,74,1.48,93,1.86,65,1.3,52,1.04,57,1.14,52,1.04,55,1.1,48,0.96,33,0.66,36,0.72,34,0.68,20,0.4
大分県,759,21.08,64,1.78,71,1.97,59,1.64,69,1.92,63,1.75,56,1.56,56,1.56,50,1.39,50,1.39,54,1.5,54,1.5,31,0.86,25,0.69,32,0.89,25,0.69
宮崎県,1068,29.67,76,2.11,77,2.14,63,1.75,101,2.81,75,2.08,95,2.64,73,2.03,68,1.89,68,1.89,67,1.86,72,2,76,2.11,63,1.75,53,1.47,41,1.14
鹿児島県,2636,52.72,194,3.8,176,3.45,166,3.25,174,3.41,202,3.96,216,4.24,203,3.98,209,4.1,229,4.49,190,3.73,176,3.45,140,2.75,132,2.59,126,2.52,103,2.02
沖縄県,492,16.4,48,1.55,45,1.45,53,1.71,36,1.16,28,0.9,22,0.71,24,0.77,28,0.9,28,0.9,39,1.26,9,0.29,42,1.35,43,1.39,20,0.67,27,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,176158,56.26,5404,1.74,8867,2.83,13388,4.28,13621,4.35,14491,4.63,14500,4.63,11539,3.68,11591,3.7,12225,3.9,13810,4.41,14057,4.48,11525,3.67,11176,3.57,9572,3.06,10392,3.32
北海道,15647,113.38,447,3.34,584,4.2,872,6.27,1101,7.92,1233,8.87,1248,8.98,1048,7.54,1115,8.02,1208,8.69,1404,10.17,1493,10.82,1200,8.7,1003,7.32,878,6.41,813,5.93
青森県,1663,44.95,50,1.35,54,1.46,102,2.76,104,2.81,171,4.62,172,4.65,110,2.97,104,2.81,101,2.73,153,4.14,129,3.49,119,3.22,115,3.11,101,2.73,78,2.11
岩手県,1465,38.55,41,1.05,67,1.72,91,2.33,122,3.13,129,3.31,117,3.08,71,1.87,79,2.08,98,2.51,111,2.85,133,3.41,109,2.79,102,2.62,101,2.53,94,2.35
宮城県,2871,53.17,81,1.47,137,2.49,262,4.76,261,4.75,239,4.35,203,3.69,197,3.58,177,3.22,185,3.36,213,3.87,206,3.75,170,3.09,202,3.67,166,3.13,172,3.25
秋田県,1093,33.12,24,0.77,26,0.79,51,1.55,56,1.7,56,1.7,72,2.18,51,1.55,66,2,98,2.97,104,3.15,105,3.18,85,2.58,103,3.12,84,2.47,112,3.29
山形県,3476,124.14,73,2.61,159,5.68,253,9.04,244,8.71,302,10.79,267,9.54,213,7.61,244,8.71,323,11.54,285,10.18,266,9.5,175,6.25,208,7.43,203,7.25,261,9.32
福島県,3059,62.43,108,2.2,143,2.92,253,5.16,213,4.35,245,5,227,4.63,185,3.78,201,4.1,203,4.14,228,4.65,278,5.67,217,4.43,195,3.98,179,3.65,184,3.76
茨城県,5551,74.01,225,3,235,3.13,392,5.23,371,4.95,527,7.03,476,6.35,404,5.39,338,4.51,363,4.84,388,5.17,450,6,365,4.87,422,5.63,294,3.92,301,4.01
栃木県,2157,44.94,76,1.58,97,2.02,164,3.42,158,3.29,163,3.4,146,3.04,137,2.85,138,2.88,162,3.38,153,3.19,154,3.21,153,3.19,160,3.33,126,2.63,170,3.54
群馬県,3037,57.3,78,1.47,167,3.15,291,5.49,261,4.92,291,5.49,224,4.23,203,3.83,174,3.28,175,3.3,214,4.04,235,4.43,190,3.58,183,3.45,167,3.15,184,3.47
埼玉県,10425,63.96,366,2.3,491,2.99,849,5.18,940,5.73,877,5.35,850,5.21,679,4.17,701,4.3,691,4.21,771,4.7,830,5.06,684,4.17,642,3.94,497,3.07,557,3.44
千葉県,9119,72.95,300,2.38,471,3.74,646,5.17,726,5.85,708,5.57,687,5.5,554,4.43,623,4.98,582,4.66,717,5.74,774,6.19,599,4.79,608,4.83,515,4.09,609,4.83
東京都,12661,48.51,379,1.49,745,2.85,1054,4.04,1073,4.11,1090,4.18,1074,4.1,870,3.33,846,3.23,841,3.21,879,3.35,914,3.49,741,2.83,739,2.82,665,2.53,751,2.86
神奈川県,9398,41.04,291,1.3,507,2.21,797,3.51,685,2.98,711,3.13,662,2.87,590,2.54,578,2.49,604,2.63,749,3.26,786,3.42,619,2.67,661,2.87,563,2.44,595,2.59
新潟県,4815,87.55,119,2.16,202,3.67,356,6.47,348,6.33,341,6.2,418,7.6,289,5.25,322,5.85,349,6.35,407,7.4,386,7.02,365,6.64,345,6.27,286,5.2,282,5.13
富山県,2648,94.57,53,1.83,131,4.52,278,9.59,235,8.1,210,7.24,208,7.17,148,5.1,202,6.97,184,6.34,212,7.31,239,8.24,130,4.48,156,5.38,126,4.5,136,4.86
石川県,1252,44.71,57,2.11,47,1.74,78,2.89,100,3.57,104,3.71,111,3.96,98,3.38,108,3.72,95,3.28,107,3.69,71,2.45,56,1.93,77,2.66,61,2.1,82,2.83
福井県,1670,66.8,62,2.48,83,3.32,121,4.84,128,5.12,129,5.16,134,5.36,125,5,112,4.48,128,5.12,141,5.64,137,5.48,98,3.92,92,3.68,94,3.76,86,3.44
山梨県,762,31.75,17,0.71,22,0.92,52,2.17,45,1.88,65,2.71,55,2.29,45,1.88,44,1.83,47,1.96,47,1.96,60,2.5,55,2.29,73,3.04,73,3.04,62,2.58
長野県,2889,53.5,93,1.72,172,3.19,268,4.96,220,4.07,227,4.2,236,4.37,183,3.39,168,3.11,206,3.81,256,4.74,218,4.04,184,3.41,168,3.11,127,2.35,163,3.02
岐阜県,1783,33.64,27,0.51,55,1.04,99,1.87,135,2.55,122,2.3,129,2.43,115,2.17,127,2.4,121,2.28,145,2.74,165,3.11,140,2.64,134,2.53,128,2.42,141,2.66
静岡県,4690,52.7,131,1.47,222,2.49,318,3.57,370,4.16,391,4.39,364,4.09,260,2.92,351,3.94,334,3.75,369,4.15,395,4.44,337,3.79,291,3.27,272,3.06,285,3.2
愛知県,6267,34.43,211,1.16,314,1.73,422,2.32,503,2.76,447,2.46,535,2.94,389,2.14,434,2.38,355,1.95,495,2.72,490,2.69,445,2.45,403,2.21,378,2.08,446,2.45
三重県,2859,63.53,67,1.49,144,3.2,219,4.87,216,4.8,219,4.87,237,5.27,184,4.09,180,4,217,4.82,200,4.44,236,5.24,199,4.42,205,4.56,168,3.73,168,3.73
滋賀県,858,24.51,28,0.78,41,1.14,60,1.71,53,1.51,40,1.11,65,1.81,58,1.61,62,1.72,66,1.83,66,1.83,72,2,72,2,64,1.78,44,1.22,67,1.86
京都府,2523,33.64,78,1.05,148,1.95,188,2.51,203,2.71,222,2.96,221,2.95,179,2.36,192,2.53,198,2.61,174,2.29,182,2.39,125,1.64,162,2.13,126,1.64,125,1.62
大阪府,9217,46.79,303,1.54,512,2.6,715,3.63,758,3.85,814,4.13,851,4.3,569,2.87,600,3.03,617,3.12,709,3.58,658,3.32,609,3.08,501,2.53,495,2.53,506,2.58
兵庫県,5163,40.34,189,1.48,286,2.23,405,3.16,394,3.08,416,3.25,468,3.66,332,2.59,308,2.41,380,2.97,373,2.91,419,3.27,343,2.68,302,2.36,274,2.12,274,2.12
奈良県,1259,38.15,46,1.35,71,2.09,115,3.38,98,2.88,120,3.53,102,3,73,2.21,74,2.24,80,2.42,101,3.06,80,2.42,63,1.85,77,2.26,70,2.06,89,2.62
和歌山県,1042,34.73,37,1.23,46,1.53,89,2.97,55,1.83,92,3.07,81,2.7,50,1.67,64,2.13,78,2.6,84,2.8,84,2.8,82,2.73,91,3.03,58,1.93,51,1.7
鳥取県,2027,106.68,44,2.32,92,4.84,178,9.37,189,9.95,203,10.68,199,10.47,163,8.58,138,7.26,131,6.89,168,8.84,126,6.63,115,6.05,106,5.58,80,4.21,95,5
島根県,631,27.43,25,1.09,39,1.7,51,2.22,43,1.87,47,2.04,45,1.96,44,1.91,51,2.22,38,1.65,60,2.61,45,1.96,38,1.65,37,1.61,36,1.57,32,1.39
岡山県,1832,33.93,65,1.2,88,1.63,131,2.43,121,2.24,131,2.43,156,2.89,121,2.24,131,2.43,165,3.06,160,2.96,125,2.31,123,2.28,90,1.67,112,2.07,113,2.09
広島県,2982,43.22,96,1.37,187,2.67,267,3.81,258,3.69,234,3.39,219,3.22,184,2.67,187,2.67,207,2.96,231,3.3,217,3.1,187,2.67,202,2.89,154,2.26,152,2.27
山口県,3294,76.6,128,2.98,146,3.4,214,4.98,238,5.53,252,5.86,274,6.37,232,5.4,188,4.37,276,6.42,311,7.23,238,5.53,185,4.3,238,5.53,160,3.72,214,4.98
徳島県,638,27.74,19,0.83,27,1.17,44,1.91,26,1.13,57,2.48,60,2.61,51,2.22,42,1.83,55,2.39,55,2.39,54,2.35,40,1.74,38,1.65,39,1.7,31,1.35
香川県,1227,43.82,35,1.25,49,1.75,101,3.61,93,3.32,91,3.25,102,3.64,83,2.96,65,2.32,83,2.96,105,3.75,94,3.36,95,3.39,91,3.25,65,2.32,75,2.68
愛媛県,2982,82.83,79,2.19,141,3.81,195,5.27,232,6.27,222,6,230,6.22,225,6.08,225,6.08,206,5.57,229,6.19,240,6.49,191,5.16,180,4.86,193,5.22,194,5.24
高知県,1564,62.56,36,1.38,93,3.58,97,3.73,107,4.12,97,3.73,145,5.58,168,6.46,125,4.81,133,5.12,130,5,118,4.54,82,3.15,105,4.2,61,2.44,67,2.68
福岡県,11767,98.06,292,2.43,685,5.71,970,8.08,970,8.08,1088,9.07,1051,8.76,859,7.16,737,6.14,808,6.73,948,7.9,914,7.62,707,5.89,665,5.54,484,4.03,589,4.91
佐賀県,1660,72.17,35,1.52,88,3.83,146,6.35,144,6.26,136,5.91,157,6.83,73,3.17,104,4.52,108,4.7,112,4.87,151,6.57,114,4.96,94,4.09,103,4.48,95,4.13
長崎県,2235,51.98,64,1.45,132,3,163,3.7,138,3.14,216,4.91,215,4.89,160,3.64,123,2.86,161,3.74,206,4.79,190,4.42,160,3.72,95,2.21,79,1.84,133,3.02
熊本県,2356,47.12,80,1.6,145,2.9,186,3.72,154,3.08,198,3.96,211,4.22,118,2.36,142,2.84,153,3.06,153,3.06,200,4,148,2.96,158,3.16,148,2.96,162,3.24
大分県,1804,50.11,69,1.92,115,3.19,145,4.03,138,3.83,150,4.17,119,3.31,101,2.81,85,2.36,100,2.78,138,3.83,126,3.5,115,3.19,134,3.72,127,3.53,142,3.94
宮崎県,2682,74.5,91,2.53,136,3.78,242,6.72,205,5.69,216,6,201,5.58,158,4.39,144,4,160,4.44,200,5.56,196,5.44,202,5.61,176,4.89,177,4.92,178,4.94
鹿児島県,3075,61.5,106,2.08,200,3.92,250,4.9,236,4.63,249,4.88,242,4.75,237,4.65,221,4.33,227,4.45,234,4.59,202,3.96,187,3.67,165,3.24,137,2.74,182,3.57
沖縄県,2083,69.43,83,2.68,125,4.03,148,4.77,153,4.94,203,6.55,234,7.55,153,4.94,151,4.87,125,4.03,115,3.71,176,5.68,107,3.45,118,3.81,98,3.27,94,3.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,254534,81.29,8781,2.83,16795,5.36,23875,7.63,23806,7.6,23290,7.44,21606,6.9,17961,5.73,17114,5.46,17197,5.48,17593,5.61,16698,5.33,13442,4.28,12892,4.11,11394,3.64,12090,3.86
北海道,6055,43.88,159,1.19,243,1.75,450,3.24,436,3.14,494,3.55,528,3.8,457,3.29,360,2.59,408,2.94,537,3.89,408,2.96,393,2.85,348,2.54,403,2.94,431,3.15
青森県,2082,56.27,95,2.57,193,5.22,285,7.7,277,7.49,214,5.78,182,4.92,103,2.78,106,2.86,116,3.14,102,2.76,91,2.46,67,1.81,73,1.97,49,1.32,129,3.49
岩手県,3869,101.82,81,2.08,208,5.33,260,6.67,346,8.87,361,9.26,347,9.13,298,7.84,280,7.37,315,8.08,307,7.87,252,6.46,241,6.18,202,5.18,172,4.3,199,4.98
宮城県,3951,73.17,116,2.11,228,4.15,363,6.6,302,5.49,342,6.22,298,5.42,261,4.75,299,5.44,300,5.45,321,5.84,278,5.05,259,4.71,172,3.13,180,3.4,232,4.38
秋田県,1176,35.64,35,1.13,60,1.82,106,3.21,93,2.82,91,2.76,93,2.82,96,2.91,89,2.7,69,2.09,89,2.7,82,2.48,65,1.97,51,1.55,77,2.26,80,2.35
山形県,1906,68.07,36,1.29,110,3.93,183,6.54,173,6.18,144,5.14,170,6.07,141,5.04,168,6,187,6.68,141,5.04,127,4.54,82,2.93,93,3.32,83,2.96,68,2.43
福島県,3009,61.41,73,1.49,134,2.73,217,4.43,235,4.8,249,5.08,288,5.88,281,5.73,232,4.73,228,4.65,285,5.82,234,4.78,167,3.41,122,2.49,148,3.02,116,2.37
茨城県,5375,71.67,218,2.91,355,4.73,518,6.91,550,7.33,505,6.73,477,6.36,464,6.19,374,4.99,352,4.69,340,4.53,315,4.2,289,3.85,215,2.87,209,2.79,194,2.59
栃木県,2140,44.58,103,2.15,179,3.73,253,5.27,192,4,233,4.85,183,3.81,151,3.15,123,2.56,148,3.08,131,2.73,91,1.9,80,1.67,84,1.75,83,1.73,106,2.21
群馬県,4327,81.64,119,2.25,254,4.79,425,8.02,383,7.23,422,7.96,446,8.42,324,6.11,284,5.36,296,5.58,277,5.23,259,4.89,189,3.57,244,4.6,225,4.25,180,3.4
埼玉県,15673,96.15,526,3.31,1181,7.2,1655,10.09,1692,10.32,1473,8.98,1221,7.49,1181,7.25,1040,6.38,1005,6.13,955,5.82,932,5.68,693,4.23,761,4.67,651,4.02,707,4.36
千葉県,10949,87.59,461,3.66,865,6.87,1172,9.38,1102,8.89,1018,8.02,817,6.54,731,5.85,649,5.19,676,5.41,761,6.09,642,5.14,568,4.54,552,4.38,471,3.74,464,3.68
東京都,24778,94.93,911,3.57,2056,7.88,2785,10.67,2805,10.75,2488,9.53,2113,8.06,1611,6.17,1492,5.69,1468,5.6,1408,5.37,1395,5.32,1096,4.18,1109,4.23,1010,3.84,1031,3.92
神奈川県,16289,71.13,705,3.16,1487,6.49,1980,8.72,1909,8.3,1671,7.36,1422,6.16,1035,4.46,914,3.94,909,3.95,899,3.91,843,3.67,611,2.63,608,2.64,650,2.81,646,2.81
新潟県,3161,57.47,68,1.24,131,2.38,194,3.53,235,4.27,316,5.75,261,4.75,225,4.09,264,4.8,257,4.67,255,4.64,220,4,201,3.65,154,2.8,155,2.82,225,4.09
富山県,3881,138.61,99,3.41,114,3.93,170,5.86,221,7.62,226,7.79,254,8.76,237,8.17,272,9.38,385,13.28,348,12,365,12.59,315,10.86,325,11.21,260,9.29,290,10.36
石川県,3972,141.86,108,4,204,7.56,315,11.67,379,13.54,330,11.79,371,13.25,314,10.83,344,11.86,307,10.59,261,9,296,10.21,173,5.97,210,7.24,181,6.24,179,6.17
福井県,2697,107.88,81,3.24,145,5.8,198,7.92,191,7.64,255,10.2,260,10.4,146,5.84,184,7.36,209,8.36,231,9.24,213,8.52,176,7.04,154,6.16,110,4.4,144,5.76
山梨県,1371,57.13,49,2.04,80,3.33,134,5.58,118,4.92,91,3.79,102,4.25,103,4.29,83,3.46,100,4.17,99,4.13,84,3.5,108,4.5,99,4.13,61,2.54,60,2.5
長野県,3537,65.5,110,2.04,217,4.02,276,5.11,312,5.78,347,6.43,301,5.57,259,4.8,240,4.44,253,4.69,253,4.69,254,4.7,230,4.26,187,3.46,122,2.26,176,3.26
岐阜県,2909,54.89,73,1.38,189,3.57,270,5.09,227,4.28,263,4.96,235,4.43,241,4.55,219,4.13,197,3.72,201,3.79,210,3.96,166,3.13,158,2.98,135,2.55,125,2.36
静岡県,6082,68.34,252,2.83,395,4.44,492,5.53,654,7.35,555,6.24,514,5.78,453,5.09,435,4.89,398,4.47,480,5.39,388,4.36,300,3.37,297,3.34,219,2.46,250,2.81
愛知県,11293,62.05,349,1.92,738,4.05,1020,5.6,1087,5.97,1034,5.68,1010,5.55,889,4.88,867,4.76,736,4.04,769,4.23,750,4.12,584,3.21,529,2.91,435,2.39,496,2.73
三重県,4077,90.6,118,2.62,240,5.33,333,7.4,323,7.18,378,8.4,345,7.67,334,7.42,285,6.33,284,6.31,248,5.51,280,6.22,262,5.82,220,4.89,169,3.76,258,5.73
滋賀県,2241,64.03,58,1.61,156,4.33,162,4.63,169,4.83,183,5.08,166,4.61,149,4.14,199,5.53,178,4.94,177,4.92,159,4.42,130,3.61,122,3.39,117,3.25,116,3.22
京都府,5215,69.53,112,1.51,241,3.17,389,5.19,426,5.68,411,5.48,440,5.87,374,4.92,342,4.5,378,4.97,387,5.09,361,4.75,323,4.25,350,4.61,347,4.51,334,4.34
大阪府,16996,86.27,488,2.48,917,4.65,1432,7.27,1542,7.83,1638,8.31,1446,7.3,1163,5.87,1119,5.65,1179,5.95,1228,6.2,1197,6.05,1005,5.08,928,4.69,806,4.11,908,4.63
兵庫県,13411,104.77,342,2.67,728,5.69,1066,8.33,1211,9.46,1081,8.45,1174,9.17,843,6.59,969,7.57,981,7.66,1089,8.51,1022,7.98,769,6.01,773,6.04,659,5.11,704,5.46
奈良県,2946,89.27,73,2.15,189,5.56,305,8.97,281,8.26,285,8.38,287,8.44,202,6.12,181,5.48,174,5.27,187,5.67,211,6.39,144,4.24,167,4.91,128,3.76,132,3.88
和歌山県,2601,86.7,58,1.93,118,3.93,120,4,147,4.9,206,6.87,196,6.53,199,6.63,212,7.07,207,6.9,198,6.6,265,8.83,198,6.6,233,7.77,107,3.57,137,4.57
鳥取県,1768,93.05,33,1.74,92,4.84,131,6.89,108,5.68,141,7.42,136,7.16,151,7.95,142,7.47,144,7.58,159,8.37,129,6.79,106,5.58,86,4.53,107,5.63,103,5.42
島根県,2483,107.96,72,3.13,176,7.65,288,12.52,278,12.09,271,11.78,214,9.3,142,6.17,160,6.96,149,6.48,149,6.48,139,6.04,107,4.65,124,5.39,121,5.26,93,4.04
岡山県,4565,84.54,177,3.28,242,4.48,285,5.28,327,6.06,421,7.8,406,7.52,431,7.98,396,7.33,349,6.46,296,5.48,358,6.63,282,5.22,230,4.26,184,3.41,181,3.35
広島県,7645,110.8,237,3.39,441,6.3,682,9.74,704,10.06,740,10.72,720,10.59,569,8.25,599,8.56,562,8.03,515,7.36,532,7.6,389,5.56,371,5.3,295,4.34,289,4.31
山口県,3383,78.67,142,3.3,265,6.16,345,8.02,271,6.3,275,6.4,273,6.35,193,4.49,208,4.84,231,5.37,230,5.35,265,6.16,177,4.12,171,3.98,152,3.53,185,4.3
徳島県,1582,68.78,86,3.74,85,3.7,178,7.74,141,6.13,128,5.57,137,5.96,113,4.91,98,4.26,100,4.35,102,4.43,85,3.7,103,4.48,90,3.91,66,2.87,70,3.04
香川県,3584,128,154,5.5,275,9.82,376,13.43,385,13.75,379,13.54,375,13.39,239,8.54,220,7.86,229,8.18,179,6.39,204,7.29,155,5.54,142,5.07,154,5.5,118,4.21
愛媛県,4999,138.86,178,4.94,270,7.3,433,11.7,409,11.05,373,10.08,419,11.32,357,9.65,340,9.19,409,11.05,412,11.14,354,9.57,280,7.57,289,7.81,243,6.57,233,6.3
高知県,1391,55.64,18,0.69,77,2.96,111,4.27,109,4.19,137,5.27,169,6.5,88,3.38,87,3.35,117,4.5,114,4.38,97,3.73,77,2.96,71,2.84,63,2.52,56,2.24
福岡県,9038,75.32,484,4.03,681,5.68,875,7.29,751,6.26,728,6.07,626,5.22,620,5.17,560,4.67,531,4.43,611,5.09,630,5.25,475,3.96,503,4.19,466,3.88,497,4.14
佐賀県,1294,56.26,68,2.96,89,3.87,132,5.74,135,5.87,92,4,90,3.91,85,3.7,93,4.04,110,4.78,96,4.17,86,3.74,64,2.78,62,2.7,56,2.43,36,1.57
長崎県,2475,57.56,125,2.84,161,3.66,298,6.77,218,4.95,192,4.36,173,3.93,116,2.64,136,3.16,167,3.88,228,5.3,180,4.19,145,3.37,118,2.74,111,2.58,107,2.43
熊本県,5334,106.68,197,3.94,371,7.42,575,11.5,517,10.34,469,9.38,421,8.42,345,6.9,314,6.28,296,5.92,388,7.76,375,7.5,307,6.14,287,5.74,225,4.5,247,4.94
大分県,5289,146.92,212,5.89,290,8.06,455,12.64,373,10.36,474,13.17,531,14.75,364,10.11,322,8.94,389,10.81,391,10.86,330,9.17,302,8.39,324,9,261,7.25,271,7.53
宮崎県,4609,128.03,205,5.69,379,10.53,507,14.08,448,12.44,464,12.89,411,11.42,314,8.72,362,10.06,298,8.28,300,8.33,234,6.5,203,5.64,172,4.78,165,4.58,147,4.08
鹿児島県,6169,123.38,255,5,480,9.41,623,12.22,547,10.73,623,12.22,495,9.71,494,9.69,383,7.51,370,7.25,393,7.71,395,7.75,321,6.29,273,5.35,237,4.74,280,5.49
沖縄県,957,31.9,62,2,66,2.13,53,1.71,67,2.16,79,2.55,63,2.03,75,2.42,69,2.23,46,1.48,66,2.13,81,2.61,65,2.1,39,1.26,66,2.2,60,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水痘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,6342,2.03,452,0.15,450,0.14,480,0.15,406,0.13,434,0.14,427,0.14,365,0.12,399,0.13,404,0.13,428,0.14,434,0.14,410,0.13,407,0.13,388,0.12,458,0.15
北海道,343,2.49,17,0.13,30,0.22,20,0.14,29,0.21,21,0.15,17,0.12,23,0.17,17,0.12,17,0.12,21,0.15,33,0.24,19,0.14,26,0.19,20,0.15,33,0.24
青森県,54,1.46,5,0.14,8,0.22,6,0.16,2,0.05,2,0.05,2,0.05,1,0.03,6,0.16,2,0.05,9,0.24,5,0.14,2,0.05,0,0,2,0.05,2,0.05
岩手県,75,1.97,7,0.18,10,0.26,9,0.23,4,0.1,1,0.03,5,0.13,10,0.26,5,0.13,8,0.21,8,0.21,1,0.03,2,0.05,2,0.05,2,0.05,1,0.03
宮城県,115,2.13,10,0.18,12,0.22,4,0.07,4,0.07,8,0.15,5,0.09,12,0.22,5,0.09,7,0.13,14,0.25,11,0.2,8,0.15,4,0.07,6,0.11,5,0.09
秋田県,72,2.18,11,0.35,7,0.21,5,0.15,4,0.12,1,0.03,4,0.12,0,0,5,0.15,2,0.06,3,0.09,4,0.12,12,0.36,3,0.09,5,0.15,6,0.18
山形県,66,2.36,5,0.18,4,0.14,1,0.04,5,0.18,3,0.11,8,0.29,7,0.25,6,0.21,1,0.04,5,0.18,7,0.25,3,0.11,4,0.14,2,0.07,5,0.18
福島県,123,2.51,5,0.1,14,0.29,4,0.08,9,0.18,7,0.14,13,0.27,8,0.16,7,0.14,5,0.1,17,0.35,9,0.18,10,0.2,2,0.04,11,0.22,2,0.04
