報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,
2024年05週(01月29日～02月04日),2024年02月07日作成,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
大阪府,410,2.08,67,0.34,49,0.25,82,0.42,102,0.52,110,0.56
兵庫県,114,0.9,19,0.15,20,0.16,23,0.18,29,0.23,23,0.18
奈良県,52,1.53,17,0.5,9,0.26,12,0.35,3,0.09,11,0.32
和歌山県,50,1.67,6,0.2,12,0.4,11,0.37,11,0.37,10,0.33
鳥取県,14,0.74,0,0,1,0.05,4,0.21,4,0.21,5,0.26
島根県,16,0.7,0,0,0,0,4,0.17,5,0.22,7,0.3
岡山県,41,0.76,11,0.2,8,0.15,9,0.17,8,0.15,5,0.09
広島県,78,1.13,3,0.04,11,0.16,15,0.21,18,0.26,31,0.45
山口県,12,0.28,2,0.05,2,0.05,3,0.07,1,0.02,4,0.09
徳島県,36,1.57,8,0.35,2,0.09,1,0.04,11,0.48,14,0.61
香川県,66,2.36,4,0.14,4,0.14,5,0.18,30,1.07,23,0.82
愛媛県,72,2,14,0.39,14,0.38,20,0.54,14,0.38,10,0.27
高知県,20,0.77,4,0.15,5,0.19,6,0.23,0,0,5,0.19
福岡県,183,1.53,27,0.23,28,0.23,37,0.31,46,0.38,45,0.38
佐賀県,26,1.13,1,0.04,3,0.13,6,0.26,5,0.22,11,0.48
長崎県,60,1.36,14,0.32,5,0.11,9,0.2,13,0.3,19,0.43
熊本県,92,1.84,13,0.26,12,0.24,20,0.4,24,0.48,23,0.46
大分県,48,1.33,8,0.22,3,0.08,4,0.11,12,0.33,21,0.58
宮崎県,116,3.22,14,0.39,13,0.36,28,0.78,28,0.78,33,0.92
鹿児島県,207,4.06,31,0.61,26,0.51,58,1.14,44,0.86,48,0.94
沖縄県,23,0.74,2,0.06,4,0.13,6,0.19,8,0.26,3,0.1
,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,266,0.09,29,0.01,59,0.02,54,0.02,63,0.02,61,0.02
北海道,2,0.01,1,0.01,1,0.01,0,0,0,0,0,0
青森県,2,0.05,0,0,1,0.03,0,0,1,0.03,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,5,0.09,1,0.02,0,0,0,0,4,0.07,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0
山形県,7,0.25,1,0.04,3,0.11,0,0,1,0.04,2,0.07
福島県,7,0.14,0,0,1,0.02,4,0.08,1,0.02,1,0.02
茨城県,6,0.08,1,0.01,1,0.01,1,0.01,1,0.01,2,0.03
栃木県,2,0.04,0,0,0,0,2,0.04,0,0,0,0
群馬県,4,0.08,0,0,1,0.02,2,0.04,0,0,1,0.02
埼玉県,16,0.1,1,0.01,3,0.02,4,0.02,5,0.03,3,0.02
千葉県,5,0.04,0,0,1,0.01,2,0.02,2,0.02,0,0
東京都,92,0.36,7,0.03,26,0.1,18,0.07,21,0.08,20,0.08
神奈川県,31,0.14,2,0.01,5,0.02,11,0.05,6,0.03,7,0.03
新潟県,4,0.07,0,0,1,0.02,0,0,3,0.05,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0
石川県,1,0.04,1,0.04,0,0,0,0,0,0,0,0
福井県,4,0.16,2,0.08,1,0.04,1,0.04,0,0,0,0
山梨県,1,0.04,0,0,0,0,0,0,1,0.04,0,0
長野県,1,0.02,0,0,0,0,0,0,0,0,1,0.02
岐阜県,1,0.02,1,0.02,0,0,0,0,0,0,0,0
静岡県,5,0.06,0,0,0,0,1,0.01,0,0,4,0.04
愛知県,3,0.02,3,0.02,0,0,0,0,0,0,0,0
三重県,3,0.07,0,0,0,0,1,0.02,1,0.02,1,0.02
滋賀県,1,0.03,0,0,0,0,1,0.03,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,10,0.05,1,0.01,6,0.03,0,0,1,0.01,2,0.01
兵庫県,8,0.06,0,0,2,0.02,1,0.01,4,0.03,1,0.01
奈良県,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0
島根県,1,0.04,1,0.04,0,0,0,0,0,0,0,0
岡山県,10,0.19,3,0.06,1,0.02,2,0.04,2,0.04,2,0.04
広島県,4,0.06,1,0.01,1,0.01,0,0,0,0,2,0.03
山口県,1,0.02,0,0,0,0,0,0,0,0,1,0.02
徳島県,0,0,0,0,0,0,0,0,0,0,0,0
香川県,3,0.11,0,0,0,0,0,0,0,0,3,0.11
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0
高知県,3,0.12,1,0.04,0,0,0,0,1,0.04,1,0.04
福岡県,4,0.03,1,0.01,1,0.01,1,0.01,1,0.01,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,6,0.12,0,0,1,0.02,0,0,3,0.06,2,0.04
大分県,3,0.08,0,0,0,0,0,0,3,0.08,0,0
宮崎県,4,0.11,0,0,0,0,0,0,0,0,4,0.11
鹿児島県,3,0.06,0,0,1,0.02,1,0.02,0,0,1,0.02
沖縄県,3,0.1,0,0,1,0.03,1,0.03,1,0.03,0,0
,,,,,,,,,,,,
突発性発しん,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2924,0.94,358,0.12,643,0.21,655,0.21,638,0.2,630,0.2
北海道,67,0.49,9,0.07,14,0.1,15,0.11,17,0.12,12,0.09
青森県,32,0.86,5,0.14,4,0.11,6,0.16,8,0.22,9,0.24
岩手県,56,1.44,8,0.21,15,0.38,9,0.23,13,0.33,11,0.28
宮城県,68,1.24,9,0.16,19,0.35,8,0.15,11,0.2,21,0.38
秋田県,25,0.78,1,0.03,8,0.24,6,0.18,5,0.15,5,0.15
山形県,49,1.75,6,0.21,7,0.25,14,0.5,11,0.39,11,0.39
福島県,64,1.31,7,0.14,14,0.29,12,0.24,17,0.35,14,0.29
茨城県,26,0.35,4,0.05,7,0.09,8,0.11,3,0.04,4,0.05
栃木県,52,1.08,6,0.13,13,0.27,9,0.19,13,0.27,11,0.23
群馬県,58,1.09,6,0.11,9,0.17,9,0.17,16,0.3,18,0.34
埼玉県,155,0.95,21,0.13,28,0.17,43,0.26,34,0.21,29,0.18
千葉県,115,0.92,15,0.12,22,0.17,15,0.12,32,0.26,31,0.24
東京都,270,1.04,25,0.1,63,0.24,62,0.24,55,0.21,65,0.25
神奈川県,177,0.78,14,0.06,41,0.18,44,0.19,36,0.16,42,0.19
新潟県,52,0.95,7,0.13,14,0.25,11,0.2,9,0.16,11,0.2
富山県,22,0.76,1,0.03,7,0.24,3,0.1,6,0.21,5,0.17
石川県,23,0.85,4,0.15,5,0.19,9,0.33,2,0.07,3,0.11
福井県,22,0.88,5,0.2,8,0.32,1,0.04,7,0.28,1,0.04
山梨県,24,1,2,0.08,5,0.21,8,0.33,6,0.25,3,0.13
長野県,35,0.65,7,0.13,7,0.13,8,0.15,5,0.09,8,0.15
岐阜県,55,1.04,4,0.08,10,0.19,20,0.38,12,0.23,9,0.17
静岡県,72,0.81,6,0.07,20,0.22,12,0.13,19,0.21,15,0.17
愛知県,105,0.58,14,0.08,21,0.12,28,0.15,19,0.1,23,0.13
三重県,42,0.93,5,0.11,8,0.18,9,0.2,8,0.18,12,0.27
滋賀県,25,0.71,2,0.06,6,0.17,8,0.23,3,0.09,6,0.17
京都府,37,0.49,1,0.01,8,0.11,10,0.13,8,0.11,10,0.13
大阪府,148,0.75,19,0.1,36,0.18,32,0.16,31,0.16,30,0.15
兵庫県,102,0.8,13,0.1,27,0.21,31,0.24,19,0.15,12,0.09
奈良県,29,0.85,7,0.21,5,0.15,9,0.26,5,0.15,3,0.09
和歌山県,26,0.87,6,0.2,5,0.17,4,0.13,9,0.3,2,0.07
鳥取県,13,0.68,1,0.05,2,0.11,4,0.21,2,0.11,4,0.21
島根県,28,1.22,3,0.13,10,0.43,6,0.26,8,0.35,1,0.04
岡山県,47,0.87,4,0.07,16,0.3,11,0.2,8,0.15,8,0.15
広島県,62,0.9,8,0.11,10,0.14,15,0.21,16,0.23,13,0.19
山口県,50,1.16,7,0.16,11,0.26,12,0.28,8,0.19,12,0.28
徳島県,24,1.04,3,0.13,4,0.17,4,0.17,7,0.3,6,0.26
香川県,25,0.89,2,0.07,4,0.14,6,0.21,5,0.18,8,0.29
愛媛県,56,1.56,6,0.17,12,0.32,12,0.32,10,0.27,16,0.43
高知県,20,0.77,1,0.04,4,0.15,4,0.15,6,0.23,5,0.19
福岡県,179,1.49,26,0.22,41,0.34,36,0.3,37,0.31,39,0.33
佐賀県,36,1.57,3,0.13,9,0.39,11,0.48,7,0.3,6,0.26
長崎県,44,1,7,0.16,6,0.14,5,0.11,13,0.3,13,0.3
熊本県,109,2.18,12,0.24,26,0.52,21,0.42,25,0.5,25,0.5
大分県,71,1.97,11,0.31,16,0.44,14,0.39,17,0.47,13,0.36
宮崎県,52,1.44,13,0.36,6,0.17,11,0.31,12,0.33,10,0.28
鹿児島県,57,1.12,7,0.14,7,0.14,19,0.37,12,0.24,12,0.24
沖縄県,18,0.58,5,0.16,3,0.1,1,0.03,6,0.19,3,0.1
,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,408,0.13,66,0.02,75,0.02,93,0.03,92,0.03,82,0.03
北海道,6,0.04,1,0.01,1,0.01,1,0.01,3,0.02,0,0
青森県,3,0.08,0,0,1,0.03,1,0.03,1,0.03,0,0
岩手県,10,0.26,0,0,3,0.08,6,0.15,1,0.03,0,0
宮城県,3,0.05,0,0,1,0.02,0,0,1,0.02,1,0.02
秋田県,2,0.06,0,0,1,0.03,1,0.03,0,0,0,0
山形県,2,0.07,0,0,1,0.04,0,0,1,0.04,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,16,0.21,3,0.04,3,0.04,5,0.07,3,0.04,2,0.03
栃木県,2,0.04,1,0.02,0,0,0,0,1,0.02,0,0
群馬県,6,0.11,0,0,0,0,4,0.08,1,0.02,1,0.02
埼玉県,12,0.07,2,0.01,4,0.02,2,0.01,1,0.01,3,0.02
千葉県,3,0.02,1,0.01,0,0,1,0.01,1,0.01,0,0
東京都,12,0.05,2,0.01,4,0.02,3,0.01,1,0,2,0.01
神奈川県,23,0.1,2,0.01,5,0.02,4,0.02,4,0.02,8,0.04
新潟県,5,0.09,1,0.02,1,0.02,1,0.02,1,0.02,1,0.02
富山県,21,0.72,5,0.17,5,0.17,5,0.17,4,0.14,2,0.07
石川県,2,0.07,1,0.04,0,0,1,0.04,0,0,0,0
福井県,3,0.12,1,0.04,0,0,0,0,2,0.08,0,0
山梨県,1,0.04,1,0.04,0,0,0,0,0,0,0,0
長野県,5,0.09,1,0.02,0,0,4,0.07,0,0,0,0
岐阜県,4,0.08,0,0,1,0.02,2,0.04,0,0,1,0.02
静岡県,4,0.04,2,0.02,1,0.01,1,0.01,0,0,0,0
愛知県,6,0.03,1,0.01,0,0,2,0.01,2,0.01,1,0.01
三重県,6,0.13,1,0.02,0,0,0,0,1,0.02,4,0.09
滋賀県,5,0.14,0,0,1,0.03,0,0,1,0.03,3,0.08
京都府,8,0.11,0,0,0,0,3,0.04,4,0.05,1,0.01
大阪府,52,0.26,15,0.08,3,0.02,9,0.05,15,0.08,10,0.05
兵庫県,27,0.21,5,0.04,2,0.02,6,0.05,4,0.03,10,0.08
奈良県,8,0.24,0,0,6,0.18,1,0.03,1,0.03,0,0
和歌山県,4,0.13,0,0,2,0.07,0,0,2,0.07,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0
島根県,1,0.04,0,0,1,0.04,0,0,0,0,0,0
岡山県,2,0.04,1,0.02,0,0,0,0,0,0,1,0.02
広島県,6,0.09,0,0,1,0.01,2,0.03,2,0.03,1,0.01
山口県,3,0.07,0,0,1,0.02,1,0.02,0,0,1,0.02
徳島県,3,0.13,2,0.09,1,0.04,0,0,0,0,0,0
香川県,10,0.36,0,0,2,0.07,3,0.11,2,0.07,3,0.11
愛媛県,31,0.86,2,0.06,6,0.16,6,0.16,6,0.16,11,0.3
高知県,12,0.46,0,0,1,0.04,4,0.15,3,0.12,4,0.15
福岡県,15,0.13,1,0.01,3,0.03,3,0.03,4,0.03,4,0.03
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,3,0.07,0,0,1,0.02,0,0,2,0.05,0,0
熊本県,21,0.42,3,0.06,3,0.06,7,0.14,7,0.14,1,0.02
大分県,9,0.25,3,0.08,0,0,0,0,3,0.08,3,0.08
宮崎県,3,0.08,1,0.03,1,0.03,0,0,1,0.03,0,0
鹿児島県,24,0.47,5,0.1,8,0.16,3,0.06,5,0.1,3,0.06
沖縄県,4,0.13,2,0.06,0,0,1,0.03,1,0.03,0,0
,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,413,0.13,43,0.01,83,0.03,100,0.03,96,0.03,91,0.03
北海道,11,0.08,0,0,2,0.01,2,0.01,3,0.02,4,0.03
青森県,3,0.08,0,0,1,0.03,0,0,1,0.03,1,0.03
岩手県,10,0.26,0,0,2,0.05,6,0.15,0,0,2,0.05
宮城県,6,0.11,1,0.02,2,0.04,1,0.02,0,0,2,0.04
秋田県,0,0,0,0,0,0,0,0,0,0,0,0
山形県,2,0.07,0,0,0,0,0,0,2,0.07,0,0
福島県,3,0.06,0,0,1,0.02,1,0.02,1,0.02,0,0
茨城県,4,0.05,1,0.01,0,0,2,0.03,1,0.01,0,0
栃木県,4,0.08,2,0.04,0,0,0,0,0,0,2,0.04
群馬県,13,0.25,0,0,3,0.06,3,0.06,5,0.09,2,0.04
埼玉県,44,0.27,7,0.04,7,0.04,10,0.06,12,0.07,8,0.05
千葉県,22,0.18,5,0.04,4,0.03,2,0.02,7,0.06,4,0.03
東京都,54,0.21,0,0,16,0.06,15,0.06,10,0.04,13,0.05
神奈川県,34,0.15,0,0,5,0.02,9,0.04,11,0.05,9,0.04
新潟県,5,0.09,1,0.02,1,0.02,2,0.04,1,0.02,0,0
富山県,2,0.07,1,0.03,1,0.03,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0
福井県,1,0.04,0,0,0,0,1,0.04,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0
長野県,1,0.02,0,0,1,0.02,0,0,0,0,0,0
岐阜県,5,0.09,1,0.02,1,0.02,3,0.06,0,0,0,0
静岡県,14,0.16,2,0.02,2,0.02,1,0.01,3,0.03,6,0.07
愛知県,18,0.1,3,0.02,2,0.01,4,0.02,7,0.04,2,0.01
三重県,1,0.02,0,0,0,0,1,0.02,0,0,0,0
滋賀県,3,0.09,1,0.03,0,0,1,0.03,0,0,1,0.03
京都府,10,0.13,1,0.01,3,0.04,2,0.03,1,0.01,3,0.04
大阪府,23,0.12,4,0.02,3,0.02,5,0.03,6,0.03,5,0.03
兵庫県,18,0.14,1,0.01,5,0.04,5,0.04,2,0.02,5,0.04
奈良県,3,0.09,0,0,0,0,0,0,1,0.03,2,0.06
和歌山県,4,0.13,0,0,1,0.03,0,0,1,0.03,2,0.07
鳥取県,1,0.05,0,0,0,0,0,0,1,0.05,0,0
島根県,2,0.09,0,0,1,0.04,0,0,1,0.04,0,0
岡山県,7,0.13,2,0.04,1,0.02,3,0.06,1,0.02,0,0
広島県,5,0.07,1,0.01,1,0.01,0,0,2,0.03,1,0.01
山口県,1,0.02,0,0,0,0,0,0,1,0.02,0,0
徳島県,1,0.04,0,0,0,0,0,0,0,0,1,0.04
香川県,5,0.18,0,0,0,0,2,0.07,1,0.04,2,0.07
愛媛県,7,0.19,0,0,1,0.03,2,0.05,2,0.05,2,0.05
高知県,1,0.04,0,0,0,0,0,0,1,0.04,0,0
福岡県,13,0.11,4,0.03,4,0.03,1,0.01,0,0,4,0.03
佐賀県,4,0.17,0,0,0,0,1,0.04,1,0.04,2,0.09
長崎県,2,0.05,0,0,0,0,0,0,1,0.02,1,0.02
熊本県,8,0.16,1,0.02,1,0.02,2,0.04,2,0.04,2,0.04
大分県,5,0.14,0,0,3,0.08,2,0.06,0,0,0,0
宮崎県,5,0.14,0,0,2,0.06,1,0.03,2,0.06,0,0
鹿児島県,14,0.27,3,0.06,0,0,7,0.14,4,0.08,0,0
沖縄県,14,0.45,1,0.03,6,0.19,3,0.1,1,0.03,3,0.1
,,,,,,,,,,,,
急性出血性結膜炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,37,0.05,10,0.01,11,0.02,5,0.01,6,0.01,5,0.01
北海道,0,0,0,0,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,1,0.14,1,0.14,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0
福島県,1,0.08,0,0,0,0,1,0.08,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,1,0.08,1,0.08,0,0,0,0,0,0,0,0
群馬県,1,0.07,1,0.07,0,0,0,0,0,0,0,0
埼玉県,3,0.07,0,0,1,0.02,0,0,1,0.02,1,0.02
千葉県,2,0.06,1,0.03,0,0,0,0,1,0.03,0,0
東京都,2,0.05,0,0,1,0.03,0,0,1,0.03,0,0
神奈川県,2,0.04,1,0.02,0,0,1,0.02,0,0,0,0
新潟県,4,0.4,0,0,1,0.1,1,0.1,1,0.1,1,0.1
富山県,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0
長野県,1,0.1,0,0,1,0.1,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0
京都府,1,0.06,0,0,1,0.06,0,0,0,0,0,0
大阪府,5,0.1,2,0.04,0,0,1,0.02,1,0.02,1,0.02
兵庫県,3,0.09,0,0,1,0.03,0,0,1,0.03,1,0.03
奈良県,1,0.1,0,0,1,0.1,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,1,0.08,1,0.08,0,0,0,0,0,0,0,0
広島県,1,0.05,1,0.05,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,6,0.75,1,0.13,3,0.38,1,0.13,0,0,1,0.13
熊本県,0,0,0,0,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,1,0.14,0,0,1,0.14,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2337,3.37,495,0.72,619,0.89,446,0.64,409,0.59,368,0.53
北海道,43,1.48,7,0.24,16,0.55,8,0.28,6,0.21,6,0.21
青森県,26,2.6,5,0.5,9,0.9,3,0.3,6,0.6,3,0.3
岩手県,31,2.21,5,0.36,7,0.5,7,0.5,6,0.43,6,0.43
宮城県,7,0.58,3,0.25,2,0.17,0,0,0,0,2,0.17
秋田県,10,1.43,5,0.71,2,0.29,2,0.29,1,0.14,0,0
山形県,12,1.5,1,0.13,3,0.38,2,0.25,4,0.5,2,0.25
福島県,45,3.46,9,0.69,9,0.69,6,0.46,12,0.92,9,0.69
茨城県,94,5.53,26,1.53,20,1.18,20,1.18,15,0.88,13,0.76
栃木県,51,4.25,10,0.83,16,1.33,12,1,11,0.92,2,0.17
群馬県,34,2.43,9,0.64,7,0.5,3,0.21,8,0.57,7,0.5
埼玉県,109,2.66,25,0.61,26,0.63,26,0.63,19,0.46,13,0.31
千葉県,112,3.39,21,0.62,30,0.91,25,0.76,25,0.74,11,0.31
東京都,81,2.08,13,0.33,24,0.62,18,0.46,15,0.38,11,0.28
神奈川県,282,5.64,56,1.19,69,1.38,55,1.1,48,0.94,54,1.04
新潟県,15,1.5,1,0.1,3,0.3,4,0.4,1,0.1,6,0.6
富山県,12,1.71,4,0.57,1,0.14,2,0.29,4,0.57,1,0.14
石川県,105,17.5,36,6,21,3,10,1.43,17,2.43,21,3
福井県,10,3.33,0,0,0,0,4,1.33,5,1.67,1,0.33
山梨県,25,2.78,2,0.22,10,1.11,6,0.67,4,0.44,3,0.33
長野県,151,15.1,33,3.3,34,3.4,28,2.8,29,2.9,27,2.7
岐阜県,15,1.36,2,0.18,5,0.45,3,0.27,1,0.09,4,0.36
静岡県,54,2.45,8,0.36,21,0.95,13,0.59,10,0.45,2,0.09
愛知県,85,2.43,19,0.54,25,0.71,15,0.43,17,0.49,9,0.26
三重県,9,0.75,1,0.08,2,0.17,3,0.25,1,0.08,2,0.17
滋賀県,7,0.88,4,0.5,2,0.25,1,0.13,0,0,0,0
京都府,27,1.5,6,0.33,7,0.39,5,0.28,5,0.28,4,0.22
大阪府,77,1.48,12,0.23,24,0.46,20,0.38,7,0.13,14,0.27
兵庫県,95,2.71,16,0.46,31,0.89,20,0.57,15,0.43,13,0.37
奈良県,32,3.2,4,0.4,13,1.3,4,0.4,4,0.4,7,0.7
和歌山県,6,1.5,0,0,2,0.5,1,0.25,2,0.5,1,0.25
鳥取県,8,1.6,0,0,1,0.2,1,0.2,5,1,1,0.2
島根県,8,2.67,3,1,3,1,1,0.33,1,0.33,0,0
岡山県,31,2.58,7,0.58,9,0.75,8,0.67,4,0.33,3,0.25
広島県,105,5.53,17,0.89,28,1.47,21,1.11,18,0.95,21,1.11
山口県,33,3.67,4,0.44,10,1.11,2,0.22,11,1.22,6,0.67
徳島県,5,1.25,1,0.25,2,0.5,1,0.25,1,0.25,0,0
香川県,7,1.4,1,0.2,3,0.6,0,0,1,0.2,2,0.4
愛媛県,78,9.75,24,3,21,2.63,13,1.63,10,1.25,10,1.25
高知県,4,1.33,1,0.33,3,1,0,0,0,0,0,0
福岡県,75,2.88,14,0.54,17,0.65,17,0.65,13,0.5,14,0.54
佐賀県,10,2.5,2,0.5,3,0.75,0,0,3,0.75,2,0.5
長崎県,48,6,11,1.38,16,2,7,0.88,7,0.88,7,0.88
熊本県,74,8.22,26,2.89,16,1.78,16,1.78,6,0.67,10,1.11
大分県,8,1.6,1,0.2,2,0.4,3,0.6,0,0,2,0.4
宮崎県,58,9.67,18,3,13,2.17,9,1.5,9,1.5,9,1.5
鹿児島県,58,8.29,15,2.14,10,1.43,11,1.57,10,1.43,12,1.71
沖縄県,65,8.13,7,0.88,21,2.63,10,1.25,12,1.5,15,1.88
,,,,,,,,,,,,
細菌性髄膜炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,31,0.06,7,0.01,5,0.01,9,0.02,4,0.01,6,0.01
北海道,1,0.04,0,0,0,0,0,0,1,0.04,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,1,0.05,0,0,0,0,1,0.05,0,0,0,0
宮城県,1,0.1,0,0,1,0.1,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,1,0.08,0,0,0,0,0,0,0,0,1,0.08
栃木県,2,0.29,1,0.14,1,0.14,0,0,0,0,0,0
群馬県,1,0.11,0,0,1,0.11,0,0,0,0,0,0
埼玉県,0,0,0,0,0,0,0,0,0,0,0,0
千葉県,2,0.22,1,0.11,0,0,0,0,0,0,1,0.11
東京都,4,0.16,0,0,0,0,3,0.12,1,0.04,0,0
神奈川県,0,0,0,0,0,0,0,0,0,0,0,0
新潟県,0,0,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,2,0.2,2,0.2,0,0,0,0,0,0,0,0
愛知県,3,0.2,1,0.07,0,0,0,0,1,0.07,1,0.07
三重県,1,0.11,1,0.11,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,0,0,0,0,0,0,0,0,0,0,0,0
兵庫県,1,0.07,1,0.07,0,0,0,0,0,0,0,0
奈良県,1,0.17,0,0,0,0,1,0.17,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,2,0.4,0,0,0,0,2,0.4,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0
広島県,2,0.1,0,0,0,0,1,0.05,0,0,1,0.05
山口県,1,0.11,0,0,0,0,0,0,1,0.11,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,2,0.13,0,0,1,0.07,0,0,0,0,1,0.07
佐賀県,1,0.17,0,0,0,0,1,0.17,0,0,0,0
長崎県,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,2,0.13,0,0,1,0.07,0,0,0,0,1,0.07
大分県,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
無菌性髄膜炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,46,0.1,7,0.01,10,0.02,11,0.02,12,0.02,6,0.01
