報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,
2024年02週(01月08日～01月14日),2024年01月17日作成,,,,,
山梨県,12,1.33,2,0.22,10,1.11
長野県,67,6.7,33,3.3,34,3.4
岐阜県,7,0.64,2,0.18,5,0.45
静岡県,29,1.32,8,0.36,21,0.95
愛知県,44,1.26,19,0.54,25,0.71
三重県,3,0.25,1,0.08,2,0.17
滋賀県,6,0.75,4,0.5,2,0.25
京都府,13,0.72,6,0.33,7,0.39
大阪府,36,0.69,12,0.23,24,0.46
兵庫県,47,1.34,16,0.46,31,0.89
奈良県,17,1.7,4,0.4,13,1.3
和歌山県,2,0.5,0,0,2,0.5
鳥取県,1,0.2,0,0,1,0.2
島根県,6,2,3,1,3,1
岡山県,16,1.33,7,0.58,9,0.75
広島県,45,2.37,17,0.89,28,1.47
山口県,14,1.56,4,0.44,10,1.11
徳島県,3,0.75,1,0.25,2,0.5
香川県,4,0.8,1,0.2,3,0.6
愛媛県,45,5.63,24,3,21,2.63
高知県,4,1.33,1,0.33,3,1
福岡県,31,1.19,14,0.54,17,0.65
佐賀県,5,1.25,2,0.5,3,0.75
長崎県,27,3.38,11,1.38,16,2
熊本県,42,4.67,26,2.89,16,1.78
大分県,3,0.6,1,0.2,2,0.4
宮崎県,31,5.17,18,3,13,2.17
鹿児島県,25,3.57,15,2.14,10,1.43
沖縄県,28,3.5,7,0.88,21,2.63
,,,,,,
細菌性髄膜炎,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,11,0.02,7,0.01,4,0.01
北海道,0,0,0,0,0,0
青森県,0,0,0,0,0,0
岩手県,0,0,0,0,0,0
宮城県,1,0.1,0,0,1,0.1
秋田県,0,0,0,0,0,0
山形県,0,0,0,0,0,0
福島県,0,0,0,0,0,0
茨城県,0,0,0,0,0,0
栃木県,2,0.29,1,0.14,1,0.14
群馬県,1,0.11,0,0,1,0.11
埼玉県,0,0,0,0,0,0
千葉県,1,0.11,1,0.11,0,0
東京都,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0
新潟県,0,0,0,0,0,0
富山県,0,0,0,0,0,0
石川県,0,0,0,0,0,0
福井県,0,0,0,0,0,0
山梨県,0,0,0,0,0,0
長野県,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0
静岡県,2,0.2,2,0.2,0,0
愛知県,1,0.07,1,0.07,0,0
三重県,1,0.11,1,0.11,0,0
滋賀県,0,0,0,0,0,0
京都府,0,0,0,0,0,0
大阪府,0,0,0,0,0,0
兵庫県,1,0.07,1,0.07,0,0
奈良県,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0
島根県,0,0,0,0,0,0
岡山県,0,0,0,0,0,0
広島県,0,0,0,0,0,0
山口県,0,0,0,0,0,0
徳島県,0,0,0,0,0,0
香川県,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0
高知県,0,0,0,0,0,0
福岡県,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0
長崎県,0,0,0,0,0,0
熊本県,1,0.07,0,0,1,0.07
大分県,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0
,,,,,,
無菌性髄膜炎,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,17,0.04,7,0.01,10,0.02
北海道,1,0.04,0,0,1,0.04
青森県,0,0,0,0,0,0
岩手県,0,0,0,0,0,0
宮城県,0,0,0,0,0,0
秋田県,0,0,0,0,0,0
山形県,0,0,0,0,0,0
福島県,0,0,0,0,0,0
茨城県,1,0.08,1,0.08,0,0
栃木県,0,0,0,0,0,0
群馬県,0,0,0,0,0,0
埼玉県,0,0,0,0,0,0
千葉県,0,0,0,0,0,0
東京都,0,0,0,0,0,0
神奈川県,2,0.17,0,0,2,0.17
新潟県,0,0,0,0,0,0
富山県,0,0,0,0,0,0
石川県,0,0,0,0,0,0
福井県,1,0.17,0,0,1,0.17
山梨県,1,0.1,1,0.1,0,0
長野県,1,0.08,0,0,1,0.08
岐阜県,0,0,0,0,0,0
静岡県,0,0,0,0,0,0
愛知県,1,0.07,0,0,1,0.07
三重県,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0
京都府,0,0,0,0,0,0
大阪府,1,0.06,0,0,1,0.06
兵庫県,1,0.07,1,0.07,0,0
奈良県,0,0,0,0,0,0
和歌山県,1,0.09,1,0.09,0,0
鳥取県,0,0,0,0,0,0
島根県,0,0,0,0,0,0
岡山県,0,0,0,0,0,0
広島県,1,0.05,0,0,1,0.05
山口県,0,0,0,0,0,0
徳島県,0,0,0,0,0,0
香川県,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0
高知県,0,0,0,0,0,0
福岡県,1,0.07,1,0.07,0,0
佐賀県,2,0.33,1,0.17,1,0.17
長崎県,2,0.17,1,0.08,1,0.08
熊本県,0,0,0,0,0,0
大分県,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0
,,,,,,
マイコプラズマ肺炎,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,59,0.12,24,0.05,35,0.07
北海道,0,0,0,0,0,0
青森県,3,0.5,0,0,3,0.5
岩手県,5,0.26,3,0.16,2,0.11
宮城県,0,0,0,0,0,0
秋田県,1,0.13,0,0,1,0.13
山形県,0,0,0,0,0,0
福島県,0,0,0,0,0,0
茨城県,5,0.38,3,0.23,2,0.15
栃木県,0,0,0,0,0,0
群馬県,0,0,0,0,0,0
埼玉県,2,0.17,2,0.17,0,0
千葉県,1,0.11,0,0,1,0.11
東京都,3,0.12,2,0.08,1,0.04
神奈川県,3,0.25,0,0,3,0.25
新潟県,1,0.08,0,0,1,0.08
富山県,0,0,0,0,0,0
石川県,0,0,0,0,0,0
福井県,5,0.83,2,0.33,3,0.5
山梨県,0,0,0,0,0,0
長野県,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0
静岡県,0,0,0,0,0,0
愛知県,2,0.13,0,0,2,0.13
三重県,1,0.11,0,0,1,0.11
滋賀県,0,0,0,0,0,0
京都府,0,0,0,0,0,0
大阪府,3,0.18,0,0,3,0.18
兵庫県,3,0.21,1,0.07,2,0.14
奈良県,1,0.17,0,0,1,0.17
和歌山県,2,0.18,2,0.18,0,0
鳥取県,0,0,0,0,0,0
島根県,0,0,0,0,0,0
岡山県,0,0,0,0,0,0
広島県,1,0.05,1,0.05,0,0
山口県,4,0.44,2,0.22,2,0.22
徳島県,0,0,0,0,0,0
香川県,0,0,0,0,0,0
愛媛県,1,0.17,0,0,1,0.17
高知県,0,0,0,0,0,0
福岡県,0,0,0,0,0,0
佐賀県,2,0.33,1,0.17,1,0.17
長崎県,2,0.17,1,0.08,1,0.08
熊本県,0,0,0,0,0,0
大分県,2,0.18,1,0.09,1,0.09
宮崎県,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0
沖縄県,6,0.86,3,0.43,3,0.43
,,,,,,
クラミジア肺炎,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,1,0,0,0,1,0
北海道,0,0,0,0,0,0
青森県,0,0,0,0,0,0
岩手県,0,0,0,0,0,0
宮城県,0,0,0,0,0,0
秋田県,0,0,0,0,0,0
山形県,0,0,0,0,0,0
福島県,0,0,0,0,0,0
茨城県,0,0,0,0,0,0
栃木県,0,0,0,0,0,0
群馬県,0,0,0,0,0,0
埼玉県,0,0,0,0,0,0
千葉県,0,0,0,0,0,0
東京都,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0
新潟県,0,0,0,0,0,0
富山県,0,0,0,0,0,0
石川県,0,0,0,0,0,0
福井県,0,0,0,0,0,0
山梨県,0,0,0,0,0,0
長野県,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0
静岡県,0,0,0,0,0,0
愛知県,0,0,0,0,0,0
三重県,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0
京都府,0,0,0,0,0,0
大阪府,0,0,0,0,0,0
兵庫県,0,0,0,0,0,0
奈良県,0,0,0,0,0,0
和歌山県,1,0.09,0,0,1,0.09
鳥取県,0,0,0,0,0,0
島根県,0,0,0,0,0,0
岡山県,0,0,0,0,0,0
広島県,0,0,0,0,0,0
山口県,0,0,0,0,0,0
徳島県,0,0,0,0,0,0
香川県,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0
高知県,0,0,0,0,0,0
福岡県,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0
長崎県,0,0,0,0,0,0
熊本県,0,0,0,0,0,0
大分県,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0
,,,,,,
感染性胃腸炎（ロタウイルス）,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,4,0.01,3,0.01,1,0
北海道,0,0,0,0,0,0
青森県,0,0,0,0,0,0
岩手県,1,0.05,1,0.05,0,0
宮城県,0,0,0,0,0,0
秋田県,0,0,0,0,0,0
山形県,2,0.2,2,0.2,0,0
福島県,0,0,0,0,0,0
茨城県,0,0,0,0,0,0
栃木県,0,0,0,0,0,0
群馬県,0,0,0,0,0,0
埼玉県,0,0,0,0,0,0
千葉県,0,0,0,0,0,0
東京都,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0
新潟県,0,0,0,0,0,0
富山県,0,0,0,0,0,0
石川県,0,0,0,0,0,0
福井県,0,0,0,0,0,0
山梨県,0,0,0,0,0,0
長野県,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0
静岡県,0,0,0,0,0,0
愛知県,0,0,0,0,0,0
三重県,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0
京都府,0,0,0,0,0,0
大阪府,0,0,0,0,0,0
兵庫県,0,0,0,0,0,0
奈良県,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0
島根県,0,0,0,0,0,0
岡山県,0,0,0,0,0,0
広島県,0,0,0,0,0,0
山口県,0,0,0,0,0,0
徳島県,0,0,0,0,0,0
香川県,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0
高知県,1,0.13,0,0,1,0.13
福岡県,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0
長崎県,0,0,0,0,0,0
熊本県,0,0,0,0,0,0
大分県,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0
,,,,,,
COVID-19,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,78377,15.95,34199,6.98,44178,8.96
北海道,4686,21.11,2317,10.58,2369,10.53
青森県,675,11.44,353,5.98,322,5.46
岩手県,1112,18.23,481,7.89,631,10.34
宮城県,1214,13.34,494,5.43,720,7.91
秋田県,669,13.38,350,7.14,319,6.25
山形県,485,11.28,193,4.49,292,6.79
福島県,1918,23.39,926,11.29,992,12.1
茨城県,3163,26.58,1472,12.27,1691,14.21
栃木県,1270,16.71,480,6.32,790,10.39
群馬県,1266,14.89,525,6.18,741,8.72
埼玉県,4077,15.8,1661,6.51,2416,9.26
千葉県,3833,18.98,1516,7.5,2317,11.41
東京都,3710,9.07,1365,3.38,2345,5.66
神奈川県,3377,9.35,1187,3.3,2190,6.05
新潟県,1055,12.27,483,5.62,572,6.65
富山県,694,14.46,315,6.56,379,7.9
石川県,832,18.91,371,8.43,461,10.48
福井県,295,7.56,127,3.26,168,4.31
山梨県,858,20.93,331,8.07,527,12.85
長野県,2346,26.66,1110,12.61,1236,14.05
岐阜県,2568,29.52,1325,15.23,1243,14.29
静岡県,2659,19.13,1082,7.78,1577,11.35
愛知県,5181,26.57,2418,12.4,2763,14.17
三重県,1204,16.72,490,6.81,714,9.92
滋賀県,869,14.73,413,7,456,7.6
京都府,1733,14.09,742,6.08,991,7.93
大阪府,3348,10.94,1457,4.76,1891,6.18
兵庫県,2267,11.45,964,4.87,1303,6.58
奈良県,747,13.58,295,5.36,452,8.22
和歌山県,692,14.12,295,6.02,397,8.1
鳥取県,499,17.21,260,8.97,239,8.24
島根県,451,11.87,218,5.74,233,6.13
岡山県,1351,16.08,623,7.42,728,8.67
広島県,1601,14.29,682,6.04,919,8.21
山口県,956,14.27,379,5.66,577,8.61
徳島県,783,21.16,346,9.35,437,11.81
香川県,781,16.62,381,8.11,400,8.51
愛媛県,998,16.63,374,6.34,624,10.23
高知県,811,18.43,328,7.45,483,10.98
福岡県,3128,15.8,1512,7.64,1616,8.16
佐賀県,869,22.28,330,8.46,539,13.82
長崎県,1291,18.44,528,7.54,763,10.9
熊本県,1896,23.7,867,10.84,1029,12.86
大分県,1336,23.03,639,11.02,697,12.02
宮崎県,1078,18.59,432,7.45,646,11.14
鹿児島県,1136,12.76,504,5.66,632,7.1
沖縄県,609,11.28,258,4.78,351,6.5
