報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,
2025年08週(02月17日～02月23日),2025年02月26日作成,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
愛知県,6353,35.1,123,0.68,675,3.71,635,3.51,770,4.25,912,5.04,954,5.24,1038,5.7,1246,6.85
三重県,2065,48.02,64,1.83,228,5.07,216,4.8,264,5.87,314,6.98,286,6.36,313,6.96,380,8.44
滋賀県,1183,34.79,29,1.21,109,3.03,106,2.94,199,5.53,179,4.97,171,4.75,168,4.67,222,6.17
京都府,2611,35.77,46,0.68,226,3.01,233,3.11,346,4.68,369,4.92,440,5.87,463,6.17,488,6.78
大阪府,9032,48.56,142,0.74,780,4.04,885,4.59,1167,6.05,1400,7.25,1421,7.36,1139,8.25,2098,10.81
兵庫県,6486,51.89,96,0.9,638,4.98,657,5.13,870,6.8,858,6.7,912,7.13,1029,8.04,1426,11.14
奈良県,1625,52.42,9,0.9,144,4.24,171,5.03,250,7.35,206,6.06,226,6.65,266,7.82,353,10.38
和歌山県,1318,47.07,31,1.11,103,3.55,131,4.52,161,5.55,245,8.45,221,7.62,172,5.93,254,8.76
鳥取県,626,32.95,31,1.63,67,3.53,81,4.26,72,3.79,92,4.84,74,3.89,94,4.95,115,6.05
島根県,1083,47.09,20,0.87,75,3.26,74,3.22,127,5.52,189,8.22,125,5.43,155,6.74,318,13.83
岡山県,2581,47.8,119,2.2,215,3.98,265,4.91,296,5.48,332,6.15,393,7.28,384,7.11,577,10.69
広島県,4431,62.41,47,0.89,311,4.2,339,4.58,497,6.72,659,8.91,757,10.23,789,10.66,1032,13.95
山口県,2540,59.07,47,1.09,158,3.67,247,5.74,324,7.53,352,8.19,434,10.09,396,9.21,582,13.53
徳島県,920,40,34,1.48,87,3.78,89,3.87,98,4.26,119,5.17,131,5.7,142,6.17,220,9.57
香川県,1824,65.14,26,0.93,137,4.89,119,4.25,203,7.25,238,8.5,319,11.39,300,10.71,482,17.21
愛媛県,2509,73.79,71,3.09,219,6.08,192,5.33,253,7.03,315,8.75,401,11.14,468,13,590,16.39
高知県,624,24.96,12,0.48,16,0.64,59,2.36,94,3.76,102,4.08,85,3.4,93,3.72,163,6.52
福岡県,7689,64.61,176,1.48,572,4.81,817,6.87,1047,8.8,1162,9.76,1154,9.7,1226,10.3,1535,12.9
佐賀県,1445,65.68,28,1.33,93,4.04,123,5.35,217,9.43,240,10.43,255,11.09,213,9.26,276,12
長崎県,2030,46.14,28,0.64,126,2.86,193,4.39,247,5.61,290,6.59,325,7.39,343,7.8,478,10.86
熊本県,4034,82.33,95,1.94,266,5.43,331,6.76,424,8.65,578,11.56,651,13.02,736,14.72,953,19.06
大分県,4097,113.81,131,3.64,349,9.69,354,9.83,611,16.97,667,18.53,657,18.25,571,15.86,757,21.03
宮崎県,2335,66.71,41,1.24,216,6,250,6.94,287,7.97,350,9.72,295,8.19,377,10.47,519,14.42
鹿児島県,3262,65.24,90,1.76,237,4.65,261,5.12,389,7.63,403,7.9,558,10.94,584,11.68,740,14.8
沖縄県,729,22.78,72,2.25,62,1.94,75,2.34,112,3.5,72,2.25,97,3.03,99,3.09,140,4.38
,,,,,,,,,,,,,,,,,,
水痘,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,5899,1.93,367,0.14,1101,0.35,570,0.18,812,0.26,594,0.19,908,0.29,714,0.23,833,0.27
北海道,497,3.77,33,0.31,140,1.03,53,0.39,50,0.37,43,0.32,72,0.53,42,0.31,64,0.47
青森県,71,1.97,1,0.03,13,0.35,10,0.27,14,0.38,5,0.14,11,0.3,4,0.11,13,0.35
岩手県,80,2.05,8,0.21,14,0.36,5,0.13,9,0.23,21,0.54,11,0.28,4,0.1,8,0.21
宮城県,108,1.96,11,0.2,25,0.45,10,0.18,6,0.11,13,0.24,15,0.27,11,0.2,17,0.31
秋田県,43,1.39,3,0.2,9,0.26,6,0.18,8,0.24,3,0.09,8,0.24,4,0.12,2,0.06
山形県,48,1.92,4,0.22,8,0.3,3,0.11,10,0.37,3,0.11,7,0.26,5,0.19,8,0.31
福島県,98,2.04,8,0.16,17,0.35,8,0.16,9,0.18,13,0.27,7,0.15,14,0.29,22,0.46
茨城県,125,1.71,1,0.02,14,0.19,7,0.09,15,0.2,10,0.14,27,0.36,29,0.39,22,0.29
栃木県,52,1.13,3,0.09,10,0.21,7,0.15,7,0.15,8,0.17,7,0.15,8,0.17,2,0.04
群馬県,107,2.14,11,0.31,22,0.42,16,0.3,25,0.47,10,0.19,6,0.11,6,0.11,11,0.21
埼玉県,438,2.84,18,0.2,72,0.44,43,0.26,63,0.38,34,0.21,74,0.45,56,0.34,78,0.48
千葉県,171,1.38,8,0.08,32,0.25,14,0.11,36,0.28,13,0.1,24,0.19,22,0.17,22,0.18
東京都,652,2.56,32,0.16,157,0.6,57,0.22,92,0.35,61,0.23,95,0.36,65,0.25,93,0.35
神奈川県,585,2.68,16,0.11,98,0.43,39,0.17,86,0.38,58,0.25,116,0.5,68,0.3,104,0.46
新潟県,256,4.65,19,0.35,36,0.65,21,0.38,31,0.56,34,0.62,38,0.69,55,1,22,0.4
富山県,38,1.36,2,0.07,6,0.21,6,0.21,7,0.24,5,0.17,3,0.1,3,0.1,6,0.21
石川県,129,4.45,5,0.17,35,1.21,15,0.52,20,0.69,15,0.52,17,0.59,14,0.48,8,0.28
福井県,94,3.76,3,0.12,12,0.48,8,0.32,11,0.44,9,0.36,27,1.08,8,0.32,16,0.64
山梨県,19,0.79,1,0.04,4,0.17,2,0.08,2,0.08,2,0.08,2,0.08,0,0,6,0.25
長野県,94,1.81,3,0.08,17,0.31,7,0.13,9,0.17,5,0.09,15,0.28,12,0.22,26,0.48
岐阜県,30,0.57,0,0,4,0.08,6,0.11,5,0.09,8,0.15,2,0.04,3,0.06,2,0.04
静岡県,83,0.93,7,0.08,19,0.21,13,0.15,3,0.03,6,0.07,10,0.11,10,0.11,15,0.17
愛知県,104,0.57,11,0.06,21,0.12,18,0.1,14,0.08,12,0.07,11,0.06,10,0.05,7,0.04
三重県,61,1.42,6,0.17,7,0.16,5,0.11,8,0.18,7,0.16,10,0.22,9,0.2,9,0.2
滋賀県,74,2.18,9,0.38,17,0.47,10,0.28,12,0.33,5,0.14,7,0.19,7,0.19,7,0.19
京都府,78,1.07,1,0.01,18,0.24,8,0.11,15,0.2,4,0.05,12,0.16,7,0.09,13,0.18
大阪府,214,1.15,8,0.04,30,0.16,25,0.13,27,0.14,26,0.13,34,0.18,24,0.17,40,0.21
兵庫県,147,1.18,9,0.08,24,0.19,24,0.19,28,0.22,19,0.15,17,0.13,11,0.09,15,0.12
奈良県,48,1.55,0,0,4,0.12,2,0.06,5,0.15,14,0.41,8,0.24,12,0.35,3,0.09
和歌山県,52,1.86,0,0,9,0.31,4,0.14,12,0.41,3,0.1,13,0.45,4,0.14,7,0.24
鳥取県,23,1.21,3,0.16,5,0.26,3,0.16,1,0.05,2,0.11,3,0.16,4,0.21,2,0.11
島根県,22,0.96,0,0,4,0.17,3,0.13,5,0.22,2,0.09,4,0.17,3,0.13,1,0.04
岡山県,38,0.7,4,0.07,8,0.15,8,0.15,5,0.09,2,0.04,7,0.13,4,0.07,0,0
広島県,64,0.9,7,0.13,17,0.23,2,0.03,10,0.14,12,0.16,5,0.07,3,0.04,8,0.11
山口県,31,0.72,2,0.05,5,0.12,3,0.07,2,0.05,3,0.07,8,0.19,4,0.09,4,0.09
徳島県,19,0.83,1,0.04,1,0.04,0,0,6,0.26,5,0.22,2,0.09,1,0.04,3,0.13
香川県,29,1.04,2,0.07,8,0.29,4,0.14,6,0.21,1,0.04,2,0.07,4,0.14,2,0.07
愛媛県,25,0.74,3,0.13,4,0.11,1,0.03,3,0.08,2,0.06,3,0.08,5,0.14,4,0.11
高知県,26,1.04,2,0.08,5,0.2,2,0.08,10,0.4,0,0,3,0.12,1,0.04,3,0.12
福岡県,374,3.14,43,0.36,55,0.46,36,0.3,41,0.34,39,0.33,58,0.49,59,0.5,43,0.36
佐賀県,45,2.05,1,0.05,4,0.17,7,0.3,5,0.22,5,0.22,12,0.52,8,0.35,3,0.13
長崎県,99,2.25,12,0.27,18,0.41,6,0.14,16,0.36,8,0.18,17,0.39,7,0.16,15,0.34
熊本県,92,1.88,14,0.29,18,0.37,6,0.12,9,0.18,4,0.08,21,0.42,15,0.3,5,0.1
大分県,85,2.36,1,0.03,8,0.22,4,0.11,17,0.47,8,0.22,13,0.36,16,0.44,18,0.5
宮崎県,70,2,6,0.18,6,0.17,10,0.28,6,0.17,10,0.28,3,0.08,15,0.42,14,0.39
鹿児島県,109,2.18,14,0.27,15,0.29,11,0.22,11,0.22,11,0.22,24,0.47,9,0.18,14,0.28
沖縄県,152,4.75,11,0.34,26,0.81,12,0.38,20,0.63,11,0.34,17,0.53,29,0.91,26,0.81
,,,,,,,,,,,,,,,,,,
手足口病,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2399,0.78,233,0.09,517,0.17,356,0.11,372,0.12,316,0.1,236,0.08,195,0.06,174,0.06
北海道,235,1.78,25,0.24,46,0.34,35,0.26,26,0.19,41,0.3,27,0.2,21,0.15,14,0.1
青森県,56,1.56,1,0.03,9,0.24,3,0.08,9,0.24,11,0.3,13,0.35,5,0.14,5,0.14
岩手県,82,2.1,11,0.28,16,0.41,8,0.21,10,0.26,12,0.31,8,0.21,7,0.18,10,0.26
宮城県,62,1.13,2,0.04,18,0.33,8,0.15,3,0.05,10,0.18,16,0.29,3,0.05,2,0.04
秋田県,42,1.35,5,0.33,9,0.26,7,0.21,11,0.32,8,0.24,1,0.03,1,0.03,0,0
山形県,119,4.76,7,0.39,17,0.63,21,0.78,18,0.67,22,0.81,14,0.52,8,0.31,12,0.46
福島県,32,0.67,6,0.12,11,0.22,6,0.12,3,0.06,3,0.06,3,0.06,0,0,0,0
茨城県,41,0.56,13,0.21,8,0.11,2,0.03,5,0.07,0,0,1,0.01,5,0.07,7,0.09
栃木県,56,1.22,10,0.3,8,0.17,6,0.13,12,0.25,8,0.17,2,0.04,9,0.19,1,0.02
群馬県,49,0.98,2,0.06,8,0.15,5,0.09,5,0.09,12,0.23,5,0.09,9,0.17,3,0.06
埼玉県,133,0.86,11,0.12,44,0.27,16,0.1,21,0.13,19,0.12,8,0.05,10,0.06,4,0.02
千葉県,71,0.57,8,0.08,17,0.13,11,0.09,9,0.07,4,0.03,10,0.08,5,0.04,7,0.06
東京都,132,0.52,11,0.05,35,0.13,19,0.07,21,0.08,14,0.05,11,0.04,12,0.05,9,0.03
神奈川県,119,0.55,11,0.07,26,0.11,24,0.11,26,0.11,10,0.04,12,0.05,6,0.03,4,0.02
新潟県,58,1.05,4,0.07,19,0.35,12,0.22,8,0.15,6,0.11,2,0.04,3,0.05,4,0.07
富山県,4,0.14,0,0,2,0.07,2,0.07,0,0,0,0,0,0,0,0,0,0
石川県,3,0.1,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,1,0.03
福井県,30,1.2,0,0,6,0.24,3,0.12,4,0.16,1,0.04,7,0.28,4,0.16,5,0.2
山梨県,16,0.67,2,0.08,6,0.25,2,0.08,5,0.21,0,0,0,0,1,0.04,0,0
長野県,80,1.54,8,0.2,22,0.41,16,0.3,15,0.28,9,0.17,3,0.06,3,0.06,4,0.07
岐阜県,10,0.19,0,0,1,0.02,4,0.08,2,0.04,0,0,1,0.02,0,0,2,0.04
静岡県,14,0.16,0,0,3,0.03,1,0.01,1,0.01,2,0.02,2,0.02,3,0.03,2,0.02
愛知県,25,0.14,0,0,9,0.05,3,0.02,6,0.03,4,0.02,3,0.02,0,0,0,0
三重県,6,0.14,1,0.03,2,0.04,0,0,0,0,2,0.04,1,0.02,0,0,0,0
滋賀県,8,0.24,1,0.04,3,0.08,1,0.03,2,0.06,0,0,0,0,0,0,1,0.03
京都府,32,0.44,0,0,5,0.07,2,0.03,5,0.07,6,0.08,8,0.11,4,0.05,2,0.03
大阪府,121,0.65,6,0.03,26,0.13,15,0.08,20,0.1,20,0.1,13,0.07,11,0.08,10,0.05
兵庫県,71,0.57,3,0.03,12,0.09,14,0.11,16,0.13,6,0.05,5,0.04,10,0.08,5,0.04
奈良県,25,0.81,0,0,5,0.15,2,0.06,1,0.03,2,0.06,3,0.09,1,0.03,11,0.32
和歌山県,16,0.57,2,0.07,5,0.17,4,0.14,2,0.07,2,0.07,1,0.03,0,0,0,0
鳥取県,12,0.63,1,0.05,1,0.05,3,0.16,2,0.11,3,0.16,0,0,2,0.11,0,0
島根県,15,0.65,0,0,2,0.09,1,0.04,3,0.13,6,0.26,1,0.04,2,0.09,0,0
岡山県,26,0.48,4,0.07,5,0.09,1,0.02,4,0.07,2,0.04,5,0.09,2,0.04,3,0.06
広島県,42,0.59,4,0.08,3,0.04,15,0.2,4,0.05,4,0.05,5,0.07,3,0.04,4,0.05
山口県,21,0.49,4,0.09,4,0.09,2,0.05,2,0.05,2,0.05,0,0,3,0.07,4,0.09
徳島県,48,2.09,0,0,8,0.35,10,0.43,14,0.61,7,0.3,2,0.09,4,0.17,3,0.13
香川県,17,0.61,5,0.18,3,0.11,0,0,1,0.04,5,0.18,0,0,2,0.07,1,0.04
愛媛県,20,0.59,0,0,9,0.25,2,0.06,2,0.06,3,0.08,2,0.06,2,0.06,0,0
高知県,33,1.32,2,0.08,8,0.32,9,0.36,6,0.24,3,0.12,2,0.08,3,0.12,0,0
福岡県,82,0.69,6,0.05,12,0.1,16,0.13,11,0.09,14,0.12,5,0.04,10,0.08,8,0.07
佐賀県,35,1.59,1,0.05,3,0.13,2,0.09,8,0.35,2,0.09,8,0.35,2,0.09,9,0.39
長崎県,43,0.98,6,0.14,10,0.23,10,0.23,7,0.16,4,0.09,5,0.11,1,0.02,0,0
熊本県,68,1.39,9,0.18,16,0.33,6,0.12,10,0.2,5,0.1,3,0.06,9,0.18,10,0.2
大分県,45,1.25,11,0.31,6,0.17,3,0.08,9,0.25,2,0.06,7,0.19,3,0.08,4,0.11
宮崎県,36,1.03,1,0.03,4,0.11,8,0.22,9,0.25,8,0.22,4,0.11,2,0.06,0,0
鹿児島県,81,1.62,26,0.51,23,0.45,10,0.2,8,0.16,8,0.16,3,0.06,1,0.02,2,0.04
沖縄県,27,0.84,3,0.09,2,0.06,5,0.16,6,0.19,4,0.13,4,0.13,2,0.06,1,0.03
,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,17847,5.83,429,0.16,2934,0.94,2981,0.95,3074,0.98,2838,0.91,2110,0.67,1737,0.56,1744,0.56
北海道,567,4.3,6,0.06,65,0.48,80,0.59,86,0.63,90,0.66,67,0.49,74,0.54,99,0.73
青森県,760,21.11,12,0.38,131,3.54,110,2.97,127,3.43,143,3.86,74,2,72,1.95,91,2.46
岩手県,267,6.85,10,0.26,41,1.05,39,1,51,1.31,38,0.97,26,0.67,31,0.79,31,0.79
宮城県,605,11,19,0.35,104,1.89,98,1.78,101,1.84,92,1.67,79,1.44,53,0.96,59,1.07
秋田県,29,0.94,0,0,1,0.03,4,0.12,5,0.15,5,0.15,8,0.24,4,0.12,2,0.06
山形県,180,7.2,7,0.39,16,0.59,25,0.93,28,1.04,37,1.37,16,0.59,19,0.73,32,1.23
福島県,769,16.02,11,0.22,111,2.27,119,2.43,128,2.61,136,2.83,97,2.02,86,1.79,81,1.69
茨城県,374,5.12,6,0.1,61,0.81,56,0.75,50,0.67,62,0.84,54,0.72,37,0.49,48,0.64
栃木県,621,13.5,14,0.42,98,2.04,98,2.04,131,2.73,98,2.04,69,1.44,70,1.46,43,0.9
群馬県,255,5.1,8,0.23,36,0.68,35,0.66,46,0.87,41,0.77,31,0.58,35,0.66,23,0.43
埼玉県,2635,17.11,71,0.79,464,2.83,502,3.06,466,2.84,403,2.46,303,1.85,230,1.4,196,1.2
千葉県,1937,15.62,44,0.42,346,2.7,333,2.6,338,2.64,338,2.64,213,1.66,156,1.22,169,1.35
東京都,3301,12.95,77,0.38,640,2.43,610,2.32,599,2.28,470,1.79,379,1.44,272,1.03,254,0.97
神奈川県,2082,9.55,52,0.35,364,1.58,356,1.57,365,1.59,350,1.54,255,1.11,182,0.79,158,0.7
新潟県,314,5.71,4,0.07,46,0.84,43,0.78,50,0.91,47,0.85,37,0.67,41,0.75,46,0.84
富山県,122,4.36,1,0.04,3,0.1,17,0.59,19,0.66,15,0.52,21,0.72,24,0.83,22,0.76
石川県,68,2.34,2,0.07,14,0.48,9,0.31,9,0.31,8,0.28,11,0.38,6,0.21,9,0.31
福井県,29,1.16,1,0.04,0,0,5,0.2,7,0.28,3,0.12,6,0.24,2,0.08,5,0.2
山梨県,79,3.29,5,0.21,7,0.29,12,0.5,12,0.5,17,0.71,10,0.42,7,0.29,9,0.38
長野県,359,6.9,15,0.38,49,0.91,63,1.17,63,1.17,51,0.94,37,0.7,40,0.74,41,0.76
岐阜県,39,0.74,1,0.02,4,0.08,7,0.13,8,0.15,4,0.08,1,0.02,5,0.09,9,0.17
静岡県,247,2.78,5,0.06,34,0.38,45,0.51,39,0.44,32,0.36,39,0.44,27,0.3,26,0.29
愛知県,156,0.86,2,0.01,20,0.11,20,0.11,29,0.16,24,0.13,21,0.12,19,0.1,21,0.12
三重県,47,1.09,2,0.06,7,0.16,4,0.09,5,0.11,13,0.29,4,0.09,4,0.09,8,0.18
滋賀県,62,1.82,0,0,11,0.31,13,0.36,8,0.22,14,0.39,5,0.14,4,0.11,7,0.19
京都府,291,3.99,6,0.09,39,0.52,55,0.73,37,0.5,48,0.64,42,0.56,30,0.4,34,0.47
大阪府,232,1.25,2,0.01,26,0.13,33,0.17,42,0.22,45,0.23,29,0.15,25,0.18,30,0.15
兵庫県,222,1.78,3,0.03,32,0.25,34,0.27,35,0.27,45,0.35,20,0.16,29,0.23,24,0.19
奈良県,68,2.19,0,0,7,0.21,12,0.35,10,0.29,9,0.26,15,0.44,8,0.24,7,0.21
和歌山県,14,0.5,2,0.07,1,0.03,1,0.03,4,0.14,1,0.03,3,0.1,1,0.03,1,0.03
鳥取県,64,3.37,4,0.21,10,0.53,15,0.79,9,0.47,8,0.42,2,0.11,8,0.42,8,0.42
島根県,41,1.78,0,0,2,0.09,4,0.17,3,0.13,7,0.3,3,0.13,11,0.48,11,0.48
岡山県,23,0.43,2,0.04,4,0.07,4,0.07,3,0.06,2,0.04,1,0.02,2,0.04,5,0.09
広島県,49,0.69,1,0.02,9,0.12,3,0.04,11,0.15,9,0.12,7,0.09,3,0.04,6,0.08
山口県,64,1.49,4,0.09,11,0.26,9,0.21,8,0.19,8,0.19,8,0.19,10,0.23,6,0.14
徳島県,23,1,1,0.04,6,0.26,3,0.13,5,0.22,0,0,3,0.13,1,0.04,4,0.17
香川県,15,0.54,2,0.07,3,0.11,4,0.14,2,0.07,0,0,1,0.04,1,0.04,2,0.07
愛媛県,41,1.21,0,0,2,0.06,4,0.11,6,0.17,8,0.22,6,0.17,8,0.22,7,0.19
高知県,174,6.96,5,0.2,23,0.92,18,0.72,38,1.52,27,1.08,29,1.16,21,0.84,13,0.52
福岡県,167,1.4,8,0.07,24,0.2,18,0.15,24,0.2,25,0.21,17,0.14,21,0.18,30,0.25
佐賀県,24,1.09,0,0,3,0.13,0,0,3,0.13,3,0.13,2,0.09,5,0.22,8,0.35
長崎県,92,2.09,4,0.09,12,0.27,21,0.48,14,0.32,15,0.34,13,0.3,3,0.07,10,0.23
熊本県,68,1.39,3,0.06,8,0.16,7,0.14,10,0.2,9,0.18,7,0.14,10,0.2,14,0.28
大分県,26,0.72,0,0,7,0.19,1,0.03,4,0.11,5,0.14,1,0.03,6,0.17,2,0.06
宮崎県,130,3.71,5,0.15,17,0.47,15,0.42,16,0.44,21,0.58,19,0.53,20,0.56,17,0.47
鹿児島県,33,0.66,1,0.02,4,0.08,5,0.1,4,0.08,0,0,8,0.16,6,0.12,5,0.1
沖縄県,82,2.56,1,0.03,11,0.34,12,0.38,16,0.5,12,0.38,11,0.34,8,0.25,11,0.34
,,,,,,,,,,,,,,,,,,
突発性発しん,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,4391,1.43,139,0.05,635,0.2,579,0.19,623,0.2,619,0.2,622,0.2,551,0.18,623,0.2
北海道,136,1.03,2,0.02,19,0.14,24,0.18,23,0.17,20,0.15,20,0.15,14,0.1,14,0.1
青森県,62,1.72,1,0.03,6,0.16,12,0.32,12,0.32,12,0.32,8,0.22,3,0.08,8,0.22
岩手県,61,1.56,2,0.05,6,0.15,7,0.18,8,0.21,13,0.33,13,0.33,8,0.21,4,0.1
宮城県,79,1.44,5,0.09,12,0.22,12,0.22,10,0.18,8,0.15,8,0.15,10,0.18,14,0.25
秋田県,31,1,0,0,3,0.09,2,0.06,2,0.06,5,0.15,7,0.21,8,0.24,4,0.12
山形県,51,2.04,3,0.17,9,0.33,8,0.3,9,0.33,7,0.26,3,0.11,3,0.12,9,0.35
福島県,83,1.73,3,0.06,16,0.33,6,0.12,14,0.29,14,0.29,13,0.27,7,0.15,10,0.21
茨城県,66,0.9,4,0.07,8,0.11,8,0.11,10,0.13,6,0.08,9,0.12,9,0.12,12,0.16
栃木県,85,1.85,6,0.18,13,0.27,14,0.29,11,0.23,17,0.35,10,0.21,8,0.17,6,0.13
群馬県,84,1.68,3,0.09,9,0.17,9,0.17,14,0.26,14,0.26,10,0.19,8,0.15,17,0.32
埼玉県,230,1.49,6,0.07,25,0.15,32,0.2,41,0.25,37,0.23,27,0.16,26,0.16,36,0.22
千葉県,152,1.23,4,0.04,27,0.21,19,0.15,17,0.13,15,0.12,29,0.23,19,0.15,22,0.18
東京都,364,1.43,9,0.04,58,0.22,53,0.2,60,0.23,50,0.19,51,0.19,38,0.14,45,0.17
神奈川県,266,1.22,4,0.03,32,0.14,38,0.17,38,0.17,43,0.19,35,0.15,39,0.17,37,0.16
新潟県,79,1.44,3,0.05,11,0.2,12,0.22,11,0.2,9,0.16,9,0.16,14,0.25,10,0.18
富山県,41,1.46,2,0.07,8,0.28,6,0.21,12,0.41,5,0.17,3,0.1,1,0.03,4,0.14
石川県,42,1.45,1,0.03,4,0.14,5,0.17,8,0.28,8,0.28,3,0.1,5,0.17,8,0.28
福井県,30,1.2,1,0.04,4,0.16,4,0.16,4,0.16,6,0.24,4,0.16,4,0.16,3,0.12
山梨県,16,0.67,0,0,1,0.04,2,0.08,3,0.13,2,0.08,3,0.13,2,0.08,3,0.13
長野県,55,1.06,2,0.05,9,0.17,9,0.17,6,0.11,12,0.22,9,0.17,4,0.07,4,0.07
岐阜県,73,1.38,4,0.08,17,0.32,7,0.13,9,0.17,11,0.21,9,0.17,6,0.11,10,0.19
静岡県,111,1.25,3,0.03,16,0.18,18,0.2,15,0.17,9,0.1,17,0.19,11,0.12,22,0.25
愛知県,142,0.78,3,0.02,16,0.09,20,0.11,17,0.09,15,0.08,16,0.09,31,0.17,24,0.13
三重県,63,1.47,2,0.06,15,0.33,12,0.27,11,0.24,5,0.11,9,0.2,0,0,9,0.2
滋賀県,32,0.94,0,0,7,0.19,1,0.03,2,0.06,3,0.08,3,0.08,10,0.28,6,0.17
京都府,71,0.97,0,0,11,0.15,13,0.17,10,0.14,7,0.09,11,0.15,5,0.07,14,0.19
大阪府,239,1.28,6,0.03,36,0.19,31,0.16,36,0.19,36,0.19,43,0.22,17,0.12,34,0.18
兵庫県,163,1.3,5,0.05,23,0.18,15,0.12,21,0.16,19,0.15,27,0.21,19,0.15,34,0.27
奈良県,45,1.45,0,0,8,0.24,5,0.15,5,0.15,6,0.18,9,0.26,7,0.21,5,0.15
和歌山県,45,1.61,1,0.04,8,0.28,3,0.1,6,0.21,5,0.17,7,0.24,5,0.17,10,0.34
鳥取県,21,1.11,0,0,3,0.16,2,0.11,4,0.21,2,0.11,4,0.21,3,0.16,3,0.16
島根県,58,2.52,2,0.09,6,0.26,6,0.26,8,0.35,11,0.48,6,0.26,9,0.39,10,0.43
岡山県,75,1.39,7,0.13,14,0.26,12,0.22,9,0.17,7,0.13,12,0.22,9,0.17,5,0.09
広島県,71,1,1,0.02,14,0.19,12,0.16,9,0.12,13,0.18,8,0.11,11,0.15,3,0.04
山口県,89,2.07,4,0.09,16,0.37,13,0.3,13,0.3,12,0.28,12,0.28,12,0.28,7,0.16
徳島県,34,1.48,2,0.09,5,0.22,2,0.09,5,0.22,6,0.26,3,0.13,4,0.17,7,0.3
香川県,43,1.54,3,0.11,7,0.25,4,0.14,9,0.32,6,0.21,4,0.14,6,0.21,4,0.14
愛媛県,81,2.38,2,0.09,12,0.33,11,0.31,9,0.25,10,0.28,9,0.25,11,0.31,17,0.47
高知県,33,1.32,1,0.04,6,0.24,4,0.16,3,0.12,3,0.12,4,0.16,9,0.36,3,0.12
福岡県,248,2.08,8,0.07,32,0.27,35,0.29,29,0.24,46,0.39,33,0.28,38,0.32,27,0.23
佐賀県,69,3.14,5,0.24,10,0.43,3,0.13,6,0.26,9,0.39,9,0.39,16,0.7,11,0.48
長崎県,66,1.5,3,0.07,6,0.14,10,0.23,10,0.23,7,0.16,15,0.34,11,0.25,4,0.09
熊本県,149,3.04,4,0.08,19,0.39,13,0.27,14,0.29,25,0.5,30,0.6,20,0.4,24,0.48
大分県,118,3.28,4,0.11,13,0.36,20,0.56,19,0.53,15,0.42,9,0.25,16,0.44,22,0.61
宮崎県,101,2.89,4,0.12,15,0.42,13,0.36,12,0.33,9,0.25,15,0.42,15,0.42,18,0.5
鹿児島県,92,1.84,1,0.02,11,0.22,8,0.16,16,0.31,13,0.25,15,0.29,12,0.24,16,0.32
沖縄県,46,1.44,3,0.09,9,0.28,4,0.13,3,0.09,6,0.19,9,0.28,8,0.25,4,0.13
,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,204,0.07,10,0,30,0.01,29,0.01,28,0.01,34,0.01,32,0.01,24,0.01,17,0.01
北海道,17,0.13,0,0,6,0.04,3,0.02,1,0.01,2,0.01,2,0.01,3,0.02,0,0
青森県,4,0.11,0,0,1,0.03,0,0,0,0,1,0.03,1,0.03,1,0.03,0,0
岩手県,2,0.05,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0
宮城県,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0
秋田県,3,0.1,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0,0,0
山形県,2,0.08,0,0,1,0.04,0,0,0,0,0,0,1,0.04,0,0,0,0
