報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,
2025年05週(01月27日～02月02日),2025年02月05日作成,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
滋賀県,7,0.21,1,0.04,3,0.08,1,0.03,2,0.06,0,0
京都府,18,0.25,0,0,5,0.07,2,0.03,5,0.07,6,0.08
大阪府,87,0.45,6,0.03,26,0.13,15,0.08,20,0.1,20,0.1
兵庫県,51,0.41,3,0.03,12,0.09,14,0.11,16,0.13,6,0.05
奈良県,10,0.34,0,0,5,0.15,2,0.06,1,0.03,2,0.06
和歌山県,15,0.54,2,0.07,5,0.17,4,0.14,2,0.07,2,0.07
鳥取県,10,0.53,1,0.05,1,0.05,3,0.16,2,0.11,3,0.16
島根県,12,0.52,0,0,2,0.09,1,0.04,3,0.13,6,0.26
岡山県,16,0.3,4,0.07,5,0.09,1,0.02,4,0.07,2,0.04
広島県,30,0.43,4,0.08,3,0.04,15,0.2,4,0.05,4,0.05
山口県,14,0.33,4,0.09,4,0.09,2,0.05,2,0.05,2,0.05
徳島県,39,1.7,0,0,8,0.35,10,0.43,14,0.61,7,0.3
香川県,14,0.5,5,0.18,3,0.11,0,0,1,0.04,5,0.18
愛媛県,16,0.48,0,0,9,0.25,2,0.06,2,0.06,3,0.08
高知県,28,1.12,2,0.08,8,0.32,9,0.36,6,0.24,3,0.12
福岡県,59,0.5,6,0.05,12,0.1,16,0.13,11,0.09,14,0.12
佐賀県,16,0.73,1,0.05,3,0.13,2,0.09,8,0.35,2,0.09
長崎県,37,0.84,6,0.14,10,0.23,10,0.23,7,0.16,4,0.09
熊本県,46,0.94,9,0.18,16,0.33,6,0.12,10,0.2,5,0.1
大分県,31,0.86,11,0.31,6,0.17,3,0.08,9,0.25,2,0.06
宮崎県,30,0.86,1,0.03,4,0.11,8,0.22,9,0.25,8,0.22
鹿児島県,75,1.47,26,0.51,23,0.45,10,0.2,8,0.16,8,0.16
沖縄県,20,0.63,3,0.09,2,0.06,5,0.16,6,0.19,4,0.13
,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,12251,4.04,429,0.16,2934,0.94,2981,0.95,3074,0.98,2833,0.91
北海道,327,2.53,6,0.06,65,0.48,80,0.59,86,0.63,90,0.66
青森県,523,14.53,12,0.38,131,3.54,110,2.97,127,3.43,143,3.86
岩手県,179,4.59,10,0.26,41,1.05,39,1,51,1.31,38,0.97
宮城県,414,7.53,19,0.35,104,1.89,98,1.78,101,1.84,92,1.67
秋田県,15,0.5,0,0,1,0.03,4,0.12,5,0.15,5,0.15
山形県,113,4.52,7,0.39,16,0.59,25,0.93,28,1.04,37,1.37
福島県,505,10.31,11,0.22,111,2.27,119,2.43,128,2.61,136,2.78
茨城県,235,3.26,6,0.1,61,0.81,56,0.75,50,0.67,62,0.84
栃木県,439,9.76,14,0.42,98,2.04,98,2.04,131,2.73,98,2.04
群馬県,166,3.39,8,0.23,36,0.68,35,0.66,46,0.87,41,0.77
埼玉県,1906,12.79,71,0.79,464,2.83,502,3.06,466,2.84,403,2.46
千葉県,1399,11.37,44,0.42,346,2.7,333,2.6,338,2.64,338,2.64
東京都,2396,9.55,77,0.38,640,2.43,610,2.32,599,2.28,470,1.79
神奈川県,1487,7.01,52,0.35,364,1.58,356,1.57,365,1.59,350,1.54
新潟県,190,3.45,4,0.07,46,0.84,43,0.78,50,0.91,47,0.85
富山県,55,1.96,1,0.04,3,0.1,17,0.59,19,0.66,15,0.52
石川県,42,1.45,2,0.07,14,0.48,9,0.31,9,0.31,8,0.28
福井県,16,0.64,1,0.04,0,0,5,0.2,7,0.28,3,0.12
山梨県,53,2.21,5,0.21,7,0.29,12,0.5,12,0.5,17,0.71
長野県,241,4.73,15,0.38,49,0.91,63,1.17,63,1.17,51,0.94
岐阜県,24,0.45,1,0.02,4,0.08,7,0.13,8,0.15,4,0.08
静岡県,155,1.74,5,0.06,34,0.38,45,0.51,39,0.44,32,0.36
愛知県,95,0.52,2,0.01,20,0.11,20,0.11,29,0.16,24,0.13
三重県,27,0.64,2,0.06,7,0.16,4,0.09,5,0.11,9,0.2
滋賀県,46,1.39,0,0,11,0.31,13,0.36,8,0.22,14,0.39
京都府,185,2.53,6,0.09,39,0.52,55,0.73,37,0.5,48,0.64
大阪府,148,0.77,2,0.01,26,0.13,33,0.17,42,0.22,45,0.23
兵庫県,149,1.21,3,0.03,32,0.25,34,0.27,35,0.27,45,0.35
奈良県,38,1.31,0,0,7,0.21,12,0.35,10,0.29,9,0.26
和歌山県,9,0.32,2,0.07,1,0.03,1,0.03,4,0.14,1,0.03
鳥取県,46,2.42,4,0.21,10,0.53,15,0.79,9,0.47,8,0.42
島根県,16,0.7,0,0,2,0.09,4,0.17,3,0.13,7,0.3
岡山県,15,0.28,2,0.04,4,0.07,4,0.07,3,0.06,2,0.04
広島県,33,0.48,1,0.02,9,0.12,3,0.04,11,0.15,9,0.12
山口県,40,0.93,4,0.09,11,0.26,9,0.21,8,0.19,8,0.19
徳島県,15,0.65,1,0.04,6,0.26,3,0.13,5,0.22,0,0
香川県,11,0.39,2,0.07,3,0.11,4,0.14,2,0.07,0,0
愛媛県,20,0.61,0,0,2,0.06,4,0.11,6,0.17,8,0.22
高知県,111,4.44,5,0.2,23,0.92,18,0.72,38,1.52,27,1.08
福岡県,98,0.82,8,0.07,24,0.2,18,0.15,24,0.2,24,0.2
佐賀県,9,0.41,0,0,3,0.13,0,0,3,0.13,3,0.13
長崎県,66,1.5,4,0.09,12,0.27,21,0.48,14,0.32,15,0.34
熊本県,37,0.76,3,0.06,8,0.16,7,0.14,10,0.2,9,0.18
大分県,17,0.47,0,0,7,0.19,1,0.03,4,0.11,5,0.14
宮崎県,74,2.11,5,0.15,17,0.47,15,0.42,16,0.44,21,0.58
鹿児島県,14,0.27,1,0.02,4,0.08,5,0.1,4,0.08,0,0
沖縄県,52,1.63,1,0.03,11,0.34,12,0.38,16,0.5,12,0.38
,,,,,,,,,,,,
突発性発しん,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2594,0.85,139,0.05,635,0.2,579,0.19,623,0.2,618,0.2
北海道,88,0.68,2,0.02,19,0.14,24,0.18,23,0.17,20,0.15
青森県,43,1.19,1,0.03,6,0.16,12,0.32,12,0.32,12,0.32
岩手県,36,0.92,2,0.05,6,0.15,7,0.18,8,0.21,13,0.33
宮城県,47,0.85,5,0.09,12,0.22,12,0.22,10,0.18,8,0.15
秋田県,12,0.4,0,0,3,0.09,2,0.06,2,0.06,5,0.15
山形県,36,1.44,3,0.17,9,0.33,8,0.3,9,0.33,7,0.26
福島県,53,1.08,3,0.06,16,0.33,6,0.12,14,0.29,14,0.29
茨城県,36,0.5,4,0.07,8,0.11,8,0.11,10,0.13,6,0.08
栃木県,61,1.36,6,0.18,13,0.27,14,0.29,11,0.23,17,0.35
群馬県,49,1,3,0.09,9,0.17,9,0.17,14,0.26,14,0.26
埼玉県,141,0.95,6,0.07,25,0.15,32,0.2,41,0.25,37,0.23
千葉県,82,0.67,4,0.04,27,0.21,19,0.15,17,0.13,15,0.12
東京都,230,0.92,9,0.04,58,0.22,53,0.2,60,0.23,50,0.19
神奈川県,155,0.73,4,0.03,32,0.14,38,0.17,38,0.17,43,0.19
新潟県,46,0.84,3,0.05,11,0.2,12,0.22,11,0.2,9,0.16
富山県,33,1.18,2,0.07,8,0.28,6,0.21,12,0.41,5,0.17
石川県,26,0.9,1,0.03,4,0.14,5,0.17,8,0.28,8,0.28
福井県,19,0.76,1,0.04,4,0.16,4,0.16,4,0.16,6,0.24
山梨県,8,0.33,0,0,1,0.04,2,0.08,3,0.13,2,0.08
長野県,38,0.75,2,0.05,9,0.17,9,0.17,6,0.11,12,0.22
岐阜県,48,0.91,4,0.08,17,0.32,7,0.13,9,0.17,11,0.21
静岡県,61,0.69,3,0.03,16,0.18,18,0.2,15,0.17,9,0.1
愛知県,71,0.39,3,0.02,16,0.09,20,0.11,17,0.09,15,0.08
三重県,44,1.05,2,0.06,15,0.33,12,0.27,11,0.24,4,0.09
滋賀県,13,0.39,0,0,7,0.19,1,0.03,2,0.06,3,0.08
京都府,41,0.56,0,0,11,0.15,13,0.17,10,0.14,7,0.09
大阪府,145,0.75,6,0.03,36,0.19,31,0.16,36,0.19,36,0.19
兵庫県,83,0.67,5,0.05,23,0.18,15,0.12,21,0.16,19,0.15
奈良県,24,0.83,0,0,8,0.24,5,0.15,5,0.15,6,0.18
和歌山県,23,0.82,1,0.04,8,0.28,3,0.1,6,0.21,5,0.17
鳥取県,11,0.58,0,0,3,0.16,2,0.11,4,0.21,2,0.11
島根県,33,1.43,2,0.09,6,0.26,6,0.26,8,0.35,11,0.48
岡山県,49,0.91,7,0.13,14,0.26,12,0.22,9,0.17,7,0.13
広島県,49,0.71,1,0.02,14,0.19,12,0.16,9,0.12,13,0.18
山口県,58,1.35,4,0.09,16,0.37,13,0.3,13,0.3,12,0.28
徳島県,20,0.87,2,0.09,5,0.22,2,0.09,5,0.22,6,0.26
香川県,29,1.04,3,0.11,7,0.25,4,0.14,9,0.32,6,0.21
愛媛県,44,1.33,2,0.09,12,0.33,11,0.31,9,0.25,10,0.28
高知県,17,0.68,1,0.04,6,0.24,4,0.16,3,0.12,3,0.12
福岡県,150,1.26,8,0.07,32,0.27,35,0.29,29,0.24,46,0.39
佐賀県,33,1.5,5,0.24,10,0.43,3,0.13,6,0.26,9,0.39
長崎県,36,0.82,3,0.07,6,0.14,10,0.23,10,0.23,7,0.16
熊本県,75,1.53,4,0.08,19,0.39,13,0.27,14,0.29,25,0.5
大分県,71,1.97,4,0.11,13,0.36,20,0.56,19,0.53,15,0.42
宮崎県,53,1.51,4,0.12,15,0.42,13,0.36,12,0.33,9,0.25
鹿児島県,49,0.96,1,0.02,11,0.22,8,0.16,16,0.31,13,0.25
沖縄県,25,0.78,3,0.09,9,0.28,4,0.13,3,0.09,6,0.19
,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,131,0.04,10,0,30,0.01,29,0.01,28,0.01,34,0.01
北海道,12,0.09,0,0,6,0.04,3,0.02,1,0.01,2,0.01
青森県,2,0.06,0,0,1,0.03,0,0,0,0,1,0.03
岩手県,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,1,0.02,0,0,0,0,0,0,1,0.02,0,0
秋田県,3,0.1,0,0,0,0,0,0,1,0.03,2,0.06
山形県,1,0.04,0,0,1,0.04,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,4,0.06,2,0.03,0,0,0,0,1,0.01,1,0.01
栃木県,2,0.04,0,0,0,0,0,0,2,0.04,0,0
群馬県,2,0.04,0,0,0,0,0,0,1,0.02,1,0.02
埼玉県,9,0.06,1,0.01,0,0,3,0.02,3,0.02,2,0.01
千葉県,4,0.03,0,0,1,0.01,2,0.02,0,0,1,0.01
東京都,10,0.04,0,0,3,0.01,3,0.01,2,0.01,2,0.01
神奈川県,7,0.03,0,0,3,0.01,0,0,1,0,3,0.01
新潟県,3,0.05,1,0.02,1,0.02,0,0,0,0,1,0.02
富山県,6,0.21,1,0.04,0,0,1,0.03,2,0.07,2,0.07
石川県,4,0.14,0,0,1,0.03,0,0,1,0.03,2,0.07
福井県,4,0.16,1,0.04,1,0.04,0,0,1,0.04,1,0.04
山梨県,0,0,0,0,0,0,0,0,0,0,0,0
長野県,2,0.04,0,0,0,0,2,0.04,0,0,0,0
岐阜県,1,0.02,0,0,0,0,1,0.02,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,3,0.02,0,0,2,0.01,1,0.01,0,0,0,0
三重県,2,0.05,0,0,2,0.04,0,0,0,0,0,0
滋賀県,1,0.03,0,0,1,0.03,0,0,0,0,0,0
京都府,2,0.03,0,0,0,0,1,0.01,1,0.01,0,0
大阪府,6,0.03,0,0,1,0.01,4,0.02,0,0,1,0.01
兵庫県,3,0.02,0,0,0,0,0,0,3,0.02,0,0
奈良県,1,0.03,0,0,1,0.03,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,5,0.09,1,0.02,1,0.02,1,0.02,1,0.02,1,0.02
広島県,2,0.03,0,0,0,0,2,0.03,0,0,0,0
山口県,2,0.05,0,0,0,0,1,0.02,1,0.02,0,0
徳島県,2,0.09,0,0,0,0,0,0,1,0.04,1,0.04
香川県,3,0.11,0,0,2,0.07,0,0,1,0.04,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0
高知県,1,0.04,0,0,0,0,0,0,0,0,1,0.04
福岡県,5,0.04,1,0.01,0,0,2,0.02,1,0.01,1,0.01
佐賀県,3,0.14,0,0,0,0,2,0.09,1,0.04,0,0
長崎県,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,6,0.12,0,0,2,0.04,0,0,1,0.02,3,0.06
大分県,3,0.08,0,0,0,0,0,0,0,0,3,0.08
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,2,0.04,1,0.02,0,0,0,0,0,0,1,0.02
沖縄県,2,0.06,1,0.03,0,0,0,0,0,0,1,0.03
,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,403,0.13,38,0.01,84,0.03,96,0.03,90,0.03,95,0.03
北海道,17,0.13,3,0.03,3,0.02,4,0.03,4,0.03,3,0.02
青森県,4,0.11,0,0,0,0,1,0.03,2,0.05,1,0.03
岩手県,6,0.15,2,0.05,1,0.03,0,0,1,0.03,2,0.05
宮城県,14,0.25,1,0.02,1,0.02,8,0.15,2,0.04,2,0.04
秋田県,1,0.03,0,0,0,0,1,0.03,0,0,0,0
山形県,1,0.04,0,0,0,0,1,0.04,0,0,0,0
福島県,4,0.08,0,0,0,0,4,0.08,0,0,0,0
茨城県,5,0.07,3,0.05,2,0.03,0,0,0,0,0,0
栃木県,6,0.13,1,0.03,0,0,1,0.02,3,0.06,1,0.02
群馬県,9,0.18,0,0,1,0.02,5,0.09,1,0.02,2,0.04
埼玉県,35,0.23,2,0.02,9,0.05,10,0.06,6,0.04,8,0.05
千葉県,23,0.19,1,0.01,6,0.05,3,0.02,4,0.03,9,0.07
東京都,37,0.15,2,0.01,10,0.04,7,0.03,11,0.04,7,0.03
神奈川県,37,0.17,0,0,8,0.03,6,0.03,7,0.03,16,0.07
新潟県,9,0.16,2,0.04,4,0.07,1,0.02,0,0,2,0.04
富山県,6,0.21,2,0.07,2,0.07,2,0.07,0,0,0,0
石川県,3,0.1,0,0,0,0,1,0.03,0,0,2,0.07
福井県,4,0.16,0,0,0,0,2,0.08,0,0,2,0.08
山梨県,6,0.25,0,0,2,0.08,1,0.04,3,0.13,0,0
長野県,1,0.02,0,0,0,0,1,0.02,0,0,0,0
岐阜県,5,0.09,1,0.02,1,0.02,1,0.02,2,0.04,0,0
静岡県,11,0.12,0,0,4,0.04,1,0.01,3,0.03,3,0.03
愛知県,20,0.11,0,0,3,0.02,4,0.02,8,0.04,5,0.03
三重県,2,0.05,0,0,1,0.02,0,0,1,0.02,0,0
滋賀県,8,0.24,2,0.08,1,0.03,2,0.06,3,0.08,0,0
京都府,5,0.07,0,0,1,0.01,2,0.03,1,0.01,1,0.01
大阪府,28,0.15,5,0.03,5,0.03,7,0.04,3,0.02,8,0.04
兵庫県,15,0.12,0,0,6,0.05,4,0.03,4,0.03,1,0.01
奈良県,3,0.1,1,0.1,0,0,1,0.03,1,0.03,0,0
和歌山県,2,0.07,1,0.04,0,0,0,0,1,0.03,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,14,0.26,1,0.02,5,0.09,2,0.04,1,0.02,5,0.09
広島県,6,0.09,0,0,0,0,3,0.04,2,0.03,1,0.01
山口県,1,0.02,0,0,0,0,0,0,0,0,1,0.02
徳島県,0,0,0,0,0,0,0,0,0,0,0,0
香川県,1,0.04,0,0,0,0,0,0,1,0.04,0,0
愛媛県,3,0.09,0,0,1,0.03,0,0,1,0.03,1,0.03
高知県,3,0.12,0,0,2,0.08,0,0,1,0.04,0,0
福岡県,13,0.11,4,0.03,0,0,0,0,5,0.04,4,0.03
佐賀県,2,0.09,0,0,0,0,1,0.04,1,0.04,0,0
長崎県,6,0.14,2,0.05,1,0.02,2,0.05,1,0.02,0,0
熊本県,5,0.1,0,0,0,0,2,0.04,2,0.04,1,0.02
大分県,9,0.25,2,0.06,2,0.06,2,0.06,2,0.06,1,0.03
宮崎県,5,0.14,0,0,1,0.03,2,0.06,0,0,2,0.06
鹿児島県,2,0.04,0,0,1,0.02,1,0.02,0,0,0,0
沖縄県,6,0.19,0,0,0,0,0,0,2,0.06,4,0.13
,,,,,,,,,,,,
急性出血性結膜炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,150,0.22,9,0.02,47,0.07,34,0.05,28,0.04,32,0.05
北海道,1,0.04,1,0.04,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,4,0.67,1,0.33,0,0,3,0.43,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,1,0.06,0,0,0,0,1,0.06,0,0,0,0
栃木県,2,0.18,0,0,2,0.17,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,48,1.3,2,0.11,17,0.4,13,0.31,9,0.21,7,0.17
千葉県,5,0.15,0,0,4,0.12,0,0,0,0,1,0.03
東京都,3,0.08,0,0,2,0.05,0,0,0,0,1,0.03
神奈川県,2,0.04,0,0,1,0.02,0,0,1,0.02,0,0
新潟県,11,1.1,2,0.2,2,0.2,2,0.2,3,0.3,2,0.2
富山県,4,0.67,0,0,2,0.29,2,0.29,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,1,0.09,0,0,1,0.09,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,8,0.23,0,0,1,0.03,2,0.06,3,0.09,2,0.06
三重県,1,0.1,0,0,1,0.08,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0
京都府,1,0.06,0,0,0,0,0,0,1,0.06,0,0
大阪府,10,0.19,0,0,6,0.12,3,0.06,0,0,1,0.02
兵庫県,11,0.33,0,0,2,0.06,0,0,5,0.14,4,0.11
奈良県,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,5,1.67,0,0,2,0.5,3,0.75,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,1,0.08,1,0.08,0,0,0,0,0,0,0,0
広島県,2,0.12,0,0,1,0.05,0,0,1,0.05,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,4,1.33,0,0,1,0.25,1,0.25,0,0,2,0.5
香川県,2,0.4,0,0,0,0,0,0,0,0,2,0.4
愛媛県,1,0.14,1,0.17,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,3,0.12,0,0,0,0,1,0.04,1,0.04,1,0.04
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,16,2,1,0.13,1,0.13,3,0.38,3,0.38,8,1
熊本県,1,0.11,0,0,0,0,0,0,1,0.11,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,2,0.22,0,0,1,0.11,0,0,0,0,1,0.11
,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2237,3.34,125,0.22,774,1.12,423,0.61,412,0.59,503,0.72
北海道,41,1.46,3,0.13,13,0.45,10,0.34,9,0.31,6,0.21
青森県,5,0.56,0,0,2,0.2,2,0.2,1,0.1,0,0
岩手県,31,2.21,0,0,12,0.86,9,0.64,3,0.21,7,0.5
宮城県,37,3.08,0,0,18,1.5,4,0.33,5,0.42,10,0.83
秋田県,8,1.33,3,1,4,0.57,0,0,1,0.14,0,0
山形県,28,4,0,0,1,0.13,2,0.25,8,1,17,2.13
福島県,88,6.77,13,1,30,2.31,10,0.77,19,1.46,16,1.23
茨城県,194,12.13,12,1,66,3.88,35,2.06,37,2.18,44,2.59
栃木県,49,4.45,1,0.11,23,1.92,9,0.75,6,0.5,10,0.83
群馬県,36,3,1,0.17,14,1,6,0.43,6,0.43,9,0.69
埼玉県,98,2.65,5,0.28,37,0.88,20,0.48,14,0.33,22,0.52
千葉県,123,3.73,4,0.14,44,1.29,35,1,24,0.69,16,0.47
東京都,109,2.95,12,0.4,37,0.95,20,0.51,21,0.54,19,0.49
神奈川県,215,4.67,5,0.15,79,1.58,41,0.84,48,0.98,42,0.84
新潟県,29,2.9,1,0.1,9,0.9,3,0.3,8,0.8,8,0.8
富山県,9,1.5,0,0,3,0.43,3,0.43,1,0.14,2,0.29
石川県,59,8.43,6,0.86,25,3.57,9,1.29,8,1.14,11,1.57
福井県,4,1.33,0,0,4,1.33,0,0,0,0,0,0
山梨県,92,10.22,0,0,31,3.44,19,2.11,17,1.89,25,2.78
長野県,122,13.56,12,2,38,3.8,25,2.5,18,1.8,29,2.9
岐阜県,3,0.27,0,0,2,0.18,1,0.09,0,0,0,0
静岡県,29,1.38,4,0.18,10,0.48,6,0.27,3,0.14,6,0.27
愛知県,29,0.83,0,0,13,0.37,2,0.06,8,0.23,6,0.17
三重県,1,0.1,0,0,1,0.08,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0
京都府,26,1.63,0,0,4,0.25,10,0.59,6,0.35,6,0.33
大阪府,67,1.29,0,0,26,0.5,12,0.23,13,0.25,16,0.31
兵庫県,118,3.58,6,0.21,41,1.17,18,0.51,22,0.63,31,0.89
奈良県,17,2.13,0,0,5,0.5,2,0.2,6,0.6,4,0.4
和歌山県,12,4,0,0,6,1.5,4,1,1,0.25,1,0.25
鳥取県,4,0.8,0,0,2,0.4,2,0.4,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,20,1.67,1,0.08,11,0.92,3,0.25,1,0.08,4,0.33
広島県,104,6.12,2,0.2,43,2.26,16,0.84,13,0.68,30,1.58
山口県,35,3.89,0,0,20,2.22,3,0.33,4,0.44,8,0.89
徳島県,2,0.67,0,0,0,0,0,0,1,0.25,1,0.25
香川県,8,1.6,0,0,3,0.6,5,1,0,0,0,0
愛媛県,85,12.14,4,0.67,26,3.25,16,2,19,2.38,20,2.5
高知県,2,0.67,0,0,1,0.33,0,0,1,0.33,0,0
福岡県,40,1.54,4,0.15,11,0.42,8,0.31,9,0.35,8,0.31
佐賀県,1,0.33,0,0,0,0,1,0.25,0,0,0,0
長崎県,69,8.63,8,1,15,1.88,21,2.63,12,1.5,13,1.63
熊本県,44,4.89,4,0.44,14,1.56,11,1.22,8,0.89,7,0.78
大分県,22,4.4,10,2,4,0.8,3,0.6,2,0.4,3,0.6
宮崎県,18,3.6,1,0.25,2,0.33,1,0.17,8,1.33,6,1
鹿児島県,23,3.29,3,0.43,4,0.57,3,0.43,8,1.14,5,0.71
沖縄県,81,9,0,0,20,2.22,13,1.44,13,1.44,35,3.89
,,,,,,,,,,,,
細菌性髄膜炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,46,0.1,8,0.02,10,0.02,12,0.03,8,0.02,8,0.02
北海道,0,0,0,0,0,0,0,0,0,0,0,0
青森県,1,0.17,0,0,0,0,0,0,1,0.17,0,0
岩手県,1,0.05,0,0,1,0.05,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,1,0.13,0,0,0,0,1,0.13,0,0,0,0
山形県,1,0.1,0,0,0,0,0,0,1,0.1,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,2,0.29,0,0,1,0.14,1,0.14,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,2,0.17,0,0,1,0.08,1,0.08,0,0,0,0
千葉県,3,0.33,0,0,1,0.11,0,0,1,0.11,1,0.11
東京都,3,0.12,0,0,0,0,1,0.04,1,0.04,1,0.04
神奈川県,1,0.08,0,0,0,0,0,0,1,0.08,0,0
新潟県,1,0.08,0,0,0,0,0,0,0,0,1,0.08
富山県,1,0.2,0,0,0,0,0,0,1,0.2,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0
福井県,1,0.17,0,0,0,0,0,0,0,0,1,0.17
山梨県,2,0.2,2,0.2,0,0,0,0,0,0,0,0
長野県,1,0.08,0,0,0,0,1,0.08,0,0,0,0
岐阜県,2,0.4,0,0,0,0,1,0.2,0,0,1,0.2
静岡県,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,1,0.07,0,0,0,0,1,0.07,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,2,0.11,1,0.06,1,0.06,0,0,0,0,0,0
兵庫県,1,0.07,1,0.07,0,0,0,0,0,0,0,0
奈良県,2,0.33,0,0,1,0.17,1,0.17,0,0,0,0
和歌山県,1,0.09,0,0,1,0.09,0,0,0,0,0,0
鳥取県,1,0.2,0,0,0,0,0,0,0,0,1,0.2
島根県,1,0.13,0,0,0,0,1,0.13,0,0,0,0
岡山県,2,0.4,1,0.2,0,0,1,0.2,0,0,0,0
広島県,1,0.05,0,0,1,0.05,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,2,0.29,0,0,1,0.14,1,0.14,0,0,0,0
香川県,1,0.2,0,0,1,0.2,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,2,0.13,1,0.07,0,0,0,0,0,0,1,0.07
佐賀県,1,0.17,0,0,0,0,0,0,1,0.17,0,0
長崎県,1,0.08,1,0.08,0,0,0,0,0,0,0,0
熊本県,1,0.07,0,0,0,0,0,0,0,0,1,0.07
大分県,1,0.09,0,0,0,0,1,0.09,0,0,0,0
