報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,
2025年07週(02月10日～02月16日),2025年02月19日作成,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,5083,1.67,367,0.14,1092,0.35,566,0.18,812,0.26,594,0.19,908,0.29,744,0.24
北海道,433,3.31,33,0.31,140,1.03,53,0.39,50,0.37,43,0.32,72,0.53,42,0.31
青森県,58,1.61,1,0.03,13,0.35,10,0.27,14,0.38,5,0.14,11,0.3,4,0.11
岩手県,72,1.85,8,0.21,14,0.36,5,0.13,9,0.23,21,0.54,11,0.28,4,0.1
宮城県,91,1.65,11,0.2,25,0.45,10,0.18,6,0.11,13,0.24,15,0.27,11,0.2
秋田県,41,1.32,3,0.2,9,0.26,6,0.18,8,0.24,3,0.09,8,0.24,4,0.12
山形県,40,1.6,4,0.22,8,0.3,3,0.11,10,0.37,3,0.11,7,0.26,5,0.19
福島県,76,1.58,8,0.16,17,0.35,8,0.16,9,0.18,13,0.27,7,0.15,14,0.29
茨城県,103,1.43,1,0.02,14,0.19,7,0.09,15,0.2,10,0.14,27,0.36,29,0.39
栃木県,50,1.11,3,0.09,10,0.21,7,0.15,7,0.15,8,0.17,7,0.15,8,0.17
群馬県,96,1.92,11,0.31,22,0.42,16,0.3,25,0.47,10,0.19,6,0.11,6,0.11
埼玉県,360,2.35,18,0.2,72,0.44,43,0.26,63,0.38,34,0.21,74,0.45,56,0.34
千葉県,149,1.2,8,0.08,32,0.25,14,0.11,36,0.28,13,0.1,24,0.19,22,0.17
東京都,559,2.2,32,0.16,157,0.6,57,0.22,92,0.35,61,0.23,95,0.36,65,0.25
神奈川県,504,2.32,16,0.11,98,0.43,39,0.17,86,0.38,58,0.25,116,0.5,91,0.4
新潟県,234,4.25,19,0.35,36,0.65,21,0.38,31,0.56,34,0.62,38,0.69,55,1
富山県,32,1.14,2,0.07,6,0.21,6,0.21,7,0.24,5,0.17,3,0.1,3,0.1
石川県,121,4.17,5,0.17,35,1.21,15,0.52,20,0.69,15,0.52,17,0.59,14,0.48
福井県,78,3.12,3,0.12,12,0.48,8,0.32,11,0.44,9,0.36,27,1.08,8,0.32
山梨県,13,0.54,1,0.04,4,0.17,2,0.08,2,0.08,2,0.08,2,0.08,0,0
長野県,68,1.33,3,0.08,17,0.31,7,0.13,9,0.17,5,0.09,15,0.28,12,0.22
岐阜県,28,0.53,0,0,4,0.08,6,0.11,5,0.09,8,0.15,2,0.04,3,0.06
静岡県,68,0.76,7,0.08,19,0.21,13,0.15,3,0.03,6,0.07,10,0.11,10,0.11
愛知県,97,0.54,11,0.06,21,0.12,18,0.1,14,0.08,12,0.07,11,0.06,10,0.05
三重県,52,1.21,6,0.17,7,0.16,5,0.11,8,0.18,7,0.16,10,0.22,9,0.2
滋賀県,67,1.97,9,0.38,17,0.47,10,0.28,12,0.33,5,0.14,7,0.19,7,0.19
京都府,65,0.89,1,0.01,18,0.24,8,0.11,15,0.2,4,0.05,12,0.16,7,0.09
大阪府,181,0.94,8,0.04,30,0.16,25,0.13,27,0.14,26,0.13,34,0.18,31,0.16
兵庫県,132,1.06,9,0.08,24,0.19,24,0.19,28,0.22,19,0.15,17,0.13,11,0.09
奈良県,45,1.5,0,0,4,0.12,2,0.06,5,0.15,14,0.41,8,0.24,12,0.35
和歌山県,32,2,0,0,0,0,0,0,12,0.41,3,0.1,13,0.45,4,0.14
鳥取県,21,1.11,3,0.16,5,0.26,3,0.16,1,0.05,2,0.11,3,0.16,4,0.21
島根県,21,0.91,0,0,4,0.17,3,0.13,5,0.22,2,0.09,4,0.17,3,0.13
岡山県,38,0.7,4,0.07,8,0.15,8,0.15,5,0.09,2,0.04,7,0.13,4,0.07
広島県,56,0.79,7,0.13,17,0.23,2,0.03,10,0.14,12,0.16,5,0.07,3,0.04
山口県,27,0.63,2,0.05,5,0.12,3,0.07,2,0.05,3,0.07,8,0.19,4,0.09
徳島県,16,0.7,1,0.04,1,0.04,0,0,6,0.26,5,0.22,2,0.09,1,0.04
香川県,27,0.96,2,0.07,8,0.29,4,0.14,6,0.21,1,0.04,2,0.07,4,0.14
愛媛県,21,0.62,3,0.13,4,0.11,1,0.03,3,0.08,2,0.06,3,0.08,5,0.14
高知県,23,0.92,2,0.08,5,0.2,2,0.08,10,0.4,0,0,3,0.12,1,0.04
福岡県,331,2.78,43,0.36,55,0.46,36,0.3,41,0.34,39,0.33,58,0.49,59,0.5
佐賀県,42,1.91,1,0.05,4,0.17,7,0.3,5,0.22,5,0.22,12,0.52,8,0.35
長崎県,84,1.91,12,0.27,18,0.41,6,0.14,16,0.36,8,0.18,17,0.39,7,0.16
熊本県,87,1.78,14,0.29,18,0.37,6,0.12,9,0.18,4,0.08,21,0.42,15,0.3
大分県,67,1.86,1,0.03,8,0.22,4,0.11,17,0.47,8,0.22,13,0.36,16,0.44
宮崎県,56,1.6,6,0.18,6,0.17,10,0.28,6,0.17,10,0.28,3,0.08,15,0.42
鹿児島県,95,1.9,14,0.27,15,0.29,11,0.22,11,0.22,11,0.22,24,0.47,9,0.18
沖縄県,126,3.94,11,0.34,26,0.81,12,0.38,20,0.63,11,0.34,17,0.53,29,0.91
,,,,,,,,,,,,,,,,
手足口病,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2217,0.73,231,0.09,512,0.16,352,0.11,372,0.12,316,0.1,236,0.08,198,0.06
北海道,221,1.69,25,0.24,46,0.34,35,0.26,26,0.19,41,0.3,27,0.2,21,0.15
青森県,51,1.42,1,0.03,9,0.24,3,0.08,9,0.24,11,0.3,13,0.35,5,0.14
岩手県,72,1.85,11,0.28,16,0.41,8,0.21,10,0.26,12,0.31,8,0.21,7,0.18
宮城県,60,1.09,2,0.04,18,0.33,8,0.15,3,0.05,10,0.18,16,0.29,3,0.05
秋田県,42,1.35,5,0.33,9,0.26,7,0.21,11,0.32,8,0.24,1,0.03,1,0.03
山形県,107,4.28,7,0.39,17,0.63,21,0.78,18,0.67,22,0.81,14,0.52,8,0.31
福島県,32,0.67,6,0.12,11,0.22,6,0.12,3,0.06,3,0.06,3,0.06,0,0
茨城県,34,0.47,13,0.21,8,0.11,2,0.03,5,0.07,0,0,1,0.01,5,0.07
栃木県,55,1.22,10,0.3,8,0.17,6,0.13,12,0.25,8,0.17,2,0.04,9,0.19
群馬県,46,0.92,2,0.06,8,0.15,5,0.09,5,0.09,12,0.23,5,0.09,9,0.17
埼玉県,129,0.84,11,0.12,44,0.27,16,0.1,21,0.13,19,0.12,8,0.05,10,0.06
千葉県,64,0.52,8,0.08,17,0.13,11,0.09,9,0.07,4,0.03,10,0.08,5,0.04
東京都,123,0.48,11,0.05,35,0.13,19,0.07,21,0.08,14,0.05,11,0.04,12,0.05
神奈川県,115,0.53,11,0.07,26,0.11,24,0.11,26,0.11,10,0.04,12,0.05,6,0.03
新潟県,54,0.98,4,0.07,19,0.35,12,0.22,8,0.15,6,0.11,2,0.04,3,0.05
富山県,4,0.14,0,0,2,0.07,2,0.07,0,0,0,0,0,0,0,0
石川県,2,0.07,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03
福井県,25,1,0,0,6,0.24,3,0.12,4,0.16,1,0.04,7,0.28,4,0.16
山梨県,16,0.67,2,0.08,6,0.25,2,0.08,5,0.21,0,0,0,0,1,0.04
長野県,76,1.49,8,0.2,22,0.41,16,0.3,15,0.28,9,0.17,3,0.06,3,0.06
岐阜県,8,0.15,0,0,1,0.02,4,0.08,2,0.04,0,0,1,0.02,0,0
静岡県,12,0.13,0,0,3,0.03,1,0.01,1,0.01,2,0.02,2,0.02,3,0.03
愛知県,25,0.14,0,0,9,0.05,3,0.02,6,0.03,4,0.02,3,0.02,0,0
三重県,6,0.14,1,0.03,2,0.04,0,0,0,0,2,0.04,1,0.02,0,0
滋賀県,7,0.21,1,0.04,3,0.08,1,0.03,2,0.06,0,0,0,0,0,0
京都府,30,0.41,0,0,5,0.07,2,0.03,5,0.07,6,0.08,8,0.11,4,0.05
大阪府,114,0.59,6,0.03,26,0.13,15,0.08,20,0.1,20,0.1,13,0.07,14,0.07
兵庫県,66,0.53,3,0.03,12,0.09,14,0.11,16,0.13,6,0.05,5,0.04,10,0.08
奈良県,14,0.47,0,0,5,0.15,2,0.06,1,0.03,2,0.06,3,0.09,1,0.03
和歌山県,5,0.31,0,0,0,0,0,0,2,0.07,2,0.07,1,0.03,0,0
鳥取県,12,0.63,1,0.05,1,0.05,3,0.16,2,0.11,3,0.16,0,0,2,0.11
島根県,15,0.65,0,0,2,0.09,1,0.04,3,0.13,6,0.26,1,0.04,2,0.09
岡山県,23,0.43,4,0.07,5,0.09,1,0.02,4,0.07,2,0.04,5,0.09,2,0.04
広島県,38,0.54,4,0.08,3,0.04,15,0.2,4,0.05,4,0.05,5,0.07,3,0.04
山口県,17,0.4,4,0.09,4,0.09,2,0.05,2,0.05,2,0.05,0,0,3,0.07
徳島県,45,1.96,0,0,8,0.35,10,0.43,14,0.61,7,0.3,2,0.09,4,0.17
香川県,16,0.57,5,0.18,3,0.11,0,0,1,0.04,5,0.18,0,0,2,0.07
愛媛県,20,0.59,0,0,9,0.25,2,0.06,2,0.06,3,0.08,2,0.06,2,0.06
高知県,33,1.32,2,0.08,8,0.32,9,0.36,6,0.24,3,0.12,2,0.08,3,0.12
福岡県,74,0.62,6,0.05,12,0.1,16,0.13,11,0.09,14,0.12,5,0.04,10,0.08
佐賀県,26,1.18,1,0.05,3,0.13,2,0.09,8,0.35,2,0.09,8,0.35,2,0.09
長崎県,43,0.98,6,0.14,10,0.23,10,0.23,7,0.16,4,0.09,5,0.11,1,0.02
熊本県,58,1.18,9,0.18,16,0.33,6,0.12,10,0.2,5,0.1,3,0.06,9,0.18
大分県,41,1.14,11,0.31,6,0.17,3,0.08,9,0.25,2,0.06,7,0.19,3,0.08
宮崎県,36,1.03,1,0.03,4,0.11,8,0.22,9,0.25,8,0.22,4,0.11,2,0.06
鹿児島県,79,1.58,26,0.51,23,0.45,10,0.2,8,0.16,8,0.16,3,0.06,1,0.02
沖縄県,26,0.81,3,0.09,2,0.06,5,0.16,6,0.19,4,0.13,4,0.13,2,0.06
,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,16104,5.28,427,0.16,2933,0.94,2980,0.96,3074,0.98,2838,0.91,2110,0.67,1742,0.56
北海道,468,3.57,6,0.06,65,0.48,80,0.59,86,0.63,90,0.66,67,0.49,74,0.54
青森県,669,18.58,12,0.38,131,3.54,110,2.97,127,3.43,143,3.86,74,2,72,1.95
岩手県,236,6.05,10,0.26,41,1.05,39,1,51,1.31,38,0.97,26,0.67,31,0.79
宮城県,546,9.93,19,0.35,104,1.89,98,1.78,101,1.84,92,1.67,79,1.44,53,0.96
秋田県,27,0.87,0,0,1,0.03,4,0.12,5,0.15,5,0.15,8,0.24,4,0.12
山形県,148,5.92,7,0.39,16,0.59,25,0.93,28,1.04,37,1.37,16,0.59,19,0.73
福島県,688,14.33,11,0.22,111,2.27,119,2.43,128,2.61,136,2.83,97,2.02,86,1.79
茨城県,326,4.53,6,0.1,61,0.81,56,0.75,50,0.67,62,0.84,54,0.72,37,0.49
栃木県,578,12.84,14,0.42,98,2.04,98,2.04,131,2.73,98,2.04,69,1.44,70,1.46
群馬県,232,4.64,8,0.23,36,0.68,35,0.66,46,0.87,41,0.77,31,0.58,35,0.66
埼玉県,2439,15.94,71,0.79,464,2.83,502,3.06,466,2.84,403,2.46,303,1.85,230,1.4
千葉県,1768,14.26,44,0.42,346,2.7,333,2.6,338,2.64,338,2.64,213,1.66,156,1.22
東京都,3047,12,77,0.38,640,2.43,610,2.32,599,2.28,470,1.79,379,1.44,272,1.03
神奈川県,1924,8.87,52,0.35,364,1.58,356,1.57,365,1.59,350,1.54,255,1.11,182,0.8
新潟県,268,4.87,4,0.07,46,0.84,43,0.78,50,0.91,47,0.85,37,0.67,41,0.75
富山県,100,3.57,1,0.04,3,0.1,17,0.59,19,0.66,15,0.52,21,0.72,24,0.83
石川県,59,2.03,2,0.07,14,0.48,9,0.31,9,0.31,8,0.28,11,0.38,6,0.21
福井県,24,0.96,1,0.04,0,0,5,0.2,7,0.28,3,0.12,6,0.24,2,0.08
山梨県,70,2.92,5,0.21,7,0.29,12,0.5,12,0.5,17,0.71,10,0.42,7,0.29
長野県,318,6.24,15,0.38,49,0.91,63,1.17,63,1.17,51,0.94,37,0.7,40,0.74
岐阜県,30,0.57,1,0.02,4,0.08,7,0.13,8,0.15,4,0.08,1,0.02,5,0.09
静岡県,221,2.48,5,0.06,34,0.38,45,0.51,39,0.44,32,0.36,39,0.44,27,0.3
愛知県,135,0.75,2,0.01,20,0.11,20,0.11,29,0.16,24,0.13,21,0.12,19,0.1
三重県,39,0.91,2,0.06,7,0.16,4,0.09,5,0.11,13,0.29,4,0.09,4,0.09
滋賀県,55,1.62,0,0,11,0.31,13,0.36,8,0.22,14,0.39,5,0.14,4,0.11
京都府,257,3.52,6,0.09,39,0.52,55,0.73,37,0.5,48,0.64,42,0.56,30,0.4
大阪府,207,1.07,2,0.01,26,0.13,33,0.17,42,0.22,45,0.23,29,0.15,30,0.15
兵庫県,198,1.58,3,0.03,32,0.25,34,0.27,35,0.27,45,0.35,20,0.16,29,0.23
奈良県,61,2.03,0,0,7,0.21,12,0.35,10,0.29,9,0.26,15,0.44,8,0.24
和歌山県,9,0.56,0,0,0,0,0,0,4,0.14,1,0.03,3,0.1,1,0.03
鳥取県,56,2.95,4,0.21,10,0.53,15,0.79,9,0.47,8,0.42,2,0.11,8,0.42
島根県,30,1.3,0,0,2,0.09,4,0.17,3,0.13,7,0.3,3,0.13,11,0.48
岡山県,18,0.33,2,0.04,4,0.07,4,0.07,3,0.06,2,0.04,1,0.02,2,0.04
広島県,43,0.61,1,0.02,9,0.12,3,0.04,11,0.15,9,0.12,7,0.09,3,0.04
山口県,58,1.35,4,0.09,11,0.26,9,0.21,8,0.19,8,0.19,8,0.19,10,0.23
徳島県,19,0.83,1,0.04,6,0.26,3,0.13,5,0.22,0,0,3,0.13,1,0.04
香川県,13,0.46,2,0.07,3,0.11,4,0.14,2,0.07,0,0,1,0.04,1,0.04
愛媛県,34,1,0,0,2,0.06,4,0.11,6,0.17,8,0.22,6,0.17,8,0.22
高知県,161,6.44,5,0.2,23,0.92,18,0.72,38,1.52,27,1.08,29,1.16,21,0.84
福岡県,137,1.15,8,0.07,24,0.2,18,0.15,24,0.2,25,0.21,17,0.14,21,0.18
佐賀県,16,0.73,0,0,3,0.13,0,0,3,0.13,3,0.13,2,0.09,5,0.22
長崎県,82,1.86,4,0.09,12,0.27,21,0.48,14,0.32,15,0.34,13,0.3,3,0.07
熊本県,54,1.1,3,0.06,8,0.16,7,0.14,10,0.2,9,0.18,7,0.14,10,0.2
大分県,24,0.67,0,0,7,0.19,1,0.03,4,0.11,5,0.14,1,0.03,6,0.17
宮崎県,113,3.23,5,0.15,17,0.47,15,0.42,16,0.44,21,0.58,19,0.53,20,0.56
鹿児島県,28,0.56,1,0.02,4,0.08,5,0.1,4,0.08,0,0,8,0.16,6,0.12
沖縄県,71,2.22,1,0.03,11,0.34,12,0.38,16,0.5,12,0.38,11,0.34,8,0.25
,,,,,,,,,,,,,,,,
突発性発しん,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3763,1.23,138,0.05,627,0.2,576,0.19,623,0.2,619,0.2,622,0.2,558,0.18
北海道,122,0.93,2,0.02,19,0.14,24,0.18,23,0.17,20,0.15,20,0.15,14,0.1
青森県,54,1.5,1,0.03,6,0.16,12,0.32,12,0.32,12,0.32,8,0.22,3,0.08
岩手県,57,1.46,2,0.05,6,0.15,7,0.18,8,0.21,13,0.33,13,0.33,8,0.21
宮城県,65,1.18,5,0.09,12,0.22,12,0.22,10,0.18,8,0.15,8,0.15,10,0.18
秋田県,27,0.87,0,0,3,0.09,2,0.06,2,0.06,5,0.15,7,0.21,8,0.24
山形県,42,1.68,3,0.17,9,0.33,8,0.3,9,0.33,7,0.26,3,0.11,3,0.12
福島県,73,1.52,3,0.06,16,0.33,6,0.12,14,0.29,14,0.29,13,0.27,7,0.15
茨城県,54,0.75,4,0.07,8,0.11,8,0.11,10,0.13,6,0.08,9,0.12,9,0.12
栃木県,79,1.76,6,0.18,13,0.27,14,0.29,11,0.23,17,0.35,10,0.21,8,0.17
群馬県,67,1.34,3,0.09,9,0.17,9,0.17,14,0.26,14,0.26,10,0.19,8,0.15
埼玉県,194,1.27,6,0.07,25,0.15,32,0.2,41,0.25,37,0.23,27,0.16,26,0.16
千葉県,130,1.05,4,0.04,27,0.21,19,0.15,17,0.13,15,0.12,29,0.23,19,0.15
東京都,319,1.26,9,0.04,58,0.22,53,0.2,60,0.23,50,0.19,51,0.19,38,0.14
神奈川県,229,1.06,4,0.03,32,0.14,38,0.17,38,0.17,43,0.19,35,0.15,39,0.17
新潟県,69,1.25,3,0.05,11,0.2,12,0.22,11,0.2,9,0.16,9,0.16,14,0.25
富山県,37,1.32,2,0.07,8,0.28,6,0.21,12,0.41,5,0.17,3,0.1,1,0.03
石川県,34,1.17,1,0.03,4,0.14,5,0.17,8,0.28,8,0.28,3,0.1,5,0.17
福井県,27,1.08,1,0.04,4,0.16,4,0.16,4,0.16,6,0.24,4,0.16,4,0.16
山梨県,13,0.54,0,0,1,0.04,2,0.08,3,0.13,2,0.08,3,0.13,2,0.08
長野県,51,1,2,0.05,9,0.17,9,0.17,6,0.11,12,0.22,9,0.17,4,0.07
岐阜県,63,1.19,4,0.08,17,0.32,7,0.13,9,0.17,11,0.21,9,0.17,6,0.11
静岡県,89,1,3,0.03,16,0.18,18,0.2,15,0.17,9,0.1,17,0.19,11,0.12
愛知県,118,0.65,3,0.02,16,0.09,20,0.11,17,0.09,15,0.08,16,0.09,31,0.17
三重県,54,1.26,2,0.06,15,0.33,12,0.27,11,0.24,5,0.11,9,0.2,0,0
滋賀県,26,0.76,0,0,7,0.19,1,0.03,2,0.06,3,0.08,3,0.08,10,0.28
京都府,57,0.78,0,0,11,0.15,13,0.17,10,0.14,7,0.09,11,0.15,5,0.07
大阪府,212,1.1,6,0.03,36,0.19,31,0.16,36,0.19,36,0.19,43,0.22,24,0.12
兵庫県,129,1.03,5,0.05,23,0.18,15,0.12,21,0.16,19,0.15,27,0.21,19,0.15
奈良県,40,1.33,0,0,8,0.24,5,0.15,5,0.15,6,0.18,9,0.26,7,0.21
和歌山県,23,1.44,0,0,0,0,0,0,6,0.21,5,0.17,7,0.24,5,0.17
鳥取県,18,0.95,0,0,3,0.16,2,0.11,4,0.21,2,0.11,4,0.21,3,0.16
島根県,48,2.09,2,0.09,6,0.26,6,0.26,8,0.35,11,0.48,6,0.26,9,0.39
岡山県,70,1.3,7,0.13,14,0.26,12,0.22,9,0.17,7,0.13,12,0.22,9,0.17
広島県,68,0.96,1,0.02,14,0.19,12,0.16,9,0.12,13,0.18,8,0.11,11,0.15
山口県,82,1.91,4,0.09,16,0.37,13,0.3,13,0.3,12,0.28,12,0.28,12,0.28
徳島県,27,1.17,2,0.09,5,0.22,2,0.09,5,0.22,6,0.26,3,0.13,4,0.17
香川県,39,1.39,3,0.11,7,0.25,4,0.14,9,0.32,6,0.21,4,0.14,6,0.21
愛媛県,64,1.88,2,0.09,12,0.33,11,0.31,9,0.25,10,0.28,9,0.25,11,0.31
高知県,30,1.2,1,0.04,6,0.24,4,0.16,3,0.12,3,0.12,4,0.16,9,0.36
福岡県,221,1.86,8,0.07,32,0.27,35,0.29,29,0.24,46,0.39,33,0.28,38,0.32
佐賀県,58,2.64,5,0.24,10,0.43,3,0.13,6,0.26,9,0.39,9,0.39,16,0.7
長崎県,62,1.41,3,0.07,6,0.14,10,0.23,10,0.23,7,0.16,15,0.34,11,0.25
熊本県,125,2.55,4,0.08,19,0.39,13,0.27,14,0.29,25,0.5,30,0.6,20,0.4
大分県,96,2.67,4,0.11,13,0.36,20,0.56,19,0.53,15,0.42,9,0.25,16,0.44
宮崎県,83,2.37,4,0.12,15,0.42,13,0.36,12,0.33,9,0.25,15,0.42,15,0.42
鹿児島県,76,1.52,1,0.02,11,0.22,8,0.16,16,0.31,13,0.25,15,0.29,12,0.24
沖縄県,42,1.31,3,0.09,9,0.28,4,0.13,3,0.09,6,0.19,9,0.28,8,0.25
,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,186,0.06,10,0,30,0.01,29,0.01,28,0.01,34,0.01,32,0.01,23,0.01
北海道,17,0.13,0,0,6,0.04,3,0.02,1,0.01,2,0.01,2,0.01,3,0.02
青森県,4,0.11,0,0,1,0.03,0,0,0,0,1,0.03,1,0.03,1,0.03
岩手県,2,0.05,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03
宮城県,1,0.02,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0
秋田県,3,0.1,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0
山形県,2,0.08,0,0,1,0.04,0,0,0,0,0,0,1,0.04,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,6,0.08,2,0.03,0,0,0,0,1,0.01,1,0.01,2,0.03,0,0
栃木県,3,0.07,0,0,0,0,0,0,2,0.04,0,0,1,0.02,0,0
群馬県,5,0.1,0,0,0,0,0,0,1,0.02,1,0.02,1,0.02,2,0.04
埼玉県,12,0.08,1,0.01,0,0,3,0.02,3,0.02,2,0.01,3,0.02,0,0
千葉県,5,0.04,0,0,1,0.01,2,0.02,0,0,1,0.01,0,0,1,0.01
東京都,11,0.04,0,0,3,0.01,3,0.01,2,0.01,2,0.01,1,0,0,0
神奈川県,11,0.05,0,0,3,0.01,0,0,1,0,3,0.01,3,0.01,1,0
新潟県,3,0.05,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,0,0
富山県,8,0.29,1,0.04,0,0,1,0.03,2,0.07,2,0.07,1,0.03,1,0.03
石川県,5,0.17,0,0,1,0.03,0,0,1,0.03,2,0.07,1,0.03,0,0
福井県,5,0.2,1,0.04,1,0.04,0,0,1,0.04,1,0.04,0,0,1,0.04
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,7,0.14,0,0,0,0,2,0.04,0,0,0,0,3,0.06,2,0.04
岐阜県,1,0.02,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0
静岡県,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01
愛知県,3,0.02,0,0,2,0.01,1,0.01,0,0,0,0,0,0,0,0
三重県,3,0.07,0,0,2,0.04,0,0,0,0,0,0,0,0,1,0.02
滋賀県,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0
京都府,3,0.04,0,0,0,0,1,0.01,1,0.01,0,0,0,0,1,0.01
大阪府,7,0.04,0,0,1,0.01,4,0.02,0,0,1,0.01,1,0.01,0,0
兵庫県,5,0.04,0,0,0,0,0,0,3,0.02,0,0,1,0.01,1,0.01
奈良県,2,0.07,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,5,0.09,1,0.02,1,0.02,1,0.02,1,0.02,1,0.02,0,0,0,0
広島県,3,0.04,0,0,0,0,2,0.03,0,0,0,0,0,0,1,0.01
山口県,3,0.07,0,0,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0
徳島県,2,0.09,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0
香川県,4,0.14,0,0,2,0.07,0,0,1,0.04,0,0,1,0.04,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0
福岡県,7,0.06,1,0.01,0,0,2,0.02,1,0.01,1,0.01,2,0.02,0,0
佐賀県,4,0.18,0,0,0,0,2,0.09,1,0.04,0,0,0,0,1,0.04
長崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,7,0.14,0,0,2,0.04,0,0,1,0.02,3,0.06,1,0.02,0,0
大分県,6,0.17,0,0,0,0,0,0,0,0,3,0.08,2,0.06,1,0.03
宮崎県,3,0.09,0,0,0,0,0,0,0,0,0,0,2,0.06,1,0.03
鹿児島県,3,0.06,1,0.02,0,0,0,0,0,0,1,0.02,0,0,1,0.02
沖縄県,2,0.06,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0
,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,605,0.2,37,0.01,84,0.03,96,0.03,90,0.03,96,0.03,90,0.03,112,0.04
北海道,25,0.19,3,0.03,3,0.02,4,0.03,4,0.03,3,0.02,3,0.02,5,0.04
青森県,7,0.19,0,0,0,0,1,0.03,2,0.05,1,0.03,2,0.05,1,0.03
岩手県,8,0.21,2,0.05,1,0.03,0,0,1,0.03,2,0.05,2,0.05,0,0
宮城県,19,0.35,1,0.02,1,0.02,8,0.15,2,0.04,2,0.04,1,0.02,4,0.07
秋田県,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0
山形県,3,0.12,0,0,0,0,1,0.04,0,0,0,0,1,0.04,1,0.04
福島県,8,0.17,0,0,0,0,4,0.08,0,0,0,0,3,0.06,1,0.02
茨城県,6,0.08,3,0.05,2,0.03,0,0,0,0,0,0,0,0,1,0.01
栃木県,8,0.18,1,0.03,0,0,1,0.02,3,0.06,1,0.02,0,0,2,0.04
群馬県,13,0.26,0,0,1,0.02,5,0.09,1,0.02,2,0.04,3,0.06,1,0.02
埼玉県,47,0.31,2,0.02,9,0.05,10,0.06,6,0.04,8,0.05,5,0.03,7,0.04
千葉県,36,0.29,1,0.01,6,0.05,3,0.02,4,0.03,9,0.07,4,0.03,9,0.07
東京都,63,0.25,2,0.01,10,0.04,7,0.03,11,0.04,7,0.03,11,0.04,15,0.06
神奈川県,64,0.29,0,0,8,0.03,6,0.03,7,0.03,16,0.07,17,0.07,10,0.04
新潟県,16,0.29,2,0.04,4,0.07,1,0.02,0,0,2,0.04,2,0.04,5,0.09
富山県,8,0.29,2,0.07,2,0.07,2,0.07,0,0,0,0,0,0,2,0.07
石川県,4,0.14,0,0,0,0,1,0.03,0,0,2,0.07,1,0.03,0,0
福井県,7,0.28,0,0,0,0,2,0.08,0,0,2,0.08,1,0.04,2,0.08
